Text,Mark
"


Очень удивлен восторженным отзывам. Я учусь на очно-заочном. Чтобы вы понимали уровень вуза, то к концу 3-го курса я не владел ни одним языком программирования. Языки программирования тут просто никто не преподает.  Были лекции по Си, на которых препод говорил про жизнь, был старый ассемблер, который чтобы запустить, надо установить ms-dos, периодически дают лабы, которые надо писать на с++, хотя лекций не было, и лабы эти не о чем. Структуры данных и алгоритмы тоже полный провал, даже не был темы сложность алгоритмов и препод говорил больше за жизнь, а не про предмет. Очень много непрофильных предметов с кучей тем. Про питон, java даже не заикайтесь. Может питон дадут на введении в машинное обучение и то скорее всего отправят онлайн курс проходить. Могу отметить только преподавателя по ОС Ш****** В. В.- очень интересный и полезный курс провел и М***** А.В. по матану. 
На очно-заочном лекции проходят по вечерам с 19 до 22 с копейками четыре раза в неделю. Физру ставят автоматом. Есть физика и другие предметы связанные с физикой это зависит от направления 090301 и 090302. На последнем направлении нету тоэ, схемотехники и еще много чего неинтересного, что несомненно плюс. 
Я бы рекомендовал обратить внимание на кафедру epam, которая открылась в этом году в университете в Вильнюсе. Там полностью дистанционный формат обучения с очными сессиями. Потому что в РФ только два-три вуза, где есть вечернее обучение и качество обучения вызывает вопросы.",negative
"


Первые пару курсов не подозреваешь насколько этот вуз шарага. Идёт достаточно сильный матан с сильными преподами, физика была неплохой, но после меня, говорили, был препод, превративший ее в жёсткий матан, что не есть 100% хорошо.
Но это все цветочки. Далее буду рассказывать касательно обучения на ЭПУ 3-4 курс и маги на кафедре ЭП. 
В общем для среднего студента это полная ерунда. За четыре года обучения было какое то безумное количество одной и той же вакуумной электроники. На минуточку технологии 100 летней давности. Нового за каждую иттерацию было с гулькин нос. Схемотехника простетская, на Ютубе лучше научиться можно. Микроконтроллеры только в магистратуре и, если правильно помню, даже не полноценный курс, а половинчатый. Задания чуть сложнее &quot;помигай светодиодом&quot;. То есть предметы которые действительно нужны даются в малом объеме, в сравнении с вакуумом. Добавлю, что хороший и обширный курс ТОЭ забывается к моменту начала схемоты, да и учитывая ее простоту не особо требуется. 
Вот на схемоте ещё относительно приличное оборудование на лабах было. Но вот на других предметах до треша откровенного доходило, приходилось периодически чинить прибор самостоятельно во время л...Показать полностью...аб или страшно было его касаться, вдруг рассыпется. Может сейчас уже обновили оборудование, но хз научились ли им пользоваться.
В магу можно попасть чисто из-за  договоренностей и мухляжа. Ты можешь учиться выше среднего и проиграть в разы по баллам троишнику, который чудом дожил до диплома, но зато с нарисованными статьями/докладами и т.п. Более того это высокоразвитое существо ещё и в аспирантуру также попадет.
Как откос от рабства 21 века, срочной армии, сойдёт (и то вместе с военкой). Кстати военку лучше выбирать сержанскую ибо: качество обучения ничтожно везде, но на лейта гораздо дольше и запарней, а раз дольше то и больше и сложнее экзы, а это не дёшево. 
Если есть вариант откосить от армейки и пойти на какие нить, условно, полугодовалые курсы, то лучше так и сделать. Велик шанс устроиться на хорошую работу и потратить гораздо меньше времени и нервов.
Чуть не забыл упомянуть, что откровенной коррупции не было. Были на квантах &quot;курсы&quot; у &quot;мистера 600 рублей&quot;. Предмет вел весело, но половину пар отменил, задачи на единственной кр дал далеко не те которые разбирали, пересдавать не давал вообще и предлагал курсы. Можно было не пересдавать, но тогда валил на экзе.
На кафедру ЭП идите только если на отвали. Полутрупы преподы вас мало чему научат, но могут задолбать)",negative
"


Я поступил на направление &quot;Информатика и вычислительная техника&quot; в 2020 году. За полтора года было и хорошее, и плохое, но первого точно намного больше.

Начнем с самого главного - преподавателей. Больше всего буду говорить о профильных предметах, то есть связанных  математикой и программированием.
В целом, примерно 8 из 10, но, возможно, мне просто повезло. Однако некоторые из лекторов и практиков реально вызывают восторг - первая лекция одного из таких закончилась стоячей овацией - а к другим ходишь только для посещаемости.
Алгебра и геометрия, алгебраические структуры - просто восхитительно, обожал эти пары. Почти регулярный диалог в пятницу утром перед дистанционной лекцией с одногруппником:
- Кайф, две пары у И****** [радостный смайлик]
- Да, ботаем [крутой смайлик]
Дискретная математика - тоже замечательно: лекции вполне интересные, но ничего сверхъестественного, а вот практик был просто отличный.
Математический анализ на первом курсе был, в целом, неплохой. Первый практик объяснял не слишком хорошо, а задания давал практически совпадающие с примерами, поэтому можно было повторить алгоритм, не разобравшись со смыслом своих действий. А вот второй давал большое задани...Показать полностью...е из нескольких десятков различных примеров на какой-то период времени. Вот здесь приходилось часами сидеть над лекциями, записями с практик, статьями на mathprofi и онлайн-калькуляторами, чтобы решить эти задачи, но зато при этом действительно вырабатывался навык, даже если иногда было больно.
Программирование - средне. Лекции - ничего особенного, лабораторки - тоже. Иногда слишком сложные, иногда слишком легкие, смотря повезет ли с вариантом. Приходилось сталкиваться с довольно странными требованиями от преподавателя без объяснений, зачем это нужно, но в целом сойдет.
На втором курсе перевелся на &quot;Программную инженерию&quot;, так как направление &quot;ИВТ&quot;, как оказалось, было слишком тесно (для меня) связано с физикой.
Теперь уже математическое моделирование оказалось тоже неплохим. Хотя лектор рассказывал материал тихо и довольно сумбурно, если привыкнуть и постараться сохранить концентрацию, окажется, что материал-то, на самом деле, интересный. Кроме того, были домашние задания от лектора, которые, если разобраться, тоже были достаточно полезными и интересными. Практик у нас был веселый: замучает у доски задачами, но материал ты поймешь, да еще и в процессе услышишь несколько анекдотов.
Комбинаторика и теория графов - еще лучше: лекции интересные, практики бодрые.
Объектно-ориентированное программирование - отлично. Сложные, иногда очень сложные лабы, но преподаватель дает отзыв и объясняет, как сделать лучше.
Алгоритмы и структуры данных - замечательно. Интересно, понятно, полезно.
Организация ЭВМ и систем, вычислительная математика - средне. Не так интересно, но тоже может пригодиться в жизни.
Если предмет непрофильный, то там обычно все не так радужно, но, как и в случае с остальными предметами, зависит от того, какой попадется преподаватель. Мне на правоведении было достаточно интересно, а на философии - совершенно нет, а у кого-то наоборот.

Оборудование и корпуса.
Некоторые лабораторки по физике, например, сдаются на, кажется, устаревшем оборудовании, но вроде бы все работает нормально. Ремонт есть не везде, но зимой не холодно. Зато холодно осенью, когда еще не включили отопление. Есть столовые с вроде бы нормальными ценами и едой, но более точно оценить не могу, так как случился коронавирус. В третьем корпусе недавно сделали ремонт - загляденье.

Расписание.
В целом, нормально. У нас не было окон, от двух до четырех пар в день. Но на первом курсе часто начинали днем и заканчивали вечером, так что по приходе в общагу уже было довольно поздно, поэтому желания заниматься практически не было. В третьем семестре занятия начинались по утрам, но получилось так, что почти все лабораторки были в четверг и пятницу. Теперь я знаю, что такое &quot;поспать три часа за двое суток&quot;.

Дополнительные фичи.
Именно это и сподвигло написать меня этот слив. Речь не про стипендии, так как они не слишком высокие: за все пятерки - а это не только экзамены, но и несколько дифференцированных зачетов - сейчас можно получать стипендию 5 тысяч в месяц.
Я говорю о том, что помимо учебы здесь есть полно других возможностей самореализоваться: студенческий университет, семинары по тропической математике, научные проекты со студентами, даже альтернативный экзамен по ДМ или КиТГ - выполнение проекта в течение семестра и защита его на сессии для получения автомата на экзамене - это возможности для знакомств с интереснейшими людьми, саморазвития и поиска своего пути. Те преподаватели и студенты, кто организует все это - очень заинтересованные и крутые люди.

Вывод.
Иногда тяжело, иногда совсем нет сил и времени. Но если ты хочешь учиться и развиваться, то здесь тебе наверняка в этом помогут. По крайней мере, я пришел сюда именно учиться, и мне здесь очень нравится.",positive
"


Плюсы:
- Из пар в первом семестре все были очными, кроме физры и лекции по истории в субботу — луч света в мраке дистанционки! 
- Попадались в основном просто замечательные преподаватели, очень приятно слушать человека который увлечён своим предметом
- Были дополнительные семинары по физике для отстающих
- Были дополнительные лекции и семинары по физике и математике для заинтересованных. 
- Не е*** мозги посещаемостью. 
- Дружный студенческий коллектив, сливающий всё что можно сливать :) 
- Хорошая столовая с разнообразной и вкусной едой
- Коррупции не замечено
- Приятная атмосфера нормальных честных людей. 

Минусы:
- Программа не рассчитана на текущее число пар (их ужасно мало, пятидневка по три, не считая дистанционной субботы — в девятом классе блин нагрузка сильнее), лабы по термодинамике начинаются в конце октября — лекции по термодинамике начинаются в конце декабря, лекции по химии тоже не успели полностью прочитать. Соответственно, гонят. 
- Столовая единственная на все корпусы, очереди ужасные. 
- В некоторых корпусах холодно, в других же — адское пекло. Ремонт как в квартире соседей — продолжается бесконечно и ездит по ушам прямо во время занятий.  
- ИТ — просто тихий уж...Показать полностью...ас, в школе, блин, нескольких лет изучения офисного пакета не хватило. Очень важные и нужные уроки по работе с майкрософт павер поинт, никогда же не задавали в школе презентаций, совсем никогда, в первый раз программу видим. Неиронично прочитали лекцию про вебстраницы (и их разнообразие кодировок текста) в сети &quot;Интернет&quot;. 
Было чуть-чуть матлаба, но совсем чуть-чуть, а по хорошему весь семестр из него состоять должен. 

Нейтральное:
- Внутри корпуса, как было замечено до меня, действительно выглядят частенько довольно обшарпанно, но единственный раз, когда это мешало — толстый и неровный слой краски на так-то добротных партах из массива (третий корпус четвёртый этаж), писать контрольные/экзамены неудобно.
- Пары в основном начинаются в 11:40
- Мест много и, соответственно, студенты слабые, практически всем на учёбу откровенно пое**** – но такова природа абсолютно любого студенческого коллектива

В целом — нормальный вуз для нормальных людей. Как в положительном, так и в отрицательном  смысле — если амбиции горят, хочется отдать жизнь за Нерзула (науку там, релокейт) — вам, наверное, не понравится. ",medium
"


Учился на кафедре БТС , являлся иностранным студентом , живу в стране в которой заблокированы многие соц.сети в том числе вк , в котором кидали материалы для дистанционного обучения и лабы. Прилететь так и не удалось. Пытался объяснить ситуацию деканату , но видимо всем фиолетово на иностранных студентов на бюджете и выгоднее было избавиться от меня чем принять мое положение. На дистанционном обучении смог проучиться один семестр (дальше начались проблемы с впнами и ужесточение закона об использовании интернета внутри страны). Дистанционное обучение было ужасным. У некоторых преподавателей не работал интернет и/или они тупо не проводили никаких пар и кидали материалы на почту. В целом приходилось учиться самому ибо никто толком ничего не объяснял. И было сложно с графиком на дистанционке так как часовые пояса сильно отличаются. Еще и некоторые преподаватели требовали качать программы которые не поддерживал мой старенький ноутбук, а на новый средств нет. Жаль что ВУЗ не понимает положение некоторых студентов и просто избавляются от них. ",negative
"


Всем привет! Я студент факультета компьютерных технологий и информатики, по направлению &quot;Прикладная математика и информатика&quot;. В отзыве речь пойдет именно об этом направлении, лишь слегка буду касаться других направлений факультета, т.к. на них не учусь.  

Набравшись опыта и впечатлений за первый курс обучения, я решил поделиться информацией с вами, дорогие абитуриенты, потому что сам помню, как мне было важно узнать как можно больше о вузе и специальности. 

Преподавательский состав сильный, отзывчивый , объясняют все довольно подробно, просят задавать как можно больше вопросов по темам, понимают, что студенты - люди, которые тянутся к знаниям, и относятся к ним уважительно(на парах по программированию и одной из математик обращаются к студентам как &quot;коллеги&quot;, что очень приятно). Никаких предубеждений по поводу пола у преподов нет. Очень хотелось бы отметить, что подавляющее большинство преподавателей молодые и это потрясающе: они говорят со студентами на одном языке, находят контакт и знают, как преподнести материал.  
Про проектную деятельность. После первого же семестра всем желающим предлагали участвовать в проектах по темам ИИ, Web, Роботостроение, Машинн...Показать полностью...ое зрение, Big Data и т.д. - во все проекты готовы принять любого, кто покажет достаточно навыков, либо же освоит их достаточно быстро. Тут действительно много возможностей занять себя и прокачать скиллы.
Отдельно про дисциплины &quot;Программирование&quot; ,&quot;Математика&quot; и &quot;Физика&quot;. Программирование дается с нуля, изучается язык С, вы можете не знать совсем ничего про программирование - вас научат. Также есть &quot;Информатика&quot;, где дают основные понятия в Python, тоже с нуля, тут бояться нечего. Математики на ВСЕМ факультете много, это неизбежно, и это правильно. Физика( Да, к сожалению она тут есть и все ФКТИшники ее не любят, но к большому счастью преподается она всего год и преподы в большинстве понимают, что нам она вообще не интересна и обходятся снисходительно. 
Все корпуса , кроме одного, находятся в одном дворе и не приходится ехать через город на следующую пару, а до отдельного корпуса - 15 минут от главного пешком. Внутри всех корпусов находиться приятно, аудитории светлые, просторные и теплые. Во многих аудиториях(если не во всех) установлены маркерные доски, что очень удобно. И сам двор очень красивый, в общем все условия для учебы.
Про отчисления. С ФКТИ отчисляют, не сомневайтесь, но чтобы вас отчислили, нужно действительно ничего не делать весь семестр. Главное - выполняйте дз в срок, лабораторные в срок и проблем не будет вообще. На хорошие оценки стоит действительно потрудиться, просто так 4 и 5 не ставят.
Общаги выдаются по баллам ЕГЭ после списков зачисления. Кто не получил - становится в очередь и ждет в течение курса. Под ФКТИ давали начиная с 250+-, точно не помню.  Про общаги стоит почитать на сайте, есть как в пешей доступности, так и подальше. Лично меня все бытовые условия в моей общаге устраивают от и до.
Для тех, кто метается между направлениями или кому не хватило баллов до желаемого направления - перевод с бюджета на бюджет возможен,  в рамках факультета академическая разница между предметами минимальная и после первого же семестра можно перевестись на другое направление, если в группах будет место. Направления &quot;Программная инженерия&quot; и &quot;Прикладная математика и информатика&quot; - это группы одного потока, т.е. на первом курсе все дисциплины одинаковые и с одинаковыми лекторами. Перевод с коммерческой основы ,конечно, возможен, но рассказать про него ничего не могу.

Общий вывод - ФКТИ и ЛЭТИ топ. Ни дня не жалел, что поступил сюда и с удовольствие продолжу учиться дальше.  И вам его советую.",positive
"


Всем привет. Разумеется, говорить о ВУЗе и факультете после только первого курса, который к тому же на половину прошёл на дистанционке, не совсем объективно. Но я постараюсь вывести основные моменты, которые могут быть интересны Вам, абитуриентам. Ежели Вы хотите получить более полную инфу от ребят постарше, идите в подслушку, там люди найдутся.
Отзыв нейтрален, хотя, в целом, мне нравится, но, я стараюсь быть объективен, и о минусах скажу тоже.
Так вот, ФЭЛ. 
Начнём с того, что будет вокруг Вас во время учёбы. То бишь, начнём с состоянии самих корпусов. С ремонтом тут всё неоднородно. Есть 6 и 5 корпуса, где глобальных проблем такого рода я не видел, кроме некоторых небольших проблем и чисто архитектурных особенностей, есть 1, 2 и 4 корпуса, где кроме некоторых аудиторий всё, скажем так, плохо, а есть на половину клёвый, а на половину чинящийся третий корпус. В общем, если резюмировать, бабки потихоньку вкладываются. Не так быстро, как хотелось бы, но, в целом, динамика положительная есть. 
Далее, также, смежная сфера, эт расположение корпусов. Корпуса с первого по пятый стоят недалеко от Невы на улице Профессора Попова, в минутах десяти от метро Петроградская. Шестой же, стоит в ...Показать полностью...другой стороне от метро, но тоже по Попова и тоже минутах в десяти-двадцати. Однако слава диспетчерской, тут есть принцип: если у студентов пары в шестом корпусе, они весь день в шестом корпусе. То есть, расписание ставят так, что один день в неделю вы весь день занимаетесь в шестёрке, а не бегаете от первых пяти к нему и обратно. Бегают иногда только преподы, но к ним тоже в этом плане стараются относиться по-человечески. Перерывы, кста, хорошие.
Коли пошли про перерывы, давайте поговорим про поесть. В универе есть столовые. Основные, это в 5 и 3 корпусах. Кормят хорошо, есть выпечка. Ценник, в целом, демократичный, но точно сказать не могу, я брал только выпечку. Была столовка в 6 корпусе ещё, но из-за ковидла её прикрыли. Ну и, в целом, коли местный хавчик вас не устроит, вокруг полно столовых и кафешек городских, времени, если не страдать ерундой, хватит.

Так-с, теперь скажу немного про учёбу. Как говорили при Союзе, как вЛЭТИшь, так и вЛЭТИшь. Иии, да, тут эт, отчасти, справедливо, учится трудновато многим. В целом, должен сказать, что тенденция на ФЭЛе простая: первые два-три года тут вам дают очень много общего, базового материала. В целом, как выразился один выпускник, во время бакалавриата, Вас будут пичкать всевозможными и изуверскими вариантами физики, химии и математики. Вообще, на курсе 13 групп, это около 320 человек. В целом, реализуются, по крайней мере, до недавнего времени так было, две специальности. В наборе 2021, как я понял, электронику и наноэлектронику рассобачили на 4 направления. Но это сути не меняет, первые два года на всём факультете одни и те же. Электроники вы или нанотехнологии изучаете, вообще без разницы, учите вы одно и то же: матан, физика, химия, кванты, алгебра и геометрия, мат статистика, методы матфиза, материалы электротехники, её же компоненты, тоэ, всякая экономика и история и так далее. Единственное возможное отличие, это что есть два потока по 160 человек. На разных потоках лекции ведут разные преподы, что порой чутка влияет.
Далее, поговорим о самих препода. Они тут разные. Есть очень хорошие, есть с прибабахом. В целом, особенно много приколов происходит на кафедре шизики, ой, простите, физики. Есть тут преподы-зайки, вроде А. Л. П********** или О. А. А********, которые всегда помогут и которым даже в вк можно написать с вопросом каким-нибудь. Но порой случаются преподы, вроде, Н. Л*****, которые являются явными сексистами и неприятными личностями, всеми силами старающиеся не принять лабы, но даже у них, будучи в опале, можно неплохо сдавать работы и всё успевать. На других кафедрах, с которыми вы будете работать, в основном, преподы нормальные, не злые. Могут быть очень строгими, но как люди, нормальными. И если на таких вот кадров с явными проблемами в мировосприятии не налетать, то будет у вас всё хорошо. Если вы не будете откровенным мудакам и лентяем, преподы с радостью пойдут на встречу, помогут, объяснят, поддержат, порой они могли позволить дерзость раскрыть нам инсайд инфу, например, как лучше общаться со сложными преподами. Порой они даже рады, если студенты просвляют интерес и пытаются понять то, чего не поняли. 
С точки зрения квалификации, здесь работают знатоки своего дела. Порой они, правда, не очень понятны для студентов, специфичны, забывают, что перваши ещё не успели толком обвыкнуться, но к этому надо просто привыкнуть. 

К вопросу о привыкнуть, очень хорошо помогают многие старшекурсники. Сливают лабы прошлых лет, методички и учебники, помогают решать сложные задачи, помогают общаться с проблемным преподами, дают советы по тому, что и как делать. В этом году, даже выкатили методу своего сочинения с азами, которые помогут первокурснику. Кроме того, к каждой группе прилеплен студент-куратор из числа ребят 2 и выше курсов, который обязан помогать студентам обживаться в университете. Да, не всем на них везёт, но, в основном, реально помогают. Иногда даже помогают кураторы других групп.

Ну и коль перешли к организациям, пара слов об внеучебке и администрации.
Вот тут начинаются приколы. Работает администрация по-разному. Порой не могут нормально сделать справку о, том, что ты учишься в универе. Порой могут ошибиться в очень глупых вещах. Деканат ФЭЛа, вещь довольно лютая, должников, кто просрал все полимеры, могут запросто отчислить. Да, порой с кучей долгов, при наличии должного везения можно крутиться довольно долго, но это редкость, хоть деканат и тянет сроки порой, среди всех факультетов, терпение у фэловского кончается быстрее всех.
Всякие студ организации есть. Есть студ отряды, студсовет, те же кураторы, театралка, КВН, конференции и прочее и прочее и прочее. Кроме того, на физре (она обязательна) секции идут по выбору: офп, кочалка, волейбол, аэробика, скалолазка и тд. Оборудование для этих занятий есть. И на некоторые секции даже есть нормативы.

Если резюмировать: баллы на ФЭЛ в прошлые года не очень высокие, но это не значит, что тут ваще расслабон и кайф. В течение сема, может быть, но потооооом. Поэтому, если не быковать, не лезть в конфликт, не страдать фигнёй всё время, а хоть немного стараться, то на 3 можно закрыться спокойно. На 4 уже надо трудиться. 
В общем, совет такой: не ленитесь и учтите, что фэл, это хорошее, но не не идеальное место и поэтому надо просто понять, как возникающие проблемы решать или обходить. 

Всем спасибо за внимание. ",medium
"


Всем привет, я окончил 2 курс ФКТИ (ИСиТ), и хочу рассказать абитуриентам, что их ждёт в ближайшем будущем.

Жить вы, скорее всего, будете недалеко от универа. Общаги хорошие. Большинство преподов классные, но тут как повезёт.
Зачёты тут дифференцированные, т.е с оценкой, так что стипендию вы вряд ли сохраните. Корпуса все рядом, почти все в хорошем состоянии. Из негатива: К******* уже хочет вас отчислить, попадаются отвратительные преподы (хотя так бывает в любом универе), много бесполезных непрофильных предметов (закрыть их изи), физика весь первый курс (это ад). Больше ниче плохого вспомнить не смог. 

Про физру, тут можно выбрать любую секцию (волейбол, баскетбол, атлетика, плавание) и ходить туда. Так что будет интересно.

В ЛЭТИ, как и почти любом универе, из вас не сделают разработчика. Поначалу вас будут кормить большим количеством математики и непрофильных предметов, всё это нужно просто пережить. Программирования будет меньше чем хотелось бы, так что готовьтесь прогать сами - и это нормально. Из языков программирования: на 1 курсе у вас будет или питон+си, или плюсы. Дальше джава или сишарп. Курсачи по проге на 1 курсе будут каждый семестр, и обычно они интересные.

Вкрат...Показать полностью...це, если хотите много ботать и стрессовать, для вас ОК не иметь свободного времени, для вас не проблема ~50 минут ежедневно ездить до универа и обратно в общагу (не касается БВИшников и платников), вы хотите пользоваться развитой экосистемой универа (и хотите чтобы универ вам нашел хорошую стажировку) -- вам на хорошие программы в ИТМО. Да и вообще в ИТМО намного больше проги, если у вас завышенные ожидания от универа, то поступайте туда (хотя все равно ботать всё придется самим, универ вас будет направлять и контролировать).

С другой стороны, есть ЛЭТИ, где пары зачастую начинаются в 11:35+ (это круто), где у вас будет меньше проги на первых курсах, но и общая нагрузка будет не такой большой -&gt; можно одновременно жить студенческой жизнью (бухать), учиться в универе и ботать самостоятельно. В ЛЭТИ реально много возможностей, и если вы не собираетесь просто плыть по течению, а хотите искать для себя что-то интересное и постоянно развиваться -- вы получите от этого университета всё, что вам нужно, главное искать. Так что если вы хотите ботать сами и иметь свободное время, ЛЭТИ классный выбор.

Но только не думайте что здесь изи, все-таки всё зависит от направления, преподавателей и вашего довузовского уровня подготовки.
А если будете забивать на учебу, отлетите. Особенно на ПИ/ПМИ.
Пока я не жалею, что поступил сюда.",positive
"


Я поступила на бакалавриат направления &quot;Информатика и вычислительная техника&quot; на очную форму обучения. Но, проучившись полтора курса, приняла решение отчислиться. Изначально писать слив о вузе не планировала.Однако была очень озадачена &quot;зеленой меткой&quot; и званием лучший вуз 2021 года по версии данного сайта.
Хочу обозначить проблемы, на которые наткнулась я. Начну с лайтового. Ну, во-первых, мне не очень нравилось учиться во &quot;вторую смену&quot;. Пары начинались в 11:40 и нередко заканчивались в семь вечера. Думаю, многие согласятся, что при таком расписании, день идет &quot;на минус&quot;.
Далее. Физкультура тут два раза в неделю и ходить на нее обязательно. Больше двух пропусков нужно отрабатывать. 
Еще один прикол данного вуза - все зачеты дифференцированные. То есть с оценкой. Не знаю, зачем так сделано. Видимо, чтобы сложнее было сохранить стипендию и платникам перевестись на бюджет.
Также хочу отметить обустройство и расположение. Как уже сказали многие, ремонт здесь плохой,стены обшарпанные. Но когда я уходила, вроде начали проводиться какие-то работы, как сейчас - не знаю. В библиотеке нет новых хороших учебников по специальности. 
Все корпуса располо...Показать полностью...жены в одном месте, поэтому от пары к паре придется ходить по улице в разные здания. Универ находится в десяти минутах от метро. По-началу норм, но со временем начинает з*******ь. 
Преподаватели и администрация. С хамским отношением я столкнулась еще в августе. На вступительном собрании проводившая его женщина из деканата общалась с нами как с птушниками. Ну ладно, думаю я, в семье не без урода. Но каково было мое удивление, когда я узнала, что для лэти такое отношение - обычное дело. Половина работающих здесь это маразматики с высоким самомнением и желанием унижать всех и вся. Постоянные упражнения в юморе, нелепые насмешки над студентами, самолюбование, удаления с пар. Однажды я имела наглость не посмеяться над шуткой одной молодой преподавательницы, и она заставила меня об этом сильно пожалеть. Администрация ничем не лучше. Каждый раз при посещении деканата приходилось &quot;отплясывать&quot;. И вообще, обращаясь к кому-то с вопросом/просьбой, я всегда говорила себе &quot;тебе будет больно, но ты должна улыбаться&quot;.  
Всеми обожаемый Ж******* А.В. не пришел на пересдачу, которая стояла у него в расписании. Я ждала его два часа, а когда все-таки нашла, он начал на меня кричать, говоря, что ему надо кого-то забрать из ментовки (а я-то тут причем, А?). В итоге сходила на пересдачу пять раз (задал задачку, которую не смог решить никто из моей группы). На пятый раз он-таки поставил мне тройку, но только после того, как я по его просьбе согласилась с тем, что я тупая баба. Заявление на него я писать не стала, он там явно человек не последний, с К********* А.С. дружит, а значит они этим моим заявлением просто подотрут себе ж***. Ну хотя бы узнаете вы. (Кстати, когда отчислялась, оказалось, что тройку он мне поставил на &quot;дне качества&quot;, видимо, просто помучить хотел)
Также непонятно зачем программистам так много физики, но эта тема уже вроде как обсосана. 
ЕДИНСТВЕННЫЙ плюс этого вуза - столовые. Они есть в каждом корпусе, с большим ассортиментом и адекватными ценами. 
***
Лучший вуз 2021 года? Нуу, для любителей БДСМ, наверное, подойдет...
Хорошо подумайте прежде чем сюда поступать. А если вы девочка - подумайте вдвойне. Чмор будет идти не только со стороны преподавателей, но и со стороны одногруппников (ну тут кому как повезет, конечно). Здесь самый первый отзыв - стишок, в котором четко видна мизогиния, и все его лайкают. Это как нельзя лучше отражает отношение к женскому полу в этом вузе. Любая девушка здесь априори тупая п****, и чтобы доказать обратное нужно очень сильно постараться. 

Все. У меня все. Спасибо, что прочитали! Никого не хотела обидеть! Всем добра! ",negative
"


Привет, читатель сайта отзывов! Ищешь лучший ВУЗ, который позволит тебе стать крутым программистом? Тебе точно не в ЛЭТИ, сейчас расскажу почему.

Когда я выбирал этот ВУЗ из других, прочел очень много восхищенных отзывов о ЛЭТИ на данном сайте, поэтому теперь хочу предостеречь тебя от моих ошибок:

1. По всем предметам предполагается наличие фундаментальных знаний, тонкости на парах рассматриваться не будут.
2. Физики и математики настолько много, что в какой-то момент у тебя точно появится ощущение, что ты поступил на физмат.
3. Будут ли на парах качественно объяснять весь огромный объем информации по физике и математике? Посмотри п.1, верный ответ - нет, не будут. Думаешь, спасут преподаватели? Тоже нет, так как будут объяснять непонятно и слишком уныло.
4. Может быть все круто с программированием? Увы, нет: преподаватели рассказывают материалы из книги, которая не рассчитана на уровень новичков, которые только знакомятся с азами.
5. Информатика? Новый уровень дна: у тебя не будет занятий от слова совсем, но при этом будут требовать лабораторные работы.
6. Английский язык? Перевод бесполезных текстов и заучивание бессмысленных предложений для хорошей оценки.
7. Выгодно выделяютс...Показать полностью...я на фоне остальных предметов практические занятия преподавателя по философии, однако нет никаких гарантий, что эти знания повлияют на что-то кроме расширения кругозора.
8. У некоторых преподавателей очевидно нет желания обучать студентов, либо они испытывают явную антипатию к ним.

Возможно, после прочтения моего отзыва ты скажешь: «Вздор, я только что прочёл массу положительных отзывов». Согласен, я бы тоже сомневался, но разве есть причины порицать ЛЭТИ необоснованно? На данную секунду я обучаюсь в другом университете, и нет, там не лучше, но там легче. Также хотелось бы сказать, чтобы ты не обольщался и изучал языки программирования самостоятельно, ибо университет никогда не сделает это за тебя. Выбор за тобой, а я добавлю, что обучение в ЛЭТИ для меня лично не стоило тех усилий, которые были затрачены на поступление.",negative
