Text,Mark
"


Сразу предупреждаю, что речь идёт только про ИБ (информационная безопасность). Каково дышится на других направлениях известно только на уровне &quot;тут говорят, что...&quot;, на истинность не претендует, соответственно.

Поступить посчастливилось (нет) в ту эру, когда из ныне новых республик в составе одного государства брали без вступительных, соответственно, подобного контингента стало больше, а проблемы приехали с их чемоданами. Были ли они переведены на бюджет после сентября или же на платную основу, одному деканату известно. 

Начнем с хорошего (опуская рекламные и расхваливающие пункты от имени самого вуза и/или партнёров).

+ Новое здание. Если сравнивать с некоторыми другими вузами, сам корпус отремонтирован, бумага (почти всегда) в туалетах есть (правда как обстоят дела в туалетах другого пола не в курсе, возможности это проверить лично нет, сами знаете почему).
+ Техническое оснащение неплохое, могло быть и хуже, сочту за плюс.

Дальше - больше. Плюсы закончились как таковые.

± Преподаватели. Могут попасться как и боги своего дела, так и редкостные персонажи (передаю привет математике). Некоторые демонстративно кладут всё, что на теле и рядом на предмет и преподавание в...Показать полностью...виду их высокого (нет) заработка - часть преподавателей в открытую заявляет, что им мало платят. В рамках одного предмета одной группе может попасться хороший преподаватель, а другой нет. Может быть отличный семинарист и посредственные лекторы (по одному из профильных предметов за семестр была смена около 7 лекторов, подачу материала оцените сами от &quot;какой материал?&quot; до &quot;что такое ИБ&quot;, хотя предмет вообще не про это).
± Материал. Зависит от преподавателя, причем сильно. По питону нет лекций, будьте готовы к этому - солидные части групп стабильно идут на пересдачу. Что-то вам будут давать изучать самостоятельно, игнорируя наличия лекций по предмету. Где-то будет редкостный маразм, как на иностранном языке (английский в 99% случаев), один из учебников был написан в середине нулевых, КПК вообще лучшая вещь на сегодняшний день, так же в учебнике написано.
± Старосты. Могут у вас выбрать как нормального человека, так и прогульщика или приезжих из новых республик. Отношение от них разное - с кем-то сдружитесь, а кто-то будет пытаться выжать. Как было понято, старост может сменить только деканат и только при той причине, которую замять невозможно. 
± Общаги. Как говорят злые языки, вам могут попасться как крутые ребята, так и гарпии. А ещё злые языки нашептали, что всего было выделено 1300 с копеечкой мест, из которых поступающим по ЕГЭ только 120. Господам иногородним стоит приготовиться к снятию жилья.

Самое сладкое - минусы.

- Деканат. Поставили нового куратора на направление, которая умеет разве что читать (и то, не до конца, но давайте хоть чему-то радоваться). Сам же деканат не горит решением решать проблемы, их это не интересует. И вообще, это у вас проблемы, сходите к психологу (которого нет в нашем корпусе, самый ближайший у юристов на Семёновской).
- Клиника. Забудьте о ней и сходите в государственную, не тратьте время и деньги, оно того вообще не стоит. Вам вынесут мозг и потребуют заплатить, не повторяйте чужих ошибок.
- Сайт (пресловутый орг фа ру). Лежит лучше вещей, спасибо битриксу как базе. В целом платформа бесполезна.
- Антиплагиат. Есть 20 попыток, куда эссе посадишь, куда статью положишь? Работает на уровне пресловутого сайта выше, будучи на его базе.
- Локация. При выходе из метро Рязанский проспект встретят выпускники сего места (как было услышано из туалета двумя этажами ниже, достоверность оценивайте сами). Вас будут будить составы напротив, из всеми обожаемого и легендарного Выхино, если едете из центра. Ну а если с юга, вас разбудит всё Выхино. Хоть корпус и рядом с метро, локация оч сомнительная, ехать далеко всем, вплоть до 2+ часов в один конец.
- Расписание. Противное, неприятное. Могут поставить пары с утра до вечера, а препод может не предупредить и не прийти. Готовьтесь заниматься другими делами, особенно на лекциях, если не экзаменационный предмет. По рассказам посещающих все пары, с начала сентября до декабря количество свободных мест на лекциях увеличилось с 0% вплоть до 80-85%. Не все преподаватели отмечают посещаемость, что ожидаемо.
- Баллы. Казалось бы, вот он, лежит на сайте университета регламент оценивания различного типа работ, вот он, родненький. Забудьте. Преподаватели его игнорируют (иногда это к лучшему, но в 90% случаев скатывается в лотерею Спортлото, где шансы выиграть миллион выше, чем узнать свои баллы). Не все дают посмотреть свои бумажки-файлики-блокнотики-таблички с баллами. Да, кто-то даст даже сфотографировать, а кто-то всеми правдами и неправдами будет тянуть до последнего семинара, чтобы усложнить жизнь и порадовать себя любимого. Птички нашептали, что некоторые преподаватели ещё и не все баллы выставляют и не говорят об этом.
- Регламенты. Как и с прошлым пунктом, забудьте. Вы можете получить выговор за внешний вид, даже если одеты с бумажки и иголочки. А можете и не получить, если придёте в шортах (формально - нельзя, фактически - как показывали злые языки, всем равнодушно). То же самое к курению - могут поймать и запугать отчислением, а могут и &quot;ну курят и курят, что бубнить то&quot;. Вплоть до парения в аудиториях.
- Хамство. Везде и всюду! Вы можете быть с обедом в руках, вас увидят и хлопнуть перед вами дверью, дабы всё улетело по mgh. А можете попросить преподавателя на вас не орать, если это нарушает ваши границы, а в ответ получить стопку хамства в подарок. Добрая часть преподавательского состава обожает поговорить про их молодость в столице бывшей республики СССР, работу мужа в одном из самых худших вузов страны по версии Табитуриента, внуков, какие они героини с временем сна в 4 часа и далее по списку. Словно каждый из них это Тони Старк - гений, миллиардер, плейбой, филантроп. Если вас дико тошнит со скотского отношения, вам будет тут плохо. Либо ставьте их на место и получите презрение со всех сторон в ваш адрес, это уже на ваше усмотрение.
- Мало заинтересованных студентов. Как нашептали злые языки с туалета двумя этажами ниже, многие здесь либо случайно (не знали (как???) как работает система приоритетов при поступлении), либо думали, что то же самое, что и ПИ, ИД и ПМ. Целенаправленно на ИБ со всего потока в 200+ человек идут в пределах 10 человек.
- Студсовет. Ходит слух, что туда берут только своих и в прошлый набор туда попали преимущественно с БИ. Ещё ходит слух, что им можно курить и пить прямо в своей коморке с балконом (кхм, прошу прощения, в &quot;кабинете&quot;). Формально этого делать нельзя, но, оно есть. Какие такие регламенты, верно? Ладно если ещё что-то делалось, но нет, паблики с мемами важнее решения проблем.

Итог: стоит ли идти? Если не хотите шибко напрягаться и готовы ходить для галочки, чтобы по итогу учить всё самому - да. Всё будет лично зависеть от преподавателей, одной группе может быть и хорошо, а другой нет. По заветам злых языков с более старших курсов, ищите работу, учебы будет не очень много.",medium
"


Если вы абитуриент, который тщательно выбирает и читает отзывы - пожалуйста, прочтите!
Я также, как и вы, выбирала и также, как и вы, надеялась получить хорошее образование. 
Немного обо мне: красный диплом в школе, бюджет на «пристежном факультете, так что можете довериться нижеизложенным наблюдениям.

Плюсы:
Есть возможность найти хорошую стажировку, порой даже облегчают отбор, потому что, как было сказано ранее, «ФУ - это бренд».

Минусы:
1) абсолютно наплевательское отношение менеджмента университета как к студентам, так и к преподавателям. Далее подробнее:

- с недавних пор расписание составляет человек, который может спокойно поставить группе пары до 22:00 в пятницу, с 8:30 в субботу, окно в пять часов в субботу и, как итог, освободитесь вы в субботу в 20:35 вечера. Это реальный пример из жизни студентов 4 курса, который вы сами можете наблюдать, полистав расписание на сайте Ruz.fa.ru
«А как же попросить переставить?», спросите вы. Ответ найдете в заголовке данного пункта - всем пле-вать. Никто не пойдет вам навстречу. И ДАЖЕ ПРЕПОДАВАТЕЛЯМ, порой, не идут навстречу.  

- преподавательский состав.
Порой кажется, что 50% педагогов даже не имеют профильного образования и попада...Показать полностью...ют в вуз… а вот интересно даже, как?!  Например, преподаватель информатики абсолютно спокойно снизит вам баллы за то, что ей не понравятся цвета в таблице excel (ведь содержание Н. не понимает, видимо) или скинет ссылку на консультацию фотографией :)
Еще доле преподавателей порядком надоело отношение к ним со стороны менеджмента: они либо увольняются в середине семестра, либо просто забивают на предмет и приходят, чтобы отсидеться.

 2) Излишнее внимание к посещаемости. Как известно, часто в вузах политика такова, что главное знание, а не посещение лекций. Ведь многие работают параллельно с учебной деятельностью, а кто-то предпочитает изучать материал самостоятельно (что порой эффективнее). Так вот, тут вам могут отчислить. Или занизить баллы. Даже если экзамен сдадите хорошо.

3) с каждым годом количество студентов увеличивается, а вот количество аудиторий - нет. Отсюда, частично, проблемы с расписанием. С утра по ночь вуз похож на муравьиный рой. Не хватает преподавателей, очереди в столовые и буфеты - огромные, о комфорте можно забыть. 

Пожалуйста, уважаемый абитуриент, не совершай эту ошибку.",negative
"


Итак-с, начнем. Отзыв будет скорее негативным - потому что плюсы обучения и так льются из каждого утюга, но для объективности они тоже будут. 

Плюсы:
1. Финашка котируется как бренд, некоторые работодатели - особенно если обучение было по профилю -  готовы брать на работу даже если нет вообще никакого опыта, а в аттестате троек больше, чем четверок и пятерок. Еще раз - это правило не железное, но в целом диплом финашки все еще не равнозначен туалетной бумаге. 

Плюсы кончились. Поехали дальше. 

+-:
1. Качество обучения сильно, ОЧЕНЬ сильно зависит от факультета и набора преподавательского состава. На одной кафедре могут работать как и реальные специалисты, которые желают доносить до молодежи информацию и вырастить из них достойную смену, так и какие-то совсем откровенные чудаки на букву &quot;м&quot;, которые вообще ничего не понимают по предмету, в обучении студентов интереса не имеют и вообще смысл их существования бывает неясен. Почему так - сие тайна великая есть.  

2. Здания, корпуса, общежития, технологическое оснащение. В целом - хорошо. Есть старенькие корпуса, как на ВДНХ, например, но он постепенно становится административным, на Аэропорту вообще все по высшему разряду...Показать полностью..., хотя &quot;главный&quot; корпус иногда выглядит потрепанным. На Китай-Городе и Семеновской корпуса тоже вполне себе ничего. Из потешного - в новых корпусах ставят камеры в аудиториях, чтобы Большой Брат мог бдить и карать. Общежития же разнятся - есть и хорошие, есть и весьма посредственные, НО тут я сразу отмечу, что сам никогда там не обитал и информацию знаю из таких авторитетных источников как &quot;мой кореш жил и видел&quot;, &quot;вот фото снятое на картошку&quot; и &quot;ну зуб даю так и было&quot;, посему на истинность не претендую. Из достоверного известно, что очереди идут от входа и до обеда, мест не всегда хватает и общагу могут дать где-то около Кудыкиной Горы, откуда до вуза добираться три дня на оленях или час-полтора на метро. 

Переходим к вкусному - ненависти, и, конечно же, лживым манипуляциям и передергиваниям с целью очернить сию замечательную шарагу.

Минусы:
1. На Аэропорту просто наглухо перекрытая охрана/служба безопасности/называйте как хотите. Её ГлавНачПупс Г****в был выращен в пробирке британскими учеными для наглядной иллюстрации синдрома вахтера. Не сдал пальто в гардероб? Получай тыканье, попытки затащить в служебное помещение и угрозы отчислением. Нехорошие, злые языки говорят о случаях использования передних конечностей в качестве тупого тяжелого предмета - но тут свечку не держал, мало ли что там студенты в столовке придумали. 
2. Гашеные в известь работники деканатов. Ковровые бомбардировки выговорами за всякую херомантию - ваш покорный слуга сам чуть не получил один за ношение кроссовок фирмы Найк в неположенном месте - а именно в коридоре напротив деканата. Иногда выговоры даются для того, чтобы слишком рвущийся и стремящийся к бюджету студент получил детородный орган в качестве утешительного приза. Иногда, раз в тысячу лет, когда Юпитер в зоне Водолея, а Меркурий в третьем доме, устраиваются облавы на курильщиков - ибо курят прямо перед входом, что формально нельзя. Получение справок - цирк, так как ввели новую, цифровую форму подачи заявлений, правда с условием, что она может и не работать и заявление отправляется не в деканат, а сразу в Спортлото. 
Расписание иногда составляется левой пяткой, отчего можно получить трехчасовое окно и шестую пару. 
3. Отдельно про расписание, а вернее про посещаемость - сюрреалистичность ситуации заключается в том, что выговор выдается (вернее выдавался, может чего и поменялось) за 10 академчасов за полсеместра. Три выговора - отчисление. Одел кроссовки, покурил где не положено и пропустил два дня обучения - можешь собирать манатки. Интереса у деканата и тем более ректората как-то разрешать ситуацию в пользу студента нет, апеллировать к чему-либо смысла тоже нет. 
При этом у работников деканата где-то припрятан вечный двигатель маразма - при каждом удобном случае они напоминают, что студент может пойти работать и стажироваться, де-очень важно. При этом за отсутствие на парах по причине работы/стажировки все еще приводит к получению выговора. Как так? Да вот так. 
4. Балльная система. Оооооо, баллы мои баллы. Грызня за каждую презентацию в чятике группы - они же БАЛЛЫ дают - гарантирована. К слову о презентациях - это основной способ получения этих самых баллов. К слову, за недобор баллов в период аттестации тоже, не поверите, выговор. Поэтому клепать шаблонные презы вы будете, и будете это делать по каждому из предметов, и не раз, и не два, и даже не три. Автор сего текста сам недавно несколько гигабайт презентаций удалил с жесткого диска - и это только те, которые он делал не в составе группы.  Еще действенным методом получения аттестаций является написание платных для студента (а вы как думали?) статей в местные новучные журналы. Но автор этим не грешил и вам не советует - деньги можно потратить на более важные и полезные дела, например на дегустацию всех сортов пенного разливного из районной &quot;наливайки&quot;. Не шутка. 
5. Студсовет, активности и прочее. Натуральное ублюдство - студсовет является абсолютно фиктивной структурой, которая клепает урапатриотичные мероприятия - Финашка то, Финашка се, ректор вообще третий после Бога и второй после Августейшего и Солнцеподобного. Чего-чего? Защищать права студентов? Не, это вы сами, мы лучше красивый постер нарисуем и смищных мемов туда наклеим. Пропихивание студентов на всякие конкурсы, викторины и так далее происходит только через демонстрацию сочного пряника в виде аттестационных баллов по околопрофильному предмету - все-таки большая часть студентов не являются клиническими идиотами и свое время ценят. 

Теперь пройдемся по моему родному факультету ГУиФК, которого нынче уже и нет - переформирование-с. 
В целом - учат катать квадратное и носить круглое. Театр абсурда подкрепляет крепкий и уверенный в себе педсостав, который готов выделывать невероятные кренделя. Некая гражданка А., например, завела себе карманную секту, в которую вербует студентов. Более комичного сброда представить сложно - от откровенных дегроидов, которые идут туда ради протекции (госпожа А. без вазелина будет своих двигать по всем предметам, умасливая преподов, чтобы те ставили пятерки и зачеты, ведь чадо под её крылом) до просто лизоблюдов. Некоторые доходят до того, что угрожают (ни разу не шутка и не сгущение красок) за нелестные отзывы о данной организации физической расправой. Из реальных заслуг данной, так сказать, группы лиц только генерация лулзов. Поборы, разумеется, также присутствуют - для общего же дела, например шторы новые заказать, да обязательно с логотипом организации. Предмет же, который ведет данный персонаж, носит название &quot;введение в специальность&quot;. Введение заключается в разучивании гимна РФ и неспешным разговорам за нелегкую, но очень плодотворную работу гражданки А. Что за специальность? А вам какая разница?

Другая гражданка, теперь уже Б. имеет привычку звонить старостам вечером, чтобы поговорить за жизнь туманную и кашу манную. На парах может происходить ад и Израиль, черт ногу сломит разобраться в том, что она там преподает. Имеет привычку сразу выделять любимчиков не нелюбимчиков - можно первую аттестацию поработать и дальше спокойно ловить чилл, получая все такие же высокие аттестационные баллы с пометкой &quot;ставлю авансом, потому что очевиден спад&quot;. Если же ситуация обратная - Бог в помощь, рефераты пишете да статьи публикуйте, авось через цитирование лежит путь к сердцу данной особы. 

Гражданка же П, которая является ответственным за всю околоновучную работу студентов, очень любит превращать свои лекции в фарс и водевиль, рассказывая про нелегкую жизнь толстых полицейских Сеула. Семинары, что характерно, являются, наверное, самыми полезными за все время обучения, так как реально связаны с разбором кейсов и анализом управленческих решений. Биполяр_очка. 

Отмечу наличие полоумных дедков, которые искренне считают, что сталинская конституция единственно верная и самая лучшая, а все остальное - заговор буржуазных жидомассонов, которые мечтали разрушить счастливые будни колхозников. Сюр? Сюр. Фарс? Фарс. Планка держится, марка качества не испорчена.  

Отдельно выделю иностранный язык - он же английский. Черт знает что. Если бы не моя постоянная практика я бы сильно сдеградировал и просто бы растерял все навыки. Большая часть однокурсников язык знали на уровне &quot;ландан из зе кепитал оф грейт британ&quot; и читали по слогам. Ни о каком повышении уровня языка, соответственно, речи идти тут не может - преподаватель просто вынужден подстраиваться под большинство, которое с трудом понимает даже непрофильные текста. Из плюсов - да, идет обучение профильному вокабуляру. 

За 4 года платного обучения я узнал, как можно курить взатяг две сигареты за раз, познакомился с продуктами армянского виноделия и научился мастерски клепать презентации по шаблону, из знаний для профессии я больше получил от самостоятельного изучения законов и правоприменительной практики. А, ну и бухучет пригодился, когда подрабатывал летом. При этом отмечу, что в принципе дают какие-то базовые знания по множеству дисциплин - просто толку от того, что студент знает немного обо всем нет, так как просто не существует должности &quot;ответственный за все ответственное и важное&quot;, поэтому магистратура тут является просто вынужденной мерой, чтобы получить углубленные знания и хоть какую-то специализацию. Тут плотный привет летит минобру, который в душе не чает, что такое болонская система и с чем её нужно употреблять. 

Суммируя: 
ВУЗ не самый плохой, есть всякие там РГСУ, Синергии и прочие РГГУ, но самомнения много, пафоса тоже завезли, а вот реального качества уже не осталось. Тут еще проблемой является и то, что финашку много раз сливали вместе с какими-то мусорными шарагами, отчего общее качество как абитуриентов со студентами, так и преподавательского состава. Стоит ли обучение своих денег? Сами решайте, голова на плечах вроде как у вас есть, но по моему скромному мнению - не очень. Если поступаете на бюджет через олимпиады (а финашка набирает олимпиадников только в путь, можете хоть олимпиаду детского сада &quot;Медвежонок&quot; выиграть - главное, чтобы была грамота), то может и будет профит в виде как минимум бесконечного числа баек, историй и притч различной степени поучительности, плюс станете уверенным пользователем павер поинта. Обучаться вы должны исключительно сами, не будете этого делать - просто сдеграднете. 
Короче, не так хороша финашка, как ее малюют. И не слушайте бредни про Силуановых, Голиковых и прочих - они появляются в вузе только под парад планет и никаких лекций не читают. Всем мир.
",negative
"


Отзыв будет носить скорее положительный характер.Закончил первый курс очно-заочного. Несмотря на вечерний статус обучения пары проходят часто 5 раз в неделю. С одной стороны это хорошо, а с другой объем материала почти такой же как на очке, но пар все равно меньше и приходится больше читать и учить самому в свободное время, которого конечно же не хватает. По состоянию корпуса: Китай-город, 3 минуты ходьбы от метро, сейчас там ремонт, но и до этого было более-менее опрятное, представительное здание, что внутри, что снаружи. Аудитории хорошие,отремонтированные. В кабинетах информатики компы вроде бы неплохие, хотя иногда дают сбой,но очень редко(1 раз, на моей памяти, за год). Есть столовая на нулевом этаже, буфет на первом и на третьем , и несколько автоматов с кофе и шоколадками,чипсами и т.д. На нулевом этаже спортивный зал,но там не был, сказать ничего не могу про него. По учебе, делим впечатления от первого и второго семестра. Так как вечерка,все  преподы обычно говорят:вы и так загружены, тяжело учится вечером,с 7 до 10, поэтому спрашивать с вас очень-очень строго мы не будем. В целом, лояльность преподавателей к вечерникам это хорошо, на многое закрывают глаза, потому что дейс...Показать полностью...твительно и им и нам тяжело,но учение-свет, а неучение сами знаете.Но кстати был один препод, который отправил многих на пересдачу.И смешно ,что он вел у нас историю, ну совершенно непрофильный предмет,но это единственный такой кадр.О сессии расскажу чуть позже. Первый семестр: микра, менеджмент, право-классные преподаватели, очень добрые,лояльные, интересно преподносящие материал, на экзаменах и зачетах максимально старались вытянуть студентов. Особенно по менеджменту низкий поклон А********* О.В- лекции без чтения совершенно, всегда материал от себя, каждый семинар опрос по пройденным темам, и интересные кейсы. Понравился еще тренинг командообразования: поближе познакомились с группой, сняли барьеры стеснительности и страх публичных выступлений, полезный предмет. Было 2 пары истории ФУ, зачет сдали без проблем, это скорее номинальный предмет, и его сдают все. Физра тоже самое. 51 балл для зачета ставят всем. Кстати БРС в финашке, хорошая вещь, нужен зачет, можно не париться и спокойно набрать 51 балл для аттестации. Но если важен рейтинг нужно будет поднапрячься. На экзаменах уже другое, там для оценки 5 тоже нужно стараться сильно(с 86 баллов пятерка , разбалловка 20+20+60(экзамен).По математике повезло с преподавателем, объясняла конечно не очень, но постоянно делала акцент на то что мы вечерники, зачет и экзамен во втором семестре легко сдали все. Инфа тоже смешно, большинство пар с дедом про политику говорили,инопланетян и т.д. Если хорошо с ним общаешься, пары не пропускаешь, зачет с закрытыми глазами поставит. Работ много письменных, оригинальность высокая должна быть, рефераты и т.д. Домашки тоже много, сидишь карпишь для хороших баллов в выходные. Сессия как я же говорил прошла вроде без напрягов, опять же из-за лояльности к вечерникам, кстати все экзы письменные, что убирает фактор волнения. Задания на экзах по сложности (8 из 10). Списать сложно, но реально, опять же за очниками следят намного больше по рассказам, там сессия тяжелее. Многих кстати отчислили из-за информатики(деду не понравились ахахха). 2 семестр мне показался чуть слабее. История эк учений, логика, политология-молодые преподы, глаза горят, интересно слушать и дискутировать. Философия, микра-бабушки, на семинарах почти всегда чтение презентаций, на экзамене благополучно все скатали. Международные эк.отношения-вроде интересно, тем кто политику любит, но много вещей наподобие&quot;Италия без нашего газа в лаптях ходить будет, Болгария всем СССР обязана, они без нашей нефти загнутся и т.п&quot;. Это немного надоедало, но было весело.БЖД-было 2 семинара, сдали не парясь все на 90+.Смысл валить по таким предметам нулевой. Английский вроде неплохой, подтянуть можно на парах,именно по экономическим терминам, но опять же 2 раза в 2 недели,ну куда уж там сильно что-то улучшить можно за такой короткий срок. В общем по сложности обучения 6-7 из 10 на 1 курсе. Не трудно, но и пинать болт тоже не получится. За посещаемостью следят жестко, даже у вечерки. Деканатскую проверку если пропустил 3 раза выговор, вплоть до отчисления. Нескольких из-за этого отчислили вроде, точно не могу сказать. Контингент в целом разнородный, но на вечерке много людей 21+ , то есть уже взрослых, решивших так сказать начать обучение в уже не самом раннем возрасте. Но это не мешает нам хорошо общаться. Коворкинг есть на 2 этаже прикольный. Что еще? Всякие плюшки от финашки- все для очников, вечерку всегда обделяют, не льгот проездных , не стипендии. На встречу с Силуановым кстати можно приходить всем, да и в целом участвовать в подобного рода мероприятиях таких как конференции и т.д. Так что не совсем обделяют. С трудоустройством пока тяжело сказать помогает вуз или нет,все-таки только 2 курс будет ,знаю что только что дейсвительно плотно сотрудничает финашка с большой четверкой, ВТБ, Минфином и Казначейством. Многие там практику проходят. Но поживем увидим. Военки нет для вечерников, придется побегать от военкомата. Хотя многие это успешно делают и не заморачиваются. Мне повезло с группой-ребята компанейские много раз собирались,кутили. Связи - это наверное одна из важных составляющих,для чего можно в финашку поступить. Много секций разных, при желании тоже можно найти занятие по душе, было бы время.В других корпусах был на масловке и на ленинградке. Люблю иногда на ленинградку заходить, там библиотека крутая и коворкинг, да и в целом классно в главном корпусе, чувствуешь себя частью чего-то большого, ахахах. Ну все, вроде все рассказал, удачи в поступлении тем кто поступает, в учении, тем, кто учится!",positive
