Text,Mark
"


привет, абитуриент данного вуза!
если ты читал остальные отзывы, то сложил уже кое-какое мнение об этом месте. что я хочу сказать?
прежде чем подавать документы в ГУУ, задай себе один вопрос:
ты хочешь жесткой учебы, где будут сложные предметы (возможно не совсем нужные тебе, кстати, в большинстве вузов предметы не сильно отличаются и почти во всех вузах есть то, что тебе вообще в жизни никак не пригодится), много лаб, контрольных, 
ты точно готов посещать все пары и трястись перед сессией;
 учить то, что забудешь, сразу как сдашь

либо же, ты хочешь кайфануть от студенчества, ведь ты наверняка устал, готовясь к егэ)))))  
(если ты любишь вести активную социальную жизнь, точно найдешь себе единомышленников, здесь этого много и даже слишком) 
хочешь параллельно работать/тусить, саморазвиваться, гулять по столице(!) и ненапряжно учиться в вузе, где ты можешь ходить только на те предметы, которые тебе интересны; легко сдавать сессию

если выбираешь второй вариант, тебе сюда. практических знаний здесь действительно маловато, но при желании - можно развиваться по профессии самостоятельно. а дополнительно работать хоть 5/2, либо же зависать в студ совете. много проектов разной направленн...Показать полностью...ости (социальные, медиа, творческие(голос, танцы) спортивные) 
если хочешь качественное современное образование с полезными скиллами и практику в топ-организациях - ищи другой вуз.

по поводу общаги для иногородних. уже было сказано в других отзывах, но я тоже упомяну - !общагу здесь дают не сразу!  - мне дали в середине октября, (балл егэ 264, километраж - 1000км от москвы). с комнатами в общаге - как повезет. могут дать комнату с новейшим ремонтом на высоком этаже, могут дать со старым облезлым на низких этажах. реально полный рандом. но мне повезло, поэтому - не жалуюсь. 

обрати внимание один неоспоримый плюсик - всё в одном месте. все корпуса вуза, общага, тц, еда, МЕТРО, нереально удобно вставать на пару за 10 минут до ее начала, не надо мучиться в метро в 7 утра в давке пока едешь на другой край москвы и все такое. не знаю других вузов, которые могут похвастаться тем же.

этот отзыв получился скорее положительным, потому что конкретно меня все устроило. но правда, если ты мечтаешь о продуктивных и интересных занятиях с молодыми и энергичными преподами по своей выбранной специальности, здесь ты этого не найдешь. 
здесь ты найдешь ребят, которые не будут зубрить всё что видят и просто живут в кайф в столице, занимаясь своими делами. 
и придется либо смириться и плыть по течению, ища свои плюсы, либо жаловаться и писать гневные отзывы, проклиная всё на свете.",positive
"


Я являюсь студенткой 1 курса. Хочу сказать, что мне очень нравится вуз и направление. Институт маркетинга-один из самых крутых направлений здесь. Много реально классных проектов, в общем, я не разочаровалась в вузе, мне все нравится, поступайте!!!
Минусы:
1)общежитие-долго ждать, чтобы получить место. Все зависит от баллов, контракт или бюджет, но если у вас высокие баллы, то скорее заселят одними из первых. 
2)местоположение-мне не очень нравится Выхино, но это не самый огромный минус, в целом, до центра ехать не очень долго, поэтому это терпимо.
Плюсы:
1)как минимум рядом с университетом есть все необходимое: пятерочка, фикс, вейп шопы, кофикс и т.д., голодным вы не останетесь
2)следующий пункт-слоловка. У нас там корят достаточно вкусно, по ценам норм, комплекс-260₽, мне нравится, вкусно и доступно, так же есть пиццерия и разные кафешки, с едой проблем нет.
3)много классных преподов, которые действительно дают хорошую базу, если вы работаете на парах, будут поощрения. 
В общем, хочу сказать, что на каждый вуз найдутся свои плюсы и минусы, как по мне, то во многих вузах Москвы похожая система, поэтому поступайте в ГУУ. Не сомневайтесь) ",positive
"


Начну с плюсов:
1. Местоположение (рядом метро, верный, пятерочка, спар, перекресток, до центра 25 минут ехать, остановки)
2. Если вы хотите саморазвиваться и получить корочку, то точно сюда.

На этом плюсы закончились. Много неадекватных преподавателей, так как ведут предметы даже с ИЭФа. В основном всё там. На кафедре игуипа много сильных преподавателей(почти все) , если не филонить, можно ценную информацию получить.

Что касается общежития. Если вы не из Москвы, ищите деньги на съем квартиры. Мало того, что заселяют сюда не сразу, в этом году многие родители жаловались ректору, только после этого началось заселение перваков. Комнаты в ужаснейшемсостоянии (но может повести), не верьте фотографиям на официальном сайте. Ванные в большинстве своем просто жёлтые, как и раковины и унитазы. Батареи в комнате очень грязные, коменданты не реагируют на это. Говорят, сами решайте этот вопрос. В ванной якобы есть &#039;вентиляция&#039; с кусками пыли, которые не убирали со дня основания общежития. Жаль, нельзя фото прикрепить.

Кухни работают с перебоями. Конкретно на моем этаже не работают две печки (8 комфорок), и это на этаж, где живёт около 60 человек! Уму не постижимо. Говорил комендан...Показать полностью...там и главной студгородка о необходимости поменять печки (но вместо этого построили ненужный спортзал на 10 человек) П**** - да?

Прачка отврат. Машинки все никто не чистил внутри, я догадываюсь. Режимы убрали (максимум 30 минут, за которые ничего не отстирается) приходится стирать по два раза. Но спасибо, что они бесплатные, раньше были платные.

Коменданты офигели. Могут входить с ключами в блоки, когда никого нет в комнате. А по УК РФ это статья. Но попробуйте что-нибудь им сказать, вас выселят сразу)) кстати о выселении: в этом году перваков было некуда селить и знаете что они делали? Выселяли многих даже, если мусорка была наполовину наполнена(абсурд? нет. Это общежитие гуу, которое не думает о студентах). Выселяют просто за все) потому что некуда селить, еще раз повторюсь.

Охранники тоже хамоватые в общежитиях. В поточном корпус самые добрые. 

Обходите общежитие стороной.
И гуу в целом. ",negative
"


1 курс пройдет бессмысленно. Будут рассказывать  теорию, которую не будут спрашивать на экзамене или зачете. Про ПБУ и ФСБУ в целом будет малость информации, в основном будут рассказывать про ведомости, документооборот, учетную политику и т.п. На семинарах будете проходить также теорию, но и чуть-чуть делать синтетические проводки (Например, Д62 К50). 
2 курс пройдет намного бессмысленнее. На 3 семестре у вас совсем не будет теории, которую необходимо знать, только дублирование семинаров 1 и 2 семестров. Почему так? А потому что у других направлений, где присутствует бухгалтерский учёт, на 1 курсе не было теории. Появится аудит, который монотонно рассказывают, но по нему будет зачёт. Автомат ставят лайтово, просто ходи на занятия. Появится управленческий учет (½ часть) - зачет (см. ниже). 
3 курс более менее продуктивно. Управленческий учет, ½ часть. Принципиальная феминистка. Автоматы ставит в основном студенткам, которые находятся в ее проектной группе. Если вы старались, работали, отвечали почти на все вопросы и т.д., то она оценит это и вам поставит автомат. Но если вы личность мужского пола, то все старания бессмысленны. Также произойдет эволюция бухгалтерского учета, но назад...Показать полностью.... Будете делать длинные проводки со справками, ведомостями и аналитическими счетами (малось аналитических счетов) по вымышленной коммерческой организации с преподавателем, который ни разу не работал в коммерции и очень любит округлять и непонятно изменять суммы на счетах. Будет это делать целый год, но в итоге баланс не сойдется (на 2 курсе он тоже будет, но с другим названием). 
4 курс, долгожданный, где действительно будут по-настоящему важные предметы. Это так, но… Когда вас спросят про названия, содержания всех ПБУ и ФСБУ, то вы не ответите, даже если вы все запоминали, зазубривали и учились на 5. Потому что на 1 курсе вас этому детально не обучили. Вы знаете, что такое учетная политика, бухучет и налоговый учет. И самое главное, 1С. Лучше в интернете посмотрите. На лекциях ничего не понятно, поскольку они должны были проводиться не в аудитории, а в компьютерном классе. На семинарах никак она вам не объяснит, сам делай.

В общем, образовательная программа рассчитана, что вы пойдете работать бухгалтером в коммерческие организации. Однако вас обучают те, кто ни разу в жизни не работал там. Сидели только на бюджете. Ах да, про бюджетный учет. Он продлится один семестр и вас ничему не научат. Про отчеты по ознакомительной, производственной и преддипломной практике могу сказать, что вы можете идти хоть в коммерцию, банк или бюджет. Даже если наговаривают, что ТОЛЬКО в коммерцию. МОЖНО и в другие. По поводу практики тут смешно и абсурдно. На сайте так МНОГО партнеров (спонсоров) , что кафедра не знает про них. Если вы хотите найти практику в коммерции через кафедру, то знайте, у ГУУ нет коммерческих партнеров. Практику вы ищите сами, удачи в этом. Можно отметить ненужные предметы, которые, если честно, не понадобятся бухгалтеру.

В итоге, после получения диплома в данном ВУЗе вы документально становитесь специалистом, но не фактически. В среднем количестве лишних и неподходящих предметов (например как статистика, эконометрика). Обучают работать в коммерции те, кто там не работал. Обучение отстает от современных требований (теория это одно, а практика совершенно другое). Когда вы впервые познакомитесь с проектной работой, знайте, это бессмысленная дрисня, которую потребовало руководство от преподавателей, хотя сами преподаватели не понимают чего от них хотят.

ЕДИНСТВЕННЫМ плюсом в этом ВУЗе является кофейный аппарат на переходе 3-го этажа между главным учебным и лабораторным корпусами. Делает нереально вкусное кофе!

Если вы хотите поступить сюда, заплатив за очку кучу денег, как за хороший автомобиль, насладиться отличным кофе и получится красную или синюю подставку под пиво, то я рекомендую вам данный ВУЗ.",negative
"


Общие сведения: 4 курсе бакалавриата. Очная форма обучения. Институт экономики и финансов. 
Преподаватели, обучение: В целом доволен программой, весьма интересно учиться, материал преподавателями дается в адекватной форме, объясняется. Но это в целом. Некоторые преподаватели не являются практиками, поэтому много теории и &quot;воды&quot;. Задания дают просто чтобы дать что-то, чтобы как-то загрузить студентов. Не могу ничего плохого сказать про весь процесс обучения в целом, но и ничего хорошего тоже. Как везде. Нормально. 
Сессия: Зачеты с недавних пор проходят в форме независимого тестирования, то есть дистанционно. Списать можно, но если хотя бы чуть-чуть не учиться в течение семестра, сдать немного сложно. Многие вопросы не гуглятся, объяснялись преподавателем на семинаре/лекции. Экзамены закрыть легче. Сложности возникают только на 1 и 2 курсе с кафедрой математики. Все остальное легко сдавать. Преподаватели с закрытыми глазами ставят оценки. Если ты посещал занятия, выполнял ненужные работы, то автомат в кармане. На красный диплом закончить очень легко. Только самый ленивый не сможет этого сделать. &quot;Купить&quot; экзамен или зачет тут нереально. Такого нет. 
Деканат: Про ...Показать полностью...деканат только положительно могу отозваться. Всегда стараются войти в положение студента, могут тут же позвонить преподавателю или директору института и вопросы решаются оперативно в течение 5-10 минут. Деканат ИЭФ самый лучший и там работает очень хорошая девушка, она всегда старается всем помочь и спасала не раз меня и моих одногруппников)) если нужна срочная справка, то и ее подготовят за час. Для выплат в пенсионный фонд нужна была справка в течение дня, не надеялся ее получить. Повторяюсь, они вошли в положение и все мне быстро подготовили. Супербыстро и оперативно отвечают в ВК, там тоже сразу решались вопросы и приходить очно не надо было. Особенно нравится , что они на одной волне со студентами. Передаю привет ГУУ memes и комментариям деканата ИЭФ, это было хорошечно)) 
Дирекция: Директор института дает свой номер телефона абсолютно каждому студенту, это не является секретом. Всегда старается помочь студенту. Индивидуальный подход к решению проблем. 

Из минусов: 
- выхино;
- низкий уровень преподавательского состава, отсутствие практикующих преподавателей;
- арки, про них только ленивый не написал, но это действительно минус, потому что все курят;

Из плюсов:
+ веселая студенческая жизнь, этого тут реально не отнять;
+ общежитие;
+ деканат ИЭФ.

p.s. Начали смотреть на посещаемость, устраивать проверки. Даже отчислили несколько студентов за непосещение пар и прогулы. Хотя с 1 курса говорили, что из ГУУ можно вылететь только на крыльях))

В общем могу сказать, что при желании можно поступить в этот вуз. Он не лучше и не хуже остальных. В некоторых аспектах лучше, в некоторых хуже на сравнении. С одноклассниками сравнивали и в РАНХ на контрасте оказалось хуже. Важно отметить, что я на бюджете. Не знаю стал бы платить деньги за обучение в ГУУ. Может из-за этого факта не особо поможет вам мой отзыв. Но постарался объективно все оценить. ",medium
"


Всем кто ещё не определился и рассматривает данное заведение для &quot;образования&quot;, ребят перед принятием решения рекомендую ознакомится с отзывами о данном заведении коих тут достаточно. Если обратить внимание большинство отзывов негативные и в основном вся изложенная там информация увы правда. Я свм поступал сюда на государственное и муниципальное управление в 2020 г. на заочку. Разумеется заочка по качеству, как правило уступает очной или очно-заочной форме, но это не точно). Однако, при всех прочих равных довелось мне ощутить на своей шкуре и кошельке все прелести описанные в негативных отзовах об данном заведении. И так наверно стоит начать с плюсов : 1) можно спокойно совмещать с любым рабочим графиком свое обучение ибо на ваше посещение пока вы платите кладут с прибором) 2) занося вовремя деньги в кассу можно сидеть на жопе ровно и не нервничать по поводу сдачи экзаменов и зачетов, т.к. автоматы тут в почёте и тесты где можно путем тыканья пальца в небо наскребсти на красный диплом, ну или на митинг за ВВП сгонять)) 3) курсовые и прочие работы можете свободно качать из интернета и скидывать как свои прокатывает 100%, хотя я на первом курсе делал все сам и получал тот ж...Показать полностью...е результат, как и при читерском варианте, что как вы понимаете обесценивает ваши усилия и тем самым создается наплевательское отношение. 
Минусы перечислять можно много да и без меня на этом ресурсе люди отписались, но все же один я все же отмечу и он КЛЮЧЕВОЙ.
А именно качество и актуальность знаний ниже нуля, ввиду того что преподавательский состав в основном люди на пенсии или около того к тому же изрядно нагружены, сами понимаете какая будет их заинтересованность в вашем качестве обучения. За 2 года у меня по счастливой случайности вело занятие только три толковых преподавателя не читающих монолог по бумажке или с презентации на экране, а действительно дающих знание и разъяснение их дисциплин ЖИВЫМ ЯЗЫКОМ, и это ребят поверьте очень важно! Плюс вишенкой на торте выступает повышение стоимости услуг данной конторы, но увы эта сумма не соответствует предлагаемому качеству.
Резюмируя, ребят если вам не нужно парятся и учится, а тупо нужна корочка то вариант рабочий, но если вы хотите хоть кем то стать, то вам не сюда..
Лично я собираюсь отчислятся из этой богадельни, ибо ловить тут нечего и хорошую работу вряд ли  получишь выпустившись отсюда!",medium
"


Поступила на социологию и психологию управления. С первого учебного дня разочаровалась. Ждала чуда — и на третьем курсе оно не наступило. Становилось только хуже. 

Начнём с плюсов:
— Можно совмещать учёбу и онлайн-работу спокойно
— Есть свободное время
— С большинством преподов можно договориться. Если вы плохо ходите, например, попросить доп задание (но обычно всем пофиг)
— Чтобы вылететь из вуза, надо очень-очень постараться
— Почти все экзамены и зачёты теперь онлайн, я думаю, вы понимаете, почему это плюс (и минус тоже)
— Секция бокса у деда — просто любовь, при регулярных посещениях обрастёте мышцами
— Корпусы все в одном месте, никуда ездить не надо
— Деканат ИГУИП — просто лапочки
— Рядом много точек еды, если покупать обеды не на переменах, то можно даже без очереди

А теперь минусы. Самый огромный — вуз-пустышка. Вам будут давать какие-то задания, но они бестолковые. Вы не выйдете специалистом. За три года мы с одногруппниками так и не поняли, кто такой социолог. 
Если откровенно уж говорить, такая проблема не только в ГУУ — в большинстве вышек России. 

— На всю кафедру социологии (2022-2023) только два сильных преподавателя: Г******* С.А. и Ш****** Л.Ю.. На втором курсе...Показать полностью... ушли четыре хороших преподавателя.
На момент третьего курса просто так уволили К******* А.А. — любимицу всех потоков. Сказать, что мы были дико шокированы — ничего не сказать. Это притом, что в вузе не хватает преподавателей и нанимают кого не попадя. Например, С********** И.Э. на парах вам будет рассказывать, почему аборт — это зло и жуткий грех, и что психология вышла из философии И БОГОСЛОВИЯ",medium
"


Здравствуйте,как вы поняли этот отзыв будет нести негативный характер,но на то есть довольно веские причины ,которые я хотел бы вам разъяснить.
Если вы хотите поступить сюда ,чтобы: 1) Получить хорошие знания.2) Не пойти в армию.3) Ближашие 4 года пинать балду и ничего не делать.
То, первое здесь вы не получите. 2 и 3е вы получите сполна,объясняю почему.Этот вуз одновременно и хорош и плох.Хорош тем,что вы можете совмещать работу с учебой либо просто проводить время в свое удовольствие,пинать балду,ходить на бухичи с тупыми подпивасными однокурсниками/одногруппниками, не думая об знаниях и уровне данного образования здесь.
Плох же тем,как раз,что образование здесь довольно низкосортное и не качественное.Много предметов которые казалось бы важные по названию,но не по их содержанию. Пройдя ,допустим,такой предмет как инвестиционный анализ,вы даже не будете знать что же это такое. Посоветовал бы обратить внимание на такие предметы как статистика,эконометрика(одни из самых базовых предметов в бакалавриате),однако скорее всего вас будут &quot;учить&quot; по стандартным алгоритмам. Слишком много предметов ,различных по названию,но опять же повторяющихся по содержанию. Ничего нового я зде...Показать полностью...сь для себя не узнал,с какими знаниями со школы пришли сюда,с такими и выйдете.Учась тут на одни 5,вы точно не станете здесь умнее. Оценки здесь ставят просто так. А так же,нам,будучи абитуриентам вешали лапшу на уши про сотрудничество с кучей компаний и работодателей,на деле кинули с практикой,ничего не предоставили,сказав ищите все сами.
Вообщем,если вас интересует продуктивная учеба,вам точно не в гуу. 
 ",negative
"


Ужасное место для учебы,хуже просто не придумаешь.Не поступайте в эту шаражкину контору,уровень знаний тут абсолютный 0,никаких толковых знаний за все эти годы обучения не прибавилось,весь процесс обучения построен через жопу. И не потому что некоторые может подумают что я ленивый студент,наоборот первые 1,5 года обучения у меня была сильная мотивация и настрой учиться,но постепенно она начала пропадать,даже +- способные студенты здесь не горят желанием учиться. 
Очень сомнительное качество образования. Квалифицированных профессионалов из преподавателей- практиков здесь не то что по пальцам пересчитать,их просто напросто нет. Вуз не предоставляет никакой практики,преподов будто набрали по объявлению, не только по непрофильным предметам(которых будет уж слишком много),но и на профильных предметах вас будут &quot;учить&quot; преподы,которые сами не разбираются в своем предмете.
Слишком много работы для галочки,для того чтобы просто не вылететь с этой помойной шараги,а не для понимания знаний и их практического применения в дальнейшей работе.
Подпивасное комьюнити которое пришло сюда не за знаниями ,а за бутылкой пива и сходить на студенческие алко тусовки,либо заниматься студ активно...Показать полностью...стью(а также в роли участников секты,лгущих абитуриентам на ДоДе,в роли активистов в студсовете).Мало того что они ни к чему не стремятся,так и другим мешают заниматься продуктивной учебой.
А также дополню,эта шарага тратит свои средства и усилия не на улучшение качества образования,а скорее на пиар самого себя в соц сетях,чтобы набрать побольше абитуры,которые будут им платить деньгу,да чем больше тем лучше(только деньги вы тут платите по сути ни за что).Ну уйдете вы ни с чем,ну потратите 4 года впустую,и кучу денег и нервов -кого это из руководства этой шараги волнует? Им главное надо денег побольше с вас содрать,а на ваши знания преподам и всем тут насрать.
Серьезно,гуу давно уже не топ, лучше если хотите реальным стать профессионалом -экономистом,рассмотрите такие вузы как РАНХиГС,ФУ,РЭУ Плеханова,ВШЭ,РЭШ. И не смотрите тут на дешевую цену за &quot;обучение&quot;.Здесь оно не стоит даже своих денег.
",negative
"


Здравствуйте,уважаемые абитуриенты.Этот отзыв посвещается именно вам! А также родителям,которые рассматривают данный вуз для поступления своего ребенка.
Для начала расскажу немного о себе,потом в данном отзыве я расскажу вам о плюсах и минусах данного &quot;высшего учебного заведения&quot;. И такс начнем.
 В свое время,когда я поступал в этот &quot;вуз&quot;(хотя назвать это заведение шарагой или пту - уже комлимент),он сильно котировался в рейтингах, у всех был на слуху как в нем &quot;хорошо преподают&quot; и насколько большие перспективы трудоустройства после него.И знаете,я как дурак,повелся на эту &quot;удочку&quot;(долго до этого момента и тщательно перебирал всевозможные варианты выбора вуза),и в конечном итоге решил поступить сюда.Это была самая большая ошибка в моей жизни. Теперь расскажу почему,и постараюсь &quot;развеять&quot; мифы о хорошем трудоустройстве и содействии &quot;вуза&quot; с другими работодателями.
1 миф. Вуз первый управленческий.Знаете ли вы,почему он так назван? Наверное вы подумаете что в нем готовят первоклассных менеджеров,и в этом заслуга его названия,но спешу вас разочаровать.История его происхождения заключается лишь в том,что он действительно &quo...Показать полностью...t;первый&quot; управленческий.Только не потому что он самый топовый в управленческом образовании,а лишь потому что это первый вуз в россии где начали обучать менеджменту.
2 миф. Первоклассное содействие с работодателями и предоставление практики.Тут тоже опять облом. НИКАКОЙ практики и НИ С КЕМ из работодателей этот &quot;вуз&quot; не содействует и не предоставляет.Ну нет у этого &quot;вуза&quot; никаких связей ,влияния,взаимодействия ,делового сотрудничества с кем либо из компаний или работодателей.Если вам будут подобное говорить про предоставление практики на ДоДе,просто зарубите себе на носу.Это откровенный,к тому же не прикрытый фальш.Нам уже на 2 курсе руководитель практики так и сказала прямым языком ,что вуз ничего не предоставляет.Только сами своим трудом искать.
3 миф. Высоко квалифицированный преподавательский состав и высокий уровень образования.Вы наверное удивитесь(нет),но и тут &quot;вуз&quot; облажался. Начнем с маленького предисловия,чтобы лучше понималось почему так здесь вышло. Был у нас ректор один ,Лобанов(работал кстати самым обыкновенным трактористом в саратове,до того как занял эту должность в гуу).Так вот,представьте ,человек,не имеющий высшего образования,сел за &quot;баранку&quot; управлять экономическим вузом,внедряя &quot;эффективные стандарты менеджмента&quot;.Единственная его заслуга так это знакомства в высших эшелонах власти.И на этом все началось,снижение зарплат преподавателям,и многое другое.Реальные профессионалы начали,сверкая пятками массово увольняться,остались только древние пенсинеры,которым просто некуда податься только как работать за жалкие копейки в гуу.Вследствие ,не трудно догадаться,что у многих преподов нет никакой мотивации научить студентов чему либо.Скучные лекции,а за тем бесполезные семинары,на которых в большинстве случаев зачитываются доклады.
Теперь перейдем от мифов ко всеми очевидными минусам.
1.Бестолковые студенты ,которые приходят сюда заниматься чем угодно,лишь бы не учиться. Также мешают продуктивной учебе да и в целом атомсфера здесь за счет них создается,будто попал не в высшее учебное заведкние( коим де факто оно не является),а в какой то гадюшник по типу паба или бара.
2.Студсовет. Они же кураторы или активисты(называйте их как душе угодно).Это те самые лжецы,и свидетели иеговы,которые будут вам рассказывать на ДоДе все то что я написал в данном отзыве,только зеркально- противоположно наоборот.Они же завлекают студентов на всякие алко тусовки и организуют их.
3. Ужасный район Выхино.От вуза до метро идти 2 минуты,но район максимально убогий.Вечный час пик постоянная толкучка людей.По сути Выхино если не назвать самая конченная станция метро во всем московском метрополитене. Так же хотел дополнить,проходя на территории &quot;вуза&quot; под 2 аркой,берегите свои легкие.Копоть от дыма сигарет здесь изчисляется литрами(опять же студенты которые позволяют себе курить на территории универа и считают это АБСОЛЮТНОЙ НОРМОЙ).
4.Всем пофиг на посещаемость + преподы дают списывать на кр/зачетах/экзаменах,либо просто закрывают на это глаза.В следствие даже самые тупоголовые ,извиняюсь за выражение,идиоты доживают до диплома.
Плюсы: плюсов здесь практически нет,в одном только этот &quot;вуз&quot; хорош.Он же для кого то и плюс и минус.То что из за максимальной  халатности к прогульщикам,вы можете совмещать работу с учебой.
Удачи вам,дорогие абитуриенты ,с правильным,я бы даже сказал судьбоносным выбором своего будущего! 
Но ,мог бы я повернуть время вспять,я бы точно не поступал сюда.По моему мнению этот вуз для финансистов и экономистов совершенно не подходит.
",negative
