Text,Mark
"


Речь пойдет про институт иностранных языков и кафедру романской филологии.
Местоположение — это один из единственных плюсов Герцена. Про ремонт в ИИЯ написано ОЧЕНЬ и ОЧЕНЬ многое, но «деревенское ПТУ» и ваша школа покажутся вам дворцами по сравнению с Герцена ,а особенно иняз. Все корпусы Герцена представляют очень удручающие зрелище, последний ремонт в них был в советское время. В ИИЯ мы должны сидеть на старой советской мебели, шатающейся и исписанной за столько лет и смотреть на старые советские шкафы и обшарпанные стены, писать на досках ,на которых уже это делать невозможно из за их возраста. Крыша кстати тоже течет ,как и во многих других корпусах. Холл входа больше похож на убогий подъезд или подвал. Темный, обшарпанный, маленький.  На весь иняз есть два проектора, в других корпусах с этим не особо лучше. Очень грустно за  состояние ВСЕГО ВУЗА ,находящегося в самом центре Питера, особенно сравнивая с другими вузами Питера, где есть проекторы, стены покрашены. Компьютеры и какая-либо техника для аудирования в аудиториях не имеется. Аудирование слушается с телефона преподавателя. Презентации не как не посмотреть ,интерактива, современных цифровых технологий обучения не будет ...Показать полностью...вообще. Будет полное погружение  в 1797 (Дата основания Герцена). Распечатать материалы для студентов или выдать  листы для написания заданий, контрольных-огромная проблема для Герцена (бумаги нет, картриджа нет)
   Пар по языку будет не мало, упустим организационные моменты с отменами и т.д
Но пары эти будут очень однотипны, никакого развития языка с разных сторон. Проблемы с наличием учебников, непонятная программа, когда много времени уделяется «очень большому уходу от фундаментальности » при этом ни давая никакой базы и грамматики, экзамены сдаются так же не по знанию языка, а по натренированности на «непонятно что», не имеющие общего с реальным инязом. А со временем начинают требовать язык, не преподав его в нужной мере. За тысячами часов «копания в языке» и изучении непонятных терминов, которые сразу забудутся и не пригодятся нигде, лишь бы чем занять - будет стоять в итоге просто средняя база знания языка. Очень резкое нарастание сложности программы ,прыганье по уровням. Придется самому учится языку еще где-то параллельно. Огромное кол-во домашки, забудьте про свою личную жизнь.(Хочется спросить во благо чего-работы учителем в школе, но тут уже  личное дело каждого). Странный подбор лексики для заучивания. Преподаватели считают в праве себе допускать колкие выражения в адрес студентов и начинать выносить мозг с самого начала учебы и до конца  «половина вас должна уйти ,вам надо отчислится, зачем вы пришли на иняз, иняз это не ваше-найдите себе в другой сфере» причем это говорится почти всем, за исключением самых любимчиков. Преподаватели просто обожают сплетничать про учеников между собой, и не стесняются этого. Плата за обучение в ИИЯ  около 220-250 в год. Подумайте стоят ли деньги этого вуза, его оснащенности и уровня преподавания, диплом Герцена не является «диплом хорошего вуза» совершенно. Но да -языком вы как-то, «криво-косо», через слезы заниматься будете. 
Общежитие только для бюджета и ждать можно долго.",medium
"


Мой «любимый» иняз…
Иногда мне кажется, с этим местом у большинства абьюзивные отношения складываются. Или стокгольмский синдром. Но уж точно здоровьем тут не пахнет.
Мне очень хотелось доучиться здесь. Так хотелось, что я долго-долго боролась. 
Несмотря на то, что мой отзыв будет скорее негативным, я все же советую его дочитать. А потом решить, нужен вам этот крест или нет.

Давайте по порядку:

- Организации нет. Ее просто нет. Единственный человек, на котором, кажется, все держится - это П******** Е.А. Если возникают какие-то проблемы и вы идете НЕ к ней, будьте уверены: ваша проблема либо не решится, либо пройдёт адовый круг тупых сотрудников, а потом все равно дойдет до Е.А. Лучше на мой взгляд сразу начинать с нее.
Но вы понимаете, да? Организация, которая строится вокруг одного человека? Серьезно? Хорошо ли такое работает…
- Преподаватели - лотерея. Правда. Вот как повезет, так повезет. Нашей группе например ужасно не везло, но я знаю тех, у кого не было вообще никакого просвета, так что… А были группы, у кого набор оказывался сильным и классным. 
Хочется отдельной строкой поблагодарить (пусть она этого и не увидит, наверно) Р********* Е.С. Замечательный преподаватель, отзыв...Показать полностью...чивый, умный, честный и юморной человек. Если она вам встретится - радуйтесь и держитесь за нее, серьезно. 
О дураках писать не буду - это всё равно ничего не даст.
- Объем работы. Если вы фанат английского, вам, может быть, зайдёт. Мне было адски тяжело. В любом случае: забудьте о личной жизни на ближайшие годы и смиритесь с тем, что будете впахивать ради… Тут уж вам решать, ради чего.

Подведу итоги.
На инязе есть всякое: хорошее и плохое - это неудивительно, так везде.
Единственный вопрос, который стоит задать перед поступлением: вам нужна эта борьба? Если вы реально готовы переть как танк ради цели, зубрить день и ночь, спорить и добиваться своего - думаю, вы в итоге выйдете победителем.
Если сомневаетесь - пройдите мимо, правда. Сэкономите на последующем лечении.",negative
"


Если Вы когда-нибудь захотите поступать на учителя физики, то ни в коем случае не поступайте на кафедру методики обучения физики РГПУ им Герцена!!!!!
Учусь в этом цирке много лет уже, за это время кафедра просто отбила напрочь все желание учиться, ну вот серьёзно, после бакалавриата пришел в школу без знаний методики обучения от слова совсем, всё, о чем говорили из методики за время бакалавриата, это как рассказать детям про закон Архимеда, видимо, больше они ничему научить не могут. В итоге пришлось самому разбираться как учить детей прям на детях в первый год работы, потому что базы 0 нам дала эта кафедра. 
Максимум чему они Вас научат, это как найти миллион и одно оправдание, чтобы не проверять в срок работы, смешать с г**** и обесценить твой труд, а потом мастерски обвинят тебя в безделии и неумении учиться.
Помимо этого, со стороны кафедры никогда не было выставлено ни одной оценки в период аттестаций вовремя, для них выставить оценку с опозданием в месяц - это норма. Особенно если дело касается практик, о даа, это их любимый вид подлости, на ровном месте завалить тебе семестр, приправив это формулировкой &quot;Работа сдана с опозданием&quot;, а то, что она проверена через мес...Показать полностью...яц, а то и два после окончания практики их нисколько не заботит, виноваты только студенты, у них ведь (у кафедры) &quot;помимо практик итак много работы&quot;, а то, что на старших курсах и в маге особенно, все уже работающие учителя, которые утром учат,  а вечером учатся им наплевать. В общем, отношение к студентам, как к мусору. Кстати еще, по поводу практик, если это практика физики и астрономия, то на оценку кафедры теоретической физики и астрономии они не смотрят. Может получиться так, что теорфиз поставит Вам отлично, а в аттестацию получите НЕУДОВЛЕТВОРИТЕЛЬНО от кафедры методики.

Если захотите всё таки сюда поступать, мой Вам совет - ПЕРЕХОТИТЕ. 
Оно того не стоит.
Лучше в МГПУ поступайте, там, объективно лучше учат, чем в этой шараге. Такие вот дела.",negative
"


Никому не советую поступать на ин яз в РГПУ. Это было моим худшим решением за последние годы. Поступайте, только если хотите отдать все свои нервы и силы. 

Описывая ситуацию по пунктам начну с самого плохого:

1.Об этом пишут очень многие и это чистая правда: тут вообще нет никакой адекватной организации. Ее просто не существует. И это даже не про расписание, это про то, что с вас будут требовать на экзаменах. Никогда бы не поверила в это, если бы не прошла сама: преподаватель может не знать, что будет спрашивать вас экзаменатор. Да, вы можете подойти к преподавателю, спросить у него, что и как, а он просто ответит «а я и не знаю, спросите у экзаменатора!». И все это незадолго до сессии. Конечно, это происходит не со всеми, но я видела как минимум две сессии подряд с такими проблемами. Игра в сломанный телефон! У вас могут весь семестр спрашивать одно, а потом на экзамене совсем другое. Подобных этому случаю было много. 

2.Преподаватели есть классные, а есть такие, кто будет вести себя, как звери, оскорбляя и унижая, испытывая все нервы и прочее. У многих преподавателей есть принципиальность - могут спросить то, чего сами толком не объясняли, ещё и в своей авторской манере препод...Показать полностью...авания, так, что даже если вы понимаете суть вопроса и дали какое-то синонимичное понятие - это не будет человека волновать. Могут толком вообще не объяснить, чего хотят, а за это приходится отдуваться и отвечать.

3.Существует также и проблема с тем, что многие преподаватели обучают по-своему, у многих есть свои учебники, поэтому бывает путаница с экзаменатором, который тоже спрашивает по-своему. 

4.Учиться очень сложно - сюда нужно поступать,  если вы действительно хотите связать с этим 4 года своей жизни, потому что за отсутствие на парах и прочее (в небольшом количестве даже) вас будут отчитывать, даже если есть справки. Опять же, есть адекватные преподаватели, но их мало. 

Поступать в ин яз и думать в РГПУ, что это просто факультет с хорошим образованием, надеясь на лёгкость - плохой вариант, потому что тут у вас заберут всё ваше время, кучу денег, и главное - нервы. 

На моих глазах здесь было очень много разных проблем, когда нервы были просто на исходе. Не знаю, почему так происходит на этом факультете, но я искренне советую не поступать сюда просто за образованием без особой мотивации.",negative
"


Не знаю, какими словами описывать институт иностранных языков…
Еще до поступления я слышала о нем легенды разного характера, читала отзывы, ужасалась и восхищалась.
На деле - море слёз и ноль понимания, почему они вообще были пролиты.
Самое важное, что хочется сказать абитуриентам: поступайте сюда только в том случае, если действительно горите (!) языками (у меня был основным английский), иначе это равносильно суициду. Вы просто погибнете в горах домашки и оскорблениях от преподавателей. Я серьезно.
Не знаешь - дурак. Не получается - еще больший дурак. На экзамене считается абсолютно нормальным повышать голос на студента, спросившего, можно ли взять бутылку с водой. 
Преподаватели здесь - боги, которые и унижать могут, и фыркать в ответ, а ты знай себе пресмыкайся.
Единственный луч света - это Р********* Е.С. Спасибо. Просто огромное человеческое спасибо ей за то, что действительно УЧИТ и при этом относится ко всем с уважением. Если вам она попалась - радуйтесь. Пары будут интересными и запоминающимися. Если честно, я только ради этого преподавателя вообще держалась так долго. 
Наверное, есть и другие хорошие преподы, но у меня Е.С. была единственной.
И, знаете, это я не пишу об ор...Показать полностью...ганизации… точнее, полном отсутствии таковой, поскольку и до меня куча отзывов этому посвящена.
Бонус: при мне снесли стену в столовой, теперь для того, чтобы поесть, лучше надевать куртку: из прохода дует ужасно. А лучше вообще воздержаться от еды - все равно ни мест, ни котлет на всех не хватит.
В общем либо готовьте нервные клетки (или деньги на санаторий), либо уходите, как сделала я.

А еще лучше - не идите в ИИЯ. Есть куча других более приятных мест! ",negative
"


Поступил в этот вуз в этом учебном году и не пожалел! 

Первый небольшой плюсик хочу поставить за внешний и внутренний вид корпусов. Биофак расположился в самых наикрасивейших корпусах данного вуза (1,2,3)! 4 и 5 корпуса тоже довольно красивые. Безумно большие потолки, люстры, картины, лепнина и многое другое можно увидеть в РГПУ!

Второй плюс хочу поставить за прекрасный педагогический состав. Очень нравится большое кол-во практик. Протистология, ботаника и введение в биологию преподаются так: 1 лекция в неделю, 1 практика в неделю. Т.е. если какие-то непонятки есть на лекции, то уже на практике, как правило вопросы просто пропадают. Рассматриваем, как постоянные микропрепараты, так и временные. Конечно, за двигающимися мелкими организмами на временном препарате интереснее наблюдать :) Педагоги требовательные только по профильным предметам. Когда я поступал в вуз, то думал, что под словом &quot;требовательные&quot; подразумеваются строгие педагоги, которые задают огромное кол-во работ, которые мега-сложные и которые срочно-срочно надо сдать (извиняюсь за повторы). ЭТО НЕ ТАК! Работать придется, но нагрузка небольшая. По крайней мере, за 2 месяца учёбы я не успел сильно устать. (со...Показать полностью...ветую ответы ко всем тестам, которые решаете в moudle (потом узнаете что это), сохранять, печать и учить. Потом спасибо скажете на сессии) )

Третий плюс можно поставить за то, что при вузе есть места, где можно заниматься домашними работами после учебного дня: библиотека или точка кипения. Приходишь, садишься за стол, читаешь, учишься, работаешь.  В библиотеке очень много всяких залов. Имеются компьютеры, что несомненно очень удобно! (псс, там есть два аквариума с потрясающими рыбками!!!)

Четвертый плюс за летнюю практику, которая будет проходить на биологической станции в с. Вырица (в дальнейшем, практики у вас будут не только там). На биостанции проходило у нас посвящение в студенты - ни в коем случае не отказывайтесь, это очень круто мероприятие. Место - очень красивое. Если бы можно было прикрепить фотографии к этому отзыву, то я бы это сделал. Летом, на биостанции вы будете жить, делать лабораторные работы и просто развлекаться! 

Пятый плюс за внеучебную деятельность: кураторский отряд &quot;Дино&quot;, спортивные секции, волонтёрский отряд, газета &quot;Хамелеон&quot;, СНО (студенческое научное общество) и многое другое! Не заскучаете)) 

",positive
"


В интернете вообще очень сложно встретить положительный отзыв на филфак ргпу им. А.И. Герцена, но при этом всём там высокий проходной балл(250+) и огромное количество студентов, в том числе платников. Хотя я никогда бы в жизни не заплатила им ни копейки. 

Организация приёма не очень, дозвониться в приёмную невозможно, от слова совсем, все свои проблемы решайте сами, но в вк отвечают быстро, на удивление. 

Отдельное слово о здании, может кому-то это важно. Оно мягко говоря не очень, коридоры похожи на подвальное помещение с зелёными стенами, но во всех аудиториях приятный и светлый ремонт, неплохая техника. Когда будете в главном корпусе, увидите адекватный ремонт снаружи и внутри, потом будет очень грустно вспоминать филфак, ремонт кстати не планируется.

Гигантский минус - расписание. Вот без шуток, его составлял какой-то осёл. Окна по 5 часов хотите? Вам в ргпу! И это не раз в неделю, это по несколько раз в неделю. Физкультура на мойке, в другом корпусе, пешком 40 минут. Обычно перед физрой делают окно в 1 пару, чтобы добраться. Жутко неудобно. Пара может отмениться за 5 минут до её начала, и все равно, что до этого вы ждали окно в 2 пары, всем всё равно) 

Насчёт обучения разм...Показать полностью...ытые ощущения. Много домашней работы, прям очень, но а что вы хотите поступая на вышку? 
У многих знакомых легче, у кого-то тяжелее. В целом, объемы информации очень большие. С первого занятия вам говорят, что на сессии больше половины из вас отчислят. Преподаватели любят свои предметы, но рассказывают их очень скучно, за исключением некоторых. Есть преподы, которые могут переходить на личности, вообще есть очень мерзкие преподаватели, после первой пары у них появляется огромное желание туда больше не приходить. Такое желание, на самом деле, появляется с первого дня обучения в Герцена. Если вдруг вы решитесь на жизненный эксперимент и поступите на филфак ргпу, то записывайтесь в группу, где английский ведёт Т. А. Н., самый лучший преподаватель). Кстати, ещё есть некоторые пары дистанционно, они находятся в системе мудл(записанные видео), это самый худший сайт из всех возможных, не удивительно, что в Герцена выбрали именно его. Худшее для худшего.

Если у вас нет возможности снимать жильё и у вас нет льгот, то вам не сюда! Не стоит надеяться, что общежитие дадут через месяц, два. Нет, не дадут, хотя всем обещают!!! Правда, не стоит питать надежды по этому поводу!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

В общем, ощущения от ВУЗа размытые, я советую сюда поступать, если вы ярый фанат филологии, иначе это будет ад. Я поступила в ргпу по стечению обстоятельств, мне не шибко нравилась филология и мне было сложно, особенно когда вокруг большинство являются фанатами филологии. Если вы идёте на платное, то тем более не стоит, я уверена есть варианты намного приличней, за те же 160 тыс. Наверное, деканат факультета и руководство ВУЗа знают о том, что на их факультет отрицательных отзывов целое море, но им скорее всего абсолютно всё равно, так как каждый год у них стабильно появляется огромное количество студентов, в том числе платников, которых искренне жаль, конечно.",negative
"


Я проучилась в этом университете в течение двух лет и не стала терпеть того ужаса , что там происходил , ушла к сожалению  с потерей времени и денег , в другой университет, но это было самым лучшим решением моей жизни, поскольку 
, мягко говоря, «минусов» здесь крайне много , если рассказать кому-то об этом ,мне кажется, они просто не поверят в то ,что это действительно происходит высшем учебном заведении Санкт-Петербурга, а не в каком-то Вологодском политехническом колледже.


Я перевелась в СПБГЭУ и будучи уже там ,сравнивая , то где я училась все эти два года,  я просто пришла в ужас , потому как эта разница огромнейшая, я не могла по началу перестать удивляться адекватному отношению преподавателей , иному способу преподавания и спокойствию на парах ( что должно являться нормой , но в герцена об этих понятиях никому ничего не известно :))))

Начнём с малого , сам корпус и в целом здание очень старые,  так находятся в центре Питера естественно,  каких-то инновационных ремонтов там и не может быть , но хотя бы малейший косметический ремонт мог бы присутствовать , однако этого нет. Все  кабинеты коридоры все очень старое , выглядит ужасно, в трещинах ,  осыпаются стены , периодичес...Показать полностью...ки сопровождается ещё и неприятным запахом , все кабинеты метр на метр  с облезлыми партами, во-вторых, там отсутствует какой-либо оборудование :проектор ,компьютеры ,колонки (мы слушали аудирование с  доисторического телефона учительницы. Презентации показывали со своих телефонов , просто скидываю в общую группу) 

Честно я не понимаю почему за такие деньги , не  могут выделить средства на ремонт этого помещения и на оборудование, ведь взять тот же СПБГЭУ, который находится также в центре Питера буквально через мост от Герцена,  его внутренняя составляющая это просто небо и земля с Герцена.

Третий ужаснейший пункт- это  сам деканат а и сотрудники которые в нём работают. 

Декан факультета сразу же с порога  встречает атмосферой токсичности  и на любой вопрос без агрессии ответить  не может,   если ты обратишься с какой-либо просьбой , никакого понимания ты не найдёшь в любой ситуации, 
 ты сам за себя сам, ищешь пути решение , сам пытаешься как-то с отстоять свои права,  потому что,  там тебя в принципе за личность не будут считать , хотя ты учишься за деньги по договору , но отношение там звериное.


Никакого абсолютно уважения ко времени человека там тоже не вы не найдете,  кто придумывает  расписание я не имею понятия , какие либо логические связи отсутствуют. 
Расписание чаще всего выставляют уже где-то за день до начала учебного года , позже еще 1000 раз меняется.  Учителя сами , неофициально переставляют свои и пары ,потому что они тоже не понимают каким образом составляют расписание (то есть могут поставить две пары  в середине дня то есть с 14 часов до 17. Либо пары с окном в 3 часа  и никого это не будет волновать,  тебе придётся сидеть и ждать эти 3 часа  где-то сидеть на лавке) 

Соответственно, личной жизни никакой , ты обязан тратить весь день , чтобы посидеть послушать болтовню училки бесполезную , за любой прогул нужно отчитываться будто тебе не 20 лет ,а 14 , потому как « кроме герцена , в твоей жизни не должно быть ничего» , « либо берите академ» как сказала наша преподша :)))

Сами учителя все время опаздывают на пары , либо отменяют их буквально за час , когда ты уже сидишь в корпусе или едешь в метро. 
Очень видно что учителя там не любят свою работу , нулевая толерантность, ждите оскорбления по любому поводу , за внешность , одежду и тд. Я не представляю насколько нужно быть злыми людьми,  чтобы настолько старательно пытаться всеми силами испортить студенческую жизнь ( видимо завидую молодости студентов или ещё какими-то факторам ). 

Уровень образования,нулевой. Больше это похоже на самообразование и школу жизни.
Если ты не дай бог совершишь ошибку на паре,  они готовы живьём тебя съесть, унизить , сказав , что ты умственно отсталый и вообще нафиг сюда приперся.
Не важно , что ты посещаешь почти все пары и делаешь все задания, тебя все равно будут давить со всех сторон, и регулярно унижать, пугать отчислением. 

После первого курса я поняла, что мне некомфортно учиться там , во-первых я поступала на лингвистику , с целью получить многофункциональное образование , но с той программой , что была там , я осознавала , что кроме училки или библиотекаря вариантов кем-то стать там не будет 

После первого курса из 15 людей нас осталось 4 :)) блиииин, удивительно почему……?)


Второй курс был вообще адским , так как у меня была облысевшая группа , у преподавателей начали выстраивается личные отношения , если ты не вызываель своим внешним видом раздражение у преподши - скажи спасибо , это благодать, за прогул звонили родителям, если ты сидишь с улыбкой и слушаешь всю пару про сына и поездку на Байкал от преподши- ты хороший , если тебе не интересно- ты грязь , мусор, и вообще не достоин даже 3.

В  целом , я почему- то не нравилась преподавателям двум основным по французскому (они были подружками) они меня унижали , очень пренебрежительно открыто относились ко мне , там было куча ситуаций ужасных из-за них , я в середине второго курса уже решила переходить в другой вуз и эти две женщины узнали , что я уходить хочу и специально завалили мне сессию .

« зачем вам уходить, ведь герцена- лучший вуз!!!» 

Это вообще был сюр.  

( я ходила на все пары , на которых никто ничего не делал, так как училка сама распиздяйка была , опаздывала на пол пары или вообще не приходила или приходила давала задание и уходила на всю пару или отменяла пары постоянно) то есть как такого обучения  не было , но она сказала , что я плохо «работала» за семестр и поставила в итоге  всем зачет автоматом ,и вот я сдала уже два экзамена английский и французский, и мне она говорит за день до последнего экза , что мне одной зачёт надо сдать , она написала старосте что всем зачет , но видимо она передумала на счет меня ",negative
"


Итак, я только поступил, а проблемы не заставили себя ждать.
Во-первых, слово &quot;организация&quot; сотрудникам этого ВУЗа просто неизвестно. Нас выставили на линейку под дождем и заставили стоять час. Никакой студенческой жизни нет, не организовали вечеринку, как это бывает, только предложили странные квесты, которые никому не были интересны. 
Хуже всего другое. Я учился в другом университете, и такого кошмара там не было. Если в другом институте ты знаешь списки за неделю до начала учебы, тут ты в день занятий вынужден бегать и выяснять, почему тебя и еще половины студентов нет в базе данных. Отсюда вытекает другая, пожалуй, самая главная проблема: крайне неприятные вышестоящие сотрудники, зам директора, через которую все проходит. П********* Е. А. - человек, которая сразу создала резко отрицательное впечатление. Грубила, общалась неуважительно, высокомерно, как со студентами, так и с родителями. Провела ужасный инструктаж, который потратила исключительно на запугивание студентов и на проблемы в духе &quot;вы обязаны поднять руку и спросить, чтобы выйти в туалет!!&quot;. Мы что, в пятом классе? Никакой попытки воодушевить, поздравить студентов, которые прошли тяжелые испытания ...Показать полностью...в виде ЕГЭ.  Я слышал, как она заявляла матери студента, что его отсутствие в списках &quot;не ее проблема&quot;. Студенты, которые просят перевести их в другую группу получают отказ, даже если есть уважительная причина. Университету все равно, что вы не можете приехать, ВНИМАНИЕ, к 8 утра из другого конца города. Ваш комфорт не волнует этих людей, они взяли деньги и довольны. Немаленькие деньги, больше 200 тысяч. И это, господа, только первый день учебы. Страшно представить, что ждет тех, у кого эта женщина будет преподавать. 
",negative
"


РГПУ им. Герцена... Не ведитесь на красивые речи в дни открытых дверей, поищите лучшие альтернативы для поступления. Вне зависимости от выбранной специальности, организация в данном учебном заведении не просто хромает, она отсутсвует. 
К началу учебного года расписания занятий нет или оно меняется со скоростью света. Не удивляйтесь, если в середине года появится дополнительная пара по физ-ре в середине дня в субботу и преподователь в это время будет пить чай у себя дома. На практике ждите полную неразбериху, когда вы будете вынуждены писать преподователям для уточнения информации, о которой они впервые слышат.
Теперь конкретно о ИИЯ.  Корпус эпохи динозавров, есть всего 3-4 аудитории с нормальным оборудованием. Реальная история: преподователь во время лекции поставил свой крошечный ноутбук на стул, затем стул поставил на стол, представили картину? И смешно и грустно. 
Деканат, зам. директора ИИЯ - без слов. Забудьте о хорошем настроении, входя в их двери. Есть вопросы? Ищите ответы самостоятельно, &quot;здесь каждый сам за себя&quot;. Есть аккадемические задолжности? Готовьтесь, что Вам лично зам. директор пригрозит отчислением. Бегать за преподователями Вы также должны сами, чтобы...Показать полностью... они уделили Вам время для пересдачи. 
Теперь конкретно о преподовательском составе, немецкий язык. Здесь есть настоящие профессионалы, которым хочется выразить респект и сказать ОГРОМНОЕ спасибо! Т***** О.И, К***** E.Г., C******** E.A., С******** И.О. - объективные, строгие и первоклассные преподователи. 
Что касается изучения второго иностранного языка (английский) - тихий ужас. Преподователем может оказаться сотрудник деканата, могут быть и дистанционные пары всего один раз в неделю. 
Пары по дисциплине &quot;Педагогика&quot; с Б******** E. A. наполнены атмосферой токсичности и предвзятости:)
Общее впечатление за все годы в данном университете - отрицательное. И даже крутые преподователи первого иностранного не сглаживают всех минусов данной огранизации:( 
",negative
