Text,Mark
"


Отзыв на факультет психологии ЛГУ им. Пушкина, который, я надеюсь, поможет кому-то сделать правильный выбор в пользу других учебных заведений, мне в своё время ужасно не хватило адекватного взгляда на данный вуз, о чем я жалела все 4 года своего бакалавриата. 

Кому подойдёт этот вуз? В целом, на мой взгляд, людям, у которых много времени на то, чтобы тратить его на всякую чушь (лекции и практики в половине случаев бесполезные, потому что преподаватели часть вещают не по теме, а на практиках включают видеовебинары/раздают доклады для группы, но пропускать их из-за системы брс чревато пересдачами и 3 в зачётке), нет особого желания что-то делать, так как требования к студентам минимальные, и для тех, кому нужна галочка в получении образования, потому что за дипломом в этом университете не стоит практически никаких знаний (зато - его легко получить, ни разу не видела, чтобы кого-то отчисляли).
Кому не подойдёт этот вуз? Всем тем, кто хочет получать знания, кто не готов затыкаться по указанию сверху, кому хочется комфортного учебного процесса. 

Первая беда психфака - его местоположение. Это такое очко, что если вы живете не в общежитии, то на пары к 9 вам нужно выходить за 1,5 часа, ...Показать полностью...если вы живете у метро проспект ветеранов, для тех, кто в другом месте - прибавлять время до станции метро, чтобы ждать в любую погоду практически единственный 486в автобус, время ожидания коего варьируется от 20 до 60 минут. Да, зимой на холоде, в 7:30 утра, ждать маршрутку целый час в компании ещё нескольких десятков студентов, чтобы потом мчать в переполненной консервной банке стоя целый час. Такая себе перспектива приятного утра, которая ждёт вас на ближайшие 4 года. Есть другой вариант - общежитие. Но в таком случае забудьте про работу в городе, или вечерние прогулки. Чтобы добраться до офиса на м. кировский завод я выходила за 2,5 часа, чтобы в худшем случае час ждать автобус. Последний автобус из города уходит в 23, следовательно, все тусовки оканчиваются в 22 часа, чтобы успеть добраться до остановки. Никаких тебе концертов, театров, работы в вечерние смены. Ах, да, никаких проездных на этот автобус, и даже нет возможности оплаты по карте или подорожником - будь добр носить в кармашке 55 рублей наличными или постоянно переводить по номеру телефона из банка онлайн. Счастливым обладателям машины нужно только найти парковочное место, не уверена, насколько это трудно, но парковки у университета нет. 

Вторая беда - общежитие.Это 4 душа на примерно 160 человек (в комнатах живут по 2-3 человека, в общежитии как правило 64 жилых комнаты на 4-х этажах), которые работают не круглосуточно (а ещё тут постоянно перебои с горячей водой, ее не бывает неделями), совковский ремонт, деревянные скрипучие полы, отсутствие шумоизоляции, невероятно маленькие комнаты для троих - еле влезают три скрипучие кровати, шкаф купе и один небольшой стол. Периодически отключают свет. Справедливости ради - очень тепло, своя котельная позволяет топить при первых холодах. А ещё полное отсутствие такта со стороны комендантов, которые будут влетать в твою комнату без стука. 

Третья беда - процесс обучения. Преподаватели зачастую никакие, есть несколько приятных исключений, но в целом вы уйдёте из университета с тем багажом знаний, который могли изучить самостоятельно при необходимом уровне мотивации за 6-12 месяцев. Огромное внимание уделяется второстепенным дисциплинам, например физкультуре и БЖД. Экзамены (почти все) простейшие, никаких семинаров и практик (все практические занятия - это чтение докладов друг-другу). Ситуация с которой вы столкнётесь к защите диплома и госам - необходимость накрыть стол для уважаемой комиссии потому что это «традиция». Лично моя группа в кол-ве 20 человек скидывалась в целом по плюс-минус 3к. Опять таки, справедливо отмечу, что есть и хорошие преподаватели, и интересные курсы, но они, к сожалению, составляют очень малую часть

Дополнительными баллами в пользу (нет) этого университета является то, что он АБСОЛЮТНО провластный - вас будут заставлять ходить на выборы и рекомендовать голосовать за ",negative
"


По пунктам:
1) Из преподавателей компетентны единицы (в основном с других факультетов). Заведующая кафедрой в том числе. 
2) Все сопровождается лютыми истериками, воплями, оскорблениями студентов.
3) В последний момент сообщают о срочных заданиях.
4) На ГОСах в маге валят тех, кто у них не учился в бакалавриате. Мне так зарубили красный диплом, просто не дав отвечать на билет и засыпав углубленными вопросами по теме, вообще никак не связанной с моими научными интересами и ВКР. Своих так не допрашивают. При этом ГОСы по истории России, преимущественно СССР. Другой истории для них не существует.  
5) Не знают методологию, требуют зубрежки фактологии, хотя сами же лицемерно заявляют, что магистры должны знать принципы, а факты никому не нужны.
6) Хотя дисциплина - &quot;историческое образование&quot;, требуют углубленное знание 20 века в СССР - и ничего кроме не дают, не признают и не способны понять.   
7) Каждый семестр - практика формата &quot;найдите статьи по истории повседневности по теме ВКР&quot;, и плевать, если тема ВКР не имеет никакого отношения к истории повседневности. 
Не вуз, а шарага, явно ставящая своей целью оскорбить и унизить студента. Преподаватели - нереализовавшиеся в науке типы, пытающиеся самоутвердиться за чужой счет. 
Бегите из этого т.н. учебного заведения. ",negative
"


Трудно говорить про весь вуз в целом. Случилось мне побывать во многих университетах и везде одинаково гнилая бюрократическая система. Но, как известно, университет (или хотябы факультет) делает не административный персонал, а преподаватели. А с ними все в целом здесь хорошо. 

Как и везде непрофильные дисциплины ведёт не понять кто, а вот профильные дисциплины преподаются очень достойно, школа филологическая (русский язык и литература) сильная. Не знаю у кого как, но мне приходилось прикладывать определённые усилия на протяжении всего времени обучения. Просто так ничего не ставится. За многочисленные пропуски отчисляют, так что курс редеет. Если хотите &quot;три&quot;, то её и не очень сложно получить, но что-то выше — сложнее. В целом, я оказалась довольна, потому что готовят серьёзно. Преподаватели работают практически персонально с каждым заинтересованным студентом. На первых курсах включают в научную жизнь (конференции и т.д.). Внеучебная жизнь плохая, как и расположение.
За годы обучения кафедра стала как семья в какой-то степени, потому что курсы небольшие. 

Плюсы: 
— Высокий уровень подготовки (если видят заинтересованность, то обучение ещё лучше) 
— Профессиональные препо...Показать полностью...даватели, многие из них очень современные (в научном смысле в том числе) 
— Уютные аудитории
— Упор на науку (качественное научное руководство, а не просто на бумажке)
— нет коррупции, как в некоторых вузах. 

Минусы: 

— Расположение (поездки в Горбунки вспоминаю с болью). Но если вы живете в ЛО или в дальних районах СПб, то прям возле корпуса есть общежитие. Про него ничего сказать не могу. 
— Административный персонал весь. Как и везде. Всё устроено очень криво. 
— Внеучебная жизнь. 
— Слабые курсы по зарубежной литературе
— Слабое преподавание английского языка",positive
"


При поступлении обещают заселить всех, но умалчивают об условиях проживания, тем кому не хватило места в общежитии в Павловске живут в спортивном зале, до тех пор пока в комнаты не доставят двухъярусные кровати, получается что в одной комнате живут по 6-8 человек, в таких условиях даже встать с кровати одновременно не получается, потому что не хватает сворного пространства. Проводка в общежитии Павловска в аварийном состоянии, регулярно выбивает пробки у всего здания и приезжают аварийные службы, но ничего так и не меняется, феном пользуются в коридоре, холодильники в коридоре, так как там усиленные розетка, кухни всего 2  на всю общагу, персонал общежития любят устраивать &quot;рейды&quot; шаря по личным вещам студентов в поисках электроприборов, дверь открывают своим ключом. В таких условиях не возможно чувствовать себя не то что даже комфортно, а просто  безопасно, после жизни в этом общежитии вам обеспечены вздрагивания тревога и страх после каждого стука в дверь. По поводу учебы есть преподаватели которые любят свое дело, есть те, кто отсиживает пары и никак не заинтересованны в своем предмете, преподавателей из второй категории подавляющее большинство. В администрации факультета ЕГиТК к студентам отношение надменное и вообще мы должны знать свое место и &quot;иерархию власти&quot; в этом заведении. Если есть возможность поступить в другой университет, лучше ей воспользоваться.",negative
"


Я училась в Лгу им. А.С. Пушкина на протяжении 2 лет на специальности &quot;Юриспруденция&quot;. Если честно, то у меня не было особого желания быть юристом, но на момент подачи заявления  я почему-то подумала, что юридическое образование всегда где-нибудь пригодится. Мне бы хотелось оставить положительный отзыв и рассказать, как тут всё прекрасно, но в действительности это не так. Начнём по порядку. 
1. Общежитие. 
Это единственное, что я могу похвалить. Во-первых, мне досталась общага, которая находилась прямо на въезде в г. Пушкин и соединялась коридором с самим вузом, что, несомненно, очень удобно. Не нужно вставать за 3 часа до пары и лихорадочно бежать на автобус. Общежитие само по себе коридорного типа, т.е на каждом этаже длинный коридор с множеством комнат(проживает 4 человека). На всех у вас будут 2-3 стола, 2 двухъярусные кровати, 2 шкафа для одежды, несколько тумбочек, холодильник и пару полок. Прачечная находится в самом низу, рядом с душем, который работает по будням с 6:30 до 22, а по выходным, если не ошибаюсь, с 7 до 22. Будьте готовы к тому, что прачечная платная. Если вы стираете утром, днём и вечером, то стирка будет стоить 80 рублей, ночью же 60. В самом общежи...Показать полностью...тии всё довольно чисто и аккуратно, каждый день приходит уборщица. Если вас что-то не устраивает в комнате или, например, плохие отношения с соседками, как это было у меня, всегда есть возможность переселиться. Вас  выслушают и помогут. Общежитие, к слову, стоит 1818 рублей с этого года. 
2. Учёба.
Учёба в этом вузе для меня была ни о чём. На первом курсе много ненужных предметов: экономика, логика, психология и т.д., но это бич всех университетов. Зачастую преподаватели по непрофильным предметам требовали в 2 раза больше, чем по профильным. Некоторые из них постоянно опаздывали на пары, из-за чего мы проходили меньше положенного. Но есть и те, кого могу выделить, как действительно достойных и профессиональных. Это преподаватель по ТГП(теория государства и права), замечательная женщина, которая очень интересно преподносит информацию, при этом коммуницируя со студентами и заставляя их напрячь мозг. Также преподаватели по римскому, уголовному и ИГПР(история государства и права России).
Готовьтесь, что на протяжении 1 семестра 1 курса у вас будет латинский язык, который высосет из вас все силы. Лично у моего курса было так. Из-за конфликта с преподом нам пришлось учить все слова и выражения, которые есть в словаре, пересдавать по нескольку раз контрольные работы и 4 часа переводить какие-то предложения на зачёте.
3. Деканат. 
Почти все люди, сидящие в деканате, готовы вам помочь. Но вот если говорить про самого декана юридического, то это сущий кошмар. 1 сентября во время сбора факультета эта женщина называла ребят, приехавших из других городов, быдлом, которое должно понимать, где оно находится. Когда я отчислялась, она провела мне &quot;профилактическую беседу&quot;, говоря, что если я уйду, то либо никуда не поступлю и останусь сидеть у забора, либо буду жить на 20 тысяч в месяц в нищете; что мой единственный шанс устроиться в жизни - это удачно выйти замуж; что без юридического я -никто; что мои родители ограниченные, если позволили мне отчислиться и много других лестных слов. От ребят с исторического знаю, что у неё плохие отношения с другими деканами. 
4. Студенческая жизнь. 
Если вы хотите активно проводить свою студенческую жизнь, то в университете есть несколько спортивных клубов (футбольный, волейбольный, баскетбольный, лёгкая атлетика, бокс), танцы, театральный кружок, КВН, иногда проводят киновечера, на которых все желающие собираются в актовом зале. Однако я не знаю, на каком это всё уровне, так как мне было всё это не совсем интересно. 
Это безусловно ваш выбор, поступать сюда или нет, но я бы советовала присмотреть варианты получше, ибо не думаю, что вы останетесь довольны данным заведением.",negative
"


Что можно сказать о данном высшем учебном заведении..
Сброд абсолютно не адекватных, как личностей и из преподавательского состава, так и всей администрации вплоть до ректора. В разгар эпидемии мы обязаны заниматься очно, в вузе не принимаются никакие меры по предотвращению распространения болезни, преподаватели позволяют себе издеваться над студентами, никакой преподавательской программы не поставленно, отвратительное отношение со стороны администрации к студентам и это за то, что этим скотам мы платим деньги за обучение. Как отдельный случай, то мне было отказано в больничном по причине болезни, с официальной медицинской справкой. Свинское поведение преподавательского состава в совокупности с завышенной самооценкой членов администрации заставили меня вытерпеть многое в этом богом забытом вузе. Преподаватели - те люди, которые должны первые приходить нам на помощь, давать совет, они загоняют ещё сильнее в депрессию своими запугиваниями и презренным и предвзятым отношением, никакого педагогического образования, просто бездарный сброд личностей с какими-то купленными дипломами. Люди, которые должны заботиться в первую очередь о нашем Здоровье, они берут на себя ответственность за нас(это касается администрации и начальства вуза) сами сидят по домам и детей своих наверное не пускают никуда, просто позор за это ещё деньги платить..",negative
"


Очень хороший и качественный вуз! Я очень рад, что поступил сюда когда-то, ведь очень боялся ошибиться с выбором учебного заведения.
Плюсы вуза:
1) Преподавательский состав. Бесценен. Да, есть очень строгие учителя (порой со своими тараканами в голове), но ни один из них не доходит до маразматических поступков. Повторюсь, преподаватели шикарные (ощущение, будто они знают все по своему профилю). Они лояльны, терпеливы, добры, уважительны и всегда (без преувеличения) идут навстречу ученику. Это не может не радовать! Сессия проходит хорошо, если учишь всё, что от тебя требуются по программе.
2) Дисциплины. У меня есть много друзей, которые поступили на те же факультеты, однако только я могу похвастаться таким обилием учебных предметов. &quot;Если уж изучать какую-либо сферу науки, то изучать со всех сторон!&quot;. Даже самые сложные дисциплины преподносятся максимально доступно и подробно. 
3) Библиотека. Очень уютное помещение. Книг (особенно учебных) не то, чтобы с достатком, но и не мало. Студента никогда не оставят без материала - преподаватели и библиотекари сделают всё, чтобы ты получил нужный учебник. Доступна и бесплатная электронная библиотека для студентов. 
4) Столовая. Дов...Показать полностью...ольно хорошая. Еда вкусная и относительно недорогая (для Петербурга - очень дешево, для провинции русской необъятной - немного дороговато). Но эти очереди в обеденный перерыв...
5) Персонал. Добрые охранники и охранницы, замечательные уборщицы, плотники, сантехники! В целом, стоит отметить очень уважительное отношение со стороны всех работников вуза. Конечно, бывали конфликты (но как без них). Однако никто не забывает о личных границах.
6) Перспективы. Приложив немного усилий, можно спокойно улететь в Германию и в Италию по программе международного обмена. ВУЗ принимает участие в огромном кол-ве конкурсов разного масштаба, создает свои. СНО развито. Здесь учатся талантливые ребята, с которыми можно сделать совместный проект. Преподаватели помогают с научными работами. 
Минусы вуза: 
1) Горбунки. Это ужасная деревня, в которой находятся несколько факультетов. От центра Петербурга - 1,5 часа (метро +автобус). БСК не работает именно на автобус в Горбунки)0 Обстановка так себе. В общежитии жить невозможно из-за тесноты и ремонта 2000х годов.
2) Студенческая жизнь. Её здесь практически нет - верхушка подавляет инициативных ребят. Да и какая студжизнь может быть в Горбунках? Банально расположение филиала все портит. 
Я бы рекомендовал этот ВУЗ. ",positive
"


Уважаемые абитуриенты, если вы хотите поступить в Ленинградский государственный университет им. А.С. Пушкина, не надейтесь на компетентность и внимательность работников приемной комиссии! Изучайте САМИ правило подачи документом и следите и изучайте каждый документ, который вам они выдают, т.к. разговаривать и что-то объяснять они не считают нужным, сидят, как на конвейере, выдают бумажки и &quot;до свидания&quot;. Моя дочь не поступила в данный ВУЗ на бюджет, на факультет иностранных языков, хотя количество баллов было проходным т. к. работник приемной комиссии  оформил ее на другой факультет, как они объясняют, ошибочно. Работник приемной комиссии даже не извинился и вел себя очень дерзко! Исправить они ничего не смогли, по их версии.  Впечатление от ВУЗА отвратительное! ",negative
"


Сразу о главном.
1.ЛГУ им.А.С.Пушкина является областным(региональным) вузом, а не всероссийским. Поэтому судить даже строго и не надо. 2/3 студентов здесь учатся по вынужденной мере (не поступили в питерские вузы или причалили с края страны). Общежитие прямо на уровне и всех других российских общаг. Полученный уровень знаний все равно зависит от вас самих. Множество программ обучения в отличие от всей страны сохранились с советской научной системы образования, в частности педагогические направления обучения, дающие двухпрофильное пед образование по двум наукам... Тогда как в Герцена готовят по одному профилю.

Плюсы:
1. Реально развивающийся вуз, который стремится и старается устоять хоть в каком-то топ-е вузов РФ.
2. Здесь существует человеческий фактор, при котором могут дать шанс исправиться и получить первую ступень высшего образования
3. Благоустроенный, собственный, современный кампус в Пушкине, за исключением такой себе парковки. Мебель в порядке, в основном закупают новую.
4. Активная студенческая жизнь, развита экологическая и развлекательная деятельность. Очень много мероприятий и концертов.
5. Научная деятельность на среднем уровне. В основном развита дизайнерская напра...Показать полностью...вленность и юридическое дело. Проблема в одном, в ВУЗ приходят неактивные студенты,которые не заинтересованы в научной деятельности.
6. Данный университет незамедлительно получает аккредитацию по всем направлениям обучения. 

Минусы:
1. Бюджет вуза довольно шаткий, вместо турникетов вас каждый день встречает охранник, всматривающийся в ваш студак.
2. Этот вуз стремится, сам не зная к чему. За последнее время в университете закрепилась довольно серьезная дисциплина порядка обучения. За некоторое число пропусков отчитывают и относятся с особым презрением. В частности собирают комиссию, которая может спокойно утвердить ваше отчисление. Но возможно это и делает вуз более устойчивым на образовательной арене страны.
3. Общежития все заняты приезжими, а необходимость в них большая, т.к вуз областной.
3. С каждым годом можно заметить, что факультеты вуза разъезжаются по другим местам Лен.области и окраин СПБ. К примеру факультет ЕГиТ в 2019 из главного корпуса переехал в Павловск неподалеку от деревни Глинки. 1,5-2 часа в пути, если вы из города. И кому захочется 4 или 5 лет ездить туда каждый день? Также и с Фил.факом, который располагается в Горбунках, и т.д
4. Бюджетных мест реально мало. Цены на договор не  соответствуют качеству образования. Конкурс растет.
5. Ну и организация не айс. Как и во всей нашей стране. Расписание в начале года часто меняется, многих абитуриентов и студентов не предупреждают о различных изменениях и т.п *
6. Стипендии... без комментариев. 1484 РУБЛЯ ",medium
"


Посмотрела, что у вас мало отзывов про ЛГУ им А.С.Пушкина, решила исправить ситуацию. Для начала скажу, что я рекомендую факультет иностранных языков в этом ВУЗе. Я сама там училась, профиль педагогическое образование. Могу во всех красках рассказать об университете и факультете в частности. Когда я постучала мои баллы ЕГЭ были больше 260, но училась на платном так как 15 из 20 бюджетных были отданы целевикам. Но сейчас ситуацию исправили, 
Универ: 
Приятный снаружи и внутри, все чисто, убрано, мебель новая, кабинеты светлые ( как правило в конце семестра есть день , когда преподаватель приходит на пару с набором инструментов и вся группа вместо пары отдирает жвачки от парт и стульев, но все это принимается с благодарностью так как это возможность похалявить , пожалуй одна из немногих ). Большая столовая с одной раздачей ( можно купить первое, второе и десерт с компотом, как правило каждый день предлагаются 2-3 гарнира и 4-5 мясных блюд - все тёплое, редко горячее, 3-4 салата, чай и напиток ягодный) и два буфета ( здесь продают булочки, шоколадки , кофе, соки и тд. А также можно купить салатик и шницель ( здесь их достанут из холодильника и разогреют в микроволновке. Все очень дёше...Показать полностью...во, поесть можно на 100 рублей.
С учебными классами в последние годы появлялись трудности, как-то на последнем курсе у нас была пара в столовой. Все это потому что университет набирает обороты, и принимает все больше студентов. Но над этой проблемой работают : в прошлом году открыли новое здание и для эксперимента перенесли туда один факультет, в новом году туда же переедут ещё пара других (какие точно не знаю), ещё слышала, что собираются открывать ещё одно здание, и обещают в скором времени решить все трудности с аудиториями.
Активности:
 с ними тут туговато, хотя, конечно, найти можно. В универе работают бесплатные спортивные секции, есть своя газета, научное общество - о котором знают немногие, проводятся конкурсы типа Мисс/Мистер ЛГУ и шоу талантов, КВН - все это из общедоступного. На инязе есть фонетический конкурс, иногда бывают встречи с представителями языковых школ или методистами - но о таких мероприятиях почти ничего не известно и попадают на них студенты случайно, но обычно это никого не тревожит. 
Преподаватели и предметы: 
тут от вас много, что зависит, но если вы адекватно к ним относитесь, то и они к вам. Все очень тактичные, обращаются к студентам на «Вы» , что было очень непривычно на первом курсе, помогают адаптироваться, если вы допускаете ошибки, то их исправят очень корректно, не оставив студенту психологической травмы. Отдельно хочется выделить преподавателей факультета: Е.В.М*******, С.В.И******, Е.А. Б**********, М.Е.Л******, Ю.В. Г******, Е.А.Д*******, они потрясающие и по преподаванию и по отношению к студентам!!! Другие тоже очень хорошие, но есть нюансы.
Предметы есть общеобразовательные, к ним относятся бжд, информатика, философия и тд с ними все довольно легко, но ходить на них надо обязательно, и есть профильные : фонетика, грамматика и тд - тут будьте уверены вам все разложат по полочкам и не отпустят пока вы не усвоите хотя бы минимум, по таким предметам обычно много домашки, много надо учить и работать. Есть ещё предметы по выбору, но честно сказать, что выбора нет, вас никто не спросит, но это вообще тоже мало волнует студентов, по крайней мере я не слышала никаких возмущений.
К посещаемости относятся серьезно особенно на первых курсах, считается, что это проявление уважения к преподавателям, но если ты прогульщик, на экзамене или зачете с тебя спросят так же как и с тех, кто ходил, сдашь ты едва ли, потому что в университете действует БРС ( 60 баллов набираешь за семестр( тут у каждого преподавателя своя система: кто-то ставит баллов только за семинары, кто-то учитывает и посещаемость) и 40 балов на экзамене, для того чтобы получить 3 нужно набрать в сумме 60 баллов, хотя некоторые преподаватели ставят автоматы для это необходимо за семестр набрать больше 51 балла и тогда 5 у тебя в зачётке. 
Физра - это отдельная история, для зачёта допускается только один пропуск без уважительной причины, уважительной причиной является только болезнь, при этом освобождение после болезни тоже надо отрабатывать, но там какая-то своя схема.
Практики: 
На инязе их 3 в школе и 1 в лагере, обычно место ищете вы сами, можно уехать домой, если вы не из СПб, если у вас сложности с поиском места практики преподаватель поможет, у нас ни у кого не возникало никаких проблем, все самостоятельно или с помощью преподавателя находили себе место) после практики нужно предоставить отчёт, как его сделать расскажет преподаватель, мы также могли обращаться к ней 24/7 в соц. сетях с вопросами.
Госы и ВКР:
Все вполне реально сдать! Единственное научного руководителя надо выбирать с умом. Мой научный руководитель, например, закрывала дверь перед моим носом, а у моего одногруппника, была другая, так она регулярно встречалась со своими подопечными и все им разжевывала, объясняла.
А, отдельно хочется сказать про деканат: с деканом лучше дел не иметь вообще, с виду весьма приятная женщина, но на деле мутная и непонятная, может улыбаться, но создаётся такое чувство будто бы плюет в тебя, её не особо любят студенты и преподаватели, но существовать она не мешает и если вы на педагогическом, увидитесь вы с ней только в коридоре или если сами придёте в её обитель. 
Зато зав. английской кафедры - это чудо! Грамотная, тактичная и очень интеллигентная!
Зав. немецкой - приятный мужчина.
Секретарь в деканате, студентами занимается в основном она, очень милая и доброжелательная, всегда все подскажет и утешит.
Деспечер- составляет расписание, я не знаю как ей это удаётся, но у нас ни разу не было дырок в расписании, все четко!
Что касается возможности академа- забудьте, вам откажут по миллиону причин, или если вам надо досрочно сдать сессию - официально вам никто не разрешит, только если лично со всеми преподавателями договоритесь. Перевестись с платного на бюджет это из разряда миссия невыполнима, даже если вы супер студент - отличник, победитель миллиона конкурсов. По крайней мере такая ситуация была на моем факультете.
Взятки:
На инязе ИХ НЕТ!!! За четыре года НИКТО НИКОГДА НИЧЕГО не требовал. На первом курсе был День учителя и мы принесли преподавателю букет от группы, она не взяла и сказала больше так никогда не делать. А как-то преподаватель мне очень сильно помог, хотя и не должна была, так как это не касалось напрямую учебного процесса, я тоже принесла подарок, она не взяла. Перед госами и защитой нам ЗАПРЕТИЛИ что-либо дарить комиссии и даже накрывать на стол, хотя я знаю, что на некоторых других факультетах ребята приносили цветы. 
Единственное знаю, что на факультете физкультуры есть преподаватель, которая за символическую плату закроет вам пропуски и нарисует отработки. 

В целом, ЛГУ это правильный выбор если вас интересуют прочные знания. У нас были все пары по расписанию, никогда не было такого, что мы пришли, а преподавателя нет. Если преподаватель отменял пару это происходило заранее и её обычно ставили дополнительно в другой день. 
Ещё один плюс это цена обучения. Приблизительно 100 тыс. за год по сравнению с тем же Герцена, где 200 с лишним, кстати к нам переводились ребята из Герцена.
Отзывчивые и знающие свой предмет педагоги, с абсолютно адекватными требованиями.

Из минусов, пожалуй, практически отсутствие международных связей у университета, хотя над этим упорно работают.

Если бы мне пришлось ставить оценку ЛГУ, я бы поставила 9/10 так как нет предела совершенству.",positive
