Text,Mark
"


Вот и подошёл к концу 5 семестр, а значит, пора писать отзыв на табитуриенте :). Как всегда, начну с учёбы, а потом перейду к общей оценке семестра. Предметы — в порядке убывания полезности.

—— Дискретный анализ
Во втором семе дискрана изучали сжатие текстов, графы, динамическое программирование и жадные алгоритмы. Препод всë такой же кайфовый, лабы всë так же нужно сдать до экзамена. Они, кстати, влияли на оценку сильнее, чем в прошлом семе, так что даже есть смысл их сдавать вовремя). На экзамене спрашивал справедливо, даже в некоторых местах лояльно. Ещë в этом семестре есть курсач, но он на допуск к экзамену не влиял.

—— ТВиМС
Изучали точечные и интервальные оценки и их ошибки, проверки гипотез. Семинарист попался шикарнейший, объяснял всë предельно понятно, лектор, как и в прошлом семестре, всё разжёвывал и рассказывал, как надо. Зачëт состоял из 4 задач, теорию нужно было рассказывать, только если хочешь 5.

—— Базы данных 
Были большие надежды на этот предмет, но всё обломалось, когда лектор в стиле Сами-знаете-кого открыл свою методичку и начал читать из неё формулировки, полные воды, непонятные определения и устаревшую информацию. В очередной раз попытка математически оп...Показать полностью...исать то, что описывать математически не надо, обернулась потоком дурацких формул, которые сложным языком описывают простую выборку из таблицы. Лабы мы сдавали старому доброму дедушке, и вот уже в них можно было попрактиковаться с SQL: писали запросы различной сложности и даже сравнивали их по времени выполнения. В конце был курсач в группах, нужно было написать на чём хочешь простенькое графическое приложение и встроить туда БД.

—— Английский язык
В этом семе вела молодая хорошая преподавательница, требования к зачëту очень лояльные. У другой группы вела супер неприятная женщина, в конце сема они вообще сильно разругались, так что будьте готовы). 

—— Физика
Все 2 прошлых сема лектор пугал нас, что на экзамене будет спрашивать очень строго, в итоге на пересдачу отправилось пару человек из всего потока: спрашивал суперлояльно, задавал наводящие вопросы, но такие, что придëшь ты к ответу, только если что-то знаешь. Семы у всех групп вëл он же, так что из-за сокращённого количества лекций это по факту были дополнительные часы с лекциями. 

—— Компьютерная графика
Изучали на лекциях мы фиг знает что, лектором у нас был руководитель всего 8-го факультета, поэтому ежегодная истерия с прививками тут сыграла нам на руку: сделал прививочку — автомат 4. Лабы по этому предмету никто конкретно не вёл, они состояли из сдач самих лабораторок тому же преподу, что и по БД. Темы были стандартные: построение кривых, отрисовка объёмных фигур, анимация, свет и шейдеры.

—— Комплексный анализ
Лекции вёл местами неприятный, но в целом терпимый дедушка, семинары проводил довольно пассивный во взаимодействии с нами мужчина, но объяснял он нормально и ставил плюсики за активность — а это главное. Зачёт был дистантом, так что сдавать было полегче, но если бы сдавали в аудитории — четверть потока бы точно свалилась на теории, учитывая, как рандомно он спрашивал темы из всего курса. Изучали всё, что в 1-м семе матана, но про комплексную плоскость, плюс особые точки и нахождение интегралов.

—— Функциональный анализ
Уже на первой лекции стало понятно, что это за предмет: куча каких-то определений, теорем, доказательств, которые нужны фиг знает зачем. В семестре были 2 контрольных, советую их написать хорошо. Такой лафы, как у нас, больше, скорее всего, не будет, но они точно повлияют на оценку экзамена. У прошлого курса была уйма пересдач, нам он решил сделать вот такой подарок и сильно учесть контрольные — у следующих курсов, думаю, всë побалансится. 

—— Военная кафедра
Изучали разную инфу про сети, антивирусы и ОС Astra Linux)))). В этом семе снова был приятный подполковник, особо на зачëте не придирался, главное хоть что-то сказать.

—— Основы менеджмента
Совершенно бесполезная ересь, просто потерпите, походите на лекции и сделайте практические работы. В начале сема ты выбираешь компанию и рассматриваешь еë структуру, способ управления и проблемы — на деле всë сводится к заполнению еë таблиц и постоянному переделыванию чего-то, что ей не понравилось. 

———————

—— ДПО
Дополнительное профессиональное образование. В этом году, судя по тому, что эта ср*нь не только у нас, правительство на базе Института доп. образования Иннополиса запустило несколько программ дополнительной профпереподготовки, которые какого-то рожна стали пихать студентам, которым и переподготавливаться не с чего: дипломов-то нет ещё… В конце прошлого сема нам в сумбуре зачётной недели сунули какой-то короткий опрос и сказали:  &quot;Нажмите «да, участвую»&quot;. Мы, конечно, как будущие лучшие умы страны, нажали, и спустя пару месяцев нас заставили подписать заявление о зачислении на эти программы. Кто-то попал на ИИ в дефектоскопии, я нечаянно выбрал суперкомпьютерные технологии)).
Надо отдать должное нашей дирекции: судя по обрывкам информации, которые мы получаем, их это ДПО тоже сильно напрягло, поэтому они постарались максимально смягчить для нас весь процесс. А процесс заключался в выполнении нескольких (по большому счёту необязательных) онлайн-тестов и большого теста в начале декабря. Плюс в 6-м семестре будет какой-то курсовой проект, на который дирекция будет смотреть уже пристальнее.
Чтобы не быть голословным: из чата в телеграмме, полного незнакомых людей, было очевидно, что некоторые пришли по своей воле и реально хотели получить знания и диплом о прохождении профпереподготовки. Получат или нет — это уже другой вопрос. Простым работягам, которых на ДПО загнали силой, остаётся только надеяться, что в 6-м семе нам не скажут: &quot;Делайте курсовой проект, или мы вам сессию не закроем&quot;.

Итог: этот сем, очевидно, выделился из всех остальных очередной подставой. Из плюсов хочется отметить, что дебильного  распределения нагрузки, как в прошлых семестрах, в этом не было. Если правильно распределить время, то можно особо не напрягаясь закрыться без долгов и спокойно уйти на каникулы, что большинство и сделали:).",medium
"


Московский авиационный институт
Оценить это образовательное учреждение (позитивно / негативно / нейтрально) объективно очень сложно, поскольку я обладаю лишь ограниченным количеством информации, накопившейся за все годы обучения, что может исказить финальную оценку ВУЗа. Постараюсь минимизировать присутствие собственного мнения. 

Поступал я по баллам ЕГЭ n-лет назад. Набрал Х (достаточно, чтобы поступить в МГТУ) за Физику, математику и русский язык. По поступлению на первый курс студентов распределяют в группы. Стандартная процедура. Каждая группа прикреплена к определенной кафедре. Формируется поток из нескольких групп с разных кафедр. Этот поток ходит на лекции в таком составе до конца обучения. Записывают в ту или иную группу без согласия студентов, хотя абитуриенты до зачисления указывают предпочтительную кафедру.
Было много случаев попадания студентов, которые планировали учиться на одной кафедре, в другую из-за неправильного распределения деканатом поступивших по группам. Особенно часто были проблемы у зачисленных студентов по целевому договору - в договоре указана кафедра N, а прикрепили человека к совершенно иной. Количество набранных баллов ЕГЭ не имеет преимущества при р...Показать полностью...аспределении. Я изначально попал в группу с людьми, набравшими 120 баллов за математику (профиль), физику и русский язык. Процесс перевода из одной группы в другую (даже в пределах одного факультета) займет несколько недель, в течение которых большую часть времени человек будет пытаться застать на месте работы заведующего кафедрой. Он должен был подписать заявление о переводе, в котором необходимо было указать причину перевода. Далее выносилось решение (одобрить / отклонить) и со следующего семестра, в случае одобрения заявления, деканат прикрепляет к другой группе. 

Желание студентов учиться было никаким (и, полагаю, таким и осталось). Ходили на лекции чтобы посмеяться всем вместе, посмотреть очередной выпуск сериала, поиграть в игры и пр. На семинарах аналогичная ситуация. Кто-то переписывает с доски не вникая в написанное, кто-то не пишет вообще. Держались три года на полученных в школе знаниях. В других группах три человека из двадцати были активно вовлечены в образовательный процесс. Мотивированных и желающих учиться на потоке из 120 - 150 человек было от пяти до десяти. В течение четырех лет остались только пятеро. Из 120 человек на потоке к четвертому курсу на поточных лекциях присутствовало около тридцати. Экзамены сдавали либо списывая, либо преподаватель ставил минимальный бал просто так - за имитацию работы, поскольку преподаватели здесь, в большинстве своем, имеют такое же наплевательское ко всему процессу отношение. Им не важно знаете ли вы материал или нет. Конечно, как и везде, есть исключения. 

Преподаватели рассказывают материал уровня профильного лицея на протяжении четырех лет. Многие занятия отменялись из-за ошибки в расписании или непунктуальности преподавателя, который мог опоздать на 40-60 минут. Иногда занятия отменялись за пару минут до или в течение 20 минут после начала пары. Либо преподаватель заболел, либо в командировке, либо на работе не отпускают / не успевает. Расписание создавалось таким образом каждый семестр. Написать жалобу на деканат? Или на преподавателя? Наказывали усложнением сдачи сессии. Сами преподаватели зачастую не имели никаких морально-нравственных границ. Оскорбления, неуважительная манера ведения разговора, отсутствие желания помочь либо разъяснить материал должным образом. Некоторые профессора были 90+. Некоторые не могли грамотно изъясняться. Некоторые приходили на пары в состоянии не таком, какое необходимо для занятия. Ставили зачеты / экзамены либо за посещение из лекций, где они либо читали по бумажке конспекты уровня все того  же профильного лицея, либо просто &quot;не замечали&quot; списывания. Отправляют старосте методичку (пошаговая инструкция выполнения той или иной задачи), которая не всегда имеет ответы на тот или иной вопрос, что тормозит процесс выполнения задания, и говорят «делайте». Дают задание на семестр сделать курсовую работу, которой нет в обязательном плане обучения, а без нее не примут экзамен либо же его усложнят. 
Приведу несколько наглядных примеров.

о Ракетные двигатели
- От преподавателя постоянно слышались оскорбления в адрес студентов по типу &quot;бестолочь&quot;, &quot;бездельник&quot; и прочие.
- Каждый из группы перепечатывал текст из задачника в формате pdf в файл word, дабы преподаватель имел свой задачник в формате, который ему нужен. 10 страниц минимум.
- Каждый из студентов делал описание одного из двигателей музея МАИ в формате pptx, чтобы преподаватель распечатал и повесил описание двигателей на стенды в музей. Повторюсь, никакой образовательной или сколько бы то ни было интеллектуальной деятельности не было. 
- Преподаватель не читает лекции. Каждый из студентов готовил презентацию про какой-либо двигатель и рассказывал ее на лекции, пока все не выскажутся по разу. После этого - где-то в середине семестра - и сразу после того, как преподаватель получил таблички, текст и пр., лекции прекратились и вместо занятия необходимо было сделать конспект лекции, которую он присылал на почту и загрузить его на платформу ЛМС. После чего, преподаватель выставлял за них оценки, с которыми не соглашалось свыше 14 человек из 20. 
- Преподаватель обязал на праздниках, вместо одного из своих &quot;лекций&quot;, присутствовать на мероприятии от нпо энергомаш в МАИ на втором факультете, поскольку главный конструктор должен был приехать и выступить там с речью. Кто не соглашался, прямая цитата: &quot;... на зачете будете бледными&quot;.
- На первом и втором занятиях все студенты переставляли двигатели в музее, мыли полы, протирали пыль с экспонатов, переставляли столы и стулья, подметали и убирали грязь после предыдущего семестра (каникул). 
- Материал преподаватель отправлял по почте, скопированный из studfile и подобных сайтов, который изучался в предыдущих семестрах на других курсах. Ничего нового изучено / предоставлено не было.
- Две из трех лабораторных работ, которые должны были проводиться в учебной лаборатории с проведением экспериментов на рабочих двигателях, были проведены в формате &quot;конспект файла, отправленного на почту с последующей выгрузкого его на платформу ЛМС&quot;, за что многие получили оценку, гораздо ниже той, котору заслуживали (субъективное мнение). Свыше 12 человек не согласились с оценкой, на что преподаватель ответил, прямая цитата: &quot;ваши проблемы&quot;.

о Прочность летательных аппаратов	
- Преподавателя не было два месяца с начала семестра
- Материал (легкий) выдавался на основе предыдущих курсов, фокусируясь на летательных аппаратах 

о УИРС (учебно-исследовательская работа студентов)
- занятия проводились по расписанию не всегда
- Работа была самостоятельной по поиску информации о ракете / посадочном модуле и пр.
- Нашел готовое, скопировал, получил зачет 
- Кто-то брал готовый доклад с прошлого года и презентовал его снова, не выполняя абсолютно никакой работы

о Детали машин 
- Лекции проводились пожилым преподавателем медленно, нудно, тихо
- Экзамен поставил всем за списанные курсовые и перекопированные чертежи 

о Иностранный язык 
- Постоянный повтор слово в слово за преподавателем правил и предложений 

о Основы строительный механики 
- Пожилой мужчина читал лекции одну две страницы без формул, без рисункоов, без нихуя 

о Основы устройства ракет
- Лекции были редко, часто отменялись 
- Курсовая работа была даже не проверена

о Гидрогазоаэродинамика
- Преподаватель очень пожилой мужчина не мог грамотно построить предложение и доходчиво объяснить мысль, даже самую простую
- В случае, если кто-то переспрашивал что-то - сразу злился и начинал повышать голос
- Экзамен проходил 12 часов 
- Материал выдавался очень разбросано и несистематично, часто без какой-то темы из программы которая обязательна 
- Были случаи нахождения преподавателя в нетрезвом виде 

о Информатика 
- Изучали язык Fortran 
- Лекции проводились по 30 минут, где преподаватель писал программу и объяснял операторы 
- Лабораторные проводились на компьютерах из 80 годов с установленным фортраном
- Часто лекции отменялись / не проводились

о Техническая экология 
- Сдача лабораторных работ гарантировала получение хор на экзамене
- ЛБ сдавались заучиванием пары предложений и предсказыванием из преподавателю 
- Лекций не было вообще 

о Теория Автоматического Управления 
- Лабораторные проводились по методичке, в которой был подробно описан каждый шаг 
- Защита лабораторных проводилась запоминанием ответов предыдущего, поскольку вопросы были одинаковы для всех 

о Уравнения математической физики 
- Занятия часто отменялись 
- Лекции были 30-40 минут
- Материал выдавался просто несколько формул и все 

о Технология конструкционных материалов	
- Лекции не проводились вообще. Преподаватель отправлял файлы на 10-20 страниц, говоря читайте и изучайте сами, там все легко.
- Защита лабораторных проходила свыше 5 часов, поскольку организация сдачи была построена таким образом, что несколько групп потока приходили сдавать лб и ждали своей очереди. Последний человек уход примерно в 10 вечера. Под конец семестра, в очередь вставали за день - два до сдачи лб. 
- Оценивание знаний на экзамене было крайне субъективным и многие получили неуд. из-за незакрытой лб, не учитывая знания по предмету даже если человек все знал.

о Теоретическая механика
- Лекции читал пожилой преподаватель за 92 года. Скучно, тихо, неинтересно листал слайды и читал с них текст, выдавая в основном только формулы. Первая лекция и вторая были посвящены биографии людей внесших свой вклад в развитие теоретической механики. Их даты рождения, привычки, и пр.
- Семинаров почти никогда не было, поскольку молодой аспирант работал в это время часто. Рассказывал одну две легкие задачи на пару формул и отпускал за 30-40 минут до конца пары.
- Экзамен проходил дистанционно. Преподаватель высылал два теоретических вопроса и за 30 минут нужно было написать их и отправить обратно. 

о Введение в инженерную деятельность и Введение в специальность	
- Лекций не было часто. Когда же они были, преподаватель рассказывал об истории КА, РН, ЛА, иногда принципы работы РКС. 

о Математический анализ	
- Лектор начинал практически каждую лекцию с неприятного напутствия на будущее и на конец семетра. Обещал отчислить каждого пятого. Преподавал материал тихо, нудно, неинтересно. Качество самого же материала было уровня физмат школы, где каждую теорему он требовал проговаривать вслух весь поток за ним. Оскорбления и угрозы об отчислении шли каждое занятие. Пару формул, пару теорем и все. 
- На семинарах преподаватель рассказывал материал школьного уровня, без каких бы то ни было усложнений до уровня ВУЗа. Три - четыре легкие задачи за весь семинар и очень долго разбирали каждую, медленно и нудно. Не весь материал курса был разобран в полной мере. 
- Экзамен проходил свыше 12 часов. Весь поток сидел в аудитории и ждал пока придет лектор, чтобы принять экзамен. Три семинариста раздавали вопросы каждый своей группе и проверяли их, проставляя предварительную оценку. После нескольких часов ожидания пришел лектор и начал вызывать по предварительным оценкам. Сначала 5, потом 4, потом 3. Спрашивал один вопрос и ставил окончательную оценку, основываясь на предварительной и этом ответе. 

о Общежитие &quot;Х&quot;
- Здание общежития находится в минутной доступности от парка, метро, торговых центров, магазинов, спортивных залов. Время до университета на Войковской займет не более часа, на Молодежной - не более полутора - двух. 
- Здание имеет: коворкинг, в котором часто учиться приходится в шумоподавляющих наушниках, комната студенческого совета (постоянно закрыта), столовая, в которой предлагаемая еда низкого качества, спортивный зал с тремя гантелями и двумя штангами (грубо говоря) и пространством для 5 человек максимум, и, наконец, зал для бокса с двумя грушами и тремя матами на полу. Последние два служили местом для сбора (зачастую) всех наиболее агрессивных, высокомерных, вычурных и  необременённых представителей данного корпуса, коих было довольно много.
- Насекомые (тараканы / клопы / пр.) были повсюду, несмотря на частое проведение дез. обработки во всем корпусе, после которой запах с этажей / комнат не выветривался в течение нескольких часов, а одежду приходилось стирать по новой. 
- Предоставлявшиеся бесплатно психологи в корпусе могли только выслушать и посоветовать больше времени проводить с друзьями. 
- Администрация корпуса, в большей степени, была вежливая и, в случае необходимости, могли помочь. 
- Распитие спиртных напитков, курение сигарет / подилок, плоцкие утехи, шум после 23:00 - абсолютная норма и обыденность. 
- Частые проверки пожарной сигнализации ночью / ранним утром (в случае, если кто-то приготовил не то на кухне).
- Четыре мусоропровода проходят через каждый этаж (с 1 по 20) сквозным проходом. Постоянно слышны неожиданные громкие удары из-за того, что сверху кидают в трубу стеклянные банки, алюминиевые банки, осколки кирпичей после ремонта комнаты и прочее. Звуки ударов бывают настолько сильными, что при нахождении рядом с трубой слух может притупиться на несколько секунд и, что немаловажно, травмировать ЦНС.
- Запахов в этом общежитии больше, чем где либо. 
- Грязь на этажах, хотя и убирают три раза в неделю горничные, находится часто. 
- Мебель старая, кровати полуразваленные, матрасы дырявые, грязные, вонючие и с клопами, линолеум дырявый и не может быть отмыт от многолетних, въевшихся пятен грязи. В комнатах зимой / осенью очень холодно, приходится покупать обогреватели и прятать от комендантов. Иначе забирают, поскольку запрещено стало иметь обогреватель после пожара. 
- На этажах очень часто стоит запах табачного дыма, поскольку курят прямо в корпусе, даже не снаружи. Чтобы не стоять на лестницах и вдыхать дым, курящие открывают двери на этажи (окна не открывают, потому что холодно / жарко) и весь дым выходит на этаж. 
- Сан. узлы старые, ржавые, поломанные, грязные. Временами идет коричневая / желтая / бежевая вода. 
- На одном из этажей нашли больным ковидом. Закрыли на неделю весь этаж и люди не могли ни выйти ни зайти. 
- Подозрительных личностей достаточно.

о Военная кафедра
- Лучше даже не упоминать, дабы ничего ни у кого не травмировать 

о Надежность и отработка летательных аппаратов 
- Преподаватель опаздывал на каждое занятие (если не отменял их и вовсе) примерно на 45 - 120 минут, в зависимости от расписания на работе, пробок, и прочего. 
- Практический каждый раз из двух последовательно идущих занятий (лекция и семинар) - первый пропадал, поскольку не было преподавателя (опаздывал)
- Нередко задерживал после лекции на 20 - 40 минут
- Семинаров не было, поскольку не хватало времени (напомню, семинар и лекция стояли друг за другом в расписании и каждый раз одна из пар пропадала), поэтому в качестве семинарского занятия преподаватель изредка разбирал одну задачу  и отправлял старосте на почту несколько файлов для самостоятельной работы, дабы студенты могли самостоятельно разобраться в материале 
- Материал выдавался максимально простым языком без использования мат. аппарата сложнее сложения, вычитания, деления, умножения и операторов присваивания
Зачет проходил в течение трех недель. С назначенного им времени на первом зачетном занятии два часа группа ожидала преподавателя, после чего он начал проверять домашние работы каждого студента. На группу из трех человек уходило 30 - 120 минут. Всего было 6 групп. Много кто не сдавал с первого раза из-за недочетов в задании, поэтому пришлось растягивать сроки сдачи зачета до трех недель, дабы все успели сдать домашние задания. Сдал все - отлично. Не сдал одну - две и больше - неуд. Ни тройки, ни четверки никто не получил. Прямая цитата: &quot;Я не понимаю смысл тройки. Вот, представьте, приходите вы в ресторан, заказываете еду, а вам приносят только половину, оправдывая это тем, что повар - троечник&quot;. 

о Деканат шестого факультета (аэрокосмический)
- Вакцинация от гриппа каждый год была неофициально принудительной - либо справка о медицинском противопоказании, либо справка о вакцинации. Иначе отказывали в выдаче допусков за пропущенные занятия (без которых преподаватели бывает не пускают), отказывали в предоставлении ведомостей, чтобы сдать задолженности, намеренно усложняли (немного) сдачу зачетов / экзаменов. В случаю наличия справки деканат обязывал преподавателей принимать некоторые поощрительные меры: зарыть одну либо две лабораторные за наличие справки, повысить балл на зачете / экзамене и так далее. Прямая цитата одного из преподавателей на этот счет: &quot;... ну, в общем, фантазии есть куда разгуляться. Подумаем.&quot;.
- Сотрудники не проявляют никакого уважения по отношению к студентам. На практически любой вопрос отвечают грубо, презрительно, повышая голос.
- Продлевать сроки сдачи экзаменов могут очень долго. Одногруппника отчислили после того, как у него перевалило кол-во долгов за 16... через несколько семестров.

о Международный отдел 
- Неорганизованность отдела заставляла студентов из разных стран совершать много лишних действий (сходить туда, спросить это, узнать когда) и ожидать ответа слишком долго. Знакомая из Китая хотела узнать что-то у работников МО, ей сказали прийти через две недели. Когда она пришла, ей ответили одним предложением из пяти - шести слов. 
- Организованность процесса обучения для студентов никакая. Преподаватели не знают про занятие, опаздывают на пары, не приходят на экзамен, которого оказывается и нет.
- Отношение сотрудников к студентам пренебрежительное, неуважительное и невыносимое. МО программ на иностранном языке координально отличается вежливостью, улыбчивостью, готовностью помочь и подсказать. В большинстве - одни и те же люди. Отношение отличается из-за суммы платежа за обучение и указаниями свыше, дабы сохранить репутацию (непонятно на чем держащуюся) за рубежом. 
- На программах обучения на английском языке обучения нет вообще. Оценки ставятся сильно завышенные и не взирая на реальный багаж знаний студента. Необходимо появиться на сдаче, сказать пару слов и протянуть зачетку.  

Еще раз повторю. Исключения есть везде. Это мой личный опыт и опыт моих знакомых. Все совпадения случайны и не имеют отношения к реальным персонажам. Я пишу этот комментарий для будущих абитуриентов, желающих получить какие-то знания, поступая в ВУЗ. Для остальных это будет лишь дофаминовая жвачка. Подумайте. Уделите изучению ВУЗа больше времени, чем планировали. Не повторяйте ошибок таких же ребят с горящими глазами, жаждущих получить лучший багаж навыков и умений. Здесь, вероятнее всего, вам предоставят лишь его имитацию. Никому (практически) нет дела ни до вашего стремления, ни до ваших увлечений, ни до вашего будущего. Университет держится на былой славе, оставшейся со времен великого Союза. &quot;МАИ - билет в будущее&quot; - было написано на одном из порванных плакатов низкого качества печати, свободно развивающегося по ветру и гордо встречавшего новых, ничего не подозревающих абитуриентов, недавно зачисленных на первый курс. 
",medium
