Text,Mark
"


Я закончил МГЛУ в 2021 году, и сразу хочу оговориться, что очень люблю этот вуз и благодарен за всё, что он мне дал. При этом не буду отрицать, что МГЛУ присущи многие характерные минусы ВСЕХ РОССИЙСКИХ ВУЗОВ. О мелочах вроде плохих корпусов упоминать не буду, это плата за огромное число бюджетных мест (по крайней мере, на момент моего поступления это было так: бюджетных мест было в 10+ раз больше, чем, скажем, в МГУ, а бюджет на образование, сами понимаете, урезается с каждым годом и приходится чем-то жертвовать), но есть и более важные аспекты. В частности, вам может не повезти с преподавателем, и обучение станет сильно менее приятным, чем того хотелось бы: такое надо перетерпеть. Кроме того, тут очень плотная программа, которая поначалу кажется совсем неподъемной, а если у вас низкий базовый уровень английского на момент поступления, как было в моем случае, то ещё и непонятной (Учебники по английскому 
за первые два курса сильно устарели и хороши только как дополнение к нормальной базовой программе. Почти все преподаватели дают дополнительные задания из современных пособий, но лучше самостоятельно пройти учебник Макмиллана (B2) за первый курс. Если вы уже это делали в школе, то ...Показать полностью...сложно вам не будет, но это скорее исключение, чем правило)

Теперь о плюсах: тут работают настоящие эксперты, и с этим просто глупо спорить. Вас научат всему тому, чего вам не сможет дать самообразование: во-первых, тут вам поставят хорошую фонетику, во-вторых, тут будет очень много живой практики языка на каждом занятии. Правда, это не будет иметь смысла, если за первый курс вы самостоятельно не поднимите свой английский до ЧЕСТНОГО В2, опять же, устаревшие учебники сами по себе вам этого не дадут. :(
Благо, такая ситуация наблюдается только с английским, другим языкам как правило учат по современным пособиям. В общем, если освоить все азы на первом курсе, то обучение будет очень эффективным и вы абсолютно точно выпуститесь с С1/С2 по английскому и B2-C1 по второму языку и будете уже относительно опытным переводчиком.

К слову о переводе, в МГЛУ вас качественно обучат всем его видам, поверьте, абсолютно все преподаватели здесь мастера своего дела, а программа практикоориентирована. А ещё в нормальное время очень многие студенты отправляются на стажировки (пишу это для будущих абитуриентов, война и санкции точно не будут вечными). 

В общем, если вы хотите стать переводчиком или вам нужны иностранные языки, то это, пожалуй, один из лучших вариантов) Но поначалу точно будет непросто ",positive
"


Буду писать  о сложностях учебного процесса.  Обучение на о-з отделении, специальность Теория и методика преподавания иностранных языков и культур. Изначально имея отличное знание языка, и ответственно относясь к занятиям и подготовке к ним, сложностей практически нет. (Знаю всё это со слов бывшей студентки, с которой родственные связи.) Отношение преподавателей очень снисходительное к слабым с опорой на отличников-хорошистов - держат всех, из-за  бытующего мнения, что ВУЗ временами находится в кризисном финансовом, материальном состоянии - соответственно  под угрозой закрытия и в ситуации ухода преподавателей из-за маленькой  зарплаты (может, и еще чего-то, не знаю). Держат всех - пока не отчислят или сами не уйдут, что чаще всего и происходит, где главная причина - это самое важное - в курсовой (она же первый этап ВКР - Выпускной квалификационной работы). Прежде чем поступать, ознакомьтесь на сайте (всё есть) с учебным планом и тем, что из себя представляют и в каком объеме придется учить главные предметы, с которыми связана ВКР, - а это темы главных кафедр языковедческой направленности. ВКР - это НИР ( Положение о ВКР читайте внимательно), касающаяся только ТЕОРЕТИЧЕСКОЙ лингвис...Показать полностью...тики - ключевое слово НАУКА. В деканате вам объяснят (лучше заранее это знать) - направленность ВУЗа по ТиМПИЯиК - научная лингвистика, а не практическая ( которая присутствует, но только способствует науке). Дисциплина &quot;Методика...&quot; начинается на 5 (вечернее отделение) курсе и длится 1 семестр на бакалавриате, магистратуры по ней - нет. Т.е. ВУЗ, по большому счету, не занимается подготовкой преподавательских кадров (ни для каких типов учебных заведений). Это - комплексное  образование &quot;обо всём&quot; с главным акцентом на  научное языкознание (наука ради науки, ради сохранения мест работы профессоров и докторов наук, академиков, т.е. ТиМПИЯиК как старейшего и главного направления ВУЗа - т.е. самого МГЛУ) - для будущих преподавателей ВУЗов, для программистов, занимающихся в том числе искусственным интеллектом ( что предмет Прикладной лингвистики) (про филологию судить не могу). Итак - курсовая на 4 курсе (о-з отд.); в сентябре-октябре уже стоит задача выбора темы (за 1,5 года до защиты д.б. известны темы курсовых -они же ВКР). Студент вынужден что-то выбрать по одной из ТЕОРЕТИЧЕСКИХ дисциплин (языковедческие кафедры) - когда они еще не все изучались - ЭТО САМОЕ УЖАСНОЕ. Фактически такое произошло по Лексикологии (1 семестр 4 курса, объем - один семестр). Ситуация - &quot;КОТ В МЕШКЕ&quot;. Методика преподавания, теоретическая грамматика, перевод - еще впереди. Студент хорошо учится, ждет окончания этой дисциплины, пытается вникнуть в суть на основании Списка обязательной литературы (8-10 источников, часть - статьи и книги на языке) и получается, что тема  не затрагивалась, а литература - ни о чем. Руководитель даёт странные советы в соответствии со своими темами (информация о препах есть на сайте кафедры), не имеющими ничего общего с темой ВКР. Результат - нужно  отстаивать свои права - доказывать неквалифицированность Руководителя, неправильность самого факта выбора темы (вслепую) и выбрать другую тему, другого Руководителя (замкнутый круг). Какому студенту, еще очень молодому, нужен такой КОНФЛИКТ (спор и доказывание своей правоты, своих знаний в противовес кафедре и деканату) - никакому!!! А время идет и наступает момент сдачи первого варианта курсовой, - цейтнот - шок - нервный срыв с больницей - в итоге - отчисление по собственному желанию (академ не нужен). Лучший выход - уход на другую специальность в МГЛУ (с понижение курса и досдачей кучи несовпадающих предметов, что на 4 курсе - ужасно) или перевод в другой ВУЗ. Говорят, лингвистика в Вышке такая же исключительно научная. Выбирайте педобразование или специальности, подразумевающие иностранный язык.   ",negative
"


Хочу сказать буквально пару слов об Института международного права и правосудия МГЛУ. Сразу скажу, что мое мнение исключительно личное. На мой взгляд, один из основных плюсов - это высокий уровень преподавания профильного юридического английского. Немецкий нормально, а вот французский куда слабее. Но это мое мнение. 
Еще из плюсов - это преподавательский состав кафедры гражданского права и кафедры международного права. И.И. В******, Н.Н. Т*****, Н.А. Ш****, Н.Ю. И***, Н.С. Г**** - профессионалы в своей области. Особенно запомнились занятия по гражданскому праву и международному праву. Доскональный разбор теории и практики, лично мне это очень помогло. Сейчас работаю помощником судьи в Арбитражном суде города Москвы, и понимаю, что умение решать практические кейсы - это очень важно!!!
Практика - Арбитражный суд, СК РФ, адвокатура!!! Все круто!!! Спасибо за это ВУЗу.
Из минусов - занятия физкультурой, неважная столовая и старый-старый корпус на Бабаевской (но там занятия 2 дня в неделю и только первые 2 курса). Сейчас вроде уже руководство делает ремонт и аудитории стали получше.
В общем, для тех кто хочет получить юридическое образование с упором на судебную практику и сильный юридический английский поступайте на Юриспруденцию - бакалавр или Правовое обеспечение национальной безопасности - специалист и вы получите диплом юриста - не только бумагу, но и реальные знания!!!",positive
"


Привет, Табитуриент.

Я являюсь студентом Московского Государственного Лингвистического Университета. При поступлении зашёл сюда и, буду честен, был поражён количеством негативных отзывов. На самом деле, всё не так плохо, как пытаются показать, но и свои минусы тоже присутствуют. 

Язык
Язык на бюджете не выбирается, учите то, что попадётся [меняться, кстати, не дают]. Если вы платник, то выбор за вами [любой каприз за ваши деньги]

Пары
Пара длится 1ч 20мин, самая ранняя начинается в 11, после неё есть 40минут на сбегать в столовку/доделать дз и тп. В день их может быть от 1 до 4, (4 пара заканчивается в 17.20). 

Корпусы
Тут их целых 4 (2 на Парке Культуры, ВДНХ и Сокольники), каждый день новый, попробуй не перепутать. Учебный корпус 4 (ака Бабайка) станет вашим персональным кошмаром ;)

Предметы
А вот тут могут возникнуть настоящие сюрпризы и не факт, что они будут приятны.
- физра. Идёт 3 года, 2 пары в неделю,  1 на парке культуры (в зале на 7 этаже), вторая на ВДНХ, в лесу или вокруг здания (спортзала там просто нет). Зимой физра тоже на улице, так что советую приобрести штаны с начёсом. 
+ система баллов на физре, 50баллов/семестр, не добрал - не закрыл, хотя набрать их легк...Показать полностью...о: за посещение на ПК дают 2 балла, на ВДНХ - 3 [+1 балл, если идёт дождь и +2 балла за снег] + баллы за нормативы. За семестр легко набрать 100 баллов - главное ходить. Если набрал 300 баллов - на физру можно не ходить.
- латынь. О, это отдельная песня, длящаяся весь первый год. Очень много информации, которую вливают раз в неделю, а потом без конца спрашивают. Но автомат получить вполне возможно.
- фонетика [англ]. Вас заставят поверить, что говорить вы не умеете совсем, что интонация не та, что фолл-райз совсем не фолл и совсем не райз... Проще говоря, фонетику нужно не зубрить, а чувствовать. 
Остальные предметы не станут большим препятствием, если учиться постоянно [как говорится: Москва Гуляет, Лохи Учатся]

Расписание 
Моё любимое. Своё расписание, нормально составленное, вы получите где-то в середине сентября-октябре, расписание сессии - прямо перед ней. За попытку обратиться в деканат с просьбой объяснить, куда вам идти, вас, скорее всего, облают составители расписания, так что лучше попросить у преподавателя номер и быть с ним на связи.

Внеучебка
Много всего. Одних только клубов штук 20, и они не только языковые (в этом году, например, появился клуб Геншина). Постоянно проходят мероприятия по типу квартирников и концертов. Короче, найдётся всё.

Про хорошие и плохие стороны МГЛы можно говорить бесконечно, я выделил самое яркое.",medium
"


Добрый день! Хотелось бы оставить свой отзыв о данном вузе.
Во-первых, хочу сказать, что на данный момент я являюсь студенткой данного вуза, 3 курс. И, для дальнейшего понимания скажу, что за два курса я получила всего лишь одну 4 за сессию. Остальные предметы закрыты на отлично.
Начну с положительного: есть некоторые хорошие, понимающие преподаватели, готовые пойти на встречу, не буду перечислять их, но такие есть, это радует. Далее, реально хороший уровень подготовки по языкам можно получить только попав к этим «хорошим» преподавателям. 
На этом плюсы заканчиваются.
Помимо этого, вы не выбираете направление своей подготовки. Да-да. Это факт) Вуз сам будет распределять вас в 20х-30х числах августа и перевестись с Факультета, если вам не будет нравится результат распределения, не будет возможным.
Если вы будете счастливчиком, попадёте на Переводческий факультет, то языками обменяться будет тоже невозможно:)
Скажу так, учиться тут объективно сложно, особенно во вторую смену, когда у всех учебный день уже заканчивается, а у тебя он ещё не начался. На хобби, личную жизнь, прогулки, а уж тем более работу времени АБСОЛЮТНО НЕТ. Да и если деканат услышит о том, что у кого-то есть работа,...Показать полностью... вызовет на разговор и сделает выговор. 
Есть преподаватели, которые за каждый пропуск отправляют в деканат писать объяснительные, хотя сами не приходят без предупреждения, опаздывают, хамят и унижают студентов. 
Единственное, чем вы будете заниматься по вечерам - это выполнения огроменного количества домашних заданий.
Здания в ужасном состоянии, самый приличный/обновлённый корпус - Ростокино, но до него невозможно добраться без приключений с трамваями.
В сокольниках (Бабаевская) страшно ходить в туалет, ведь вместо унитазов там обычные дырки, прям как в лесу, ей богу, садиться на стулья, трогать что-либо, ведь аудитории не обновлялись со времён СССР: штукатурка сыпется, проводка трещит, доска слетает и тд.
Корпус на Комсомольском проспекте - здание общежития для иностранцев, в котором постоянно «воняет» жареными жуками и тараканами, которых готовят китайцы.
На Остоженке нигде почти не ловит интернет и сеть. Приходя туда, будьте готовы остаться вне зоны доступа на пару-тройку часов.
Перерывы маленькие, преподаватели зазнавшиеся. Всё в лучших советских традициях. 
Подумайте 1000 раз перед тем как соглашаться с кем-либо и идти в этот вуз.",negative
"


Учусь в МГЛУ уже третий год. Единственный (!) замеченный мной пока что недостаток (может, не считая состояние некоторых корпусов) - расписание, которое каждый семестр вызывает если не возмущение, то по крайней мере удивление: в нём бывают накладки, а в субботу у нас уже второй год подряд стоит три пары, в то время как на неделе есть более свободные дни. Но к третьему курсу, конечно, уже привыкаешь)
Учиться здесь, скажу прямо, не легко - особенно учиться на &quot;хорошо&quot; и &quot;отлично&quot;. Зато большинство преподавателей - не просто знатоки своего дела, но и очень увлеченные люди, умеющие заинтересовать студентов: мы часто выполняем творческие задания, смотрим и анализируем видео, обсуждаем мнения. Это помогает развивать не только профессиональные навыки, но и мышление в целом (я уж молчу про то, что это просто намного интереснее, чем делать одинаковые упражнения в учебнике). Среди преподавателей немецкого языка хочется особенно отметить З******* Д.А.,   К******* О.А.,   Х******** М.В. Английский язык у нас также ведут замечательные, очень любимые нами преподаватели, такие как П******* Е.Э.
Отдельно хочется отметить профессора В******** - преподавателя философии. Хотя этот предмет у нас не профильный, мы с удовольствием посещаем лекции профессора и потом долго обсуждаем пройденный материал.
Большое спасибо всем преподавателям за воодушевление и энтузиазм, которыми они делятся с нами!
",positive
"


Очень бы хотелось оставить свой отзыв об Институте международного права и правосудия МГЛУ. Проучился здесь 5 лет, поступить сюда не так уж и трудно. Куда сложнее здесь учиться. Достаточно интенсивный график обучения, занятий очень много (особенно занятий по английскому и немецкому языку). Но самый сложный язык, который изучался одной из групп на нашем потоке, - это, конечно, китайский.
Если вы будете готовиться к языкам постоянно - вам реально подтянуть грамматику и юридическую лексику. После 4 курса многие с нашего курса ездили на стажировку в Университеты Германии, Испании и Китая. В общем языковая подготовка для юристов здесь на хорошем уровне, но надо учить и еще раз учить!
Касательно юридических дисциплин хочу сказать, что преподаватели здесь очень грамотные. До сих пор вспоминаю зав. кафедрой Ш**** Н.А. Также очень сильный состав уголовной кафедры, где огромные слова благодарности А**** В.И., К**** С.Ю. Лично я здесь очень многое узнал из сферы борьбы с преступностью и судебно-следственной работы. На практике был и в суде, и у адвоката.
Также обучался на военной кафедре, так что по окончании обучения пришел на работу в отдел Следственного комитета - взяли без проблем. Планирую здесь работать и дальше.
Все, кто планирует сделать карьеру в правоохранительных органах и кто желает выучить как минимум один иностранный язык с юридической лексикой, съездить на языковую стажировку в другую страну, советую поступать МГЛУ на Юриспруденцию.
Деньги деньгами, но оно того стоит!!!",positive
"


2/10. Не поступайте, оно того не стоит. Ни один мой одногруппник не скажет, что доволен образованием, полученным в этой шараге.
Я закончила факультет английского языка (2021 год выпуска), кафедра Теоретической и прикладной лингвистики. Так что речь пойдет именно про факультет английского и болото ТиПЛа. Если ничего не путаю, теперь это направление платное. Смешно, что за это еще и деньги берут.
Кратко о хорошем: можно особо ничего не делать, чисто импровизировать на паре. Для кого-то это является плюсом.

Теперь о более насущном:
I. Про хамское отношение руководства к студентам пишут здесь все совершенно справедливо. Диалог построить невозможно, вопросы решаются с громким скрипом, а студенты никак не защищены. И так на всех уровнях.
Кафедра ТиПЛа — просто академический мрак с руководителем-самодуром. Преподы типла двух типов: странные и стремные. Преподают ненужную дичь, о чем сами прекрасно понимают, поэтому, верно, спрашивают не так уж строго, как могли бы. Наукой заниматься никто не даст. Ярких, светлых студентов гасили, если те хотели организовать хоть какие-то научные(!) движухи типа кружков или факультативов. Смышленые ребята сразу поняли все про ТиПЛ и направили свои силы на...Показать полностью... саморазвитие или взяли дополнительные занятия, которые им нужны (кто-то матан, кто-то языкознание, а кому-то понадобилось программирование, хотя все эти дисциплины преподаются).
II. О преподах языка. Платят им, что называется, нихе*а за дохе*а (высокая нагрузка). Пре Многие ушли или уходят. Чтобы выучить язык, никакой вуз не нужен. Можно записаться на курсы или изучать язык самостоятельно. А знание всяких грамматических особенностей пригодится лишь будущим ученым, языковедам, прикладным, прости гос-ди, лингвистам. А с наукой здесь не очень, увы. У мглы нет реальных связей с другими вузами, научные конференции здесь — фарс, напускное, публикации в местном Вестнике не представляют никакой научной ценности.
III. Общага. Место получить крайне трудно. Дают в 1 очередь льготникам (инвалиды, сироты, чернобыльцы, см. Положение об общежитии). Кому-то дали на 3-4 курсе. Общагу надо давать первакам! Народ приезжает в другой город, осваиваться непросто, начинается учеба, а приходится еще и тянуть съем квартиры. В самом общежитии бардак: половина мест просто пустуют, студенты там не живут, просто держут это место за собой, иногда приходя переночевать. Есть пустые (!!!) комнаты, размещение в которых производится за отдельную посуточную плату. Администрация общаги называет это гостинными комнатами для родителей студентов. Столько желающих, ждущих место в общежитии, а есть ПУСТЫЕ комнаты, где никто не живет! Тараканы позволяют себе всё, живут хорошо, фривольно разгуливают по спящим студентам. Е*учая травля е*учих тварей стабильно раз в месяц, всех выгоняют около 10-00. Душевые в подвале, кстати. В 2019-2021 гг. плата была 36-38 руб/день, плата повышалась каждый год. В месяц, соответственно, около 1147 руб. 
IV. Языки. Никто выбора не даст. Переводят из группы в группу, но, как и все в этом месте, нехотя.
V. Стажировки. Нет и не будет. Все мои знакомые, которые ездили куда-то за границу, платили за все сами, добивались разрешения на отъезд. Вуз только препятствовал, студентам угрожали отчислением или неуспеваемостью на следующей сессии. Эти ребята были с переводческого (3 чела), имоиспн (3 чела) и двое с фая (в Китай).
VI. Смены. Нормальная учеба с 8-00 только для элиты aka переводчиков (имоиспн тож с 1, например). Инст. ин яз, где ФФЯ, ФАЯ, ФНЯ, учился со 2 смены с 11-00 или 13-00 и сидишь-пердишь до 17-18-19 часов. В итоге на подработку устроиться нереально, вот и батрачили все кто на фрилансе, кто репетом, возвращаешься домой около 22.
VII. Корпуса и аудитории. Полный сюр с номерами аудиторий. Неужели так сложно сделать нормальную нумерацию? Почему каб. 138 хе* пойми где, почему ауд. 78 в подвале? Почему в корпусах зимой можно умереть от холода? Почему нет норм вайфая, который нормально работал бы везде? Аудитории микроскопические, мебель советская, дышать нечем, вечная борьба тех, кому холодно с теми, кому вечно жарко. Ростокино — самый новый, приятный корпус, до которого можно добираться целую вечность, даже если живешь в самой Москве. Остоженка 38 — холодный, старый корпус, где вечный холод даже в самую теплую погоду. Остоженка 36 — норм корпус во всех смыслах. Бабайка — старый и страшный корпус, похожий на больницу. В этом же корпусе одна из общаг, занимающая верхние 4 и 5 этажи. Комсомольский пр., 6 — более менее приличный учебный корпус и общага для иностранцев.

Что администрации следует сделать:
— разобраться с нумерацией кабинетов
— обеспечить ХОРОШЕЕ отопление зимой
— студентам, преподавателям и посетителям нужны нормальные туалеты, дырка в полу федерального вуза на Парке культуры — смешно
— куллеры на всех этажах
— электронные пропуски
— вайфай
— если уж физру никак нельзя исключить из жизни несчастных полудохлых студентов, создать больше кружков по физре (помимо волейбола и настольного тенниса) и сделать возможным получение баллов за посещение этих кружков
— верните автоматы с едой, что случилось
— наладить коммуникацию со студентами. сегодня оповещение больших масс людей элементарно по элпочте, это не сложно устроить

Вышка не обязательная ступень образования. Никто не заставляет идти на вышку (родители не в счет :)). Все можно изучать самостоятельно (экстрим, да, но это возможно). Так что вуз нужен для связей. Во мгле есть преподы, которые работают в индустрии (переводческая, юридическая, преподавательская), но их мало, на стажировку в компанию попасть через них — ну такое.. ",negative
"


Здравствуйте все жаждущие услышать отзыв об Институте международного права и правосудия МГЛУ.
Буду краткой. В Университете есть военная кафедра, поэтому вопреки расхожему мнению парней достаточно.
Уровень подготовки абитуриентов разный, но большинство ребят с высокими баллами ЕГЭ и учиться там достаточно непросто.
Большинство преподавателей очень требовательные, и просто так зачет вам не получить ни при каких обстоятельствах. Уровень преподавания достаточно высокий. Много практиков - судей, адвокатов, сотрудников правоохранительных органов. Дипломатическое право преподает действующий сотрудник МИД РФ.
Отдельно - несколько слов о языковой подготовке. Вы обязательно изучаете 2 языка. Как правило, один из них английский. Второй - французский, немецкий или испанский.
Скажу сразу, если вы знаете английский, то вам сюда. Я знала, и мне было интересно продолжать его изучение в юридической сфере. С немецким было намного сложнее, но я заставила себя его выучить.
Сейчас работаю в представительстве одной международной компании в Москве, и сразу скажу годы учебы в сфере гражданского и корпоративного права зря не прошли.
Я благодарна своему факультету за хорошие знания в области права и за углубленный английский!!!
Советую поступать сюда, если вы реально готовы учиться, а не страдать дурью!",positive
"


При поступлении читала отрицательные комментарии и думала: да нее, быть такого не может, кому-то просто не повезло. ОДНАКО всё написанное оказалось правдой. Отношение руководства и преподавателей скорее как к заключённым, а не студентам. Кромешный бардак в деканате. Расписание сессии дают непосредственно перед самой сессией. Про сайт я даже не заикаюсь. Преподавателя могут не найти, тогда n-ое число занятий в семестре просто пропадает (а на сессии всё спросят). Нам  2,5 месяца искали хоть кого-нибудь, кто взял бы 8(!) часов языка. Могут нахамить, если будете спрашивать что-то лишнее. Ну и самое главное. УЖАСАЮЩАЯ АТМОСФЕРА. Постоянное давление, стресс 24/7 и тонны домашки. Можете забыть о всех своих хобби, спорте и тд, потому что у вас не будет времени ни на что. Да и это ещё не всё. Даже если вы будете всё делать и учить (в ущерб еде, сну и личной жизни), то и тогда у вас не будет хороших оценок. Абсурдность, мрачность и безысходность обучения в МГЛУ  можно сравнить с романами Кафки. Ощущения от учёбы, как от липкого кошмара. И самое обидное — количество затраченных усилий не равно полученному результату.  Можно хоть целыми днями всё учить и писать, но у вас всё равно не будет положительных текущих оценок. Язык можно выучить и в менее чудовищных условиях. Это не стоит потраченных нервов. Мою (казалось бы, устойчивую) психику учёба в МГЛУ не просто пошатнула, а разломала вдребезги. Если вы не любите страдать, не поступайте в МГЛУ.",negative
