Text,Mark
"


Здравствуйте, я студент 2 курса и как студент этого &quot;ЗАМЕЧАТЕЛЬНОГО&quot; УЖАААААААСНОГО ВУЗа не могу не оставить отзыв. Я просто чувствую, что это мой долг перед абитуриентами, родителями, а так же перед учебным персоналом. Это ВУЗ не стоит того что о нем рассказывают. О том какой он хороший. В свою очередь я сильно пожалел перед поступлением не посмотрел отзывы. Хочу сказать,  что те кто поступают  не смотрите на престиж и о том, что рассказывает сын маминой подруги. Это было лишь маленькое вступление сейчас пойдёт перечисление, что присуще этой ужаснейшей шарашкиной конторе 
1) Опаздывание преподавателей, а порой и частое не помещение лекций. Преподаватели могу опоздать или не придти, а если придут то на скорую руку все расскажут. На ладони могут материал объяснить . Когда пишут на них заявление то обижаются и байкотируют , когда ученик из спрашивает о том, что он не понял. За 2 года был один случай. Но это не значит что в других местах этого нет.
2) В Баку есть филиал этого университета куда отправляются в каюомандировку многие преподы  и могут свои группы оставить без препода даже нет им замены.
3) Учебники. Учебники написали какие-то вообще не имеющие знания люди, когда ...Показать полностью...читаешь, то вообще не понятно, что ты прочитал. 
4) Хамское отношение всех сотрудников на обучающихся вас могут вообще ни во что ставить.
5) Есть кабинеты в которых не стульев и столов «пишите как хотите»
Ну как сказать это ещё не все что в этой шараге есть. Так что ж те кто поступает сюда то 10 раз подумайте оно вам надо это вуз не стоит ни гроша. Лучше пойти не в Москве, а в других городах где образование более достойное . Я вас предупреждал, но выбор за вами. Удачи в выборе  профессии и ВУЗа",negative
"


Всем привет, на связи выпускник по специальности Фармация. 

Итак, я пишу этот отзыв в первую очередь для тех, кто мечется и не может определиться со своим будущим направлением. 
Для начала хочу сказать что мой отзыв будет справедлив для людей, которые идут на эту специальность и хотят в будущем заниматься наукой или работать в R&amp;D отделе. 
Во первых, хочу сказать что если вы склонны к науке и у вас достаточно баллов чтобы пройти на бюджет на фундаментальную специальность типа химика, биолога, может быть биоинформатика и биоинженера (не в Сече), то лучше пойти именно на них? 
Потому что в Сече не дают сколько-нибудь глубоких фундаментальных знаний, ну вот нет и все. Все что будет преподаваться, будет преподаваться по верхам людьми, которые сами то едва хотят вам что то преподавать в большей части случаев (больше 80%).  Не смотря на это на этой специальности все равно есть небольшой шанс встретиться с реальными профессионалами своего дела и хорошими преподавателями, но опять таки их очень мало и все зависит от того, к какому преподу вас закинет...
Во вторых, если вы набираете не так много баллов чтобы пройти на специальность, на которую вы бы хотели пройти, но думаете что может ...Показать полностью...быть на фарму то я поступлю, то хочу сказать что по опыту коллег такой образ мышления приведет вас к тому, что вы просто потратите уйму времени на то, что вам совсем не нравится. Однако если вы считаете что это ваш шанс попытаться пробиться в Москву (актуально для людей из регионов), то в целом нормальный вариант. 
В третьих, если брать науку, то в нее можно войти, но явно не благодаря устаревшему оборудованию которое есть на кафедрах (типа протекающих бюреток). Скорее вам всего придется пробиваться, проситься в лабы и много, даже очень много учить самостоятельно. Вопрос а зачем тогда нужен университет оставлю открытым. С другой стороны, если вы не думаете что точно захотите остаться в науке, но какое никакое образование для работы в будущем вам нужно, то тоже сойдет. 
В четвертых, вы должны понимать что из себя будет представлять ваше образование. Может первые курса 2, 3 оно может даже казаться местами интересным за счет фундаментальных предметов (так было у меня), но на старших курсах все обучение будет сводиться по большому счету к переписыванию фармакопеи (документ в котором описаны лекарственные вещества, показатели качества и т.д.), так что будьте к этому готовы морально. Каких то мозгодвигательных и развивающих предметов практически не будет. Опять таки, может для кого то это будет плюсом, потому что вас не будут заставлять вникать и думать, просто сделай миниум, перепиши фармакопею и получи свои зачеты и оценки. 

В конечном итоге, я хочу сказать что по опыту других людей из университетов (из общей массы, не топовых двух или трех) может фарма в Сече и не такой плохой вариант. Но, опять таки, вынужден предупредить что с такой базой в топовых научных институтах мира вас ждать не будут (ну так, чтобы вы сразу понимали). В общем лучшее среди худшего наверное и проблема здесь даже не в Сече, хотя кто его знает, не хочу углубляться в политику. 
Сам я в целом доволен, не смотря на большое число идиотизма в процессе обучения, мне удалось (с затратой колоссальных внутренних ресурсов, опять таки подумайте надо ли оно вам) получить здесь какое никакое образование и даже поработать в интересных местах. Но возможно, мне просто повезло и так сложилось что мне попадались такие возможности. 
Чтобы я сделал на месте абитуриентов или старшеклассников? 
Я бы стал выбирать вообще IT сферу. Ну просто если у вас папаша или мамаша не заведуют частными клиниками и не держат сети аптек, то как бы ваш путь будет тяжел и в конечном итоге вы спросите себя, а стоило ли это затраченного времени и ресурсов. 
Кстати, открою секрет, на настоящее время в аптеках вообще в принципе не нужно фармацевтическое образование и сама эта область превращается в продажничество. 
В общем как-то так, надеюсь вам помог мой длинный рассказ о том, как я это вижу. Да, это мнение субъективное от начала и до конца и возможно кто-то по другому это видит. 
Спасибо всем за внимание) ",medium
"


Плюсы здесь есть. Поступают с высокими баллами и участием в олимпиадах, конкурсах и т.п. Есть достаточно способов реализации своих увлечений и амбиций. Хочешь оперировать людей, ассистировать - поступай в Эскулап. Хочешь влиться в науку - поступай в ЦНК. Да, экзамены надо сдавать. Список возможно продолжить и вряд ли где-то получится найти что-то таких объёмов среди других ВУЗов. Есть минусы. Знаете, учить одновременно фармакологию и факультетскую терапию неудобно. Почему? Ну, потому что мы антибиотики ещё не проходили, но начинаем уже читать клин. рекомендации. Это забавно. Не буду упоминать про другие отзывы. В целом, универ для очень самостоятельных и знающих заранее, что им надо, людей. Тех, кто может пользоваться условиями, которые предоставляет этот ВУЗ. Если ты не понимаешь, как выживать в эту жизнь, то будешь нулёвым в плане учёбы, в плане личных качеств. Всё сведётся к написанию отзывов про плохой ВУЗ. Потому что здесь не место для тех, кто живёт по советам мамы с папой и не умеет делать что-то кроме учёбы, оправдывая свою лень.",medium
"


Очень жалею, что когда поступала смотрела на рейтинги и не смотрела на отзывы. Это ужасный ВУЗ. Анатомии у нас не было, все лекции просидели в ожидании препода, которая даже не трудилась явиться. Гистология? Хочешь сдать экзамен В********* Е.В., плати деньги, не платишь, не сдашь. Вымогательство взяток - это норма для данного ВУЗа. Куда смотрит руководство? Или оно такое же продажное, как преподы? Система взяток отработана чётко, чтоб никаких концов не найти, всё через студентов. Не стесняясь, пишут и предлагают купить оценку. Надеюсь, что когда-нибудь всех продажных преподов поймают и накажут. Я, конечно, понимаю, что система уже такая, но, люди, одумайтесь, вы же учите педиатров, если это можно назвать учебой, как мы будем детей лечить? Всё образование, что даётся в это вузе, сплошное самообучение(( Практики нет. Подруга поступила в Обнинск, они там с первого курса проводят вскрытия, а тут? Просто тратим время. Хочется верить, что настанет время, когда образование не будет сводится к получению корочки. Но не в Сеченовке. Не идите сюда учится, поступайте в достойные вузы, которые выпускают достойных специалистов!!!",negative
"


Итак, начнем с самого начала приемной кампании, поскольку это то, что встретит абитуриент первым.
Все документы (приказы о зачислении БВИ-шников, приказы о зачислении на бюджет по целевому набору, приказы о зачислении на бюджет по общему конкурсу) всегда публикуются в последний момент: в этом году это были последние допустимые даты для публикаций в ~23:00 по МСК, что, разумеется, довольно неприятно, поскольку каждый абитуриент в той или иной степени волнуется поступил он или нет. Саму привычку МГМУ Сеченова делать все в последний момент вы будете наблюдать на протяжении всего времени вашего обучения в этом университете: это будет касаться и получения общежития, и объявления важной информации от деканата студентам (в том числе старостам). Общежитие на 1ом курсе получить практически нереально, что явно является минусом для иногородних абитуриентов.

Теперь про само обучение в МГМУ им. Сеченова. Заранее сделаю ремарку: говорить я буду про свой факультет, поскольку не знаю как именно обстоит ситуация на других, однако уверен, что различия если и есть, то небольшие. Здесь вы можете забыть об интересной учебе, поскольку само расписание будет этому мешать: управление университета явно не ...Показать полностью...понимает, что студенту невероятно тяжело сохранять концентрацию на протяжении 4 часов (а столько здесь идут пары, перерыв обычно 5-10 минут, а ведь в день обычно 2 пары, а не 1). Да, бывают пары по 3 часа, но это редкость. Также стоит отметить, что ЦТ (зачеты на сессии) составляются в спешке, а потому в них частенько бывают ошибки, что признают и сами преподаватели. Более того, нередко бывают случаи того, что информации, которой вы получаете на занятиях, недостаточно для сдачи ЦТ на максимальные баллы. Помимо этого стоит упомянуть, что по многим предметам (в особенности профильным), если уж не всем, вам придется заниматься полностью самостоятельно, поскольку вам либо «повезет» с преподавателем (здравствуйте, Б****** Н.С.), который будет скакать с одной темы на другую, поверхностно объясняя материал (зачастую, с ошибками), либо сам учебный план по дисциплине будет едва коррелировать с действительно необходимыми навыками (так, вместо изучения программирования Вы будете изучать Word).
Однако в вузе есть и компетентные преподаватели, правда вести они у вас будут лишь непрофильные предметы и притом недолго. 

Отдельно стоит выделить, что дисциплины по выбору вы, вероятно, будете выбирать не сами: за вас их самостоятельно выберет университет.

Не стоит забывать, что зачастую вам придется ездить из корпуса в корпус в перерывы между парами длиной в 45 минут (чего хватает на дорогу, но явно не хватает, чтобы поесть между занятиями), однако это, по сравнению со всем остальным, сущая мелочь).

Подытоживая все вышесказанное, я не рекомендую поступать сюда, если Вы идете за высшим образованием с целью приобрести знания, необходимые для становления успешным и уважаемым специалистом, поскольку другой вуз, вероятно, сможет предоставить Вам более благоприятную обстановку для этого.
",negative
"


Это худший на данное время медицинский ВУЗ страны. На нашей программе был поставлен неудачный эксперимент - её сократили. Изначально этот эксперимент вводили на кафедре МПФ, где людей заставляли учить программу в том же объёме но быстрее. К примеру они сдают гистологию, анатомию и английский в одну сессию, при этом сдавая остальные коллоквиумы.
Сейчас данную практику проводят на лечебном факультете... у нас начались гиста
и анат с первого сенятября. В итоге мы не успеваем ничего. В то время когда остальные нормальные вузы учат остеологию несколько месяцев, вы пройдёте её за один. И так будет всегда. 
На сессии с вас ничего не спросят, потому что преподаватели сами смеются от этой программы . Они ставят ставки сдадим ли мы или нет.
Всё мифы, что у вас будет больше практики - ложь. Ничего, абсолютно ничего в этом вузе вам не дадут, со мной учатся лишь ленивые и жалкие студенты, которые всю жизнь прожирали плоды своих родителей. Они готовы списывать любые зачеты, а потом восхищаться своими «хорошими» оценками. 

Бойтесь этот вуз, он обманывает вас своими рейтингами, но внутри вы осознаете безысходность.
Вас не научат латыни, анатомии и гистологии. 
Вы постоянно будете слышать о былом величии этого университета, сидя в кабинете на паре латинского языка, когда препод просто будет сидеть в телефоне и не знать чем же вас занять. Возможно, при С***** было лучше. 
Но я вас предупреждал.",negative
"


Ну что я могу сказать, выпускаясь из этого ВУЗа. Универ для того, чтобы получить диплом. Учить всё от и до придется самим практически по всем дисциплинам, экзамены можно будет пересдавать миллион раз, отчисляют только тех, кто ну уж совсем забил и не хочет сдавать экзамены. Можно не быть ни на одной паре и спокойно сдать экзамен и не париться. 

Еще все 6 лет меня удивляло почему в &quot;одном из лучших медицинских университетов страны&quot; практически ни на одной кафедре нет мыла? Экономия тотальная на всём. Универ тянет деньги (с коррупцией за 6 лет ни разу не сталкивался если что), цены повышаются с каждом годом всё больше, а качество образования не меняется, разве что в худшую сторону. Проходить год на кафедру, где придется сидеть на старом деревянном стуле со сломанной спинкой и писать на коленках лекции:  добро пожаловать в Сечу, как говорится. И таких кафедр много.
Тем не менее вам повезет и вы столкнетесь с действительно хорошими и компетентными спецами, которые несмотря на весь мрак еще есть в этом универе. Вот за это можно сказать универу спасибо. Но и за столовку в анатомическом корпусе.",negative
"


Очень много негатива.Совершенно не понимаю.Поступила в этом году на бюджет,педиатрия,баллы высокие,впрочем как и во все года.
Администрация нашего факультета работает просто замечательно,если есть какие-то неудобные моменты в расписании,то можно написать в деканат и преподавателей предупредят или же вы сами выходите на контакт с ними.Всегда адекватно к этому относились,даже, на первый взгляд ,самые принципиальные преподователи.
Что касается расположения кафедр,да ,они на большом расстоянии,нужно ездить.Это сложилось исторически, а не выдумка деканата,так что люди,которые отзываются об этом негативно эгоистичны.В каждой проблеме есть очень много аспектов, невозможно же всех студентов согнать в одно здание.
Огромный плюс в том,что нас не напрягают с неэкзаменационными предметами, в это время мы можем учить анатомию и гистологию 
А на экзаменационных кафедрах, наоборот,каждый коллоквиум проходит в режиме экзамена,спрашивают досканально,нужно ещё и написать тесты ,в тетради чтобы было всё идеально ,все дз,рисунки препаратов 
По анатомии тоже отправляют на пересдачу,пока мы не выучим как надо
Если быть ответственным,то не будет этой ненависти к вузу.
Мне очень обидно от таких отзывов,по...Показать полностью...тому что я искренне рада учиться в таком престижном университете.
Коррупция?да есть,но никто никогда из преподователей нам о ней не говорил.Об этом знают ленивые студенты,у которых ветер в голове и есть лишние деньги.а дальше они начинают все это распространять,мол посмотри на меня ,какой я крутой,без каких-либо усилий все решил.
Опять же все зависит от вас,от вашей ответственности,от вашего выбора.
Столовые сейчас намного лучше,есть комплексные обеды,хотя все равно дорого для обычной столовой,есть смысл пойти в любое другое кафе.
Всем желаю удачи и терпения,смотреть на все с позитивом, правильно распределять время",positive
"


Учусь сейчас на 4 курсе, поэтому считаю, что могу достаточно объективно оценить качество образования. 
1) Месторасположение:корпуса расположены по всей Москве. На первых трёх курсах вы будете ездить из корпуса в корпус, причем возможно и не по разу в день. Перерывы иногда маленькие, а хочется еще как бы пообедать... В общем, вы поняли. Логистика тоже иногда крайне неудачно продумано. Но есть и хорошая новость-с 4го курса таких проблем нет). 
2) Учебники:почти все дают в библиотеке, но бывает чего-то кому-то может не достаться, но это не  критично, их спокойно можно найти в электронном варианте. 
3) Оснащение:впринципе проблем оснащением нет. Обычно всего хватает. На кафедре анатомии достаточно препаратов, макетов, плакатов и др.;на гистологии также достаточно препаратов и прочего.Не знаю почему в некоторых отзывах пишут, что этого не хватает, не идеально все, но и не критично. Есть симуляционный центр, где можно отрабатывать практические навыки, даже во вне учебное время. 
4) Нагрузка:на первых трёх курсах было напряжно, особенно на 1 курсе, так как помимо того, что непривычно запоминать такое количество материал за короткий период времени, так еще и смена обстановки, Кто-то переезжает из другого города и адаптируется. Главное, учить все вовремя, не запускать. Каждый день понемногу(ну или по многу",positive
"


Плохой вуз. 
1)Ваших преподавателей отправляют в Бакинский филиал. У вас на всё это время не будет преподавателя.
2) Сами преподаватели не желают вас ничему учить, потому что экзамены все очень лайтовые. Вы можете проходить их буквально не зная ничего. 
3) Тоже самое касается лекций - когда они были очные они были максимально непрофессиональными. Сейчас они все записаные, но информации полезной там очень мало. Я не знаю как так вышло...
4) Очень много корпусов. Между ними ехать по 40 мину, по часу. У вас будет очень много переездов ради кафедр, на которых вы посидите минут 20. 
5)Практических умений не дают. Их нет. Вязать узлы не учат, манекенов на Анате, скорее всего вам не дадут. 3D атлас в музее не для вас. На обх не будет операций и перевязок. Единственная кафедра, где есть практика - кафедра микробиологии.
6) Много автоматов на важные экзамены: гиста, микра, патофиз. Автоматы легко заработать. В итоге ты не можешь отказаться от автомата. Знания летят в печь.
7) Абсолютно никого не отчисляют. На лечебном деле за все 6 курсов за последнии 3 года 0 отчислений - это официальные данные, которые выкладывает вуз на сайте. ",negative
