Text,Mark
"


Если вы хотите потратить бездумно пять лет своей жизни, — то, пожалуйста, вам сюда. Качественных знаний вы точно не получите, зато нервотрёпка, хамство и отвращение к изучаемую предмету вам гарантировы. Начну, пожалуй, с того, что у нас не было вообще курса по истории средневековой Европы, хотя как бы мы должны стать учителями истории. Вместо этого огромное количество часов было отведено малопонятным дисциплинам с красивыми названиями наподобие &quot;цифровой МГОУ&quot;, &quot;информационные технологии преподавания чего-то там...&quot; или &quot;методики преподавания с использованием бла-бла...&quot; и т.д.! В чём заключается суть подобных предметов остаётся неясной, потому что никаких полезных навыков или знаний в области &quot;информационных технологий&quot; вы не получите. О каких технологиях может идти речь, если в здании работающих интерактивных панелей можно пересчитать по пальцам?! Да многие преподаватели сами не понимали, что за предмет ведут. Кроме того, многие из них не заинтересованы в образовательном процессе ни капельки: были те, которые просто не приходили на лекции; другие даже не стеснялись зачитывать информацию с интернета. Весь образовательный процесс состоит из н...Показать полностью...ебольшого количества лекций, где вам будут бубнить с листка знания уровня десятого класса средней школы, а потом начнутся бесконечные семинары, где студенты уже будут зачитывать скачанные из интернета доклады. Из всех преподавателей можно выделить только К****** К. Ф.,  С****** А. В и К********* И. Н. Буквально три преподавателя, от которых можно услышать последовательную информацию. 
Про физкультуру лишний раз писать не буду, но её здесь действительно чрезмерно много и при том, что занятия круглый год будут проводиться на стадионе, несмотря на погодные условия (только те, кто ходят на гимнастику и волейбол, если не ошибаюсь, могут посещать спортзал). Подхалимство и фаворитизм здесь процветают пышным цветом. Если будете лизать задницу деканату и связанным с ним людям — то бонусы в виде автоматов и переводов с платного отделения на бюджет вам обеспечены;) Несколько людей из нашего потока, устроившихся на работу в Вузе, через небольшое количество сразу обеспечили и переводом на бюджет, и автоматическими зачётами. И ещё соглашусь с предыдущими комментариями насчёт ценности *опы: отнюдь не обязательно хорошо знать предмет для сдачи, самое главное в этом деле — посещаемость. Больше ходи и хоть один раз прочти доклад из интернета — автомат вам гарантирован) 
Помощи в написании диплома от научрука можно не ждать — пишите как хотите (мы же на почту скинули методичку), хотя помощь иногда сводилась к противоречивой критике, запутывающая в написании работы ещё больше.
Минусы можно перечислять очень долго: и полнейший бардак с расписанием, и откровенное хамство от многих работников с преподавателями, и нехватка аудиторий, и отсутствие помощи в трудоустройстве и т.д. Я сильно разочарован в том, что не свалил отсюда сразу же после первого курса!",negative
"


Я хочу рассказать об этом ужасном ВУЗ’е.
Дорогие абитуриенты,пожалуй даже не думайте туда поступать,вам будут ссать в уши какой это прекрасный вуз,хотя на самом деле это просто лютый кошмар. Не так давно был день открытых дверей,где конечно же хвалили вуз и студентов подговаривали говорить конечно же только хорошее.
Начнём сразу с физ-ры,кафедра физ-ры просто унжасная,там очень унижают,даже если ты выполняешь все хорошо,тебя будут унижать,а некоторым людям которые выполняют хуже тебя,не скажут ничего,потому что это любимчики.
преподавательский состав никакой вообще,больше половины просто отсиживают время,никаких знаний не дают и толку от них ноль,да есть несколько преподавателей,которые правда хотят учить,но их безумно мало!
работа деканата вообще ужасная,там сидят одни крысы,которые вообще не хотят работать,ты приходишь к ним с вопросом потому что отправили к ним,а они тебя шлют куда подальше.
На счет сессии,всем плевать если ты завалил,приходишь на пересдачу и тебе в любом случае поставят зачет,потому что до комиссии доходить просто не хотят,а что это значит? То,что просто не хотят терять платников,им неважно знаете ли вы предмет,важно,чтобы просто платили деньги и всё.
много скучных преподавателей,от которых ты просто засыпаешь сидя на паре.
Вообщем если вы хотите получить просто корочку,то вариант подходит,а если хотите получить действительно знания и ходить с радостью в универ,то вам тут не место.",negative
"


Поступила в этот университет по целевому направлению как педагог английского и начальных классов. Не очень разобралась в качестве вуза, но ожидания были большие, как и желание учиться. Что по итогу:

1. Уровень английского у студентов, кто не занимается вне вуза либо остался на том же уровне, либо стал ниже. Нам, например, преподаватель на первом же занятии сказала, что язык она не знает и будет учить его вместе с нами (преподаватель - выпускница бакалавриата и магистратуры этого же университета, кстати))) По речи ее английский максимум Pre-Intermediate. 

2. Как учитель начальных классов я не узнала ничего ни о детской психологии, ни о методике преподавания, ни расширила свои знания в самих предметов. Названия дисциплин красивые, но содержание никакое.

3. Организация на самом худшем уровне, работницы деканата меняются каждый месяц, ни о каких изменениях не сообщают, зато постоянно требуют проходить одни и те же вопросы и заполнять документы

4. Несмотря на нулевые знания, которые они дают, к посещаемости относятся слишком строго

Плюсы:
1. Можете не переживать за сессию и экзамены, корочку получить легко, хоть красную, хоть синюю, нарисуют любую (жаль, что за этим ничего не стоит)",negative
"


Скоро начнётся поступление, а значит пора предупредить людей, которые хотят сюда поступать.
Отзыв содержит не только мое мнение.
Из плюсов:
+ В целом удобное месторасположение 
+ Вполне себе имеет неплохой статус пед вуза 
+ Небольшие баллы для поступления 
Из минусов:
- Отвратительно выстроенное расписание, которое может поддаваться бесконечным корректировкам. Предупредить что не будет пар за полчаса или вовсе не предупреждать - святое дело
- Физкультура. Мороз, снег, дождь, слякоть и т.д. Все это не проблема для занятий, на улице кончено же)
-Очень много ненужных предметов, которые ставят лишь бы заполнить часы.
Складывается ощущение что ты учишься  не для того, чтобы работать с детьми, а для того чтобы изучить все разделы выш.мата/физики.  Практические все, что ты ты учишь с вероятностью 95% тебе никак не пригодиться в практике.
- Есть очень специфические преподаватели. До сих пор удивляюсь как они преподают, так еще и показывают пример для будущих учителей. Есть те, которые выделяют любимчиков, те кто хочет тебя отчислить, те кто не знает что такое этика. Очень мало адекватных преподавателей. Объяснение материалов тоже тянет на 3/10, все выстроено для самообучения. Но самообуче...Показать полностью...ние по математике/физике так себе развлечение. 
- Отсутствие  практики. Если нет целевого обучение, то вся практика будет заключаться в лагерях, так себе практика. Сюда же относится и то, что  практика начинается в конце 3 курса. Замечательно правда?
-Нет ощущения того, что ты учишься в Вузе. Напоминает школу. Парта школьная + стульчики, угрюмые аудитории 2на2 в подвале. Две скамеечки на корпус из 5 этажей, и пусть это кажется сейчас совсем не проблемой, но если у вас стоит окно/вас отпустили с физкультуры пораньше и т.д., то стоять полтора часа так себе удовольствие, но можно заглянуть в столовую и провести время там, об этом ниже.
-Столовая. Каждый студент может позволить себе пообедать на 500 рублей не так ли? Просто конские цены за самые обычные продукты. Посидеть на большом перерыве вам вряд ли там удастся, потому что столовая не рассчитана на такое количество студентов.
- Студенческий совет и прочее студенческие организации здесь совсем не то, что может себе представить будущий студент. Здесь это просто какая-то ноша, которую скидывают на тебя. В общем студенческая жизнь здесь отсутствует напрочь. И, да, именно студенческий совет занимается положительными отзывами на сайтах вуза.",medium
"


Вообще не советую этот вуз. Поступала на леч фак в надежде стать врачом в итоге от медицины там ничего вообще, учить вас будут просто по книжке (и то если повезет) да и вообще есть же фантазия вот и фантазируем как можем  анатомию. 
Абсолютный рандом с преподавателями, отчислчют на лево и на право, на парах говорят одно а на сессии спросят другое. Пары просто так отменяют за пол часа до начала когда некоторые уже на пол пути в университет и ставить эти лекции в другой день никто не собирается, их просто нет! А материал есть) и экзамен есть) вот и учите:D
И самое неприятное это программа... впихнуть невпихиваемое вместо адекватной программы это вообще вообще святое для вуза. А уже молчу о отвратительном отношении преподавателей к студентам  они в полне спокойно могут говорить на парах  по телефону по личным вопросам, иногда лекцию ведёт вообще непонятно кто, не преподаватель и даже не сотрудник, а просто женщина которую попросили подменить, и кто она вообще и что несёт никто не вкурсе. Вообщем отвратительный вуз хоть и старается создать видимость порядочности и справедливости. Наплевательское отношение абсолютно всех в этом вузе и к студентам и к программе не даст вам забыть о том что вы учитесь в мгопе)",negative
"


Итак, закончила бакалавриат, поступила в магистратуру. Факультет романо-германских языков. Расскажу о бакалавриате. 
В общем терпимо. Если хоть что-то делать и не забивать, то можно окончить без проблем. Преподаватели в основном нормальные (есть исключения), декан лапочка. Кафедра педагогики, лингводидактики - бардак, избегайте. 
Плюсы:
1. хорошо преподают языки (немецкий, английский топ. Французский говно)
2. нормальные преподаватели
Минусы:
1. ФИЗРА. засилье физры. Едете до другого корпуса, бегаете на улице в любую погоду, в любой сезон. Моросит дождь, а на стадионе снегокаша? Лучшее время, чтобы сдать норматив 2 км! За непосещение могут числануть. Это п****. 
2. Отвратительный корпус. Вечная битва за аудитории. Столовка ужас, зон отдыха нет, бегаешь по лестницам и стоишь в очередях в туалете. Аудитории маленькие, душные до невозможности, пока доучишься - задохнешься.
3. на 1 курсе запихивают во всякие абсолютно е******* мероприятия с танцами, плясками и песнями. 

Теперь про магистратуру. 
Из хорошего - отсутствие физкультуры. На этом все. Куча заданий, бессмысленных и беспощадных. Изучение языков - почти ноль. Научные работы, курсачи по две штуки в семестр, научные статьи, рефераты по 2 за семестр. Все минусы корпуса остаются) ",negative
"


Просто х***** полная. Я жалею, что родился в стране, где существуют такие места. Начнём с главного. Эти утырки сделали по четыре пары на каждый день с переменной в ПЯТЬ б*** минут. Вы посрать не успеете. Преподы просто шлак, чувак с фамилией С******* просто отмороженный, приперся и начал первокурсницам рассказывать о своём опыте в просмотре п****, все полтора часа успокоиться не мог. Есть ещё один , молоденький препод, которого в задницу видимо укусили и он не может говорить громче 1 дцбл, но если вы попросите это существо чуть погромче сказать то, что он говорит себе под нос, то он не то что остановится, ему пофиг слышите вы или нет. Далее по списку больных уродов англичанка, которая решила, что если задавать , по что миллионов листов на неделю и учить слова по сорок штук, то все з****, ведь у вас нет других предметов. И запомните, англичанка на лингвистике выбирает любимчиков и ей не важно знаете вы язык или нет, если у неё есть любимчик, то всех остальных ненавидит и валит. Еда дерьмо , столовке выглядит так, будто это бывшие убежище послевоенное. Кабинеты размером с ноготь, а студентов набрали такое кол-во, что ни встать, ни посрать. Далее любимая женщина «русский язык и культу...Показать полностью...ра речи». Она сразу пришла и сказала, что всем п****, предупредила как сказать. О том, что там отопления нет это вообще не история по сравнению с тем, что это здание бывший бордель. Дада, вы не ослышались, это бывший публичный дом. Эти утырки даже не до конца его переделали.ну что сказать напоследок , идите в рудн. А могу только для настоящих мазохистов, кто не спит, ни ест, ни ссыт, а только делает английский и любит преподов отмороженных, которые не дадут вам ни единой практики. Вы будете забурить, без практики. Только зубрёжка. Но не волнуйтесь , если вам повезёт, то вы умрете от лопнувшего мочевого пузыря после четырёх пар и пяти минут перемены. Ах да, помимо того, что вам нап****, что вы будете учить два языка, вы будете учить четыре. Дада, вы не ослышались. Китайский , английский, немецкий или испанский и латинский. Нафиг латинский просите вы? А я вам отвечу. Вы будете учить его только год, зачем его вставили ни к селу , ни к месту? А они не знают. Деканат видимо на постоянке нюхает соли, потому что по-другому непонятно как они блин создали это место. Счастливых вам голодных игр. И пусть удача всегда будет с вами! ",negative
"


Окончил МГОУ, лингвистический факультет, направление Иностранные языки и культуры стран изучаемых языков.
МИНУСЫ: 1) На данном направлении студенты изучают 3 языка, а в дипломе в специализации указаны только два (англ+ исп/кит). 2) Специально набирают большое количество абитуриентов за небольшую плату в год (намного меньше, чем стоят остальные направления), а потом, после 2ого курса, принудительно подчищаают, отчисляя на совсем или в академ. Я закончил вуз на год позже, так как был в академе из-за того, что на ПЕРВОЙ пересдаче нас просто решили отчислисть без объяснения причины.
3) Должен отметить самого нудного и большого любителя СТУДЕНТОК - А****** А.В. Хорошие отметки ставить только девушкам. К парням у него с самого начала предвзятое отношение (выше 3 не ставит и отпрааляет на пересдачи КАЖДУЮ сессию. Объем ДЗ просто колосальный, а результата в изучении и практика языка нулевая. Преподаватель считает, что если задает по 3 учебника, в которых нужно выполнить по 4-5 стр + 2-3 аудирования, еще пересказ текста и словарный диктант. На все это он дает меньше 1,5 недели, не считаю, что у студентов есть еще дисциплины. Постоянно прочитает за опоздания, при условии, что сам опаздывает на пару от 10 до 40 минут. 4) Факультет находится НЕ в главном здании, перерывы по 10 минут, постоянная битва за аудитории с другим факультетом
ПЛЮСЫ: только ИЗУЧЕНИЕ английского языка. Отличные преподаватели с прекрасным подходом к изучению для студентов. За это респект.",negative
"


Пожалуйста,не поступайте сюда.Бегите отсюда пока не поздно.Это просто ужасное место. 
1.От слова совсем нет организованности! Постоянно будете искать кабинете, постоянно будет неразбериха во всем и со всем.Будете сидеть в коридорах или маленьких коморках группой по 30 человек. 
2.Невыносимое хамство и преподавателей и деканата, особенно секретарей деканата, которые считают себя звёздами и царицами 
3.На первом курсе вас будут использовать как массовку для конференций с деканом, который читает 5 лет подряд одну и ту же презентацию, не меняя слов. 
4.Физкультура.Вас будут унижать, гнобить. Вы будете бегать на улице в любую погоду, на льду, в дождь, в снег, в холод, в жару.Всем будет абсолютно плевать, даже если к вам будет приставать физрук. 
5.Ужасное, отвратительное здание 
6.Непомерно завышенная стоимость обучения. За эти деньги вы получите хамство, негатив, грязные вонючие туалеты, где даже мыла и туалетной бумаги нет. 
7.Вы будете заниматься всем, чем угодно, но не своими предметами, ради которых вы сюда поступаете 
8.Универ разрушит все ваши мечты и планы на будущее относительно профессии, которую выбрали. 
Плюсов нет.Можно только выделить отдельных преподавателей.Буквально 5-6 человек,которые действительно относятся с уважением, душой и вкладывают силы свои в обучение студентов. ",negative
"


Здравствуйте. Я с естественных наук. Начнем с минусов:

1-Непонятно зачем нужна ботаника(биомеду которую никто у нас ни*** не знает и знать не будет. Только те кто сумел-списал на 4 и 5. Остальным не повезло).

2-История. Нет,ничего плохого нет. Можно получить автомат за экзамен (p.s. только темы надо рассказывать с 3-х источников).

3-Непонимаю почему не кинут часы с ненужных предметов на нужные (очень нужно больше времени на цитологию, гистологию, анатомию, латынь, , зоологию и химию. Остальные даже не учили...и получали минимальные баллы).

Из плюсов:

1-есть адекватные преподаватели (в основном из кафедры по зоологии (понимающие святые люди) , преподаватель по ботанике (тоже святой человек, но задает дофига), очень классный препод по цитологии (сделает конфетку из ...сами понимаете чего... как руководитель- классный) , преподы по химии всегда готовы помочь если не разбираетесь )

2- В туалетах поддерживается чистота (только очереди большие)

3- вкусно готовят (однако им бы места в столовой сделать НАМНОГО больше, чем есть и цены не завышать слишком сильно (у них вафли 65, в КБ напротив вуз по 35) )

4- Всегда есть аудитории для занятий. 

5- девочки из деканата всегда выручают. 

В общем программа не сложная (если убрать ненужные предметы) и очень интересная. Советую сюда поступать. В отличие от Сече****и и Пи***овки , тут хотя бы реально дают знания и кое-какие навыки в лаборатории. ",medium
