Text,Mark
"


Хочу выразить мою благодарность многим преподавателям.
Завершила обучение в 2019г.
Защитила диплом, сдала экзамены, теперь я магистр психологии,работаю психологом.
От преподавателей в большей степени я получала поддержку, помощь в написании магистерской работы.
Получила массу полезных знаний, приёмов, опыта и интереса к профессии.
Да, мне было не просто так как это по-взрослому, требования к учебному процессу, качеству работы, срез знаний. И это все по стандартам высшего учебного заведения. Привыкала и адаптироволась какое-то время. Думала и об уходе, что сложно для меня. Но очень хорошие люди и преподаватели сказали это пройдет, все будет хорошо.

В итоге так и есть, я им очень благодарна за это!

По мне очень тёплый факультет и замечательные преподаватели, профессора, доценты, кандидаты...
Я до поступления была несколько раз в школе экстремальной психологии поняла, что хочу здесь учиться. Очень понравились несколько преподавателей, я про себя решила хочу так же как они ( примерно).
И я рада что справилась с собой и закончила магистратуру.
Так как считаю уникальной возможностью, что поступила на бюджет, очное отделение и получила диплом!!!!
Для меня очень важно это!
Все мы разные ...Показать полностью...и бывали разные ситуации... важно брать и свою часть ответственности на себя.
Преподаватели очень помогали, да могли быть разные случаи, главное кто-что в них увидел для себя и о себе или чего нехотел увидеть и выполнять правила, это другая история.
Тот кто хочет и кому интересна профессия- wellcom!
Обесценить всегда можно, а увидеть пользу, плюсы, нет. И они помогали реально!!
Я рекомендую и МГППУ и факультет.
Учиться интересно это факт!!!

И потом при устройстве на работу, МГППУ второй в списке после МГУ,кого готовы пригласить на работу психологом.
А это про уровень доверия: знаниям, опыту университета, уровню подготовки специалистов!
По большому счету даже по знания превосходит другие университеты.
А это огромный +
Есть мысли и об аспирантуре.....",positive
"


Недавно узнала, что, оказывается, есть вот такой сайт с отзывами, где в частности пишут и про МГППУ. Наверное, хорошо, что узнала относительно недавно, ибо если бы увидела &quot;отзывы&quot; ранее, то 100 раз подумала бы о перспективах поступления. Тем не менее, я здесь, причём достаточно давно. И, если честно, такое ощущение, что столько негатива кто-то пишет специально... Хотя, возможно, это зависит и от факультета.

Так вот. По моему конечно же субъективному мнению учёба в нашем ВУЗе находится на приличном и достойном уровне. Программа выстроена так, что от более общих предметов по мере &quot;взросления&quot; ты переходишь к всё более узко-специализированным. На данный момент я нахожусь на 4 курсе, и учиться очень интересно. Да, в самом начале было как будто бы много &quot;лишних&quot; предметов, которые местами повторяли друг друга. Но, во-первых, вряд ли бы вы избежали этого в других местах учёбы; во-вторых, предметы скорее не повторяют, а дополняют друг друга - говоря примерно об одном и том же, преподаватель преподносит информацию с позиции именно своего предмета, и ты можешь посмотреть на неё под другим углом, будто бы собирая пазлы и складывая воедино полученные на разных ...Показать полностью...&quot;похожих&quot; предметах знания; в-третьих, для хорошего понимая предметов на 3, 4 курсах вам понадобится хорошая база знаний, и именно на этих общих предметах вы можете получить её в полном объёме.

В ВУЗе много хороших преподавателей. По крайней мере на кафедрах нашего факультета. Я думаю, везде найдётся тот, кто не понравится конкретно тебе или всей группе. И да, как и везде, здесь можно встретиться с такими преподавателями, про которых думаешь: &quot;Слава богу мы больше не встретимся!&quot; Но это проходящее. Куда важнее, что действительно важные для твоего &quot;психологического чемоданчика&quot; предметы - возрастную, судебную, консультативную, нейропсихологию, патопсихологию, экспертизу, основы психиатрии, психотерапию  и проч. - ведут настоящие специалисты своего дела, которые всегда открыты к диалогу и, главное, доступно и понятно преподносят информацию.

Практика. Не секрет, что сила МГППУ состоит именно в практической деятельности. Она начинается сразу же с первого курса и далее есть на каждом. Сначала это обзорные занятия для знакомства с тем, чем вообще может заниматься человек с твоей будущей специальностью, затем - возможность попрактиковаться в диагностике, после практика становится всё более узко-специализированной, т.е. на одном потоке студенты идут на разные практики в зависимости от их специальности. Могу сказать, что практика на 4 курсе, которая закончилась у нас буквально на днях, стала вообще любимой для всех студентов группы.

В завершение хочу сказать следующее - кто ищет, тот всегда найдёт. Звучит примитивно, но так оно и есть. Первые курсы я тупо отсиживала пары и ни о чём не парилась, ныла по каким-то предметам и заданиям, не понимала, что делать со всем этим дальше. По мере приближения к выпуску у меня всё больше открываются глаза. Я стараюсь нагнать какой-то упущенный ранее материал по своей вине, проявляю активность на практике, участвую во внеубечке. Всё это открывает новые перспективы. Так, благодаря внеучебной деятельности я нашла место для скорой стажировки, а на очень крутой базе, где была практика, мне сказали, что готовы взять в будущем на работу, если я приложу ещё немного усилий. К чему я веду это? К тому, что ВУЗ даёт все возможности и огромное поле для проявления собственной активности и достижения нужного результата. Если тебе действительно интересно идти по специальности, то МГППУ - хорошее учебное заведение. А если ты просто хочешь получить корочку или думаешь, что при получении высшего образования тебе должны всё преподносить на блюдечке и можно особо не париться, тогда, куда не поступи, нигде не понравится, и только и останется, что писать негативные отзывы.

Фух, надеюсь, эти многобукв опубликуют, спасибо за внимание :)",positive
"


Хотел поступать сюда, т.к. слышал, что практики здесь много больше, чем в других вузах, плюс это профильное высшее учебное заведение. Поступил на клиническую психологию. 
Минусы:
1. Действительно много предметов, повторяющих друг друга. Закончив второй курс, так и не понял: это специфика области изучения, либо университета.
2. Корпус на Шелепихе оставляет желать лучшего, но он заметно похорошел за время моего обучения здесь. 
3. Расписание высылают в конце недели(говорю только за КСП, не осведомлён о других факультета) , что может быть не очень удобно работающим студентам.
4. Необоснованно дорогая столовая. Обед, в среднем, обходится в 300р.
Плюсы:
1. Преподаватели, в большинстве своём, адекватные, горящие своим делом, неординарные личности. Готовы идти на встречу студенту при форсмажорных обстоятельствах, чем злоупотреблять не стоит. 
2. Практики действительно много, иногда утомительно много, но я понимаю эту необходимость.
3. Много возможностей для реализации своих творческих идей или иного потенциала. Крутое волонтерское, донорское движение, театралка, хор, был крутой исторический кружок, но закрылся из-за недостаточной посещаемости.
4. На профильных предметах достаточно жёсткий контроль знаний. ",medium
"


Закончила университет (бакалавриат) в этом году и хочу сказать, что если вы поступая в университет, хотите быть окружены понимающими, отзывчивыми преподавателями, которые всегда будут готовы пойти вам на встречу, порекомендовать нужную литературу и т.д. , то МГППУ будет самым подходящим местом. Точно знаю, что так обстоят дела на факультетах клинической и консультативной психологии, психологии образования и социальной психологии. Я познакомилась с удивительными, теплыми людьми! И так можно сказать как о преподавателях, так и о студентах. Самыми яркими и душевными воспоминаниями наполнен первый курс, когда я могла без проблем завести общение с ребятами с разных курсов, направлений и т.д., получить их поддержку и просто завести дружбу.у меня был опыт общения с студентами в других учебных заведений и приятного там было мало.. Очень много толерантности со стороны студентов. Никогда не забуду этого.
Относительно образовательной стороны.. приготовьтесь к тому, что в любом вузе, если вы хотите получить знания, вы будете учиться самостоятельно. Лучше всего это получается во время сессии или вместо/после пар. Даже если в вашей жизни будет тяжелый период, и придется много пропускать, будьте ...Показать полностью...уверены, что на экзаменах, вас не будут валить вопросами, если вы подготовитесь хорошо и покажете свои знания. Это 100% (по крайней мере,на моем родном факультете пси.образования). Но позвольте совет: НЕ ПРОПУСКАЙТЕ ВОЗРАСТНУЮ ПСИХОЛОГИЮ И ПИШИТЕ КОНСПЕКТЫ (это, пожалуй, единственное исключение из правила. Вот тут надо пахать на 150%).",positive
"


Хочу рассказать про данный ВУЗ-МГППУ! Про этот кошмар! Надеюсь это поможет тем, кто собирается сюда поступать. Обучение проходило на факультете &quot;клинической и специальной психологии&quot;. Кафедра Специального (дефектологического) образования.
Обучение в основном проходило на Шелепихе, только на последнем курсе ездили уже в разные корпуса. Предметов нормальных нет. По сравнению с другими ВУЗами, тут ни одного профильного предмета.
Организация во всем вузе отвратительная. На счёт расписания: каждую неделю высылается новое (чаще всего в субботу), угадать что будет на следующей неделе и что-то запланировать у вас не получится. Составляется оно некорректно, без учёта человеческого фактора и всегда что-то меняется. Аудитории никто никогда не знает. Отменяли пары и говорили об этом чаще всего только с утра этого же дня, когда ты уже приехал на Шелепиху. Расписание сессии могут сообщить за день, что завтра зачет или экзамен.
Еще, что хочется выделить, это ПРЕДВЗЯТОЕ ОТНОШЕНИЕ К СТУДЕНТАМ!
Преподавание очень-очень слабое! Преподаватели оценивают работу студентов не объективно. Студент может из кожи вон лезть, вплоть до того, чтобы получить отличную оценку, но преподаватель будет тверд...Показать полностью...о уверен, что студент бестолочь, которая не заслуживает положительной оценки. Хотелось бы здесь отметить Т***** Л.А. (еще и заведующая кафедрой). Если преподаватель с самого начала оценит уровень ваших знаний низко, то в последующих оценках будет ориентироваться на этот уровень знаний, а не на конкретные дальнейшие старания.
Были также преподаватели которые выражались, что мы студенты «необучаемые» «не способны к обучению». Могут 100 раз отправить различную работу на исправления и не донести четкую информацию студенту, что от него требуется. Абсолютно никакого уважения, понимания и человеческого отношения к студентам, только пренебрежительное отношение, пофигизм, оскорбления и крики.
Некоторые преподаватели вообще могут не прийти на занятия, могут направить студентов куда-нибудь за пределы вуза, вроде в рамках занятия, могут переносить несколько занятий &quot;на потом&quot;, но потом о них и не вспомнить, могут сказать, что сами должны уметь учиться, но не могут сказать и показать, чему.
За все года могу выделить только одного профессионала в своей работе, который действительно оставил хорошие впечатления-это Б****** Т.А. Спасибо ей большое!
По поводу работы факультета. Никогда не дают точной информации, либо дают её слишком поздно, делают всегда во всем виноватых студентов. Работники не пунктуальные. Говорят, приезжать в одно время, а по факту все начинается в другое.
Практика проходила просто УЖАСНО, что с нами делать не понимали ни в вузе ни на базах практики. Вуз мог даже не уведомить базу, что придут студенты на практику. Большинство практик мы просто сидели и наблюдали, никак не взаимодействовали с детьми. Никаких навыков не получали.
Никакой вообще студенческой жизни в этом университете нет. Абсолютно нет никаких конференций, мероприятий, флэш-мобов, квестов, нет творческих и спортивных кружков и поездок! НИЧЕГО ЗДЕСЬ НЕТ!
По поводу защиты. Рецензенты и науч руководители писали отзыв о работе, где ставили оценку «хорошо» и «отлично», однако на самой защите никаких плюсов не давали, спокойно могли поставить 3. Оценивают не понятно как!
Дипломы выдают без обложки (корочки), просто две бумажки. Студенты всегда сами заказывают и оплачивают корочки для своих дипломов.
В целом впечатление осталось ужасное! После того, как вы выходите из стен университета с выстраданной корочкой, становится ясно, что в голове сплошной компот и никаких реально полезных знаний. Советую обходить этот университет десятой дорогой.",negative
"


Уважаемые абитуриенты, прежде чем поступить в данное заведение на фак-т Экстремальной психологии, миллион, нет, миллиард раз подумайте, нужно оно вам или нет! А теперь подробнее. Дико хотела поступить в этот ВУЗ на факультет Экстремальной психологии! И была очень рада когда узнала, что прошла! На этом все веселье и кончилось... И тут же появился такой &quot;весёлый зверёк&quot; как Писец! Никакого уважения к студентам, особенно к работающим(чуть ли не ставят перед выбором, либо работа либо учёба) . Пренебрежительное отношение, пофигизм, оскорбления и крики-вот что получают студенты на данном факультете. Начнём с учебы: в первое полугодие было ещё как-то интересно, но к сожалению профильных предметов было мало, можно пересчитать их по пальцам одной руки. Бесспорно на некоторых из них было интересно, время летело на парах быстро. Но это первое полугодие, далее учёбы - нет! Пары редко(может для кого то это и хорошо), знаний никаких (не забываем что некоторые люди все таки хотят получить знания), на парах скукота либо проходят программу бакалавра. На 2ом курсе, пар от силу штук 5. Профильных предметов нет, прошёлся слух, что институт просто не выделил бабки на них, поэтому никакой учёб...Показать полностью...ы, только пары по поводу магистерской диссертации и это такое себе удовольствие. Руководитель магистерской программы очень мягко говоря - пии... Жесть. Эта женщина E***** В. И. отрывалась на студентах только так, нервы трепала на ура. За счёт них она самоутверждалась. В общем человек не постоянный. Сегодня она делала исправления диплома, а завтра говорила что она этого не делала и что все это полный бред и снова переделывать. Особенно она отрывается на студентах, кто пишет дипломы у преподавателей с кем у неё контры и личная неприязнь, из за этого студент получает нервный срыв, не знает что делать, находится в напряжённом состоянии. Говорит, что на гос экзаменах нужно отвечать кратко и по делу, а по факту когда студент отвечает кратко и по делу, саму суть, данный преподаватель(она же член комиссии) на экзамене говорит что нужно отвечать обширно, рассказывать более подробно. И что готовность студентов к гос экзамену низкая, не уровень госов. Ну извините, как учили(а как учили я писала выше). И тут студент просто в Ах каком шоке! В общем как руководитель магистерской программы - ужас. Но есть малюсенький плюс - преподаёт хорошо и интересно, но это ерунда и мелочь по сравнению с остальным трешем. 
На факультете между преподавателями нет единого мнения, каждый тянет одеяло на себя, за спиной говорит негативные вещи о другом преподавателе, а страдают от этого студенты. Преподаватели во время написания диссертации, говорят не слушать никого только их, а руководитель магистерской программы, говорит не слушать преподавателей, а слушать только её, и кому верить не понятно. 
 По поводу работы факультета. На факультете работает П****** A. A. дамочка которая не даёт точной информации либо даёт её слишком поздно, которая сама же делает ошибки, и при этом сваливает все на студентов, что они во всем виноваты, а когда выясняется что все таки виновата она, то даже не извиняется, все равно делает вид что не правы студенты. Так же не отвечает за свои слова и делает вид что она их не говорила. 
 И самое весёлое, готовьте денежки на рецензентов. Да, с нас собирали деньги на рецензентов, со словами &quot;только нигде не пишите об этом, а то у нас уже были проблемы с коррупцией&quot; , в общем, занимаются втихоря этим делом. Рецензенты писали отзыв о магистерской диссертации, и то некоторые отзывы были не положительные, и эти отзывы на самой защите никаких плюсов не давали, ну есть они и есть, для галочки. Все равно оценки ставила комиссия и рецензии не учитывались, то есть по сути они не нужны, а деньги сданы. 
 По какому принципу ставит комиссия оценки-не понятно. Были случаи что человек вообще ничего не ответил и ему ставили 5, а людям которые хоть что то ответили ставили 4.
 Ну и вдобавок хочу сказать, что вуз выдаёт дипломы без корочки, только вкладыши и студенты сами заказывали и оплачивали корочки для своих дипломов.
Надеюсь отзыв вам полезен и повторюсь хорошенько подумайте, прежде чем идти на этот факультет. Ведь нервы не восстанавливаются, а все таки хочется быть здоровым человеком! Всем удачи! ",negative
"


Совсем недавно закончила магистратуру в этом ВУЗе, хочу предупредить абитуриентов, 1000 раз подумать, прежде чем подавать документы в это место, точнее на этот факультет! Ранее, еще при учебе на бакалавре, я очень хотела поступить сюда, в полной мере получить знания о психологии, от &quot;мастеров своего дела&quot;, наверное так в жизни я еще не ошибалась! Магистерская программа на факультете ужасная, дисциплин профильных почти нет. Преподаватели это просто дно, руководитель магистерской программы - Е****** В.И. кроме как реализовываться на фоне студентов, орать, оскорблять и говорить о своих &quot;заслугах&quot; ничем не занималась! Как люди могут работать, с их слов, психологами? Это так и останется догадкой. Лишь парочка преподавателей старалась донести до студентов знания в сфере психологии. Но остальные 80% информации были абсолютно бесполезны для психологов!! Хотела отчислиться и перейти в более квалифицированное место, но руководство факультета просто не предоставило мне такой возможности, чуть ли не угрожая мне!!  Деканат абсолютно не работает, когда наступил период магистерской диссертации, это был такой хаос, П****** А.А. только и делала, что обвиняла во всем студентов и ...Показать полностью...говорила, что она не обладает информацией!! В итоге узнавали все в последний момент!! Что особо важно, с нас потребовали деньги для рецензентов, то есть заплатить людям, чтобы они просто написали рецензии на наши работы, отмечу, не всегда положительные!!!
И как вишенка на торте - сообщили, что нам выдадут дипломы без твердой обложки!! Просто вкладыши!!! В чей карман пошли выделенные деньги, вопрос остается открытым!!! 
Если хотите получать знания и активную студенческую жизнь выбирайте другой факультет, а лучше другой ВУЗ!!!",negative
"


Когда поступала слышала очень много противоречивого об этом вузе, люди либо говорили, что уровень вышки и мгу, либо что шарага полная. Рискнув, я все-таки поступила в этот вуз и пока что не пожалела ни разу. До этого вуза я училась некоторое время в МГМУ Сеченова, вроде престижный вуз, но учиться в МГППУ гораздо комфортнее. 
1. Все преподаватели практики, в разных школах, подходах, со своими взглядам. 
2. Нет лишней информации - не нужно вызубривать что-то не связанное с будущей профессией 
3. Практика с 1го курса, да она есть и это круто и интересно
4. Профессионализм преподавателей (многие знакомы достаточно глубоко не только со своим предметом, а с целым рядом смежных) 
5. Тёплое отношение к студентам (постоянная связь, помощь по любым вопросам, участие преподавателей, возможность выражать своё мнение/отношение и быть услышанным
6. Каждый получает то, что хочет (хочешь получить много, научиться, пробовать - делай; хочешь прогуливать большую часть и сдавать все на пох*й - тоже можно, но хорошей оценки так не получишь 
7. Большинство преподавателей - люди среднего возраста, а не дрожащие старики с маразмом 
8. Облагораживание и ремонт зданий происходит с такой быстротой, будто ден...Показать полностью...ьги не отмывают 
9. Ни разу не слышала о домагательствах, взятках
10. Почти все преподаватели горят своим предметом 
 11. Огромное количество различных научных и не научных мероприятий, в том числе совместно с вышкой и мгу 

Думаю, что информации достаточно, чтобы было понятно моё мнение о вузе и о моем конкретно факультете. Но сколько мне известно, здесь сильная только психология, так что остальные программы я бы не рекомендовала.",positive
"


Учусь типо на самом лучшем факультете ВУЗа. Ну так вот. Если хотите получить знания, а не просто бумажку, то вам вообще не сюда. Преподаватели 0. Суть в том, что тут все из &quot;одной школы&quot;. Все выращены на одном и том же, что и пытаются навязать каждый. На протяжении всего обучения вы будете слышать одну и туже информацию. Просто дословно. Ведь дать им больше нечего. Студенты отличившиеся во время обучения, здесь же и работают. Вещая тоже самое, что им вешали раньше. В психологический кругах &quot;великий&quot; МГППУ даже не известен. Просто очередной вуз. Вся деятельность здесь - имитация. Выпускают журналы используя статьи великих, а не свои и тд. Диплом, курсовые - отп ски. Выездные школы психологии - где бухают студенты и преподаватели, вообще вещь. Конференции - ха, на которые никто не приходит. Активная имитация бурной деятельности. Осознание этого, приходит на 2-3 курсе, когда и начинают уходить.
Конечности есть хорошие преподаватели, сейчас на 3 курсе, могу назвать 2 человек. Прикольно?
Забавно то, что даже выпускники с головой, прекрасно это понимают и рассказывают об этом открыто. Что не нужно идти сюда учиться, а просто получать диплом или магистратуру для фактического наличия. И получать образование в других, реальных учебных заведениях. 
",negative
"


Решил податься на магистерскую программу &quot;Когнитивная психология&quot; которая впервые в этом году запускается. Первое впечатление на консультации сложилось отличное. В день сдачи экзамена познакомился с половиной поступающих, а их всего было порядка 60. Напишу сразу что в  данное советское уныние я не поступил и даже если б поступил то после экзамена учиться бы там не стал. Больше всего меня удивила ситуация со сдачей вступительного экзамена. Сразу скажу что знания ваши там не нужны, вообще в принципе если вы &quot;хороший человек&quot;(очень субъективно правда?) то поступите. И так экзамен... Сначала все выглядело вполне норм. Люди заходят по 6 чел, готовятся, отвечают и тд. Когда я зашел и готовился то увидел печальную картину: большинство людей откровенно списывают, комиссия не реагирует вообще. Кстати из тех кто списывал достаточно большой процент уже сидит на бюджете. Есть личности которые в общем-то и 2 слов связать не смогли, ни на один вопрос ответить тоже не смогли внятно, но, внезапно, 95 баллов! Просто он оказался &quot;хороший мужик&quot; да еще и хороший друг одного из членов приемной комиссии. Так же хорошо работает &quot;демонстрация эмоционального интеллекта&q...Показать полностью...uot; типа &quot;я так хочу заниматься наукой, возьмите меня пожалуйста на бюджет&quot; и тут уже совершенно не важно что вы там по билету ответили главное &quot;порядочность и внутренняя мотивация&quot;, а еще звучали ни менее громкие слова типа &quot;совесть&quot;. На услышанное в голове плыла мысль: &quot;...совесть? ...порядочность? ...честность? ....вы серьезно?&quot;. Не подумайте что я смеюсь над этим, это конечно же важные качества человека который стремиться к научной деятельности, но в билете такого задания нет - &quot;продемонстрируйте какой вы порядочный. Это оценивается местом в бюджет&quot;. Я как работающий и платящий налоги гражданин не совсем понимаю за что я отдаю свои деньги, чтоб вот эти останки советской убогой реальности существовали? Естественно, когда комиссия оперирует к таким понятиям то о какой объективной оценке может идти речь? 
Примерную картину как я ее увидел обрисовал. ",negative
