Text,Mark
"


Поступал в прошлом году на кафедру биологии и физиологии человека. Полученных знаний - 0, вас будут забирать с пар на совершенно ненужные мероприятия, преподаватели совершенно некомпетентны и ленивы, пары очень скучные и совершенно неинформативные. Жаль тех, кто идет сюда учиться за деньги!
Расписание надо выбивать в учебном отделе чуть ли не силой, как и остальную информацию. Она постоянно доносится противоречиво, неправильно.
Преподаватели будут вам тыкать, звонить, когда пожелают, если с вами поздароваются и НЕ оскорбят вашу личность, то вам крупно повезет. 
Сто процентная предвзятость, выбор любимчиков-активистов. Если вы идете работать педагогом, но не по профилю обучения, это не будет уважительной причиной и вы получите тонну негатива в свою сторону. 
Поощряется лишь подхалимство, благодаря которому вас может быть куда-нибудь и пропихнут.
Мальчиков на кафедре очень любят, часто закрывают глаза на все косяки, если язык подвешен и могут прогнуться «где надо». Девушкам придется выслушивать от преподавателей обоих полов о том, что побыстрее бы вам замуж несмышленыши. Ни во что не ставят и принижают умственные способности.
Единственное, что тут делают хорошо - создают имиджевый образ классного института. Жаль, что это только видимость.
Итог: неорганизованность, некомпетентность, сексизм, унижения.",negative
"


МГПУ и кафедра ИИЯ - оплот лицемерия, лакейства, безалаберности, безответственности и предвзятого отношения. 

Пожалуй кратко пробегусь по плюсам и минусам.
Плюсы:
1. Красивый корпус, который расположен в центре.
2. Есть действительно контактные и неплохие преподы.
3. Классные автоматы еды и кофемашины. 
4. Корпус довольно хорошо оснащен.
5. Тут действительно есть местами полезные предметы и люди дающие знания, ток перед этим покушайте унижений.
Минусы:
1. Вы грязь. Запомните это на все время обучения. Вы просто грязь под туфлями преподавателей. А если вы перевелись в коллектив где уже люди к друг другу притерлись, то и там вы будете грязью. 
2. Не хотите быть грязью? Готовьте ротик для раздачи комплиментов и перекраивайте свой характер. Вы будете обязаны приспособиться к тому, что все мы здесь коллеги (лучше бы вы оставались для меня просто преподами и одногруппниками и также звались). Вам может показаться, что это шутка такая и прикол. Любое ваше выражение (не по теме знаний, а просто в беседе, например, если вы наступили случайно на ногу и извинились) могут поправить как им угодно. Над вами открыто будут смеяться, если вы ошибаетесь и потом припоминать это на парах. 
3. Вы хотит...Показать полностью...е не понимать что происходит? Вам сюда. Препод может сказать, что поставил вам зачет,  а потом вы магическим образом окажетесь на пересдаче и узнаете об этом, ну, дай бог что вообще узнаете и додумаетесь зайти в кабинет личный на сайте МГПУ после изнурительных зачетов. Никто в этом вузе не поможет вам. Вы сами по себе как потерянный барашек. Ваши попытки что-то выяснить будут высмеяны - ой хаха дурачок какой, не понимает что делать. 
4. Великолепные истории про престижный престиж и попытка протолкнуть свой журнальчик и требование указать там научрука, даже если он весь мозг вам съест и тысячу раз пройдется по вашей личности.
5. Столовая гуано, но она сейчас и закрыта. 
6. Ток на первом этаже вас встречают походу цивильные уборные, в остальном ну как повезет. Мне лично даже краны брезгливо трогать.
7. Отсутствие мед. помощи и карусель унижений на экзамене. Тут нет медика. Хоть ногу сломайте. Нет его. Мб кто-то из ответственных и  беспокоящихся людей сорвется, но дай бог. В остальном пусть ваша голова будет вся в крови люди будут сидеть дальше на своих местах и вести привычную деятельность. 
8. Хотите работать и учится? Расхотите или молитесь на маленькую нагрузку на работе (очень маленькую). Вам или отчисляться (особенно если вы учитель в школе), или сидеть прямо на работе на паре и молиться, чтобы начальник не выдал людей или искать другие варианты. Всем все равно что вы работаете. Живите и учитесь как хотите, но отсутствие на парах по причине работы не оправдание. &quot;Вы в первую очередь студенты и пришли сюда учиться.&quot; Как вам жить без денег в Мск загадка, если вам не помогают родители. 

Итак, если все минусы вас не пугают, то велком. А ну да общаги не дадут. Там нет мест. Ищи хату сам.
А вообще лучше потрать деньги и время на что-то другое. Не нужно оно тебе. Найми лучше репетитора или пытайся самостоятельно обучаться. Пробуй курсы, практику в компаниях, уроки на ютубе, читай книги. Пользы будет больше, а нервы не умрут. Спасибо. 
",negative
"


О господи. Я училась на факультете востоковедение и африканистика - китайский язык. Если вы хотите ничего не делать и получить диплом - добро пожаловать. Ни в коем случае не идите сюда на платку, если хотите получить знания
Сначала о плюсах: весь поток на втором курсе отправили на стажировку в Китай/на Тайвань. Но о том, кто куда попал - расскажу потом. Ещё плюс: было 2-3 годных, хороших преподавателя (С*****, П*****, К********). На этом все

Началось все с того, что нас - счастливых первокурсников отправили на первое занятие по китайскому к АССИСТЕНТУ. Это была молодая девушка, которая первый раз преподавала в университете. Спустя год обучения, когда мы перешли на второй курс к другому преподавателю - оказалось, что наше китайское произношение В КОРНЕ неправильное и китайцы так не говорят (что было правдой). Пришлось ещё полгода работать над произношением. Надо сказать, что за все время обучения у нас были преподавали - носители, которым в общем то было совершенно все равно на нас, наше обучение, наше произношение и на наши неправильные тоны. Они просто отрабатывали часы. Как и некоторые русские преподаватели, которые вели китайский и просто-напросто могли забыть про пару в 9:00 и...Показать полностью...ли пол урока рассказывать о собственной жизни (класс). Окончание второго курса. Конкурс на стажировку. Необходимо было сдать международный экзамен чск3-4, собрать подписи преподов и хорошо учиться. За 4 месяца до стажировки составили таблицу-рейтинг, где можно было посмотреть, отправили ли тебя на бюджет. Меня хотели отправить. Но каким-то чудесным образом, спустя 2 недели оказалось, что другая девочка с меньшим баллом едет вместо меня. На все мои вопросы разводили руками. Было обидно, но делать было нечего, и я ни разу не пожалела о стажировке, хотя отдала немало денег за общежитие. И тут БОНУС: спустя год после стажировки оказалось, что я должна заплатить за дисциплины, которые ввели в расписание, когда я была на стажировке! Поразительно! Но делать нечего, в договоре это все прописано, так что имейте это в виду. 3-4 курс были совершенно бесполезными, ничего нового мы не узнали кроме военно-политической китайской лексики (зачем она нам?) Вопрос: если мы ВОСТОКОВЕДЫ, зачем на гос экзаменах отвечать топики по ПОЛИТИКЕ, как это относится к нашему факультету? Сделали бы тогда вопросы по литературе и культуре. 
Ещё одна боль: мы поступали в главное здание ИИЯ на Курской и проучились там только 1 курс. А дальше нас начали кидать по всем уголкам Москвы: Текстильщики, Аэропорт, Дмитровкая… в ИИЯ мы вернулись только на выпуск. 
Столовая - это отбельная песня. Как-то раз я взяла пиццу и больше туда не возвращалась. Было дикое отравление. 
В общем, безразличие преподавателей, неоправданная цена обучения, расположение корпуса на отшибине - все это, к сожалению, испортило впечатление о ВУЗЕ. Лучше купите курсы по китайскому языку - вы будете лучшим специалистом, чем выпускники МГПУ. ",negative
"


Вообщем. Решила я в этом году поступать в Московский городской педагогический университет на направление дошкольное образование. Институт педагогики и психологии образования. Отдала за обучение 229700.

Во-первых чем я столкнулась, так это с полнейшей неорганизованностью и необпределенностью. Отсавалась неделя до начала учебы, а я так и не знала когда и где сбор, звонила миллион раз - никто ни о чем не в курсе. В итоге за день мне позвонили, и сказали, что торжественное мероприятие (сбор студентов)в понедельник в 9:00. Я только успокоилась, но тут, через минут 10 мне опять звонят, и уже другой человек говорит: сбор в 14:00. Я переспросила несколько раз: точно? я на дошкольном образовании, 1 курс, все верно? точно в 14? мне только что звонили и т.д. - Нет. Сбор студентов в 14:00 в 301 кабинете и точка. 
Ну хорошо. Раз сказали в 14, значит в 14.

На следующий день прихожу к двум часам, захожу в кабинет, а там уже толпа народу и какой-то преподаватель активно что-то рассказывает. Позже я узнала что это была главный специалист департамента обеспечения образовательного процесса. К сожалению фио тут писать нельзя.
Я села, с глазами по пять копеек, сижу, ничего не понимаю, потому что разг...Показать полностью...овор уже (как я позже выяснила) подходил к концу. Когда она прервала свой монолог я переспросила: точно ли я пришла в нужный кабинет, я на дошкольном образовании на первом курсе. На что она мне ответила(дословно): это пока НИКАКОЕ образование, у вас будет 2 года объединено, а потом вы уже разойдетесь по своим направлениям. На мой вопрос почему мне сказали приходить в 14:00, ответила: ничего не знаю мы уже тут с 9:00 утра, у нас было в 9 торжественное встреча студентов потом знакомство с преподами и т.д.
Вообщем, отсидела я час от силы и нас всех отпустили. Других студентов с информацией какой-то, а я так ничего и не узнала.

Началась Учёба. Нет конкретного расписания, нет предметов, всё нужно узнавать самой. Потом я заметила, что у каждой группы есть свой староста и куратор, и я стала искать своих. 
Но как оказалось, на своём направлении Я БЫЛА ОДНА. Вы спросите, как это? Это в переносном смысле? НЕТ. На своём направлении (дошкольное образование) Я БЫЛА ОДНА И БОЛЬШЕ НИКОГО В ГРУППЕ НЕ БЫЛО. Один человек. 
Вопрос - как они могли такое допустить ?Как они себя представляли моё обучение? Почему они сразу же не предложили мне перевестись на другое направление? Непонятно.
Начались мои отвратительнейшие две недели в этом институте. Мне постоянно приходилось все самой узнавать, спрашивать, искать аудиторию, потому что я была полностью одна и всем было просто на меня насрать.
О какой социализации могла быть речь? Естественно я так ни с кем и не заобщалась. Ходила как изгой. Как-то у нас были объединённые пары с начальным образованием и я попросилась, чтобы они меня добавили в их чат в телеграмме, где они общаются. Что бы хоть быть вкурсе событий. На что они ответили: ты не из нашей группы, мы тебя добавить не можем. После этого в ВУЗе они со мной вообще не общались, не разговаривали. Опять же повторюсь, я сидела как изгой.

Говоря про образовательный процесс - нам с первого же дня начали говорить, что у вас уже такого-то числа сессия, такого-то зачёты, вот вам задания, выполняйте. Нас не учили, не погружали в образовательный процесс, а просто сказали: всё, учите, готовтесь. 
Нам сказали, что у нас учебный процес состоит из 50% самостоятельного обучения. По понедельникам мы занимались дома, самостоятельно. Порой еще не было пар в какой-то из дней недели. С одной стороны это неплохо, но когда вспоминаешь, что ты отдал за год обучения 230 тысяч, появляется вопрос- какого хрена? За такие бабки еще и самим надо искать информацию и учить? В итоге за 2 недели обучения в вузе я была раза 4.

Про преподователей: не было ни одной интересной лекции! Все рассказывали ужасно скучно, нудно, в школе интересней было! Преподы спрашивали по сто раз во время пары когда уже конец занятия! 
А ещё с чем я столкнулась, что меня просто поразило,  так это полнейшая безграмотность преподавателей! Я сидела на лекциях и записывала их орфографические и орфоэпические ошибки! Например, преподша по естествознанию говорила: повтОрим тему, водная срЕда, москва рекУ. По физре (у нас были лекции) преподша говорила дОсуга. По русскому языку препод вообще психически больной!. Всю лекцию то как орать начнет, то шепотом говорит, на весь актовый зал еле слышно. Рассказывал нам 2,5 часа ( я так и не поняла о чем, но он приводил примеры, как сочетание слов можно неправильно произносить) сказал пример: сруби лихую голову. И повторил несколько раз. Ну, поняли? типо срубили х..и голову.
Ох...епта. И вот это две пары мы слушали.
Вообщем, спустя пару недель вот такого треша, я решила отчислиться. Вернули только 215 тысяч. Вот, за эти две недели вычли. 

Подводя итоги: кроме гемороя больше ничего не получила от этого вуза. Очень жалею, что решила поступать туда, а ведь начиталась хороших отзывов.
Всем было на меня насрать, а на первом сборе они говорили, что всегда идут на встречу, всегда помогут. 
Хотите поступать в пед? Куда-угодно, только не в МГПУ.

Спасибо",negative
"


Учусь на 3 курсе направления &quot;педагогическое образование. английский язык&quot;. Для меня универ стал местом, где я проверила себя на стойкость ко всему: сильному недосыпу, если хочешь выполнить задания хорошо, разобраться и получить баллы; всем видам преподавателей; появлению расписания в последний момент и изменений за пару часов или минут до пар. Сейчас всё стало обычно и привычно, но дальше - больше, потому что будет практика в школе)))) вот тут и поймем, на сколько сил хватит. 
Преподы есть МАКСИМАЛЬНО приятные, у меня некоторые до сих пор вызывают классное чувство в сердце. Однако есть и странные личности, которые сначала говорят одно, а в итоге просят от тебя другое. 
Второй язык - как попадёт, правда. Моя бывшая преподавательница по французскому сразу просила нас читать слова, когда мы даже не знали правио произнесения, перебивала, когда мы говорили, от чего многие тушевались и забывали, о чем говорили, сбивались. В итоге за полтора года второго (!!!) языка знаний - ноль. НО  в другой группе того же у них всё супер и этот язык они учат постепенно, всем довольны
Элективы мне нравятся, физкультура - тоже. Можете выбрать любую из представленных, но минус и элективов, и фи...Показать полностью...зры в том, что их нужно успеть забрать, а это уже интересный квест, потому что всем хочется то, что им нравится, но если вы не забиваете на всё мужской половой орган, то всё будет хорошо. Также и в учёбе. Чтобы учиться - нужно тратить на это время, но у вас есть ваши одногруппники и однокурсники, так что должно быть полегче
Я также учусь в корпусе на Малом Казённом. У нас хороший корпус, я его обожаю. Всегда делается ремонт, что-то новое вводится. Есть столовая, но я беру еду из дома. 
Мой вердикт - классно, я люблю это место, но без минусов точно никак, они есть везде. Тут есть восхитительные преподаватели, классные и интересные студенты, активности внеучебные и мерч. 
Пошла бы я сюда, если бы опять поступала после школы, зная всё про уник, что сейчас? Да, не сомневаясь. Я не отличница, с недавнего времени и не хорошистка, но я знаю минусы в своих знаниях, а МГПУ помогает мне их убрать. Всем удачи в поступлении!",positive
"


Дизайн среды. В целом, стоит идти если вам нужен диплом без напрягов, если у вас нет особых амбиций или если у вас подвижная психика и учебу в нормальном вузе вы не сможете выдержать. Преподаватели - хорошие, есть парочка просто отличных молодых и практикующих, учиться легко, но если нужны реальные знания - это не сюда. И тут сразу стоит сказать, что это не сюда, и не в какой-нибудь Рггу или Косыгина - это мархи, гуз, вшэ и тд

Общежитие где-то в Измайлово, дорогое, мест там нет. Корпус ИКИ - в здании старой школы, на сходненской, от метро пешком минут 20. После того как он переехал в это место - я там не появлялась. Далеко и не вдохновляет совсем) Вузом это назвать сложно, корпуса  разбросаны по всей Москве (на первых курсах будете ездить туда-сюда). 

Столовой нет, есть автомат с едой (из которого почему-то воруют студенты, такой кринж) и кулер. В корпусе только специальности ики, если хотите студенческой жизни - это тоже не сюда. 

Кстати, нам завысили проходные баллы при поступлении, закрывали сессии на 4 и 5, хотя очевидно что студенты с таким уровнем работ в Строгановке (а типа все препода наши учились в строге) за такие работы отчислили бы. Госы было сдать легко. Огромный плюс - никто вас не заваливает, нет ни к кому предвзятого отношения, нет даже разговоров про взятки. На все ваши вопросы ответят и помогут, но это если вы конечно спросите). ",medium
"


Хочу сразу предупредить, что несмотря на все минусы, я положительного мнения о своем институте и направлении.
Уже два года учусь в институте иностранных языков на направлении &quot;Теория и практика межкультурной коммуникации - английский язык&quot;. 
Итак, плюсы:
- Расположение - метро курское, рядом много магазинов и кафешек, при этом сам институт стоит не на Садовом кольце, а немного в переулке, что весьма уютно :)
- Преподаватели - ну тут если быть совсем честной, то 50/50. Материалы даются чудесные, если обладаете хорошей самодисциплиной, то будете знать всё-всё-всё и даже больше. Часть преподавателей ведёт пары так, что волей-неволей всё поймёшь и запомнишь :D
Другая часть тоже неплохо раскрывает материал на парах, но его запоминание полностью будет находиться на вашей совести.
- Бально-рейтинговая система - возможность не ходить на экзамены. В течение семестра студент может набрать от 0 до 100 баллов, и ему может быть выставлена оценка, основанная на этих баллах, т. е. на активности в течение семестра.
- Внешний вид - очень опрятное и красивое здание, не будет ощущения, что ты находишься в советской помойке.
- Внеурочная жизнь - просто миллион активностей. Можно проявлять се...Показать полностью...бя в чем угодно от организации мероприятий до разговорных клубов. Думаю, это весьма может пригодиться в профессиональной жизни, поскольку работодатели зачастую ждут в приложениях к резюме какие-либо свидетельства об активной студенческой жизни.
- Стипендия - немного спорно. Стандартная - 1750, конечно, смех. Но много стипендиальных плюшек для первокурсников, например 10к для всех, у кого средний балл по егэ не ниже 92 (нововведение 2022 года). Подробнее можно прочитать в стипендиальном положении, не буду здесь расписывать.
- Стоимость обучения - весьма адекватная, плюс система скидок.
А теперь к минусам:
- Организация - это треш. Все обо всем узнают в последний момент. Расписание сессии зачастую узнаем от преподов, ибо выкладывают в официальную группу дай бог чтоб за 3 недели до первого экзамена :))))
- Практика. На первом курсе никому ненужная, высосанная из пальца, так называемая социокультурная &quot;практика&quot;. По факту это ерунда, которая подавляющим большинством студентов делается из кое-чего и палок за неделю до сдачи. Затем - тишина на три года, а потом какая-то практика на 4 курсе, но до неё я пока не дошла :D
- &quot;Межкультурная коммуникация&quot; - которой почти нет. Есть ряд предметов, в названии которых фигурируют слова &quot;межкультурная&quot; и &quot;коммуникация&quot;, но по факту это просто рассказы о культуре и устройстве британцев. Не совсем даже понятно, где и как мы с этими британцами будем коммуницировать. 
- Второй язык - как повезёт. Большинство преподов по вторым языкам абсолютно не требовательные, но и для некоторых студентов это скорее плюс, чем минус :D
- Электив - тоже как повезёт. Бывают адекватные преподы, читающие свой электив в формате лекций и понимающие, что для слушателей электива их предмет совсем не основной. А бывают злые и требовательные. Согласитесь, &quot;пересдача по элективному курсу&quot; звучит как маразм.
Ну собственно все. Касаемо личного мнения, меня все устраивает, живу, кайфую, работаю преподом, еще и от вуза в конце месяца 1750  рэ на киношку прилетает :D",positive
"


Всем привет! Я потратила год моей жизни на обучение в корпусе ИКИ на ул. Фабрициуса. Соответственно, говорю только про творческие направления, а именно Дизайн среды.
Начну с поступления. Мой общий балл 295, проходной был 271 за два егэ и конкурс по рисунку. Большинству поставили высокий балл за испытание, это насторожило. В общем, планка высокая, тех у кого было меньше 90+ не прошли, некоторые студенты поступали по несколько раз.
Корпус. Находится на ст. м. Сходненская и это адский ад. Двухэтажное здание, видимо раньше служившее школой, теперь стало высшим учебным заведением. Добираться всем около 2 часов, расположение не порадовало. Сам корпус хороший, свежий ремонт, висят картины. Чистые туалеты, где всегда есть бумага. Есть столовая, в которой стоит кулер и автоматы с едой (недешевой, но местные студенты иногда воруют оттуда). ОЧЕНЬ сухой воздух, летом жарко, зимой ОЧЕНЬ жарко. Маленькие аудитории, больше похожие на кабинеты у начальных классов в школе. Физра здесь выбирается как &quot;элективный модуль&quot; и скорее всего после пар вам придётся ехать на ст. м. Первомайская или на любой другой конец города, так что и тут с расположением беда.
Кто здесь работает и преподает. Нач...Показать полностью...ну с хороших людей: весь персонал, не отвечающий за ведение пар - прекрасные булочки, от охранников до библиотекарей, уборщица - божий одуванчик, за это вуз очень люблю, но, к сожалению, это не главное. Хочу выделить пары по истории искусств и по великим книгам - это было лучшее за всё время моей учебы здесь, М******* и Л****** - святые люди, ради них мы и приходили. Практика по философии также была очень интересной!
Преподаватели по профильным дисциплинам - разочарование (кроме методологии - тут была польза). Куратор нашего направления Н****** Л.В. - очень специфическая женщина, на всех парах давала нам работы студентов из прошлого, вот, мол, копируйте и делайте свои, тут вам никто ничего объяснять не будет. Обратная связь только на то, что мы приносим, но это могло быть &quot;да, норм, давай вот этот шрифт&quot;, а потом &quot;зачем ты тут такой уродский шрифт вставила, перепечатывай&quot;. По композиции аналогично: &quot;бахни тут круг, а то одни прямоугольники&quot;, а через неделю &quot;зачем прямоугольникам круг, переделывай эту херню с нуля&quot;, опять же отсутствие теоретических лекций. По рисунку у нас сначала был П***** - прекрасный человек, мало, что объяснял, но с ним хотя бы было интересно, потом работали с Б****** и это было ужасно. Препод не смолкал ни на минуту, а полезной информации не было никакой. Некоторые студенты делали проекты под его руководством, дальше красивых слов не заходило, тк человек абсолютно некомпетентен в своей профессии (не мне вам говорить что плохого в красном на чёрном и воровстве картинок из яндекса). Было бы честно сравнить педагогический состав с типичной русской семьей, где преподы ругаются между собой, обсуждают за спиной студентов и обижаются за всё подряд (доходило до абсурда, что человек задерживался на 10 минут а его отправляли рисовать в коридоре, но это ничем не отличалось от рисования в кабинете, потому что опять же нам ничего не рассказывали о дизайне). На просмотре Н****** Л.В. была нами очень недовольна, поэтому остальные преподаватели ставили то, что она говорила. Получилось так, что даже студенты на повышенной стипендии, приходившие на все пары и делающие весь объём хорошо (им все говорили &quot;да, работы супер&quot;) получили тройки и слетели со стипендии только из-за плохого настроения этой женщины, разочаровавшейся в нас.
Скандалы. Помимо нулевого количества информации на парах, Н****** Л.В. слушала все разговоры студентов об их личной жизни, чтобы потом на просмотре рассказать всю информацию о всех, чтобы повеселить других преподов (&quot;а вот *** живет с парнем, к родителям приезжает только на выходных, вообще непонятно как она живет так, на парах ведет себя как дура&quot; или &quot;а вот эти трое одеваются как бомжи, у них что нет вещей нормальных&quot; и закадровый смех). Это услышала одна девочка, проходившая во время просмотра мимо кабинета, мы все были в шоке. Также эта женщина считала нормальным говорить студентам &quot;надеюсь на ваше отчисление&quot;, а после разговора с ней другой преподаватель мог намеренно игнорировать неугодного ей студента. Вроде дело в связях, иначе мы не можем понять, откуда такое хамское отношение и вседозволенность.
Всё, что не относится к дизайну - дополнительные занятия, керамика с печью и гончарным кругом - круто класс, очень много интересных штук есть, но после основного обучения пропадает любая мотивация.
Итог. Поступать сюда стоит, если вы планируете получить корочку и имеете очень стойкое ментальное здоровье, - вы сможете работать, иногда ходить в вуз и усилием воли не поддаваться на все эти провокации. Получается у немногих. Большинство людей в моей группе ушли бы или перевелись, если бы у них были какие-то гарантии и уверенность, а пока они терпят всё это, все в отчаянии. Я отчислюсь или заплачу 10к за академический отпуск (представляете, взятка), а потом только отчислюсь. Жаль керамику, историю искусств и недизайнерские пары, но какой в этом смысл, если вуз не даёт ничего от дизайна (методология - даёт, но это исключение).
Возможно на более рисовательных направлениях (арты и изошники) получше, тк им достались адекватные преподаватели по рисунку и живописи, а также обучение довольно лайтовое и вас тут никто (кроеме как морально) не насилует. Решать вам.",negative
"


Всем привет! Имя сохраню в секрете, я студентка 2 курса Института иностранных языков МГПУ на направлении &quot;Теория и практика межкультурной коммуникации - немецкий язык&quot;. Перед поступлением год назад видела здесь огромное количество плохих отзывов, но искренне рада, что меня это не остановило. Постараюсь переубедить вас, при этом быть объективной. 
Начну с положительных факторов:
Огромное количество немецкого языка, который на первом курсе преподаётся в рамках трёх разных предметов: фонетика, грамматика и общая устная и письменная коммуникация. На фонетике с Ю. В. К********** было много теории, которую я в основном нашла для себя очень полезной. Мы каждый раз делали речевую разминку, читали, разбирались в транскрипциях, тренеровали аудирование, учили стихотворения и даже озвучивали мультик! 
Самое лучшее, что с нами случалось за год - это Т******* А. Э., которая ведёт общую практику речи. Она лучшая. Она всегда тебе поможет, все объяснит. Отличный преподаватель и человек. Мы учились очень много, учили огромное количество слов, писали кучу работ, читали книги, смотрели фильмы (всё на немецком). Уровень каждого студента в группе вырос в разы. 
По грамматике переодически возни...Показать полностью...кали проблемки с доступностью объяснений преподавателя, но, тем не менее, нам предоставляли огромное количество полезного материала, за что я тоже очень благодарна. 
Из общих плюсов: чудесное расположение корпуса ИИЯ (Курская с кучей кафе и магазинов), хороший внутренний интерьер, вкусная еда в столовой (чуть дороговата), вкусный кофе в автомате, онигири... 
Большое количество студенческих организаций, где можно реализовать свои амбиции. 

Из минусов: 
1) звонки....... 
2) С******** Г. В. , который преподаёт историю немецкоязычных стран, постоянно уходит от темы и делится своим стремным мнением о нынешних печальных событиях в политике (да, он изучает при этом историю Германии). 

Из плюсов и минусов одновременно: большое количество обязательных внеучебных мероприятий. Часто это действительно интересно, но порой из-за этого пропадает пара 

Я очень советую это место. Не бойтесь и поступайте",positive
"


Учусь на направлении &quot;Педагогика (Изобразительное искусство)&quot; честно говоря, не ожидала от этого вуза много, но пошла сюда, потому что не поступила больше никуда. Однако ожидания не подтвердились, я удовольствием хожу на занятия. Пока что у меня не было ни одного неадекватного препода, хотя есть такие, как и в любом другом ВУЗе. Больше всего нравится, что они дают свободу в творчестве, не навязывают определенный стиль в рисунке или живописи, как это часто бывает на художественных направлениях, наоборот, поощряют работу в разных стилях.
Есть, конечно, ненужные предметы, там преподаватель не требует слишком много, в целом считаю нагрузку совершенно адекватной, я лично не устаю, может быть, только в период, когда нужно сдавать все работы (то бишь просмотр). Бывают сложные предметы, но препод страется все объяснить на тройку могут все сдать.
Ещё один положительный момент: выбор физкультуры. Можно выбрать любой вид спорта (волейбол, фитнес, плавание, баскетбол, единоборства и т.д.) и удобный адрес, корпусов по всему городу много.
Минусы - это стипендия и общежитие. Стипендия составляет 1750 р., которых хватает только на транспорт, оплату связи и один раз купить еды. Можно полу...Показать полностью...чить повышенную, это сложный процесс, она даётся в соответствии с начисленными баллами, а баллы даются за всякие достижения: олимпиады, конкурсы, участие в выставках, написание научных работ и пр. Просто за то, что вы отличник/отличница, стипендию не повышают, что для меня было очень странным. 
Есть два общежития, насколько я понимаю, одно новое и другое старое, но оно в хорошем состоянии. Минус его в том, что оно довольно дорогое, 8000 за трёхместный номер и 10000 за двухместный, хотя для Москвы жилье дешёвое на самом деле, учитывая, что там чисто и оборудовано.
Подводя итог, здесь все-таки приятно учиться, комфортная атмосфера, не видела ни разу крысятничества или скандалов. Рекомендую этот ВУЗ!
",positive
