Text,Mark
"


От студента третьего курса факультета РК для тех, кто хочет/думает/надумал/решил сюда поступить, надеюсь вы ещё раз подумаете, стоит ли сюда поступать.

Сразу скажу - нет. Повествование будет идти в хронологическом порядке на основе моего опыта от начала подачи документов до этапа, на котором я сейчас. Старался написать объективно и по факту, без лишних преувеличений.

-------- ПОДАЧА ДОКУМЕНТОВ -----------
Сдав три предмета на ЕГЭ и набрав 243 баллла я претендовал на платное обучение по направлению 09.03.01 на факультет ИУ. Решает всё конкурс, сможете ли вы поступить или нет. Перед подачей документов вы создаёте свой личный кабинет абитуриента на базе сайта МГТУ, загружаете туда всю необходимую личную информацию и далее выбираете направления. Насколько я помню, можно было выбрать три направления по приоритету, также с кафедрами. Я выбрал только одно - 09.03.01, другие меня не интересовали. Далее идёт выбор кафедры. Если вы допустим выбрали кафедру ИУ5 на этом этапе, у вас нет гарантий, что вы туда поступите. Здесь работает система приоритетов. Вы выбираете кафедры по мере убывания своего желания, и вот где будет свободное место для вас на основе конкурса, то туда вас и направят. М...Показать полностью...ожет быть такое, что вас определят в самый последний, менее желаемый вариант. Поскольку я платник, для участия в конкурсе необходимо было внести оплату за обучение на первом семестре. Ничего такого плохого нет, просто гарантия того, что вы не сольётесь, заняв чужое место. Собственно это весь процесс подачи документов. Далее вы ждёте результат конкурса, смотрите кафедру, куда вас определили, и вот начинается ваш путь в этом ВУЗе. На ИУ я не попал, по приоритету и конкурсу вышел на РК

--------- ПОДГОТОВКА К ОБУЧЕНИЮ --------------
Конец августа. Проходит сбор поступивших студентов в ГЗ, скорее всего всегда в актовом зале. Там вам проведут вводную лекцию про то, как будет выглядеть ваша жизнь в ближайшие 4 года. На лекции присутствует декан, замдекана, может иногда прийти ректор, чтобы дать вам мотивационную речь. Помимо руководства факультета на собрании присутствует преподаватель, но нет, не вашей кафедры или факультета, а преподаватель ФВ (физкультура), который будет вам угрожающим тоном рассказывать, как устроена система физического воспитания в университете. Почему угрожающим? Да потому что так оно и было, как я помню, я это чётко подметил в тот момент. Физкультура в МГТУ это вообще отдельная тема, тут можно целый раздел выделить, но это позже.

--------- ОБУЧЕНИЕ. ПЕРВЫЕ ПРОБЛЕМЫ -------------
1 сентября. Ваши первые шаги в ВУЗе как студент начались. Первым, что вы увидите - УЛК. Там вы будете в основном до 2 курса, ибо основные кафедры, которые читают на первом курсе расположены там. Первая проблема с которой вы столкнётесь - неработающие лифты.  По факту они работают, но огромный поток людей делает их бесполезными. Вы можете простоять 5-8 минут, чтобы дождаться лифта. Но есть нюанс. Вам повезло, если вы на первом этаже, потому что приезжающий лифт всегда будет свободен, но если вы будете где то на этажах (их там 11), то можете сразу идти пешком. Вы не дождётесь, либо лифт будет полон. В среднем в лифт помещается человек 6-8. Вообщем, привыкайте к тому, что вы будете подниматься всегда по лестнице, качайте выносливость. При чем об этой проблеме знают, но решать её не хотят. Видите ли, лучший технический ВУЗ не смог решить проблему с разгрузкой потока и решил просто забить.

Добравшись до нужной вам аудитории вы можете заметить, что преподаватель может отличаться от того, кто указан в расписании. Происходит это из за отсутствия внутренней коммуникации между кафедрами/факультетами в ВУЗе. Это большая проблема, которая сказывается на всей системе работы университета. Решать её не хотят. Вы столкнётесь с ней рано или поздно в зависимости от ситуации, и вам придётся терпеть эту абсурдную проблемную, которую, казалось бы, могли решить даже выпускники ВУЗа, решив эту задачу для университета, но лучший технический до этого не додумался.

Завершив первый день, вы можете подумать, что не всё так сложно,но это до 5-ой недели, когда будут первые контрольные и сдачи ДЗ. Тех, кто это понимает - не расслабляется, работает, проходит первые испытания, а те, кто не понимает - при первых же трудностях повержен морально, ибо розовые очки начинают ломаться.

Касательно сдачи предметов: у студентов на 2 курсе и более выработалась тактика - гуглить преподавателя. Если отзывы о нём вполне себе хорошие, то можете меньше уделять времени предмету, а больше тому, у кого статистика хуже. Я это к тому, что из за отсутствия в университете единой проверки знаний каждый преподаватель проверяет вас так, как он хочет. Кто то спросит по билету, кто то посадит вас перед собой и будет вас валить и требовать знаний, как от кандидата доктора наук и валить. Знаю преподавателей, которые стабильно отправляют минимум 4 человека в академ за семестр, но правила сайта запрещают упоминать, к сожалению для вас. Потому с каждым семестром вы неосозннано играете в рулетку всей группой. Вам может попасться очень лёгкий набор преподов, которые даже ваш билет смотреть не будут и просто поставят оценку, а есть те, кто вас в академ отправит. Удача не бесконечна, так что за 8 семестров минимум вы с ними столкнётесь. Вот помню экзамен по физике, преподаватель попросил одногрупника нарисовать корову. Нарисовал - выгоняет из аудитории. Почему? Потому что это невозможно, тест на дурака. Вот и думайте, сколько таких людей на суете и нервах попали на пересдачу, а позже может и на комиссию.

В целом то, что я описал выше - это основа, с которой вам придется жить 8 семестров, но это я ещё физкультуру не упомянул :).

------------ ФИЗКУЛЬТУРА ---------------
Если говорить честно - вся кафедра ФВ, которая отвечает за физкультуру - это сборище совков, которые когда-то где-то тренировали в каких-то подвалах ещё времён СССР. У них настолько завышенная самооценка о себе, потому что раньше они видите ли были МАСТЕРАМИ СПОРТА, и потому их предмет - самый важный в университете, т.к. его преподают сами МАСТЕРА СПОРТА. А когда этот мастер спорта загоняет до смерти студента (я не шучу, такой случай был, можете нагуглить), он сразу поджимает хвост и его четкость пропадает, а сам он просит не называть его ФИО в репортаже ТВ. Если вы надумали сюда поступать, будьте морально готовы к маразму мастеров спорта, которые сидят на кафедре ФВ. Они могут вас оскорбить, отчитать, задержать, выгнать, что угодно сделать. У вас пара через 15 минут и вам нужно ехать на метро 20 минут, потому что пара по физре вообще на другой станции? Пффф, физрука это не интересует. Но больше всего меня смешило то, что эти мастера спорта пробуют применять армейский стиль на своих парах, аля &quot;РОВНЯЙСЬ! СМИРНА!&quot;, подкрепляя это командным тоном, с футболкой СССР. Если вы поступите в МГТУ, уважайте себя, купите справку, что не можете заниматься физрой, она в пределах 10к стоит, но не надо ходить на пары кафедры ФВ, вместо неё ходите на кафедру АФК, где реально умные люди сидят, которые расскажут полезные вещи. Их мероприятия и пары - удовольствие, лично моё мнение.  Ну а если вы решились остаться на ФВ, то учтите, что за долг по физре всегда отчисляют в конце третьего курса, а он по любому у вас будет. Так система устроена, что если пропускаете хотя бы одну пару - то у вас отработки и + нормативы. Не сдадите нормативы - долг. Не пришли на пару - долг. Слабо позанимались/не вывезли - могут на отработку отправить, если не объяснитесь. Такая система вынуждает вас в будущем ходить на мероприятия от ВУЗа, где дают баллы для ФВ, и будьте уверенны, вы пойдёте туда. Забыл один момент: у ВУЗа две точки проведения физкультуры. Одна находится на электрозаводской в СК, другая в Измайлово. Учитывайте это, потому что вам нужно будет за 15 минут перемещаться из точки в точку между парами. В целом, насчёт физкультуры всё, надеюсь прислушаетесь к моим словам о справке и АФК.

------------ ОБЩИЕ ПРОБЛЕМЫ -------------------
Я описал вам общую картину обучения в этом ВУЗе, давайте теперь перейдем к деталям. Начну с общих проблем:

- Запредельная бюрократия. Вот казалось бы, технический ВУЗ, готовит выпускников по самым различным инженерным направлениям, даже гуманитарии есть. Но почему то, то ли из за коррупции, то ли из за внутреннего консерватизма руководства университета и нежеланием ничего делать на и так уже пригретом месте, ЛУЧШИЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ страны до сих пор любой запрос/любую информацию обрабатывает на бумажках. Ну что это такое? 2023 год на дворе, а у них до сих пор отсутствует централизованная система запросов без бюрократии. Задача - уровня фриланса, но решать проблему с бюрократией они не хотят. Если вам нужно будет получить справку - ждите 4 дня (что?). Я не шучу. Нужна была справка для работы, я её заказал, её делали 4 дня. То есть вместо централизованной системы, которая выдаст сразу справку и внесет необходимую информацию в базу университета, они до сих пор все записывают руками и обрабатывают через другие отделы, принося физические копии. Это уровень технического ВУЗа? Я воспользовался как-то этой проблемой, просканировав и распечатав направление на пересдачу, в итоге после заваленной второй попытки я просто пришел со скопированным направлением, которое позже подписали и отнесли в деканат, где утвердили, хотя я должен был идти уже в следующий раз в назначенный деканатом день на комиссию. Вот и думайте, что из себя представляет бюрократия в ВУЗе

 - Отсутствие внутренней коммуникации между факультетами/кафедрами. Эта проблема связана с бюрократией. Когда вам нужно будет получить справку/перезачёт/выйти из академа - вы столкнётесь с ней. Допустим, вам нужно оформить перезачёт. Ваш план действий: приходите в деканат, получаете бумагу, которую должен подписать преподаватель и завкафедры. Несёте им, они подписывают, несёте в деканат. Вопрос с перезачетом закрыт? Нет. Вам дают ещё одну бумагу, где уже оформляется сам перезачёт, а то было согласие. Опять идёте на кафедру, к преподу, несёте обратно. И всё это делается не за один день, а за две недели. Знаете почему? Потому что в деканате только один человек работает с перезачетами, а доступен он раз в неделю на 1 час. Вы не успеете все оформить в один день, физически невозможно. Давайте теперь представим адекватную систему вместо неё, хотя бы образно: Студент запрашивает через ЛК МГТУ перезачёт у деканата --&gt; деканат отправляет запрос в обработку отсылая запрос уже на кафедру --&gt; тебе обрабатывают запрос и выносят вердикт, возвращая запрос в деканат --&gt; деканат обрабатывает запрос и выводит результат студенту. С учётом рабочей смены, чисто теоретически ответ должен поступить в течение часа без физического присутствия. Но забудьте про это, вы учитесь в лучшем техническом, вы потеряете 3 часа своего времени, вместо того, чтобы отправить двухминутный запрос и готовиться к контрольной условно. А происходит такая бюрократия знаете почему? Потому что были случаи, когда деканат засчитывал перезачет, а на кафедре сидели неадекватные люди, которые отказывались либо просто ленились проставить информацию в соответствующие ведомости, потому что у них банально нет связи между собой. Мне вообще хотелось бы изучить вертикаль власти этого университета, потому что всё держится на соплях. Спасибо хоть, что аудитории в расписании правильные выставляете, а иногда нет.

- Отсутствие длинных перерывов. Прошло две пары, впереди ещё две. Что захочет средний статистический человек? Правильно, есть. Успеет ли он за 15 минут, перейдя сначала в другую аудиторию, спуститься в столовую, заказать себе еду в очереди на 40+ человек, поесть спокойно, подняться и не опоздать? Если следовать этой схеме, то он придет к концу первой половины пары. По личному опыту говорю. При чем насколько я знаю в других вузах перерыв есть, а в этом нет. Будете есть прям в аудитории и заниматься в крошках. Ну и со столовой такая же проблема как с лифтами, они не вывозят на себе поток людей. Руководство университета просто закрывает глаза на проблемы в оптимизации и не желает ничего делать

- Отсутствует ротация кадров в верхушке ВУЗа. Знаете, чем дольше человек сидит на посту, тем меньше у него желания что-либо делать. Когда человек приходит только только, у него сразу много идей, предложений, решений. Он как художник, который поймал вдохновение. Но когда человек 11 лет сидит на посту ректора, а потом фиктивно по возрасту пересаживается на пост президента, ставя и.о., а сама верхушка ВУЗа вообще никак не меняется, говорит о многом. Если сравнивать ВУЗ 11 лет назад и сейчас, поменялись разве что билеты и всё. Базовые проблемы не решаются, система управления никак не автоматизируется, оборудование устаревшее, ремонт в зданиях лишь частичный, зато строят кампус и общежитие для иностранцев. Ну ок, что тут сказать.

- Запредельное хамство. Знаете чем отличается бюджет от коммерции в общем плане? В бюджетных заведениях финансирование идет от государства, а не от частных лиц, потому если кто то обидется, на них ничего не скажется. В коммерческих же заведениях финансирование обеспечивает не государство, а клиенты. Как к ним подойдешь - так они тебе и заплатят. Будешь хамить - станешь банкротом, потому что с тобой не будут иметь дел. К чему это я? А к тому, что в отношении вас всё дозволено. Вы тут никто, звать вас никак, имени у вас нет. Что вы им сделаете? Уйдете? Да им все равно будет, их государство кормит. Хамить вам будут везде: в деканате, в раздевалке, в туалете, на парах. Зашёл в туалет по зову природы во время уборки? Узнай кто ты есть и скажи спасибо что шваброй по горбу не получил. Подошел получить вещи и ждешь когда принесут? Скажут &quot;че сам не можешь?&quot;, а если сам пойдешь в другой день, этот же человек скажет &quot;КУДА ПОШЕЛ?&quot; (????????). Также случай в гардеробе: будешь стоять на месте, а не подойдешь ближе, откуда несут куртку, услышишь &quot;НУ И ЧЕ ТЫ СТОИШЬ, ПОДОЙТИ НЕ МОЖЕШЬ?&quot;. Затупил на паре - услышишь кто ты есть по интеллекту (зависит от препода). Да даже на выходе если дверь перепутаешь, охранник крикнет &quot;КУДА ИДЕШЬ НЕ ВИДИШЬ ЧЕ НАПИСАНО?&quot;. Хамство везде присутствует. Вас не воспринимают тут в серьёз, вы для персонала, преподов, руководства - школота, которая ничего из себя не представляет. Чуть что не так, задаешь какой либо доп вопрос, сразу начинается. Можете сказать, что нужно потерпеть, но я прихожу сюда знания получить, а не выслушивать, кто я есть. Кто думает, что нужно терпеть такое отношение к себе, а не &quot;ныть&quot; - ваше право, ваша жизнь, ваши принципы, говорю за себя. Информацию об отношении к студентам вам донёс.

- Неадекватная стипендия. Стипендия очень маленькая, её хватит чисто на еду и прочие средства первой необходимости. В начале она будет 2000, если округлить, позже вырастит до 4500, но это всё равно мало. Учитывайте, что 800 рублей вы отдадите за общагу. Чтобы получить больше, нужно будет записываться на всякие выплаты, часть из которых оформляется через бюрократию деканата))))).

- Общежития. Мне искренне жаль тех людей, которые живут в этих общежитиях. Жилищные условия на уровне колонии какой-то. И это во всех общежитиях университета. Живёт в комнате, насколько я помню, 4 человека. Двухэтажные кровати. Комнаты маленькие, 4 человека во всю ширину если в линию встанут не поместятся, если не учитывать мебель, с ней вообще 3. Проблемы с насекомыми в виде тараканов. Убитая душевая и туалет. Если есть средства - снимите квартиру или скорешитесь с кем то, чтобы оплату делить. Это один большой муравейник, условия жизни в общаге - не человеческие. А знаете в чем забавный момент? Они тратят средства на строительство общежития для иностранцев, которых в РАЗЫ меньше, вместо того, чтобы отремонтировать общежития

- Огромная нагрузка. Вас завалят работой. Если вы во время школьной жизни тусили, гуляли и занимались прочей молодежной деятельностью, не поступайте сюда, вы не окончите ВУЗ, говорю вам сразу. Прислушайтесь к словам, это не ваш университет, ищите попроще. А для тех, кто ботал в школе, вас ждёт: ДЗ, чертежи, работа на компе, всё это выполняться должно в течение двух недель по частям. Не выполнили - долг. Зашли поиграть в доту? Считайте у вас долг. Дерзайте

- Программа отстаёт от времени. Вся программа составлена на методичках/литературе 80-х годов. А сейчас какой год? Правильно. +-40 лет ВУЗ работает по методичкам, не меняя программу. А теперь взгляните вокруг себя, у вас столько технологий под руками, которые может быть вышли совсем недавно. А теперь подумайте, сможет ли этот ВУЗ сделать из вас инженера, который работает на системе 80-х годов?. А про программирование я вообще молчу, его тут нет считайте. Если вы придете на работу и расскажите на собеседовании чему вас тут научили, вас тут же развернут и скажут до свидания. Исключение: кафедра ИУ7. У них какая-то особенная кафедра, где люди реально большие деньги получают после выпуска. Но туда, чтобы поступить, нужно 280+ баллов для платной основы хотя бы, а мест очень мало

- Практика на гос предприятиях. На некоторых факультетах на практику вас могут направить в гос предприятие и сменить вы её не сможете. Что это даёт? Повышенный уровень секретности, запрет на выезд из страны. Это скорее минус для тех, кто регулярно путешествует.

- Маленькая зарплата после выпуска. В среднем зарплата после выпуска ~60.000, но всё это зависит от направления. Там где я учусь - такая зарплата после выпуска. Если надбавить в будущем с учетом опыта работы ~75 000. Цифры не точные, все приблизительно, но это мало. 

- Электронный журнал сырой. Там только расписание и ваши оценки. Всё, больше ничего. Даже у элжура для школьников больше информации, но здесь вообще всё сыро. 

- Старая литература, электронная библиотека ограничена. Литературы новой нет, всё старые издания. Электронная библиотека позволяет не все учебники читать онлайн, так что по любому придется брать из библиотеки физическую копию.

- Консервативность ВУЗа. На мой взгляд все эти проблемы связаны с тем, что университет банально не развился в крупном масштабе с момента развала СССР. Он не следит до сих пор за мировыми тенденциями, он упирается в старую систему и не желает развиваться. Может быть это дело в руководстве, которое просто не видит в этом смысла и блокирует предложения инициаторов где-то на верхушке, а может это просто общий менталитет всех тех, кто участвует в системе вуза, не как обучающийся. Ну а что ещё сказать, если ДЗ запрещают в печатном виде приносить и учебник через телефон читать. Так что тут наверное общий менталитет. Перспектив к развитию не наблюдается, заключаются какие-то договора с какими-то компаниями, университетами, и т.д. Всё строится сотрудничество с кем-то, но ВУЗ не меняется от слова совсем. Процессы идут, например строительство нового кампуса, но на мой взгляд, это не те действия, которые нужно предпринимать в первую очередь. Поэтому наблюдается снижение авторитета МГТУ в пользу других вузов, например ВШЭ, а МГТУ уже сами работодатели начинают считать совковой помойкой.

В целом это все общие проблемы, если обобщать, которые я заметил. Давайте хоть о плюсах:

------------------- ПЛЮСЫ УНИВЕРСИТЕТА ------------------------------
- Дружный коллектив. Студенты, они же бауманцы, дружески друг к другу относятся. Всегда подскажут, всегда помогут. Это наверное главная особенность университета, здесь дружелюбные учащиеся. Но связей вы здесь скорее всего не найдёте, люди не заинтересованы в этом и в принципе не знают, что это такое.
- Программа ВК образование. Это дополнительные курсы для программирования, где реально могут научить необходимой основе программирования. Допуск туда только со 2-го курса и по вступительным экзаменам. Но сможете ли вы распределить нагрузку - от вас зависит
- Неплохая еда в столовой. По моему мнению, еда нормального качества, каких-либо постэффектов не наблюдал
- Военная кафедра. Тут для тех, кто заинтересован в этом. Рассказать про неё ничего не могу, знаю только по наслышке, утверждать что-либо не берусь. 
- Здания в шаговой доступности. В отличие от того же МИРЭА, где один корпус находится в конце ветки метро, а другой в начале, тут все расположено в шаговой доступности, кроме Измайлово, там нужно будет ехать на метро. Очень удобно.
- Диплом пока что считается как уважаемый. Люди знают, что такое МГТУ, потому приоритет по дипломам на трудоустройстве у вас будет выше. Но это пока что, ВШЭ например уже давно перешел МГТУ, при этом наблюдается снижение репутации МГТУ в принципе.
- Студсовет проводит различные мероприятия. Если вы любите студенческую жизнь - вы тут много, что найдёте. Студсовет состоит из таких же как вы, с ними легко найти общий язык и они всегда делают мероприятия для целевой аудитории.
- Студентам дается возможность подработать летом внутри ВУЗа. Открываются различные вакансии для тех кто хочет поработать, с занесением в трудовую книжку.

А так вообщем то всё. Насчёт преподавателей: есть хорошие, есть плохие, но при любом варианте всё придется учить самому. Учебный процесс очень ограничен в плане продуктивности. Вы всё будете познавать и учить дома, а здесь вам дают полтора часа ориентир, куда двигаться. В чём смысл таких семинаров и лекций - не понятно. К примеру, когда я по болезни пропустил пару по вышмату, я, чтобы не отставать от программы, начал решать примеры. Итог: за час было решено 80 различных примеров, когда на паре было решено только 8. В индивидуальном плане в 10 раз больше получилось. Мне бы конечно подошел заочный вариант, но заочного бакалавриата почему то нет.

В целом на основе всего этого я настоятельно советую не поступать сюда. Это не стоит затраченных сил, денег, ресурсов. Просто поймите, что вас привлекает в этот ВУЗ только его название и репутация. Есть другие варианты, где будет проще. Но дело ваше, я вас не отговариваю, окончательное решение за вами.

Удачи",negative
"


Когда поступал, искал отзывы о (теперь) своей кафедре, но не нашел. Речь пойдет о кафедре ИУ1, направление &quot;прикладная информатика&quot;.
Проходной в 2022 году 277+, кафедра не очень знаменитая, почему то все хотят на ИУ6. Сам столкнулся с таким выбором, в итоге сравнив программы обучения выбрал единичку, чего и вам советую, 6 это больше про железяки всякие, вообще не лишним будет посмотреть программы того направления, куда идете. Лично для меня главным плюсом стало отсутствие инженерной графики, также, спойлер небольшой, по начертательной геометрии программа тоже будет легче.
После первого семестра впечатления положительные. Подробнее по дисциплинам и преподам:
1) Аналитическая геометрия. Семинары вёл рофельный препод, на парах мог и про политику поговорить, и про любимую часть пиратов карибского моря, материала давал много, даже поверх программы, зато потом было на изи писать РК. На лекциях был крутой препод, настоящий мужчина, всегда был в строгом костюме, объяснял все максимально понятно
2)Английский. Попалась прекрасная женщина, с домашкой не душила, на парах работали устно, спрашивала каждого, ошибки спокойно исправляла и объясняла. 
3)Информатика. Почему то у нас её вел...Показать полностью...и преподы с ИУ10, поэтому помимо основной программы нас посвятили во всякие интересности связанные с информационной безопасностью. На лекциях была базовая теория информатики, о работе пк, информации и тд. Лекции вёл бывший военный, объяснял достаточно сухо. На семинарах изучали убунту, было полезно. Экзамен был легкий, базовая теория + команды линукса.
4)Основы алгоритмизации и программирования. Изучали с++.Попался офигенный препод, на лекциях просто зачитывал книгу по с++, на семинарах сидел в телефон тыкался. В итоге с середины семестра просто не ходил) Лабы были нелегкие, но по итогу и без них зачёты он всем поставил.
5)Социология. Препод недушный, на семинарах в основном рассказывали презентации (чтобы баллы получать), предмет явно свой знает, иногда интересно было сидеть послушать. На лекциях за весь семестр так ни разу и не появился))) На зачет это, к счастью, никак не повлияло, препод за посещаемостью лекций не следил.
6)Начертательная геометрия. Лекции вел душевный мужик, всегда на позитиве, все подробно объяснял, показывал альтернативные пути решения. Семинары вел другой позитивный мужчина лет 60, много задачек с ним разбирали, с домашкой тоже не душил. Немного поподробнее расскажу про сам предмет. Чтобы получить допуск к экзамену, нужно нарисовать в сумме 5 чертежей (5 чистовиков + для некоторых задач нужны черновики). Мне, как человеку, который никогда в жизни этой фигней не занимался, было нелегко, но несмотря на это свои баллы я за них получил. Сам экзамен несложный, теории не очень много, практика тоже достаточно простая, если до этого сам все чертил и на парах работал.
7)Физкультура. Самый сложный предмет в бауманке. Нужно ходить, обязательно, иначе потом отработки, либо отчисление. За семестр нужно отходить 23 пары минимум, набрать баллы за нормативы. Т.к. я спецмед группа здоровья - пара физры для меня представляла собой обычно час ходьбы по манежу/Измайлово + минут 30 разминка. Ах, и да, нужно будет ездить в Измайлово (30 мин от корпуса учебного), благо время на это между парами даётся.
8)Математический анализ. Лекции вёл прекрасный лектор с постоянным хорошим настроением, теорию давал очень хорошую, если ее выучить то экзамен точно сдашь. Семинары вёл тот же препод, который вёл лекции по ангему. Строго, но справедливо оценивал домашки и контрольные, на парах всегда подробно объяснял задачки, отмечал трудные и неочевидные моменты, давал несколько способов решения. Экзамен был самым сложным из всех, нужно знать 50+ теорем и доказательств, уметь решать задачки. Без теории вообще никуда, нужно быть к этому готовым. Уровень 3 - базовые теоремы и определения + решенная практика, 4 - более сложные теоремы + доказательство простых теорем + решенная практика, 5 - все теоремы с доказательствам и решенная практика.
9)Учебно-технологический практикум. Изучали Java и Git, всего было 4 сдвоенных пары, в конце надо было написать отчет на 25+ страниц. В принципе ничего сложного, препод материал давал на уровне, отчеты оценивал лояльно. 
В целом я доволен универом, учиться в кайф, время на свои дела остается вполне, но учиться приходится, взяточничества никакого нет, все контрольные нужно писать самому, скатать хоть и можно, но сложно, преподы к этому серьезно относятся. Напоследок несколько вещей, которые будут полезные будущим студентам:
1) Между парами перерыв 10-15 минут, обеденного перерыва как в большинстве вузов нет. Сначала напрягало, потом пофиг стало, с пар иногда отпускают пораньше, рядом есть пятерочка/перекресток, в корпусах есть столовка и буфеты, рядом немало кафешек на любой вкус, так что поесть есть где. 
2) Пары длятся 1 час и 35 минут, по идее эти дополнительные 5 минут перерыв в середине пары, но его у вас никогда не будет)
3) По зачетным дисциплинам нужно набрать 60+ баллов в течение семестра, по экзаменационным нужно получить допуск к экзамену - сдать все РК( рубежный контроль, по факту обычная контрольная), домашки. Экзамен оценивается в 30 баллов, минимум 18, поэтому чтобы получить хотя бы 4 (71+ балл) нужно будет в течение семестра тоже поработать, недостаточно написать хорошо экзамен.
4) РК спокойно можно переписывать, домашки пересдавать, конечно же с пониженными балами, но никто вас из за этого отчислять не будет
5) Первые курсы вы будете учится не в главном здании, а в УЛК, учитывайте это
6) Нет повышенных стипендий для студентов с высокими баллами, так что не надейтесь получат огромную степуху на первых семестрах, за ней вам в МАИ или станкин
Надеюсь мой отзыв будет полезен, всем прочитавшим удачи с поступлением!",positive
