Text,Mark
"


Достоинства: никаких.
Недостатки: доводит до суицида. Нормальным людям способен искалечить жизнь навсегда. 

Здравствуйте, Я выпускница этого института. Расскажу свою историю, возможно, она кого - то повергнет в настоящий шок, но такого ужаса, как у меня, не было поистине ни у кого. 

С ранних лет увлекалась книгами, цитировала наизусть огромные отрывки сложнейших стихотворений русской классики. С четырех лет читаю, с пяти лет пишу с ошибками, с семи - абсолютная грамотность (пишу правильно автоматически, не зная ни единого правила). Знаю английский язык на уровне advanced (совершенный), могу поддержать беседу на любую тему (я имею в виду о политике, например, или о литературе). Могу даже писать философские стихи на английском, и все это не живя ни в Англии, ни в США.Окончила школу Дунаевского (хотя, честно говоря, геморрой ещё тот, ничему не учат, а только дрючат, заставили выучить наизусть консерваторское произведение, которое к тому же отобрали за две недели до экзамена, заменив его на другое, а пятилетнюю программу сольфеджио (будь оно проклято, кто вообще придумал этот маразм?) я освоила за три месяца. Это вкратце о моих интеллектуальных качествах.

Теперь о поступлении в этот...Показать полностью......хм, храм науки, Альма матер (почему компьютер правит мне это на большие буквы, это не мать кормящая, а хрен знает что! 

У нас было открыто три платных отделения в МГУ (черт, опять правит на большие буквы, ненавижу!): ФОССО (классное отделение, при условии простого понимания предметов можно за просто так получить красный диплом и защититься без проблем, от вас требуется только одно - старательно учиться, у нас одна девочка с этого отделения получила красный диплом, но в аспирантуру не пошла, но нашла высокооплачиваемую работу), лингвокриминалистика (где тоже требуется сдать вовремя все задания (в основном они домашние) и получить красный диплом (получила вся группа), помогли с трудоустройством, работают сейчас в министерстве юстиции) и ФОСМИ (это тот, где я училась). На ФОСМИ не было вступительного по английскому языку, что меня и привлекло. Конкурсный отбор был в апреле, я благополучно прошла, родители были счастливы: дочь поступила в МГУ (черт, опять с большой буквы!) Я думала, что будут трудности, но того, что меня ждало, я не ожидала. 
На английском языке мы читали статьи, и первая же статья была о случайно выжившем самоубийце, спрыгнувшем с какого - то небоскреба. Нас заставили ее обсуждать. Меня эта тема никогда не привлекала, я любила жизнь до поры до времени. Дальше - больше. Нас заставляли искать в газете статьи и описывать на английском их сильные и слабые стороны (и это на первом - то курсе!) Я все делала, а мои одногруппники из - под полы с дичайшими ошибками читали текст по бумажке, а потом и открыто прямо под носом у милой преподавательницы, которая всегда улыбалась. На первый раз она похвалила мою работу, я просто была окрылена (нашла свое место!). Но со второй статьи начинались необоснованные придирки (то предлог не там стоит, то артикль), а на третий раз она вообще сказала: &quot;На примере Оли мы все узнали о том, как не надо готовить задание. Она сказала мне, что я единственная бесперспективная (хотя мой английский безупречен!) А этих халявщиков она отметила, особенно выделила одну, которая прочитала по бумажке текст в четыре строчки. Короче: у всех по английскому пятерки, кроме меня. У меня хорошо. Ладно, на этом сойдёт. Хоть не тройка, и слава богу, которого, в общем - то, нет. Дальше - больше. Оказалось, что нам ввели два новых предмета - литературоведение и языкознание (у всех отделений оно было сначала, у нас - с середины ноября, лекций не было, сдавай хрен знает как. Короче, по литературоведению был коллоквиум, я вытянула всю группу отъявленных бездарей (особенно доставала одна: &quot;а у тебя есть мальчик, а ты с ним занимаешься сексом, если да, то в какой позе, покажи мне фотку этого мальчика&quot;. По языкознанию я сдала одна из всей группы зачёт. Второй семестр вел литературовед - придурок, больной на всю голову и с раздутым ЧСВ.Мы учились вместе с бесплатной группой, он их хвалил, а к нашей группе относился как к быдлу, как к скотам. Я попросила его объяснить мне один вопрос,он мне промямлил: &quot;в учебнике все написано, читай, а я тебе ничего объяснять не буду&quot;. Дикция отвратительная, бубнит себе под нос, ничего не понятно. Я прочитала учебник и вообще ничего не поняла: важные термины написаны так, что хрен разберёшься, есть целый вопрос билета &quot;Символ в литературном произведении&quot;, а в учебнике открытым текстом сказано: &quot;Природа символа неясна&quot;. То есть нам предлагается ответить на вопрос, ответа на который, по сути дела, нет, да ещё и получить за него оценку! Двенадцатая ночь, или Как вам это понравится, одним словом. В учебнике нет разъяснений, зато встречается такое: &quot;с горя человек может потерять контроль над собой&quot;, описываются отрывки типа &quot;в окно, конечно, хорошо, летишь - летишь себе свободно и падаешь, не помня, как жил и как умер&quot;Короче, этот литературовед нам сказал: &quot; Я скажу, что вы не пришли, и всем поставлю неуд&quot;. Староста (которая вертихляла мной как хотела, меняя расписание экзаменов и зачётов, и в итоге благодаря мне в аспирантуру поступила с совершенно бездарнейшей темой диплома) его вернула, он всей группе поставил три. По языкознанию, которое было следующим предметом, у меня было пять. Так я и жила надеждой пересдать тройку. А куратор группы мне сказала: &quot;Вижу, вам ещё не всем отбили охоту учиться&quot;. Потом была стилистика, на которой открывалось окно под предлогом, что преподу жарко, говорилось, что каждый из нас хотя бы раз в жизни думал о суициде и описывалось это как избавление от всех страданий сразу. Она откровенно издевалась надо мной , выделяя работы откровенных троечниц и издевательски комментируя каждую мою строчку, зато говорила: я одной дочери олигарха исправила двоечное сочинение, теперь она преподает на философском факультете и уже написала три научные работы, показывала картины своих дочерей (откровенная мазня, слон напишет лучше!) и говорила, какие они молодцы. Вместо экзамена у меня была контрольная, которую невозможно было решить. &quot;Снизошла&quot; до меня и поставила четверку. По французскому контрольная - 24 (на минуточку!) предложения на тему условного наклонения сделать, иначе зачёт не получишь! Передавала французский три раза, дошла до комиссии. Правда, нашлась преподавательница, которая захотела видеть меня в аспирантуре и всячески мне помогала, под ее руководством я написала научную работу и диплом, но! Пришел отзыв оппонента: &#039;тема не раскрыта&quot;, много неточностей&quot; , заслуживает оценки &quot;три&quot;. Меня это взбесило, и я наглоталась психоактивных возбуждающих таблеток с целью самоубийства.  Меня откачивали четыре часа на дому, но в больницу не повезли, а жаль. В итоге: восемь раз лежала в психушке, состою на учёте в ПНД, на работу нигде не берут. Зато диплом я защитила на &quot;отлично&quot; и была рекомендована в аспирантуру, в которую я, разумеется, не пошла. Родители кормят меня на пенсию, на работает один папа, на столе одна &quot;красная цена&quot; и больше ничего, есть противно все это, собираем старые приемники с помойки в надежде продать тем, кто ещё беднее нас. Вещи исключительно из секонда, старые, поношенный, дома находиться невозможно, все бесит, все противно стало. От таблеток, которые мне назначили для ликвидации последствий интоксикации, выпали почти все когда - то роскошные волосы, моя гордость и гордость моей мамы. Хожу в парике. Когда - то была первой красавицей класса, сейчас урод уродом. На улице гулять не могу: начинаются приступы панической атаки, гуляю то с мамой на небольшое расстояние, то с папой. Замуж выйти и родить детей перспектива не светит Но живу, потому что суицид - это ужасно. Живу и бешуст каждый день, хотя ничего уже не осталось, интерес один: куда же я прибьюсь на склоне лет? Наверное, только в монастырь, и то не для святой жизни, а чтобы прокормили и подруг по несчастью себе завести. Вот такие дела. Родители, любите детей безусловной любовью, ничего от них не требуйте и будете вознаграждены сторицей!!! Они будут красивые, счастливые, здоровые, у них будут семьи, у вас будут внуки. А МГУ (опять с большой буквы, вот какой компьютер твердолобый!) и тому подобную 
хрень шлите на три буквы!!!
",negative
"


Итак, первая сессия позади, так что расскажу о своих впечатлениях, которые на меня произвел факультет ВМК МГУ.

Для начала скажу, что на вмк 2 направления -  ПМИ и ФИИТ. Я обучаюсь на втором, но у меня есть друзья с первого, так что скажу пару слов и о пми. 

То, что интерисует большинство поступающих, в том числе и меня в свое время -  качество программирования. Честно, не очень. Дальше будет лучше, но на первом семе мы (кроме 1 потока, они учат Си)  изучаем Паскаль. На лекциях слушаем теорию, на семах пишем коды на доске и в тетрадках. Раз в 2 недели решаем контесты, иногда пишем контрольные. Людям шарящим будет откровенно скучно и бесполезно. Мне же, как новичку, было интересно, к тому же считаю паскаль хорошим вводным языком, тем более со 2 семестра он пропадает.

Матан -  сущий ад на земле. Ооочень многое зависит от вашего преподавателя и в частности семинариста, наш - многоуважаемый Неф**** преподает математику буквально устно, ожидая что мы все будем понимать с первого раза. Объясняет так себе, оратор из него тоже не очень. Но зачет получается практически халявно.

Линейная алгебра и аналитическая геометрия. В целом интересно, практической пользы намного больше чем от матана...Показать полностью.... Если вашей семинаристкой будет О. Н. Б******, то выходите к доске и активничайте на парах, это очень сильно облегчит вам жизнь. Наша программа отличается от пмишной тем, что буквально на раздел меньше, так что подготовиться к экзамену более чем реально. У пмишников, в отличие от нас, присутствует так называемая &quot;общая алгебра&quot;, что нехило так добавляет им билетов на экзамен.

История - зависит от препода. Наша была чистейшей воды халява.

Английский -  у нас ведет богоподобная Я*******. Есть разделение на группы разного уровня, у меня -  разговорная. Безумно интересно, хотя домашки конечно жесть (у нас люди имели по 13 долгов, и это считалось нормальным), к/р тоже на каждой паре, короче ебать будут сильно.

Физра -  идет разделение на всякие группы в начале года, есть аэробика, волейбол, гандбол, гимнастика, офп, короче разгуляться есть где. Чтобы подучить зачет, придётся ходить. 

Бжд -  кринж. Если хотите получить автомат, то ходите на каждую пару и отвечайте на вопросы, иначе будет плохо.

Что по поводу личного времени? Мне хватает. Программа фиита в целом чуть проще пми (что сначала казалось мне минусом, но сейчас является весомым плюсом), НО если хотите не вылететь и проучиться с пользой -  УЧИТЕСЬ ДОМА САМИ. Лекции не дадут вам понимания если вы дома не будете пытаться разобраться, и да, придется потрудиться. Придется мучиться, разбирая матан и прорешивая задачки из Кимы и Демидовича, но халявы здесь никто и не обещал. Иногда придется отставить свои личные интересы и ебашить. 
Если вы пришли сюда с мыслью &quot;ничего не буду делать и оно само как-нибудь&quot; - в течение семестра может вам и будет хорошо, но на сессии будет ОЧЕНЬ плохо.

По поводу людей -  люди здесь прекрасные. По большей части общительные, инициативные, есть конечно душнилы и кринжи, но где их нет. Также Профком устраивает много разных активностей, что прекрасный способ завести себе друзей и просто приятно провести время. 
На фиите также имеется крепкая связь со старшекурами, так что материалами прошлых лет и сливами будете обеспечены. 

Экзамены сдать при должной учидчивости абсолютно реально. Но если на линале попадете к Г. Д. К** - молитесь. С вероятностью 99% отправляет на пересдачу. 

В общем, вывод -  если вы любите учиться, умеете себя организовывать, готовы подолгу сидеть и разбираться и не большой знаток программирования -  это место вам подойдет.
Если вы шарите в проге на высоком уровне, вас будет скучно и вы потеряете время.
Если вы будете ебланить -  материал будет копиться снежным комом (а его много, очень) и скорее всего долго вы здесь не протянете.",positive
"


я поступала в 2021 году на направление «Публичная политика и социальные науки», меня завлекли разговорами о перспективах: два языка (английский, итальянский), стажировка в Госдуме, политическая практика… что мы имеем в реальности: два языка, итальянского нет, есть обязательный французский, о котором ты узнаёшь только после зачисления (выбора нет - учить придется), языки в целом преподают УЖАСНО! на пары можно не ходить, курить на парах, пить, да что угодно делать, всем будет все равно…. никаких стажировок в госдуме здесь нет!!! не ведитесь на эту чушь! Декан - мерзкая бабка с наличием явного маразма (кстати лифт включают только для нее, а так он не работает); несмотря на то, что направление НЕ «социология», дрючат по социологии сильнее, чем по любым другим предметам, которых итак мало (от политики одно название); преподы просто по-свински относятся к студентам, унижают, у меня большая часть группы сидит на антидепрессантах и транквилизаторах.. хорошие преподы есть, но их в буквальном смысле душат, протаскивают своих библиотекарских крыс, которых слушать невозможно, единственные две норм кафедры - политологии, семьи и демографии. Учиться скучно, справедливости на этом факультете нет, перспектив нет, даже нормальных условий нет (ребята в обмороки падают в лекционных аудиториях из-за недостатка кислорода); деньги здесь явно гребут ковшами, факультет очень старый, на ладан дышит! А чтобы перевестись на другой факультет- заплатите в деканат взятку в 300к",negative
"


Хочу написать объективное мнение о своем факультете. 
1. Если вы хотите сюда поступать: будьте готовы к жуткому холоду в аудиториях, все заявления и жалобы в администрацию насчет этого вопроса обходят их стороной (большинство студентов сидят в куртках потому что батареи не работают, а потом болеют каждый месяц потому что по 1,5 часу сидят в холоде , когда на улице -10) 
2.очень удивляют восторженные отзывы , написанные (видимо) самой администрацией, в которых упоминается о прекрасных учителях и людях, «работающих в разных консалтинговых компаниях» и о преподавателях , которые «имеют свои холдинги и руководят бизнесом»,ну и  конечно же о множестве «телеведущих и звезд» , которые ведут лекции. Это просто смешно- максимум кого вы здесь встретите-это выпускника прошлых лет или преподавателя , работающего параллельно в другом вузе (как правило театральном).
3. Программа здесь неоправданно убийственная, куча ненужной информации, огромное количество истории , то что вы изучали в школе -то же будет и здесь, ничего нового не   узнаете. Как это поможет в жизни на практике ? -никак! И декан это понимает, но не признает
4. Работа администрации факультета просто ужасна, точнее - ее нет :). Инфо...Показать полностью...рмацию про расписание сессий вы не узнаете в конце ноября чтоб построить свои планы (в то время как на остальных факультетах уже оно известно), хотите здесь учиться - перехотите после того, как узнаете , что администрация ВШКПИУГС не знает о понятии «новогодние праздники», поэтому сессию ставят на 3-8 января , без оправдания на то. 
5. Расписание. Мы учимся по субботам, в субботу 5 пар, начало в 9 , конец в 18.00 (оно вам надо?) да и более того, за любое опоздание тут любой препод линчует , хотя каждый из них позволяет себе делать это регулярно на 20, а то и 30 минут. Некоторые пары начинаются в 8.30, хотя преподаватель регулярно опаздывает на 15-20 минут и еще имеет наглость задержать нас и не выпускать в туалет. 
6. После выпуска из этого факультета, вы не получите знаний о продюсировании в креативной сфере. Максимум ,знания , которые вам светят-это все в сфере культуры, театра и цирка (хотя цирк они сами устраивали мне каждый день , 3 года подряд), здесь совсем не про новизну и инновации, хотите работать после выпуска в гос. Учреждениях с окладом максимум в 50 тыс. -Вам сюда. 
7. Дз просто огромное количество, причем ненужных предметов здесь больше чем нужных, за 3 года обучения здесь , не было ни одного интересного для себя предмета, но зато, на втором курсе вас будет  ожидать приятный сюрприз вроде «основы гос.управления» и остальные прелести (ненужные предметы), сами посудите -кому это нужно? Из языков- все что вы получите -это обязательный английский и итальянский (никакого выбора) 
8. Любой пропуск= + один вопрос к сессии( даже если ты болеешь, МГУ это не волнует, любой пропуск приравнивается к прогулу, даже если приносишь справку) 
Факультет будет интересен тем, кто хочет работать в театре , либо в сфере культуры (например в мин. Культуры), высот, о которых пишут на остальных сайтах «восторженные» декан и администрация- вы не достигните , окончив этот факультет. Максимум- помощник продюсера (Какого-нибудь Богомолова) в театре. Судите сами, нужен вам этот цирк или нет. ",negative
"


Итак, сегодня я расскажу о том, чего вам не расскажут ни на одном сайте о нашем факультете. 
 6 лет обучения никак не смутили меня, я подумал, что все будет ок (нет). 
Деканат нормально не работает, достать информацию трудно, даже чтобы узнать о расписании зачетов/сессий. Важная деталь -мы учимся по субботам, в которую у нас 4 пары, а так, на всей неделе всего в день может быть по 5 пар (это, товарищи- кошмар). Всем известно как МГУ заботится о репутации своих факультетов и о своей репутации, поэтому негативного отзыва о нашему факультете вы не найдете. Запрещают говорить всю правду про обучение.  Если вы поступите к нам на факультет, то станете обозревателем кучи ненужных предметов. Например, 5 видов истории ( некоторые из них являются дельными( история театра , например), но в большинстве случаев- эти предметы ведут преподы, считающие, что их предмет- основной и знать его должны все без исключения, даже с учетом того, что они совершенно не относятся к нашей специальности). Зачем-то каким-то боком в учебную программу ввели БДЖ (препод по которому только что и делает, что выносит мозги всем по поводу оформления ваших работ и просит их переделывать даже если ты взял хотя бы одну фра...Показать полностью...зу из интернета, а еще дает по 60 билетов на сессии (зачем такой объем бдж на факультете продюсерства - вопрос, на который даже декан не может ответить)). Почему-то наш деканат посчитал нужным внести в учебную программу вышмат (как он пригодится - неясно). Отдельно хотел бы поговорить об истории России, которую ведет Г********** Р.А (просто почитайте про него отзывы в интернете и все будет  ясно.) заставляет нас читать по 4 учебника , говоря, что &quot;История России&quot; Орлова -это  &quot;учебник для физмата&quot; (на самом учебнике написано &quot;Исторических факультет МГУ&quot;.) Что еще интересного? 80% преподов не выпускают студентов во время пар в туалет - это их любимое занятие, говорят &quot;Если выходите- то не возвращаетесь&quot;. Еще, я был в а**е, когда узнал, что оказывается Социально-экономическая география -это важнейший предмет при обучении на продюсера (кого вы обманываете ))). Насколько мне известно, из 52 человек, поступивших сюда в 2016 году, в 2022 выпустилось только 6- делайте выводы. Если хотите пойти на продюсера - поступайте куда угодно, только не сюда. Чего уже говорить о том, что один из преподов на нашем факультете -сын декана и любые проблемы, связанные с ним, деканат явно решать не станет))). Еще, если вы болеете, то есть пропускаете по болезни, то эти пропуски закрываются только в журнале у старосты, но не в собственном учете преподов, которые они ведут( всем насрать на ваше состояние - считается за пропуск). У каждого препода предвзятое отношение к каждому, ходить на пары совсем нет желания, в середине учебного года всунули всем листки с надписью &quot;анкета студента ВШКПиУГС&quot;, в ней были вопросы по типу &quot;каких преподавателей вы бы выделили и почему? Посоветовали ли бы вы наш факультет друзьям?&quot;, как потом оказалось, это даже не анонимно и лист заполнять обязательно (делайте выводы).  Учитель по географии на лекциях вообще рот не открывает, бормочет себе под нос и всем приходится переспрашивать о том, что она сказала, притом, что говорит она в микрофон. Нормально вести лекции не умеет, так еще и начинает пары в 8:30, позволяет себе опаздывать на 20-15 минут РЕГУЛЯРНО, но просит чтоб никто из студентов не опаздывал и не пускает студентов после начала лекций в аудиторию, ЗАПРЕЩАЕТ ДЕЛАТЬ КОНСПЕКТ НА КОМПЬЮТЕРЕ И НЕ ВЫПУСКАЕТ В ТУАЛЕТ. На все претензии деканат разводит руками и говорит, что к сожалению, это требовательный преподаватель ! Сами делайте выводы об этом месте. ",negative
"


Остался позади экватор обучения в бакалавриате, захотелось вот подвести какой-то итог этому всему. Постараюсь быть максимально объективной, тем более, что я до сих пор не до конца определилась как относиться к учебе в МГУ и конкретно — к юридическому факультету.

Сразу скажу — если у вас низкая стрессоустойчивость, проблемы с ментальным здоровьем и прочим, то идти вам сюда категорически запрещено. Юрфак МГУ — это адская нагрузка, зачастую невменяемая, а то порой и вовсе бессмысленная и беспощадная. В такой атмосфере к началу 2 курса мозги плывут у многих. Объем материала к каждому экзамену значительный, а многие преподаватели требуют его знать примерно на одном уровне с ними, хотя они занимаются предметом всю жизнь, а вы — семестр. Адекватные есть, некоторые ставят автоматы, но на автомат пахать придется весь семестр непрерывно и очень усердно, читая море доплитры к семинару, решая море задач и так далее. Если вы хотите поступать сюда, но не уверены в том, что юриспруденция вам действительно интересна — попробуйте поискать и другие варианты для высшего образования. С большой вероятностью вас затошнит.

Преподаватели очень сильно разные. Есть хорошие и понимающие люди, которым удает...Показать полностью...ся совмещать вменяемый уровень нагрузки с хорошим уровнем объяснения материала, но честно — их меньшинство. Но я бы могла назвать это минусом, если бы не проучилась перед этим 2 года в региональном вузе, и не имела бы возможность сравнить. Теперь я могу примерно сказать, что ситуация с преподаванием удручающая в целом по стране, и от «лучшего вуза России» чудес ждать тоже не нужно, но здесь ситуация все таки немного получше. Хорошие преподы есть, и они обязательно у вас будет. Но и шизанутых товарищей хватает. Каждый семестр вы обязательно будете сталкиваться хотя бы с 1-2. Здесь только относиться философски, как к школе жизни, которая учит вас взаимодействию с не самыми приятными людьми. Куда более неприятным моментом является то, что у преподов бывают конфликты между собой, и иногда студенты могут попадать под раздачу. Но с другой стороны это тоже учит искусству лавирования в таких ситуациях. Одним словом — все прелести юридической профессии в мелочах.

Учебная программа… Интересная. Если убрать все ненужные предметы (то же современное естествознание с гуманитарного факультета), то срок освоения учебного плана сократится минимум на год. Это не проблема чисто МГУ, такая ситуация снова по стране в целом, но обидно, что преподаватели этого безобразия требуют от тебя отдачи не меньше, чем профильные предметы. Это очень сильно нагружает, 2-3 курс довольно жесткие по нагрузке. Если есть необходимость совмещать с работой, то каждый день заканчивается желанием выйти в окно. Даже на банальные прогулки и встречи с друзьями времени не всегда хватает в течение года — это большое недоразумение и очень нездоровая ситуация. Правда в ситуации с нашим факультетом есть выручалочка с конспектами и билетами прошлых лет, которые облегчают существование в этой системе. Была бы еще специальность не из тех, что меняется каждый год по 23032032932 раз…

Инфраструктура — шикарная. У юридического факультета прекрасный корпус, хорошие аудитории. Бывают правда перебои с вайфаем на факультете + на полном очном обучении после коронавируса практически невозможно попасть в столовую из-за количества студентов, что реально напрягает, если у тебя сегодня 5 пар. Но в целом жаловаться не на что.

Администрация. Вот это пункт, который может вылить в этот отзыв ведро красной краски. Она отвратительная от начала до конца. Такому уровню бюрократии позавидует даже региональная помойка, в которой я училась до этого. Все процедуры неповоротливые, занимают уйму времени, требуют обхода множества уполномоченных лиц, чьи обязанности дублируют друг друга. У моих одногруппников постоянно какие-то проблемы с назначением пересдач, потому что инспектор курса будто и не хочет заниматься ими вовсе. У первокурсников с коммерции всегда море проблем с выпуском приказов о зачислении. Все справки и все договоренности можно получить, только обойдя все круги ада. Вроде не такого ждешь от юридического факультета, но увы — ситуация именно такая. Навстречу студентам администрация идет крайне неохотно и как будто бы с большим одолжением.

Атмосфера на факультете в целом неравномерная. Можно встретить много хороших ребят, но много откровенно чсвшных личностей, которые строят из себя «успешно успешных», ничего не представляя их себя. Еще достаточно много «студенческих» организаций, чья роль — обслуживать интересы вышеупомянутой администрации, доносить на студентов, которые плохо говорят (о ужас!) о преподавателях и руководстве, и в целом заниматься лизоблюдством и крысятничеством. Из-за этого падает серьезно доверие друг к другу. При этом есть и хорошие студенческие научные и творческие кружки, где можно найти что-то себе по душе и реализовать себя — от театра до центров правовых исследований разной направленности. Внеучебная жизнь на факультете в целом развита прекрасно, если бы не вышеупомянутое отсутствие времени — было бы здорово хоть каждый день посещать разные интересные мероприятия, слушая умных людей.

По общежитиям — у юрфака есть огромный косяк. Главное обжещитие для нашего факультета — дом студента в… Ясенево. Самая далекая общага МГУ, находящаяся в заднице рыжей ветки. Туда селят 95% бюджета, и лишь мизерный процент счастливчиков получает места в ДСВ и ДСК у станции метро Проспект Вернадского. Хотя состояние этих общежитий хотя бы приличное, в отличие от «замечательного» ФДС, куда селят всю коммерцию на первом курсе. Видимо принцип такой: если вы можете платить пол миллиона в год за образование, то снять квартиру тоже сможете. 

По итогу, я не знаю, рекомендую ли я вам поступать сюда или нет. Чисто с практической точки зрения иногда очень хочется перевестись в условный МГЮА на вечернее, чтобы совмещать нормально с работой и набираться стажа, который решает больше, чем университетская корочка. Но с другой стороны прекрасные МГУшные возможности и наши научные кружки по интересам не хочется менять вообще ни на что — вот насколько они замечательные. Да и условия бытовые у меня, как у бюджетника, весьма неплохие (за 120 рублей в месяц во всяком случае). При этом чисто с практической точки зрения — я не знаю зачем мне столько правовой доктрины: да, интересно, да, развивает юРиДиЧеСкОе МыШлЕнИе, но на практике в работе это оказывается совершенно никому не нужно. В общем, думайте сами, решайте сами. ",medium
