Text,Mark
"


Здравствуйте, господа абитуриенты! Скорее всего, именно вы читаете этот текст. Перед тем как продолжить подавать свое заявление на поступление в данный университет, подумайте трижды.
На данный момент я проучилась в вузе всего два года, но моя самая главная мечта - чтобы этот кошмар закончился. Причин тому огромное множество  
1. Устаревшая программа, совершенно не поспевающая за изменениями текущего законодательства. Ваши знания будут очень далеки от реальности, и поэтому с приходом на работу/подработку вы столкнетесь с ужасной правдой: в вузе вас не научили ничему. Практики нет, решение задач - только на очень небольшом количестве предметов, иногда даже там, где они совершенно не нужны. 
2. Преподавательский состав. Вам повезет, если во время учебного семестра вам достанется хотя бы один адекватный педагог. Старые, откровенно немощные преподаватели в маразме - не редкость. У таких есть яркая особенность, им плевать на закон. На экзамене вас не спросят ни о чем, что связано с юриспруденцией. Вам придется делать что угодно, хвалить совок/бога/империю (нужное подчеркнуть) и не дай боже вы скажете что-то, что отличается от точки зрения преподавателя. Пересдача, вне зависимости от того...Показать полностью..., сколько времени вы убили на реальную подготовку к экзамену и того, что вы в действительности знаете. Семинары с этими же людьми - чистой воды пытка. Постоянное чувство стресса, злости и непонимания, на что же вы тратите свое время/деньги. 
Единственный способ получать нормальные оценки - не учить, а вертеться и подлизывать всем, кому возможно.  
3. Администрация. Так, как на администрацию данного заведения, я ни на кого  никогда в своей жизни не злилась. Хамское, наплевательское отношение к студентам. Максимально неудобное и карательное расписание, где вам спокойно ставят по пять пар в день. Говорить это самое расписание вам будут дай бог за неделю до начала учебы/сессии. Узнать даты экзаменов за два дня до нового года, получая от вуза угрозы из разряда «не берите билеты домой, мы еще не знаем, поставим вам сессию до нг или после». 
«Мы не будем говорить вам даты пересдач, потому что не хотим чтобы вы нам названивали. Кстати пересдачи мы ставим вам на каникулах, которые длятся всего неделю после зимней сессии, и все свои планы вы можете отменить»
Если вдруг вы учитесь по контракту - запоминайте даты оплаты по договору. Напоминать вам о них никто не будет, потому что пени очень хочется получить с ваших и без того немалых сумм за обучение. 
Ни от кого из административного аппарата вы не получите ответ на свои вопросы, пока не пройдете 9 кругов Ада. Вас будут отправлять туда-не-знаю-куда раз за разом, а потом просто захлопнут дверь перед носом, потому что рабочий день у них часто заканчивается гораздо раньше, чем ваши пары.
4. Просто по мелочи 
Если вам повезло и вы в корпусе на Садовой-Кудринской,  готовьтесь к получасовым очередям на вход/выход из универа, потому что пропускная способность турникетов не рассчитана на фактическое количество студентов. Как и размеры гардеробов. 
Ваша пара на 7 этаже и вы услышали от друга из МГУ, что у них есть лифты на такие случаи? Забудьте о таком понятии и начинайте свой день с физической разминки в виде бега по лестницам. 
Сексизм (в обе стороны, даже стрелочка не выдержала и повернулась), расизм, дискриминация на почве религии, внешнего вида, цвета волос, длины юбки/штанов, макияжа, веса - норма для преподавателей. Из всего этого складывается жутчайшая субъективность оценивания ваших знаний (на них всем всё равно, эта мысль уже была выше, но никуда не девается). Готовьтесь выслушивать крики и личные оскорбления на постоянной основе. Если вы чувствительны и «не стрессоустойчивы» - вам не сюда. 
Система наказаний за пропуски - отдельная вкуснятина. Вы пропустили 10 семинаров? Дисциплинарное взыскание. Вы  можете (обязаны) предоставить объяснительную, у вас может даже быть «уважительная причина», но это ни на что не повлияет. Если она нам не понравится, а она нам точно не понравится, то после еще парочки таких взысканий вы можете готовиться к отчислению. 
Сейчас вообще случилось нечто замечательное: если вы пропускаете ОДНУ скучнейшую, нуднейшую устаревшую лекцию, считанную педагогом без изменений с кафедрального учебника, вы также получаете дисциплинарное взыскание. За одну вместо десяти семинарских занятий. Три дисциплинарки - вы отчислены. 
Естественно с устройством на летнюю практику или на работу никакой помощи ждать не стоит. Вузу в целом абсолютно плевать, что и как вы будете делать. 
Никакой «внеурочной деятельности». Все активности университета - парад лицемерия, крутящийся исключительно вокруг юриспруденции, а в частности юристов-друзей администрации. Вас будут принудительно сгонять в качестве массовки на подобные мероприятия, грозясь санкциями всей группе. Если вы творческая личность - вы перестанете ей быть. Если у вас есть личная жизнь - скорее всего, ее не будет. Если ее нет, то, скорее всего, она и не появится. 120% своего времени и сил вы будете тратить на учебу, которая, в конечном итоге, знаний в ваших головах не оставит. Если вы не очень умный - вы не справитесь с объемом бесполезной, безосновательно сложной информации, которую пытаются впихнуть в вашу голову. Если вы, наоборот, очень умны, побеждали в олимпиадах - первые два года будут для вас фактически бесполезными и безмерно скучными. Хотя скучной учеба будет казаться всем. 
Условия для обучения, мягко говоря, совсем огорчают. Особенно при взгляде на то, как сильно вуз кичится своей современностью и статусом «лучший». Неудобные парты, старые рассохшиеся окна, ужасные туалеты, расположенные где угодно, но не там, где вам нужно. Скрипучие полы, расшатанные проекторы, которые очень часто не работают, сломанные микрофоны в лекториях, где сидит по несколько сотен человек. Все эти проблемы никак не решаются, а даже усугубляются. 
Поступление сюда - моя главная ошибка. Я растеряла всю тягу к юриспруденции, к жизни, к саморазвитию. Нервных клеток в этом заведении тоже оставила немало, как и денег в кабинетах различных психотерапевтов. Из вас высосут все моральные и физические силы, не давая времени на отдых во время неприлично коротких каникул, а взамен не дадут ничего, кроме когда-то раньше «крутого» диплома. Сейчас он никому не нужен, также, как этому вузу не нужны вы. Берегите себя, свои нервы и нервы своих родителей. Без связей и гнили внутри тут делать совершенно нечего.",negative
"


Мой отзыв будет об ИНО МГЮА(который стал им.Киселевой.).Может тут кто то захочет поступать туда,и ему будет интересно узнать.Все в основном поступали после 9 класса,но я поступила после 11, и это не сыграло плохую роль.Закончила я его пару лет назад и сейчас точно могу сказать все свои впечатления.Я очень скучаю по этому учебному заведению,что на редкость в наше время-по преподавателям,и немного по одногруппникам,так как прошли вместе и огонь и воду.Я много пропускала из за болезни,но потом все отрабатывала,поэтому ничего особо не упустила.Самое главное-найти подход к преподавателям(именно ДУШЕВНЫЙ подход).Расскажу немного о преподавателях,кому то пригодится,ведь они вам встретятся на учебном пути.Расскажу о самых запоминающихся.
Начну по порядку:
1.Б****** Т.В. -преподаватель экономики.Человек хороший,но коннект я с ней не поймала.Не знаешь материал-маленькая вероятность,что сможешь получить оценку «хорошо». Списать что-то ну очень маленькая трудно.Преподаватель очень принципиальный и требовательный.Предмет свой знает хорошо,но таким людям как я,которые вообще не дружат с такими науками как «экономика»-сочувствую.
2.Д***** С.В. - преподаватель английского языка. Группу делят на дв...Показать полностью...е подгруппы,одни идут к ней,а другие соответсвенно к другому преподавателю.Наша подгруппа была исключительно из девочек,все мальчики ушли от нас.У них с ней отношения совсем не складывались,они ее боялись.Все старшие курсы говорили что это монстр,а не преподаватель.Требовательная?-ОЧЕНЬ!Принципиальная?-ОЧЕНЬ!Хорошо знаешь ее предмет,но пропускаешь занятия?-У тебя будут проблемы.Я не очень хорошо знала ее предмет,но выход можно найти.Нужно элементарно иметь к человеку и его труду уважение.Даже если не пришёл на пару-подойди узнай какие задания сделать,она никогда не откажет.С ней мы нашли контакт.Она не ставит просто так пятёрки,и даже если ты идёшь к ней на какие то дополнительные занятия-она поможет,но самое главное при достойном к ней отношении.И самое главное-более менее хорошо читать на английском.Плохо читаешь-сразу провал,оборвёт твоё чтение,и пока не научишься-не продолжишь.
3.А***** Е.В. -преподаватель административного права.Простой ли это преподаватель?-НЕТ.Хороший ли это преподаватель?-ДА!Найти к ней подход очень не просто.Пропустил два занятия-не допускаешься до экзамена ,пока не отработаешь материал.Опоздания категорически нет!Сразу пойдёшь обратно домой.У меня было много пропусков,и я отрабатывала у неё ВСЕ темы,так скажем прошла все круги ада.Приехала отрабатывать в 9 утра,а уехала в 19 часов вечера.Если она видит что ты стараешься-пойдёт на встречу.Не поставил просто так даже 3,она тебя помучает,но,если ты относишься к ней с уважением и не сидишь просто так,а стараешься-все получится.Многим она не нравилась,но могу сказать точно-это замечательный преподаватель!!Она самая требовательная из преподавателей,но она очень хороший человек и преподаватель.
4.К***** В.В. -преподаватель трудового права.Не знаешь каких то самых элементарных  вещей(по ее мнению)-у тебя будут проблемы.Если испортить с ней отношения -очень трудно их потом восстановить.Знать какие то основы-главное правило.А второе правило-не пропускать.Иначе потом будет спрашивать на каждом занятии.Спустя год,я наладила с ней отношения..стараниями,усердием,и элементарно ХОРОШИМ отношением к ней.Она очень хороший и добрый человек,но не нужно ни на секунду нарушать ее границы.Знает свой предмет просто великолепно и умеет его преподносить.
5.Н****** Е.С. заместитель директора по молодежной политике,деканат,и преподаватель судоустройства.Очень интересная женщина.Безумно любит жирафов(статуэтки,картины,стихи,песни). На парах в основном рассказывает очень интересно,и все подкрепляет историями из своей жизни.У неё замечательная речь,отлично жестикулирует и ее безумно интересно слушать.Но если у тебя проблемы с посещаемостью или успеваемостью,попасть к ней в деканат-УЖАС!!Живым от туда трудно выйти.Всю твою дальнейшую учебу она будет к тебе очень плохо относиться и осуждающе.
6.К***** О.Л. -преподаватель русского языка.Преподаватель нейтральный.Не очень требовательная ,в меру добрая,хорошо знает свой предмет.Трудно у неё учиться не будет,просто уважительно к ней относитесь и все будет хорошо.Оценка «3» будет без особых стараний,и «4» от неё не далеко.Всегда относится с пониманием.
7.Б***** Т.С. преподаватель заметного права и экологического.САМАЯ ЛУЧШАЯ!Это была моя любимая преподавательница.Самое главное ее качество-она замечательный человек.Но сразу скажу-не ко всем.Не терпит к себе неуважение,подпускает к себе только тех людей,которые не устраивают.Чувство юмора-отличное.Как преподаватель-супер.Предмет свой знает,не требует с тебя невозможного.С ней очень интересно общаться,вспоминаю о ней со слезами на глазах,как о ЛУЧШЕМ преподавателе.
8.Ш***** Н.В. -преподаватель муниципального права.Скажу сразу,преподаватель очень своеобразный.Я писала у неё диплом,и в этом плане она просто самая лучшая.У нас была связь каждый день,мы с ней вслух проговорили каждое предложение из курсовой.Она исправляла даже не то слово,которое ей не нравилось.Она безумно ответственно относится к своей работе.Многие ее не любили,мягко сказать,что учителя,что ученики.Но она очень сильна в своих знаниях и требует от других того же.Одно из главного-не стоит переходить грань субординации с ней и начинать общаться как с одногруппницей-плохая идея.Имейте к ней уважение и делайте домашнее задание.
9.П**** Л.А. -преподаватель математики.Ее лучше не злить.Если перейти ей дорогу-прямиком на пересдачу.У меня с ней конфликтов не было,но видела как не повезло людям на пересдаче.
10.К****** С.В.-преподаватель истории.Преподаватель с характером и пошутить тоже любит.Свою группу она отстаивала и родителям всегда звонила,если что не так,это я видела.Может пойти на встречу.
Это все,что я хотела сказать о преподавателях.
Я была не из тех,кто безумно любил учиться и ночами сидела за книгами.Я обычный студент,который хотел получить образование и пойти дальше во взрослую жизнь.И преподаватели мне в этом помогли,дали знания и показали определённую школу жизни.
Старайтесь не привязываться к своей группе и не конфликтовать с другими группами.Так как вас миллион раз всех переформируют по разным группа .Я сначала и до конца была в одной группе,все очень дружные.И даже когда кто то уходит в другую группу,оставались хорошие отношения,так же друг другу помогали и как главный показатель-никого не удаляли из группы диалогов вк,все так же вместе продолжали общаться.
Элементарные правила,что бы закончить хорошо обучение-уважительно относись к преподавателям,не хами,ищи к каждому подход ,ну и старайся учиться.Тебе совсем не все пригодиться в жизни,но даже если тебе нужна просто корочка об окончании среднего образования-старайся,преподаватели это ценят.
",positive
"


Проучившись больше 3 лет в МГЮА, я могу сказать, что учеба здесь - один сплошной стресс

Считаете, что студенчество будет лучшим периодом вашей жизни?
Администрация университета с вами не согласна. Они не понимают, что молодое поколение должно само стремиться к учебе, что образование должно быть доступным и не должно влиять на психику людей. Но вы понимаете, что администрация использует все доступные методы, чтобы надавить на студентов 

Как вас будут контролировать?
1.  Чтобы закрыть модуль, вам нужно получить 3 оценки за, допустим, 5 занятий. У вас может быть 4 модуля в семестре, то есть работать вы должны постоянно
2. Отработать модуль можно в течение 2 недель после закрытия модуля. Такое вот прекрасное нововведение
3. Пропустили 10 занятий в месяц (лекций и семинаров)? Будьте добры написать обязательную и получить выговор, если она кому-то не понравилась. Пропустили 20 занятий? Поздравляю, теперь вы претендент на отчисление
4. Неоднократно получили выговоры (в положении не конкретизируется, сколько это, но обычно 3)? Поздравляю, теперь вы претендент на отчисление 
5. Вас будут запугивать тем, что за непосещение лекций продлевать сессию не будут
6. Естественно, на сессию могут с...Показать полностью...покойно поставить сексистов, педофилов, чсвшников. Разбираться в своих преподавателях университет не любит. Зато любит нанимать молодых аспирантов, потому что настоящие профессионалы ушли в середине десятых годов из постоянных скандалов 

И не забывайте, что в МГЮА царит атмосфера тоталитаризма, в главном корпусе висит табличка в память о Сталине. Все вопросы решают без учёта мнения студентов. Вы - шестерёнки в системе, всего лишь маленькие юристики. Большие богатые дяди без вас знают, как лучше

Юриспруденция - профессия, которая приводит к депрессии? Нет. Но в МГЮА - да. Более того, скорее всего университет отобьет у вас все желание стать юристом ещё на 1 курсе. Будьте готовы к тому, что в институте частного права у вас будет 8 семинаров по Арбитражному процессу и 24 по Криминалистике

Поступая сюда, трижды подумайте. И помните, что 3 института - ИЧП, ИБП и ИПК с этого года учатся на улице Набережная Шитова (а студенты и живут там)",negative
"


Приветствую! Особенно абитуриентов, которые вожделеют мечтой поступить в Институт Прокуратуры МГЮА. 
Вы, наверное, слышали поо такой термин, как «кризис первокурсника». Так вот. Поступив сюда, у вас будет не кризис, а целая депрессия. 
Мечты об обучении в красивом главном здании на Баррикадной разрушила внезапная новость о том, что оказывается наш Институт находится в другом корпусе. 
Все бы ничего - подумала я, но на деле все оказалось намного хуже. 
Здание института прокуратуры - это небольшая часть какого то старого здания, отобранного, видимо, у непонятной шараги. 
Честно? Здание трещит по швам от такого большое количество людей. На входе работают два турника (и то не всегда), которые полвека думают впускать тебя/выпускать или нет. Короче, в среднем, телепорт из здания на улицу занимает минут 10. 
Первый этаж очень тесный.
Ни о каких лавочках рядом с гардеробом и речи нет. Надо, видимо, отрастить еще 4 руки и 3 ноги, чтобы суметь нормально переодеться. Поток людей огромный, поэтому нужно быть готовым, что тебя просто снесут и унесут до метро Тимирязевской, пока ты будешь пытаться одновременно снять куртку, убрать шапку и держать сумку. На весь институт 1 большой зал, характериз...Показать полностью...ующийся отсутствием столов (типичный актовый зал). Поэтому рекомендую сразу приобрести себе ноут и ходить с ним, ибо сидеть и писать на коленке не крута. 
Остальные аудитории по размерам разные, но по состоянию «так себе» одинаковые. 
И вот вы сидите довольный себе на семинарчике, в типичной стремной аудитории с больничными стенами,  слушаете непонятные ответы ваших одногруппников, и тут, приспичило вам сбегать в туалет. Почему во время семинара? Да потому что на перерыве в 10 минут очередь в туалет выстраивается длинной с Китайскую стену. 
А как там дела обстоят с туалетами? Оооо, оказавшись в туалете Института Прокуратуры, вы осознаете, что туалеты в школе были не так уж и плохи. Три кабинки - одна работает. 
Я даже больше скажу: вам не стоит переживать, что при попытке открыть дверь, там может оказаться другой человек, которого вы можете побеспокоить своими действиями, просто потому что, если в кабинке кто то и сидит, то мыски его обуви мило высовываются из под двери кабинки, из чего следует вывод, что места внутри очень и очень мало. Поэтому, если Вы толстый человек, то придется Вам несладко. Кстати, не забывайте заранее брать туалетную бумагу у выхода из туалета, потому что в кабинках ее никогда не бывает, впрочем, как и мыла. 
Вообщем, локация туалет оценивается на 1 из 10. 
Чтобы избежать частых посещений локации «туалет», советую вам также воздержаться от посещений локации «столовка», если вы, конечно, сможете ее отыскать, потому что, чтобы добраться до нее, вам предстоит пройти целый квест по лабиринту минотавра, преодолевая все стадии депрессии, идя по какому то подвалу. 
Ну и наверное стоит замолвить словечко про то, за чем сюда приходят люди. 
За знаниями конечно! Которые Вы приобретаете дома, читая нужные учебники 2012 года издания с максимально устаревшей инфой, потому что никто никаких знаний вам тут не даст, могут только проверить, ну и очень объективно оценить. 
Обучение в МГЮА  проходит так, как раньше учили плавать собак в деревне. 
Кинули в воду: поплыл - значит, молодец. Утонул? Ну и фиг с тобой. 
Получается, что 90% знаний получается студентами в процессе самостоятельного поиска и изучения информации, потому что в стенах вуза, опять же повторюсь, никто вам ее не даст, ибо лекции очень трудно назвать источником информации. 
Преподаватели в мгюа - сборная солянка. Не стоит удивляться, что на одном семинаре один препод вас забуллит, морально уничтожит, завалит, опозорит и запишет в свой блокнотик (Death Note), а на другом семинаре другой преподаватель погладит вас по головке, поможет, подскажет, похвалит и вообще будет лапонькой котиком. 
Если вы любитель поспать- то это место точно не для вас. 
Углубляться в максимально ужасную систему оценивания, посещений, пропусков и отработок я не хочу, потому что если я щас начну это все рассказывать, то просто расплачусь. Но если говорит кратно, то по здоровью вы должны быть космонавтом, который болеет 1 раз в год и то, после прививки от гриппа, а по активности на семинарах вы должны быть, как джунгарские хомячки, наяривающие круги в своем колесе внутри витрины типичного зоомагазина, иначе не видать вам допуска к сессии. 
На этом у меня все. В целом, обучение в этом институте можно оценить на 5/10. 
Все проясняется буквально спустя 3 месяца обучения в этом вузе. Остается непонятным только одно: Куда уходит эта огромная сумма денег, которую каждый год собирают с бедных платников? ",medium
"


Проучившись больше 3 лет в МГЮА и оплатив больше 20 приемов у психотерапевта, я могу сказать, что учеба здесь - один сплошной стресс

Есть какой-то лимит на набор первокурсников? Конечно, нет
Ректорат хочет лишь получить больше денег, не думая при этом ни о студентах, ни о преподавателях

Как можно принудить такое количество платников, которые учатся ради диплома? Естественно, усилить контроль, довести все до полного абсурда

Считаете, что студенчество будет лучшим периодом вашей жизни?
Администрация университета с вами не согласна. Они не понимают, что молодое поколение должно само стремиться к учебе, что образование должно быть доступным и не должно влиять на психику людей. Но сейчас вы поймете, что администрация использует все доступные методы, чтобы надавить на студентов 

Как вас будут контролировать?
1.  Чтобы закрыть модуль, вам нужно получить 3 оценки за, допустим, 5 занятий. У вас может быть 4 коротких модуля в семестре, то есть работать вы должны постоянно
2. Отработать модуль можно в течение 2 недель после закрытия модуля. Такое вот прекрасное нововведение
3. Пропустили 10 занятий в месяц (лекций и семинаров)? Будьте добры написать обязательную и получить выговор, если о...Показать полностью...на кому-то не понравилась. Пропустили 20 занятий? Поздравляю, теперь вы претендент на отчисление
4. Неоднократно получили выговоры (в положении не конкретизируется, сколько это, но обычно 3)? Поздравляю, теперь вы претендент на отчисление 
5. Живёте в общежитии и неправильно используете лифт? Включаете чайник в вашей комнате? Получите по выговору за каждое нарушение
6. Вас будут запугивать тем, что за непосещение лекций продлевать сессию не будут
7. Естественно, на сессию могут спокойно поставить сексистов, педофилов, чсвшников. Разбираться в своих преподавателях университет не любит. Зато любит нанимать молодых аспирантов, потому что настоящие профессионалы ушли в середине десятых годов из постоянных скандалов 

И не забывайте, что в МГЮУ царит атмосфера тоталитаризма, в главном корпусе висит табличка в память о Сталине. Все вопросы решают без учёта мнения студентов. Вы - шестерёнки в системе, всего лишь маленькие юристики. Большие богатые дяди без вас знают, как лучше

Юриспруденция - профессия, которая приводит к депрессии? Нет. Но в МГЮУ - да. Более того, скорее всего университет отобьет у вас все желание стать юристом ещё на 1 курсе. Будьте готовы к тому, что в институте частного права у вас будет 8 семинаров по Арбитражному процессу и 24 по Криминалистике

Поступая сюда, трижды подумайте. И помните, что 3 института - ИЧП, ИБП и ИПК с этого года учатся на улице Набережная Шитова (а студенты и живут там). Думаете, что МГЮА также хорош, как и при Кутафине? К сожалению, нет, МГЮУ - один большой бизнес",medium
"


Это заведение точно нельзя назвать лучшим юридическим вузом страны, коим оно себя именует, как и худшим, но уровень преподавания медленно и верно скатывается на ступеньку ведомственных академий силовых структур. 

На первом-втором курсе вам более или менее нормально (в зависимости от преподавателя) будут преподавать базу вроде теории государства и права, судоустройства, конституционного права, но дальше, когда пойдут профильные предметы, велик риск нарваться на преподавателя, у которого оценка зависит не от знаний студента, а от настроения или личного к нему отношения. Чем старше курс, тем яснее маячит такая перспектива. Жаловаться на преподавателей можно, замену скорее всего поставят, но только если виновность преподавателя очевидна и нарушает правила принятия зачетов, например. 

На красный диплом, если работаете не в ВУЗе, и совмещаете учебу с работой (автор текста учится на вечернем отделении), можете не рассчитывать. Либо учеба, либо работа. Рекомендуется выбирать второе, потому что, несмотря на огромное количество конкурсов, все сложнее найти себе достойную работу по специальности, и лучше заняться этим еще на первом-втором курсе, чтобы к выпуску иметь приемлемый багаж практи...Показать полностью...ческих знаний (не надейтесь, что на процессе вас чему-то научат: два-три препода — да, остальные будут гонять по теории и в лучшем случае дадут решать задачки). Учебники в библиотеке часто старые и не очень актуальные, а так большинство не жалуют любой другой вариант, кроме кафедрального, готовится к экзаменам — неприятно и долго.

Администрация вуза очень любит делать акцент на посещаемости занятий, но ничего не делает для того, чтобы в университет действительно хотелось приходить. Постики в вк с котиками, мерч с эмблемой академии, все это хорошо, но даже такая яркая и привлекательная, на первый взгляд, ширма, не может скрыть стремительно падающее качество образования и незаинтересованность в молодых специалистах. На бакалавриат идти не советую, в магистратуру буду поступать в другой вуз. 

Кто уже поступил — держитесь, кто планирует — рекомендую подумать еще раз, кто закончил — тем уважение! ",negative
