Text,Mark
"


За несколько лет обучения на этой кафедре хочется высказаться по поводу коррупции и отвратительного поведения по отношению к студентам факультета ветеринарно-санитарной экспертизы. Коррупция построена очень хитро. Все манипуляции и &quot;переговоры&quot; на себя берут специальные студенты, обычно аспиранты. Люди вхожие в круг преподавателей, но еще пытающиеся выдать себя за студентов, понибратски общаясь с вами. Именно через таких посредников и протекает черная речка. Деньги собираются и передаются. И если вы думаете что после этого вам все просто поставят, то несильно на это рассчитывайте. Преподаватель будет до последнего играть роль. Будут и экзамены и защиты. Из всех факультетов ветсан больше всех любит деньги и при любой возможности сдерет их со студентов.  Покупать ненужные методички, чтобы закрыть экзамен, накрывать на стол, чтобы защитить госы, потом еще раз накрывать на стол, чтобы уже защитить диплом - ведь без всего этого у вас вряд ли получится закрыть на хорошую оценку. Купить можно даже билет, который попадется на итоговом государственном экзамен, за приличную сумму конечно. 
Хочется, чтобы еще проверили на компетентность многих преподавателей. Порой на парах они засыпают, читают лекции, которые уже читали, забывают о том, что говорили студентам, и находятся в каком-то своем мире. Относятся к студентам с предельной злобой и агрессией, как будто их заставили читать пары студентам. 
Выпускники считают дни, чтобы закончить учебу и забыть это как страшный сон. ",negative
"


Так как я являюсь выпускником данного заведения и давно хочу опубликовать эту информацию, то напишу.
Ветеринарное образование в России в полной заднице, все пять лет, проведенные здесь - худшие пять лет в моей жизни, и преувеличить здесь сложно.
В месте, где должны готовить ветеринарных ВРАЧЕЙ, здесь готовят будущих мясников, скотоубийц и просто несуразное и незаурядное быдло. Срач и отношение к студентам здесь на всех уровнях - от отсутствия отопления и грязи и плесени изо всех щелей на Талалихина (в ютубе также должны быть видео про текущие водопадом потолки), до унизительного и пренебрежительного отношения к студентам от персонала данного учебного заведения. Совершенно очевидно, что знаний о ветеринарной медицине здесь не дадут, зато пять лет вы будете переписывать методички 50х годов, слушать про сперму хряков, смотреть бесконечные видео об убийствах животных и месить кусочки мяса и колбасы с песком в ступках, которые старше ваших бабушек. Ну, и драить аудитории, драить стойла коров, убирать говно и плесень в вузе. А еще варить кости для местной анатомички.
Никакого оборудования здесь нет, кроме рентгена в подвале. Из животных были замученные коровы, которые стояли в холоде и с...Показать полностью...обственно дерьме, которое отмывали от стен студенты за пропуски пар (даже по уважительны причинам). 
В вузе постоянно было холодно, грязно и воняло. В туалетах почти никогда не было бумаги. Не было мыла, антисептиков. Как такое заведение вообще может подготовить врачей, приучить их к азам асептики, антисептики, грамотной и мягкой работы с животными?
Сумасшедшая преподавательница будет учить вас тягать за ошейник несчастную старую козу и смеяться над вами при всех, когда она будет ссаться перед вами от стресса и бодать рогами. 
Людям, которые поступят сюда не ради корочки и которые любят животных, здесь будет крайне невыносимо находиться.
Преподавательский состав насчитывает лишь пару адекватных человек. В основном здесь деды и бабки, которые преподают программу работы в агрокомплексах и совхозах времен СССР, скотоподобные мужики, донимающие девушек сальными шутками и просто моральные уроды, которые поставят зачет за бабло, коньяк и водку.
Сам вуз построен на месте убойного пункта животных, о чем преподаватели будут хвастливо рассказывать сами. Атмосфера там была просто омерзительная, общаги такие же.
По поводу диплома - диплом защитят все, даже те, кто не знает, сколько камер сердца у собаки и сколько конечностей у лошади. Перед  защитой и в начале каждых сессий вам будут качественно выносить мозг отсутствием организации и откровенным идиотизмом по электронной почте с кучей угроз. Научные руководители будут вас сливать и игнорить, в итоге диплом вы напишете не благодаря, а вопреки. Диплом защитите, даже если ни одного слова не сможете сказать по содержанию вашей темы, потому что вуз не хочет позориться еще больше, а вместо выпускного будете слушать выступление старперов и вздохи о прекрасных временах советской России.
Деканат состоит из хамов и борзоватого чмо, поэтому связываться с ними лучше как можно реже.
Подойдет для тех, кому просто корочку, для остальных советую вечерку, заочку или какой-нибудь другой вуз, потому что это просто вонючая и отвратительная помойка.
Просто не знаю, куда подаваться людям, которые хотят обучиться на ветеринарного врача и избежать пяти лет лицезрения самого низшего проявления людской сущности, жестокости и мусора.
",negative
"


Никогда не писала негативных отзывов, но тут не сдержалась, так как чуть не испортила себе жизнь, возможно, кто-то задумается, прежде чем поступить. Училась 4 года на ветеринарного врача и решила уйти на последнем курсе, потому что обучение полное ничто. Что я приобрела за время учебы - это разочарование в обучении, понимание, что это пустая трата своих 5 лет, нервов ради бумажки, потерю хорошего настроения и смысла жизни :) Особое внимание стоит уделить программе обучения и преподавателям. Если вы действительно думаете, что вас обучат здесь тому, что ждёт на самом деле в работе в ветеринарной клинике, то разочарую вас - нет, этого можно не ждать. Многие преподаватели, особенно те, что уже в возрасте, дают устаревшую информацию. Исключением является молодой преподавательский, действительно компетентный состав (К*****, В*****, Н*****, М******, Д*****, Р******, С*****, К******), на чьи пары правда хотелось приходить, чьё поведение уважительно по отношению к студентам и от которых подается актуальная информация.
Хочу отдельно выделить самую неприятную и отвратительную преподавательницу за всё моё обучение -  М******* Т. О. Полное неуважение, скотское отношение к студентам, настроение ...Показать полностью...может поменяться за секунду, а причиной тому может явиться всё, что угодно: ошибка в работе - ты ничтожество, тебя надо исключить из университета. Как пример, она не отметила мои отработки и я пыталась доказать, что отработала (абсолютно спокойно), в итоге это закончилось тем, что она в ярости стучала по столу кулаком и выгоняла с орами из кабинета со словами о том, чтобы остальные студенты благодарили меня за то, что я испортила её настроение и она будет жестить на зачёте. Один раз не угодил и ты вносишься автоматически в её список людей, которых она не любит и будет гнобить на всех проводимых ею дисциплинах. Про фармакологию, которую она преподаёт, - отдельная тема (человек рассказывает про лечение кокаином и другими устаревшими и непригодными способами). Крайне неуравновешенный, злой человек, на чьи пары было страшно приходить. Надеюсь, что ей когда-нибудь окажут психологическую помощь, а не то многие студенты так и продолжат страдать от этого человека. ",negative
"


Сейчас будет много негатива, просто будьте к этому готовы. Преподаватели и руководство университета очень неуважительно относятся к своим студентам. Начиная от внезапных перестановок пар (или вообще их отмен, когда большая часть студентов уже приехали), продолжая обязательными мероприятиями во внеучебное время (один из зачётов по требованию преподавателя проходил на ВДНХ), заканчивая защитой диплома. Последнему пункту хотелось бы уделить наибольшее внимание. На антиплагиат возможности у них проверить нет, научный руководитель считает игнорирование сообщений выходом из ситуации, у них &quot;7 пятниц на неделе&quot;, потому что документы нужно постоянно переписывать, перепечатывать, даже день защиты неутвержден, что уж говорить о том, что в учебном процессе преподаватели принимали не самое активное участие. 
Мне безумно обидно слышать от выпускников слова: &quot;Ладно, пусть не красный диплом, главное, чтоб не со справкой&quot; или &quot;Всего 2 дня пережить, дальше все закончится&quot;. Эти люди пришли получать образование, они изначально хотели работать по специальности, а что с ними сейчас? Это ж что такого сделал университет, что отличники решают за 2 дня сдаться и надеяться хотя бы не на справку? Пожалуйста, давайте уважать друг друга, студенты тоже люди. У меня все, спасибо.",negative
"


здравствуйте, хотелось бы прояснить удручающую ситуацию, которая сложилась на данный момент в мгупп. проректор и ректор решили, что будет уместно выгнать всех студентов на очное обучение, учитывая ситуацию, которая сложилась в москве на данный момент. напомню, что сейчас эпидемиологическая обстановка в стране и в столице оставляет желать лучшего, с каждым днем заболевших становится все больше, больницы просто не справляются с постоянно прибывающим потоком заболевших, и именно в это время благоразумный господин ректор в лице М. Б******* решил, что очная учеба - лучшее решение. ладно, если бы соблюдались хоть какие-то меры по предосторожности в забытом богом месте под названием срупп, но нет, на входе охранники не удосуживаются даже мерить температуру. действительно, а зачем? ни масками, ни перчатками вуз, естественно, не обеспечивает, на это деньги никто выделять не хочет. правильно, лучше построить новый фонтан под названием &quot;зассанный цветок&quot; на месте точно такого же предыдущего фонтана, который пользовался огромной популярностью среди курящих студентов, которые кидали свои бычки прямо в воду. беспредел поддерживают и преподаватели, которые заставляют выходить на учебу, ...Показать полностью...угрожая тем, что всем студентам не видать аттестации, будут пропуски. молчу про то, что ни о каком соблюдении социальной дистанции не может быть и речи, руководство вуза, преподаватели и сами студенты клали большой и, что называется, волосатый на собственную безопасность. так вот назрел вопрос: чего добиваемся? чтобы вуз прикрыли на карантин окончательно после вспышки эпидемии? или это какая-то умудренная игра господина рэктора, пешками которой становятся все? вопрос сугубо риторический",negative
"


Этот вуз имеет два корпуса: На Талалихина (м. Волгоградский проспект) и второй корпус м. Сокол. Речь пойдет о площадке Талалихина, т.к. там я обучаюсь.

Учусь в вузе два года и впечатление больше отрицательное.

МОЙ ДЕКАНАТ. В деканате сидят хамливые и борзые старшекурсницы. Орут, возмущаются на обращения студентов, не в состоянии ответить как следует. Могут спокойно вам сказать &quot;закрой рот&quot; или &quot;дверь закрыл&quot; в грубом и приказном тонах. 

ПРИ ПОСТУПЛЕНИИ осталась недовольна таким вот моментом: как везде принято, при подаче документов в вуз тебе надо приложить еще 4 фотографии, которые в последующем будут использованы в документах. Так вот, когда началась учеба, они потребовали от нас еще одну фотографию 3x4 для зачетной книжки. Вопрос: куда подевались вложенные фотографии? Потеряли? Неудивительно. Организованность на уровне. Молодцы. 
Также при раздаче студенческих билетов не смогли как следует его оформить, тем самым он являлся не действительным. Надо было после приходить к ним в деканат, чтоб они сделали как следует.

КАФЕДРА ФИЗ-РЫ. Пол кафедры физ-ры самодуры. Любят позволять себе некорректное поведение в сторону студентов. А отрабатывать пропуски заставляют мытьем спортзала, раздевалок, душевых и прочими подобными радостями. 

ОБРАЗОВАНИЕ. Окончить вуз особо ничего не делая труда не составит. Хороший вариант для тех, кому только корочку. 

",negative
"


Учусь уже который год на ветеринара, сейчас в старших курсах. Поступал сюда с очень большим желанием учиться и огромной любовью к будущей профессии, прекрасно осознавая возможные сложности и риски (до вуза была практика). Коротко говоря, никому не советую поступать в этот вуз по крайней мере на вышеупомянутую специальность. Ничего, кроме отвращения и ненависти к будущей профессии, я не получаю здесь. Преподавателям наплевать на свой предмет, повально берут взятки. Но это не самое страшное - учиться здесь при всем желании просто отвратительно. На клинических дисциплинах студенты драят преподавательские кабинеты, потому что уборщиц нет. Оборудование волосатых времен, все старое, все не работает и разваливается. По профильным дисциплинам знаем целое ничего. Многие преподаватели если не равнодушны к читаемой дисциплине, то уходят в другую крайность - издеваются над студентами, материал практически не дают. Если хочется халявить и все сдавать, то отличный вариант, но если есть цель получить более-менее актуальные знания и если есть любовь к животным (не дай бог!), то  будни в этом институте превращаются в нескончаемый ад. Из самых &quot;ответственных&quot; преподавателей в основном те, ...Показать полностью...которые ведут совершенно не нужные, неинтересные и ни разу не профильные предметы (напр., товароведение, технология мяса, технология молока, физ-ра (!!!) и т.д.). К студентам относятся как к скоту (оскорбления в адрес, унижения, предвзятое отношение), а на лекциях и практиках с завидной регулярностью слышишь про убийство, мясо, скотобойни, кровь, убийство, мясо, скотобойни, кровь... Первый курс прошел более-менее хорошо, но следующие - это натуральная жесть. Не ждите ничего полезного на занятиях, потому что по пальцам одной руки можно перечислить людей, которые могут нормально дать материал и его же нормальным и человеческим языком спросить (например, Б****, Д********). Практики по клиническим дисциплинам НЕТ. НЕТ станка для осмотра и манипуляций с животными, клинику СЛОМАЛИ и восстанавливать не будут в ближайшие несколько лет точно. На парах не научили даже элементарному, но действительно важному для каждого студента - делать уколы, ставить катетеры, проводить инфузионную терапию (капельницы). Животные вивария измученные и безумные, ненавидят и боятся студентов, как огня. На пропедевтике вас будут давить копытами, кусать и убивать, а преподаватель будет стоять рядом и говорить, какие вы безрукие идиоты. Вот и вся ваша практика! На микробиологии, вирусологии и биотехнологии (и многих других нужных дисциплинах) в лучшем случае вы будете просто переписывать учебник и методические материалы в тетради (в худшем - в сотый раз драить кабинет преподавателя). Пары часто проводят похабно и &quot;на отвали&quot;, преподаватели могут всю пару по клинической дисциплине рассказывать в сотый раз одни и те же байки про свою жизнь и молодость при Сталине. 
В вузе разваливается не только оборудование, но и само здание. Весной корпус изнутри заливает с потолков, несколько лет назад огромная лужа красовалась прямо рядом с нашим деканатом. Четвертый этаж аварийный, его не ремонтируют, а просто закрыли для посещения. В столовой тараканы и антисанитария. Клиника в подвале, которая была с самого основания института и имела хоть какое-то оборудование, была сломана и больше не функциональна, кроме приемной и кабинета с рентгеном, потому что Б******* посчитал восстановление клиники нерентабельным и ненужным (на ректорате он прямо заявляет, что ветеринары ему НЕ НУЖНЫ). И это при всем прочем, что цены за обучение очень даже нормальные (за ветеринарию требуют почти 200 тысяч в год). Контингент на площадке Т******* состоит в основном из ограниченных и неприятных людей, которым глубоко безразлично их профессиональное будущее. Сюда поступают те люди, кто не смог набрать нормальное количество баллов по ЕГЭ. Что касается учебы, то, повторяюсь, после нее вы выйдете озлобленным, уставшим, а, главное - совершенным нулем по специальности! Если все же поступили в этот волшебный вуз, то рекомендую как можно раньше устраиваться на работу и нарабатывать опыт, потому что первое, что вам скажут на настоящей практике: &quot;Ты ничего не знаешь!&quot;. Общаги поганые, такие же аварийные и по классике с плесенью, грязью и тараканами, а так же хамским отношением руководства и внутренним произволом. И в последнее можно добавить то, что даже отчислиться с платного спокойно вы не сможете - вас будут шантажировать и отказывать в возврате документов до последнего.  Желаю вам качественного образования и советую по возможности не выбирать данное учебное заведение, по крайней мере, для специальности &quot;ветеринария&quot;.",negative
"


Я не знаю, почему на разных сайтах фигурируют одни и те же негативные отзывы, иногда повторяющиеся слово в слово.
Хотелось бы добавить свой отзыв о МГУПП. Учусь, на первом курсе на втором высшем. Мне очень нравится атмосфера в МГУПП и интересные лекции преподавателей. Да, многие из них - это люди в возрасте, и да - они часто рассказывают реальные случаи из своего опыта, но это интересно и полезно. Ведь лучше учиться на чужих ошибках и на чужом опыте, а потом уже идти &quot;набивать свои шишки&quot;. Учиться студента никто не заставляет, многое зависит от твоей внутренней мотивации. Кто хочет учиться, приходит на занятия, выступает на семинарах с докладами. Ну а те, кто не хотят... они про преподавателей в любом ВУЗе будут говорить плохое.

Мне очень нравится, что подход к студентам в МГУПП индивидуальный. Я не буду приводить примеры, но знайте что если вы обратитесь к преподавателям за советом или попросите помочь вам решить какую-то проблему, они могут даже жертвовать своим личным временем, терпеливо отвечая на вопросы после семинара или проверяя дополнительные задания, которые совершенно не обязаны проверять... А когда хорошо отвечаешь на экзамене - чувствуешь, что преподаватель ...Показать полностью...вместе с тобой радуется твоему хорошему ответу.

Насчет лекций - группы маленькие, поэтому работаешь на каждом уроке много и очень много. Это хорошо. Учат хорошо, причем и слушать, и читать, и писать, и говорить. Проблема – не будут заставлять учиться специально - если студент хочет, подходит отдельно и просит совета, как улучшить свое образование, а не хочет или не понимает, что то, так и будет с сильным отрывом отставать. Если бы еще этот маленький минус исправить, было бы вообще супер. Во всем остальном - уровень образования помогают довести до того, чтобы стать профессионалом.

В общем, я рада, что учусь в МГУПП.
",positive
"


Уважаемые посетители сайта и те, кто пишет и публикует отзывы. Мы внимательно относимся к Вашим публикациям и вот что хочется сразу отметить:
- большая просьба писать конкретные факты. Мы готовы проверять их и решать проблемы и спорные вопросы.
Можете сразу отправлять их на почту mgupp@mgupp.ru. Мы их обязательно рассмотрим и постараемся оперативно разобраться в ситуации и ответить Вам.
- Университет активно меняется и перестраивается. Проходят не только ремонтные работы, но и меняются учебные программы. При всем желании в один год провести полный ремонт и произвести перекомплектацию всех аудиторий вуза нереально. Это делается поэтапно. Уже отремонтированы и укомплектованы самым лучшим оборудованием лаборатории и центры в А корпусе на Волоколамском шоссе, несколько этажей в корпусе В и Б по тому же адресу. Помимо этого созданы замечательные центры для обучающихся по направлению -сервис  - кухня-студия, горячие и холодные цеха, ресторан - бар и т.д.
Ведутся работы и на территории Талалихина. Сейчас готовится к выпуску мини сыроварня, активно реконструируются аудитории и центры Института промышленной инженерии, информационных технологий и мехатроники. Впереди реконструкция вивария и ...Показать полностью...аудиторий Института прикладной биотехнологии имени И.А. Рогова и Института ветеринарии, ветеринарно-санитарной экспертизы и агробезопасности. Все новости по ремонтам и изменениям университета вы всегда можете посмотреть у нас на сайте mgupp.ru. Если Вы хотите посетить университет и лично убедиться в том, как он перестраивается и меняется, то присылайте Ваши заявки на экскурсию - все покажем и расскажем. Заявку можно выслать на почту smi@mgupp.ru",positive
"


учусь в этом вузе (если это заведение можно таковым считать вообще) уже достаточно долго для того, чтобы понять, насколько это место отвратительно. контингент поражает своей ограниченностью, а оно и понятно, ведь, подают доеументы в это заведение абитуриенты, которые больше никуда не проходят. ладно, черт бы с ним, с контингентом. начнем с администрации! такое впечатление, что в деканате (вет-сан) сидят абсолютно безграмотные люди, которые не могут нормально выполнять свою работу, за которую им платят вообще-то. к тотальной безответственности рабочего персонала добавляется еще и хабалистость с хамством, лучше не связываться с деканатом , поскольку даже на обычный корректный вопрос можно ответа не получить, с документами работать не в состоянии!!! либо все теряется, либо допускаются элементарные ошибки. как за такие косяки базарных баб из деканата вет-сана держат еще на месте? вопрос на засыпку. про столовую даже говорить не хочется, просто издевательство драть такие огромные деньги за еду сомнительного качества и, ко всему прочему, не первой свежести. думаю, цены, задранные до потолка, еще не так страшны, как снующие туда-сюда тараканчики, которые могут оказаться изысканным дополне...Показать полностью...нием к блюду, наваленному в плохо вымытую тарелку со сколами. ну да, зачем мыть посуду? вонючий скот в лице студентов итак все схавает. пед состав - тема, о которой можно говорить часами. абсолютное равнодушие к читаемым дисциплинам. многие преподаватели ведут себя хуже базарных баб, о таком понятии как &quot;субординация&quot; они, похоже, даже не слышали. постоянный переход на личности, самоутверждение за счет студентов,поднятие своей самооценки. думаю, конкретизировать не нужно, каждый, кто прочитает, сможет понять, о ком идет речь. состояние вивария просто ужасает. если в столовой обитают тараканы, то здесь удобно расположилось полчище крыс, которых травить никто не собирается. ну правильно, зачем же? лучше развести антисанитарию. животные содержатся в отвратительных условиях и отношение к ним отвратительное. плюс ко всему этому - они опасны, они действительно могут покалечить студентов, поскольку у них за годы проживания в этом заведении психика убита напрочь. но опять же, вопрос об улучшении содержания животных в подвешенном состоянии. никто не хочет этим заниматься, всем попросту плевать. плевать не только на животных, но и на студентов, но и на самих себя. качество образования тоже оставляет желать лучшего, а некоторые, между прочим, платят за обучение деньги. грустно. прочитав отзывы на этом сайте аж с 2015 года, мне стало действительно горестно, потому что прошло уже больше четырех лет, а толком ничего не изменилось в лучшую сторону, с каждым годом, видимл, будет только хуже. новый ректор, конечно, пытается изобразить благолепие и сделать из говна конфетку, но его попытки выглядят просто смехотворно. все деньги вбухиваются во всеми любимый сокол, а вот на талалихина здание находится в аварийном состоянии. в некоторых аудиториях просто страшно находиться, потому что того и гляди потолок упадет прямо на головы студентов. а, может, и нужно, чтобы потолки обвалились? тогда, наверно, администрация возьмется за ремонт полуразрушенного здания. забавно, что внутреннее убранство здания полностью характеризует обстановку между людьми в вузе. очень грустно. эта помойка с дерьмом не вызывает ничего, кроме отвращения, но все-таки надежда умирает последней! возможно, что-то да изменится и здесь станет лучше, чем было и чем есть сейчас..",negative
