Text,Mark
"


Всем добрый день
Хотелось бы отметить, что я отучился 6 лет в вузе тонких химических технологий, а именно МИТХТ, также успел поработать там и преподавателем, и инженером (поломойщиком), и лаборантом (поломойщиком) и насладиться всеми гранями этого чудесного места, но об этом ниже:
1) Преподавательский состав  - 2/10. 
Есть действительно приятные преподаватели, достойные уважения и готовые тебя научить, которые идут к тебе на встречу и учат новому, в том числе и жизненному опыту, но в основном это озлобленные люди, которым плевать на тебя, твои знания и проблемы. Вы скажете &quot;это взрослая жизнь, а не школа, вуз этому и учит тебя &quot;, а я скажу, что после школы я никак не ожидал, что преподаватели будут тебя гнобить, унижать просто потому что ты рожей не вышел или посмел опоздать на пару из-за отмененной электрички на пару минут. Пары ставятся максимально неадекватно, перенести  их практически невозможно, почти никогда преподаватели не идут на встречу (может конкретно мне так повезло с кафедрой, но на общих предметах привыкай к месту у па*****ши). Какой-то уровень знаний ты получишь, но придя на работу ты будешь учится всему с нуля. Найдешь работу, чтобы совмещать ее с учебой ...Показать полностью...- а она не является уважительной причиной для пропуска пар или сдачи во внеурочное время, поэтому будь добр найти богатого родственника, который будет тебя содержать. Полезные свежие книги и методички 1979 года, с кучей химических ошибок будут твоим проводником в чудесный мир знаний, который для тебя будет открыт, но чуть-чуть. А, самое приятное, возможное отчисление из химического вуза, потому что ты не за ЗОЖ и не ходил на физ-ру к 9.00 первой парой, после которой у тебя стоят еще 5 пар по общим предметам. 
Кстати есть шанс выиграть в лотерею и получить одногруппника, который будет иметь реальное психическое заболевание и пугать тебя, твоих преподов, особенно на лабораторных работах. Процент таких студентов на потоке довольно высок, а если ты пойдешь на него жаловаться, потому что боишься за свою безопасность или жизнь, ну значит ты не почувствовал что такое МИТХТ в полной мере.
2) Оснащение вуза 4/10
Сделали ремонт, поставили мебель и столы, а реактивы остались все те же. Реакции не идут, лаборанты и инженеры это такие же замученные студенты как и ты, которые устроились сюда, чтобы получить хоть какой-то опыт работы, либо это выскочки, от которых тебя тошнит. К ним вопросов нет, ребят реально жалко. Установки для лабораторных работ древнее бабушки Наполеона, ну может любители ретро заценят. Твой максимум это увидеть хорошие компы в ректорате. Хочешь распечатать что-то? Использовать университетский комп чтобы сделать курсовую? Будь добр - плати червонец, не так дорого, но все же неприятно. А да, курсовую ты будешь переделывать миллионы раз, потому что у тебя не такой титульный лист или Уран сегодня находится не в той позиции на орбите. 
3) Памятник Ломоносову 10/10
Приятный, красивый, всегда на своем месте
4) Столовая 5/10
Еда неплохая, но есть шанс словить ротавирус (редко, но зато запомнится). Цены довольно высокие, но в целом не так критично. 
5) Ректорат -1/10
Ты жалуешься на преподавателя? Тебе не нравится, что тебя заставляют мыть полы/подметать полы, потому что вуз экономит нанять уборщицу? Твой научный руководитель за два дня до диплома сказал тебе, что его надо переделать под 0? Тебе постоянно говорят, что тебя отчислят, Может быть ты заболел и не смог ходить на пары, после чего тебя не допускают до занятий, хотя ты мог все сдать?
Ну...Жди длинную мудрую речь после которой ничего не изменится. Есть шанс, что ситуация изменилась на сегодняшний, но в момент, когда я обучался все обстояло именно так
6) Стипендия.....
Если ты не спал, ходил на все пары, честно учился, то институт тонких химических технологий, при условии обучения на бюджетной основе осыплет тебя золотым дождем в диапазоне от 3000-4000 т.р. Есть шанс получить повышенную стипендию, плюс еще помощь социального плана, но если честно я не дошел до этого этапа ибо не знал, что делать с моим безграничным бюджетом
7) Трудоустройство в МИТХТ 4/10
Пройдя 9 кругов ада, несколько этажей в МИРЭА, да-да, ведь все начальство сидит там и все бумаги ты будешь носить в горку раз по 15 в неделю туда, так как одним разом пройти этот этап просто нереально, потому что кого-то из нужных тебе людей точно не будет на месте, ты сможешь устроиться на работу в МИТХТ. Приятный коллектив, теплая атмосфера, ДМС, различные ситуации когда начальство входит в положение - к сожалению нет, ты не туда обратился. Зато пары в субботу на полдня, отсутствие какой либо базы, методичек, системы, заработная плата в диапазоне прожиточного минимума, бесплатные услуги уборщицы с твоей стороны, прогибание под руководство, чтобы выбить себе доп.ставку лаборанта на 0.0000001 и вылезающие глаза из орбит будут твоими верными спутниками. Ну первый опыт работы это всегда не очень, поэтому можешь дерзать, мой юный друг. 
8) Увольнение
Читай пункт №7, только добавь к нему ненависть всего коллектива, а также тот факт, что ты будешь обсуждаемой персоной номер 1, так как ты посмел предать лучший мир - мир науки и знаний

Совет для моего читателя: Ваш опыт может отличаться от моего, так как прошло определенное время, но я сильно сомневаюсь, что произошли какие-то резкие изменения. Также, хочу отметить, что есть и приятные впечатления о моем вузе, все-таки 6 лет прошло, но связаны они, в основном, с моей группой, с которой мы теперь вместе ходим к психиатру.",negative
"


Цитата с одного сайта: &quot;РТУ МИРЭА по праву гордится сильным профессорско-преподавательским составом, современной технической и материальной базой, активной научной деятельностью и широкими международными связями.&quot; Что же на самом деле? Конкретно хочу сказать про институт МИТХТ, ситуация и атмосфера на 2022 год. Хочется затронуть преподавательский состав и систему обучения.
Недовольство мое настолько велико, что хочется кричать от этого ужаса, хочется, чтобы студенты, которые сюда будут поступать, хотя бы приблизительно знали, что тут творится. По этому высказывание будет полностью негативным, длинным.
Бешанная нагрузка, времени на интересы, личную жизнь - не будет, забудьте! Плевать, что вы молодые, плевать что сейчас у вас как никогда много интересов, плевать что сейчас вас интересует абсолютно все в мире, плевать что вы хотите заниматься чем-то ещё. Даже преподаватель как-то сказал подобную фразу:&quot;Учитывайте, что времени на личную жизнь у вас не будет&quot;. Вы выпуститесь с вуза без нервов, сил, целей на жизнь, можно ещё накинуть и социофобию, после прекрасных преподователей и нагрузки. Практики от института, кстати, нет. Вы пойдете на работу бестолковым, не зная ...Показать полностью...рабочий процесс, даже приблизительно.
Какой-какой вуз гордится базой? Мешать водку с колой по приколу?
Если вы живете далеко от вуза, увы, вам придется делать домашнее задание в дороге, т.к. каждый преподователь не оценивает нагрузку на студентов и что помимо учебы у них есть какие никакие дела, накидывают и накидывают заданий, считая, что его предмет ужасно важен в вашей жизни, он вам поможет!
Ура 6 пар! У меня точно усвоится вся информация и я даже ни капельки не устану!
Здоровый сон? Забудьте, вы будете учиться в любое время.
Преподаватели вообще молодцы :) Тут мало достойных преподавателей, знайте это! Непонимающие, критикуют за все, за любую ошибку. Если они на Вас сорвутся, то выскажут все, вынесут все проблемы на вас, в том числе и домашние. Многие преподаватели работают по принципу: &quot;Ну вот, в общем будет работа на следующей паре, я вам объяснять ничего не стану, ищите информацию в методичках.&quot; КЛАСС СПАСИБО ЧЕЛ ИМЕННО ЗА ЭТИМ Я ШЛА СЮДА! Литература вся совковая, кстати.
Не побоюсь обобщить, преподаватели в этом вузе суемудрые, строят из себя невесть кого. Сами ведь были студентами, ну проявите вы капельку жалости к нам. Но, к большому сожалению, молодые преподаватели ещё грубее, как оказалось.
Да хранит Россиюшка великую систему образования.
В целом, я бы ещё многое написала, да уж плевать. Ужасный вуз. Худшие преподаватели.
Удачи поступившим, сил и терпения вам.
Преподавателям не помешало бы к психологу.",negative
"


Учился очно на юриста на бакалавритате 2018-2022. Гос. экзамен сдал на отлично. Платник. Средний балл: 4.68 (диплом синий, т. к. есть тройки)

Образование не о чём. На пары я практически не ходил, а ко мне вопросов не было, т. к. сессию всегда сдавал, долгов не было за всё время. Часто преподаватели снижали оценку вместо 5 ставили 4, так как не ходил к ним на пары) так что сдавал я без проблем.
Преподаватели никакущие. Терпеть не могу пары. Это не &quot;высшее образование&quot;, а продолжение школы. Лекции всегда были отстоем, не понимаю зачем они вообще нужны, по крайней мере в таком состоянии. Преподаватель просто читает с листочка, а все остальные студенты сидят в телефонах (включая меня).
Сессии проходят вполне нормально. Обычно чем не нужнее предмет, тем больше проблем с ними. Например, экологическое право. Это было на первой сессии 4 курса. Препод пришёл (не помню как зовут) и сразу начал выпендриваться что мы не сдадим. Начал заваливать вопросами, каких не было в списке. Я кстати пошёл первым и сдал зачёт. Но многие не сдали. 
Вобще если не дурак, то все сдать можно. Просто нужно правильно подлизаться и выучить все как надо. Списать тоже можно. Но повторюсь, чем ненужнее пре...Показать полностью...дмет, тем больше по нему будет проблем.
А такие основные дисциплины как гражданское право и процесс, вобще преподается на минимальном ущербном уровне. 

По итогу я просто зря потратил время в вузе. Лучше бы пошёл сразу в армию, а потом в нормальный вуз на заочку.

Плюсы: низкая цена. Изначально обучение со скидкой для меня стоило 160 тыс. Потом выросло до 200 тыс где-то. 

Какая цена, такое и образование. Но для получения &quot;корочки&quot; подойдёт. ",negative
"


Закончила 1 курс ИТХТ им. Ломоносова, направление химическая технология.

Здание университета находится в 2 минутах от метро Юго-западная, вокруг очень много торговых центров с большим разнообразием кафе и магазинов. Корпус на Малой Пироговской в 15 минутах от метро, на мой взгляд очень не удобное расположение, рядом с вузом единственный магазин Перекрёсток и все. Из плюсов могу отметить, что институту выделено 2 своих собственных здания, которые оборудованы от и до, и в них почти не бывает студентов с других институтов (=факультетов). 

На первых 2 курсах все 4 направления итхт проходят идентичную программу, в конце 2 курса происходит распределение по кафедра и обучение по профилю. На 1 курсе были как профильные, так и общеобразовательные предметы, и с учётом того, что не профильные предметы заложены в учебном плане не по желанию университета, можно сказать что программа идёт без ненужных предметов. Были такие дисциплины, как неорганическая химия, физика, экология(1сем.), линейная алгебра, математический анализ, история(1 сем), право(1 сем.), информатика (1 сем.), физкультура, иностранный язык.

Неорганическая химия: предмет, который мне очень сильно понравился. Преподавательский ...Показать полностью...состав прекрасно знает свой предмет, лаборатории чистые и отремонтированные, на кафедре есть все необходимое оборудование и реагенты в достаточном количестве. Занятия по предмету проходят в виде лекций, семинаров и лабораторных работ. Все на высшем уровне.

Физика: моё впечатление - крайне отрицательное. Лекции хорошие, понятные, семинары - смотря к кому попадёшь, нашей группе оба семестра не очень везло с семинаристом и оставалось много вопросов. Лаборатории хорошо оснащены, однако защита лаб - ночной кошмар студента. Экзамен - самое жуткое, что я испытала за год в универе, лотерея.

Из плюсов - отличное оснащение лабораторий и кабинетов, свежие лекционки и учебные аудитории. Большая библиотека. Отличный преподавательский состав.

Из минусов - закрыта на ремонт столовая на Фрунзенской, а рядом - только Перекрёсток. Мало столов в чиллауте на юго-западной, розеток тоже не всегда хватает. 

Учиться на отлично реально, если закрывать долги вовремя, активничать на семинарах (на многих есть система баллов активности, без которых чаще всего нельзя претендовать на отл за экзамен), участвовать в научной деятельности (дают баллы).

В вузе очень много активностей, тут студенческий союз работает на ура. Например, у нас проходили тематические день мороженого, масленица, и тд.

Общее впечатление от учёбы - восторг. Да, тяжело, но интересно. Ни разу не пожалела о решении поступать сюда, очень рекомендую этот вуз - здесь действительно учат.
",positive
"


Привет!

С 2016 по 2020 учился в бакалавриате, а с 2020 по 2022 в магистратуре. Институт ныне называется «Кибербезопасности и цифровых технологий», моя выпускающая кафедра КБ-5 носит длиннющее название «Аппаратное, программное и математическое обеспечение вычислительных систем». Больше обучаться не планирую, так что деаноньте на здоровье :)

1. Приём
Не без шуток — один из веских доводов в сторону МИРЭА — отлично организованная приёмная кампания. Да, сегодня конкуренты тоже подтянулись (тот же сайт приёмки МАИ в 2020 стал гораздо лучше самого себя образца 2016 года), но и МИРЭА продолжает держать планку. Совет: ходите на вебинары, там умный мужик с добрым лицом подробно раскладывает тупые вопросы.

2. Реорганизации
Судя по количеству присоединений к МИРЭА, доживём мы до дня, когда в Москве не останется других вузов. А кроме шуток, поступал я в Физико-технологический институт Московского технологического университета (который почему-то сокращался любой из аббревиатур МИРЭА/МГУПИ/МИТХТ), закончил бакалавриат Института комплексной безопасности и специального приборостроения (перевод кафедры) РТУ МИРЭА, а магистратуру Института кибербезопасности и цифровых технологий (переименование) Р...Показать полностью...ТУ МИРЭА. Это может бесить, вполне оправдано на мой взгляд.

3. Общежития
Мест мало, в бакалавриате с 232 баллами жил (но тогда и проходные были куда гуманнее), в магистратуре с 80/100 — нет, в общежитие брали магистрантов от 85 баллов. Ныне обещают брать всех от 270 баллов, посмотрим. 
В целом, общаги очень разные и даже внутри одной общаги комнаты весьма и весьма различаются. Отдельный прикол этого вуза в том, что они ежегодно пытаются всех из общаги выселить под предлогом ремонта (не видел чего-то глобального), позволяя остаться тем, кто записался на «рабство» в студотряд или работает на университет. В 2017 нормально оставляли всех желающих, затем всё ужесточалось и ужесточалось. Цены хорошие, состояние — лотерея, летом остаться целый квест, имейте ввиду.

4. Общее состояние университета
Постоянно, хоть и понемногу, улучшается. Хотя почему нельзя повесить туалетную бумагу в каждой кабинке, а не только на входе в туалет, я искренне не понимаю. Появляются новые зоны отдыха (чилл-аут), ставят дополнительные турникеты на проход, сделали коворкинг-зону, чтобы просто придти и заниматься чем-то. Из компьютерных аудиторий пропали компы с Windows 2000! Из минусов — из-за ковида подрядчики не стали продлевать договора и печатать в университете тупо негде: нужно или надеяться, что с сентября успеют исправить, или таскать принтер на сдачу работ с собой.

5. Студенческая активность
В целом, в других отзывах можно прочитать про такое ужасное мероприятие как «Факел» — организационное собрание первокурсников достаточно специфичного формата. И про злых студсоюзников, питающимися душами первокурсников. В целом — собрание специфичное, но норм; а мероприятия студсоюза — ищите то, что интересно вам, если неинтересно, игнорьте. Я как-то прошёл школу звука на мероприятиях и школу ведущих — не то чтобы прям стал профи, но XLR от Джека отличу.

6. Учёба по общим предметам
Общие предметы вроде физики и философии распиханы по программе в основном на 1-2 курсах, на третьем я поймал себя на мысли, что когда хожу в универ, хожу на свою кафедру. В целом, рандом, у меня была прекрасная бабушка, которая вела инженерную графику, а был физик, который пытался делать вид, что он великий педагог, но при этом забывал объяснять.

7. Учёба по специальным предметам
В магистратуре-2020 было куда лучше, чем в бакалавриате-2016. В бакалавриате все специальные предметы первого курса вели преподаватели нашей выпускающей кафедры и если информатика была ещё ничего, то программирование преподавали на Бейсике 1986 года. Сейчас же у каждой кафедры есть набор предметов, по которому она учит всех первокурсников. Что сказать, в магистратуре я прочувствовал плюс такого подхода — стало интереснее преподавателям, а как следствие и студентам.

8. Персоналии
Говоря честно — случай. Есть хорошие преподаватели, которые хотят вас научить чему-то важному, нужному и полезному, есть люди настроения, которые то орут, то рассказывают неинтересные истории из жизни, есть просто лентяи, которые на сессии просто всем всё проставят. За время моего обучения были:
— заместитель заведующего кафедрой, который потерял мою работу и пытался доказать мне, что я её не сдавал, потом перебрал все свои бумажки и нашёл;
— преподаватель с другой кафедры, который сначала пообещал всем четвёрки-пятёрки, а на консультации такой «мы тут посовещались, у вас слишком легко, ну пипец вам»;
— прекраснейшая преподавательница по базам данных, которая сама в теме того, что происходит в отрасли;
— преподаватель по высшей математике, который искренне пытался нас и научить и к экзамену подготовить;
— преподаватель по английскому, с которым на уроках мы смотрели Grand Tour и Цельнометаллическую оболочку;
— и много, много, много других преподавателей.

9. Легко ли учиться
И да и нет. Ходила легенда про человека, который в середине 2010-х по тем или иным причинам лишился права на отсрочку и ушёл служить, не оформив академический отпуск. Вернулся, а его ещё не отчислили, он просто досдал все долги и спокойно доучился. Я лично третий семестр магистратуры не пришёл ни разу ни на онлайн-пары ни на оффлайн-пары. В январе проявил чудеса сообразительности и сдал сессию, даже не потянув за собой долги. Вместе с тем, предупреждаю абитуру, что пропускать — это отдельное искусство. Слушайте преподавателей, спрашивайте у старших курсов, но помните, что времена меняются.

10. Чему научили
Самая главная ошибка состоит в том, что абитуриент видит слова «информационные системы и технологии», «кибербезопасности и цифровых технологий», «аппаратное, программное и математическое обеспечения вычислительных систем» и делает вывод — научат в системы и технологии, расскажут про инфбез, программное обеспечение научат делать — пойду работать программистом. Только вот в последних кавычках «аппаратное» стоит перед «программным». Если почитать описание программы именно этого профиля, то окажется, что вас готовят работать... системным программистом! Плохо ли это — да, в целом, нет, но если вы тянетесь к чему-то кроме разработки утилит и нескольких курсов по ассмеблеру, то при подаче документов и распределению по профилям, найдите в интернете описание образовательных программ и учебные планы — они хоть и спрятаны в неудобном месте, но вполне себе ищутся и читаются. При всём при том, что «обеспечение надёжности СУБД» может оказаться курсом по системам массового обслуживания.
Так вот, научили чему-то системному, я, по сути, сейчас работаю простым бэкендером. Из группы буквально несколько человек работает близко к тому, чему учили, остальные в айти, но по другим специализациям.

11. Выводы
Пошёл ли я туда же, если бы нужно было поступать в бакалавриат сейчас — да. Возможно, поменял бы кафедру, но не потому что на моей всё ужас-ужас, а у всех остальных всё зашибись, а с точки зрения выбора чего-то более интересного мне. Но в 2016 я ничего не понимал и поступил туда, где были (на тот момент!) циферки 09.03.01 и общагу давали проще всего.
Пошёл ли я туда же в магистратуру — не знаю. Я пошёл на свою же кафедру честно просиживать штаны с аргументной базой «я знаю, кого тут как прогуливать», но сейчас мне кажется, что это была глупая затея.
Одно из самых хороших решений в моей жизни было вырваться из родительского гнезда, несмотря на уговоры, и поступать в другой город. Рекомендую, кроме шуток, рекомендую!
Посоветую ли РТУ МИРЭА для поступления — почему нет, но с оговоркой, что это не абсолютный идеал. У меня в бакалаврской группе в основном собрались ребята из регионов, которые, по их мнению «хорошо сдали» ЕГЭ и ребята из Москвы, которые, по их мнению «ужасно слили» ЕГЭ. Для одних — манна небесная, для других — оптимальный выбор из «шараг». Но, наверное, это для бюджетной формы, при выборе платной вышки посоветую выбрать или чё покруче или чё подешевле, тут — ни туда ни сюда.",medium
"


Закончилась зимняя сессия, а значит уже можно написать отзыв о своих впечатлениях. Честно говоря, руки чесались сделать это еще в сентябре, но решила подождать. 
Начну сначала. Я поступила на Программную инженерию. После выхода приказа нас распределили по группам несколько рандомно, но все бюджетники примерно в первых десяти группах. Всего групп 35, по +- 30 человек. На учебном процессе количество групп никак  не сказывается, но расписание из-за этого не всегда удобное, например у меня в 2 из 3 очных учебных дней - последние пары. В связи с эпидемиологической обстановкой потоковые лекции у нас проходят дистанционно, а семинары очно, что несравненно плюс. на лекциях показывают презентацию с материалом, там только теория и общие примеры, семинар похож на обычный урок в школе, только длится полтора часа). Кстати, что касается направления, если вам не хватит баллов туда, куда хотели изначально, поступайте на другое направление ИИТ, программа в первый год одинаковая, потом сможете перевестись.
Что касается преподавателей, большинство из них очень интересно рассказывают свой предмет вне зависимости от возраста! Странные преподы действительно встречаются, как и в любом другом вузе, наприм...Показать полностью...ер, у нашего потока в первом семестре была история и нам очень конкретно не повезло с семинаристом, у которого понятия автомат на экзамене просто не существовало. Все семинары проходили в формате докладов от студентов, которых он постоянно перебивал, вставляя свои пять копеек по каждому поводу. Но зато сдать у него оказалось не так уж сложно, почти всем в группе он урезал количество вопросов в два раза, а на экзамене ребятам, которые шли на отлично дал перетянуть билет, если на первый они отвечали неудачно. 

Хочу также немного прояснить ситуацию с кафедрой информатики, которую все так боятся. Во-первых, бояться до экзамена ее абсолютно не стоит, главное вовремя выполняйте практические и носите маску)), во-вторых, дам личный совет, очень тщательно записывайте лекции, так как конспектом можно пользоваться на экзамене, а пересматривать все лекции за неделю до экзамена  - просто ад, либо найдите вопросы на сессию, они будут на страничке дисциплины и отвечайте на них, по истории такая  же ситуация, но там лучше  сразу ответы на вопросы писать. Сдать информатику без конспектов нереально!!!
Что касается остальных предметов: программирование действительно бесполезное (Для тех, кто уже умеет прогать на языке семестра, - скучно, для тех, кто совсем не умеет - непонятно и бестолково. На семинарах, как правило, ничего не объясняют, вы сами пишете программы, и потом препод их проверяет, но наш помогал разбираться, если были вопросы. Еще очень интересная вещь, к которой нужно быть готовым: в первом семестре проходят С++, но по желанию семинарист вместо С++ может взять С, и вам ничего не останется, кроме как с этим смириться и терпеть ); математика сильная ( у нас был очень классный семинарист по линалу, но, к сожалению, во втором семестре всех преподавателей поменяли); физика - разная (наш семинарист была еле живая весь семестр, бубнила что-то себе под нос у доски и новых вещей особо не рассказала, у одноклассника на семинарах были олимпиадные задачи, что тоже довольно странно, учитывая направленность специальности); английский также бесполезен, как и программирование (в первом семестре заново проходились все времена).
Так как отзыв я пишу уже после начала второго семестра, то расскажу немного и про него. Всех преподавателей за исключением лектора по физике поменяли. Учиться стало сложнее, дисциплин - больше. Стало больше программирования. Из гуманитарных дисциплин в этом семестре - право, пока нравится, семинарист очень интересно рассказывает.",positive
"


Учился я на КБСП недолго, всего 1 семестр на платном, затем прыгнул на бюджет в другой уник.
Вот прошло уже около года и захотелось тоже черкануть насчет своего опыта прохождения программы ВО в РФ на прогера.
Первое, что хочется отметить - Физика на 6 ЗЕТ/семестр в учебном плане - НЕ шутка и НЕ простая формальность. Мне повезло, я закрыл физику уровня МехМата на дистанционной сессии (знания по ней у меня стремительно стремятся к нулю в прогрессии), так что даже физика на направлении, где она особо и не нужна (уже наверное с года эдак 1980ого) была даже плюсом, так как я получил оценку перезачетом в своей новой Альма-Матер своей квази физики с дистанционной сессии аки за реальный экзамен по ней.
Второе - многие разочаровывались, что учатся на Стромынке, вдали от того места, куда они подавали документы, но могу сказать, что само место крутое, не считая реально узких коридоров и постоянной толкотни осенью, когда еще все ходят на пары.
Третье - это прога (могу поручится за первый семак). Она топ, ни убавить, ни прибавить, хотя стоит отметить, что проге (как ни странно) времени и пар уделяется меньше, чем физике (это явный минус, так как мне платят всегда за прогу, а не за физику).
Четв...Показать полностью...ертое - это матеша. С матешой у меня были некоторые забавные приключения в обоих универах, но могу лишь отметить явный плюс МИРЭА - это лекции по всем матешам, которые проходят очень бодро. Все лекторы по матешам адекватные и могут кайфово донести материал. Для написания контрольных порой стоит готовится, однако это того стоит. Впрочем, если прям будет желание списать - спишите.
Четвертое с половинкой - у нас в группе учились два челика не из РФ: один с Африки, другой с Пакистана. Они были мирными и даже создавали некое ощущение, что у нас какой-то крутой ВУЗ с Европы, однако все испортил тот факт, что русский и английский они знали не лучше, чем среднестатистические выпускники школ знают английский или второй иностранный, словом - не знаю как они учились.
Пятое - это экзамены (квазиэкзамены, ибо все на дистанте было). Все прошло круто, однако сервера, где было тестирование стабильно падали ВСЕГДА, так что приходилось находить выходы из таких ситуаций. В целом, сессия прошла хорошо, но это лишь мой опыт дистанта, у вас все может быть иначе.
Ну и в конце, хочу в двух словах сказать о переводе из МИРЭА: справку о периоде обучения мне сделали довольно быстро, включив все предметы, которые я сдал, даже во время сессии. Отчислили тоже, всегда дня за 2-3, но также не сразу сказали, что мне нужно будет заполнить целый обходной лист для получения аттестата обратно.
Надеюсь мой отзыв сослужит вам хорошую службу. И помните, если будете в МИРЭА: Кибы сасатьб!",medium
