Text,Mark
"


Здравствуйте, поступила на первый курс осенью 2022 года. Очень переживала насчет проходных баллов, в итоге спокойно поступила с 240+ в сумме, проходной балл в этом году на мою специальность составил 200, что было шоком. Это и есть пока что самый основной минус и претензия. 
Наверняка крайне низкий порог вхождения это вина не самого вуза, а приколов с поступлением в этом году. На моем потоке около 100 человек, из которых на начало декабря отчислилось уже более 5 процентов, конкретно из моей группы занятия посещает дай бог половина, такая тенденция прослеживается во всем потоке. Так же, более половины от всей массы студентов на направлении - ребята из Казахстана. К самому факту того, что они оттуда, претензий, разумеется нет, вопросы есть только к их уровню подготовки. Практически все такие студенты обладают околонулевым уровнем знаний по математике, химии, физике и остальным базовым предметам школьной программы, на пары не ходят, особо не учатся в целом. Я долго расследовала причины их нахождения тут и выяснила, что в двух не самых больших городах Казахстана есть &quot;образовательные курсы от НИТУ МИСИС&quot;, при поступлении на которые за некоторую сумму гарантируется поступление ...Показать полностью...в главный московский филиал. Проще говоря - списывают или фальсифицируют результаты вступительных экзаменов. Такая же система с вступительными работает и относительно выпускников колледжей, поступивших сюда. Не могу говорить за всех, но несколько людей лично мне рассказывали, что &quot;на экзамене помогли&quot; или &quot;проверяющие пришли, дали тест, ушли на 4 часа, вернулись, забрали тест&quot;. Я склонна верить и действительно верю, что это правда. Однажды одногруппница спросила у меня: &quot;что значит число в степени?&quot;, тогда это меня максимально ошарашило и выбило и стало очень обидно, что я и остальные ребята из России готовились к ЕГЭ по нескольку лет, а в итоге теперь стоят на одном уровне с такими людьми. Это я все к тому, что поступая на некоторые направления точно не стоит ожидать, что около тебя будут такие же умные и замотивированные на учебу люди, как ты сам.
Но! сам уровень обучения мне показался довольно высоким. 
1. Английский
На первой паре проходит диалог с преподавателем в зуме, на котором выясняется текущий уровень знаний студента. После этого выполняется тест на образовательной платформе, и, суммируя и обрабатывая результаты, людей распределяют на группы, начиная с нулевого уровня и заканчивая С2. Обучение проходит по системе EVOLVE , учебник &quot;by Cambridge publishing&quot;. Лично мне преподаватель досталась не самая приятная, но, тем не менее, обучение языку все таки на довольно высоком уровне. На четвертом курсе в обязательном порядке сдается международный тест IELTS с последующей выдачей сертификата так же международного образца. 
2. Химия
Занятия есть лекционные, лабораторные и практические. В начале семестра так же проводили тест на знание предмета, далее студентов поделили на две группы, &quot;нулевая&quot; и &quot;продолжающая&quot; условно. Официально они А и Б называются. Это влияет на содержание тестов и в принципе требования к студенту. Между группами в течение года можно переводиться, просто поговорив с преподавателем. 
Лекторша у меня замечательная - П****** И.В., в конце каждой лекции приходит милая бабуля-лаборантка и показывает опыты, лекторша параллельно поясняет, что происходит. На практических занятиях стандартное решение задач, на лабораторных сами лабы, защита, контрольные. Оснащение кабинетов отличное, на всех всего хватает, все работает, все всегда чисто и аккуратно. Уровнем по химии я очень довольна, жалко, она всего один год по программе.
3. Математика
Так же стандартный план: лекции и практические, на подвиды предмет не подразделяется, в расписании всегда просто &quot;математика&quot;. Темы лекций чередуются - сначала ангем, потом матанализ и так по кругу. Практические по разным разделам ведут разные преподаватели. Ведут тоже весьма хорошо и доходчиво, всегда помогают и идут на встречу. Если не сдал какую-то контрольную или дз всегда получается договориться и сдать/пересдать в назначенное время или даже сразу как подошел с вопросом. Нагрузка не очень большая, все проходится размеренно и в адекватном порядке. 
4. Физкультура
За посещение каждого занятия дается 10 баллов, для зачета требуется 100. При поступлении на секцию (что очень просто) зачет автоматом. И тут тоже все отлично, на парах по физре я хожу на фитнес, кто-то на бокс, кто-то в тренажерный зал. 

Всего предметов у меня в первом семестре 6, так что сказать особо больше нечего. Резюмируя: уровень нагрузки небольшой, преподаватели хорошие, всегда помогут и объяснят что-то, если не понял.

В столовых очень дорого, порция риса 65 рублей, комплексный обед 280. Вкусно или нет - по ситуации. Но рядом с вузом кроме шоколадницы ничего больше нет, так что приходится есть в столовой или брать еду с собой.

Ремонт во всех корпусах свежий и качественный. Повсюду всякие диванчики, кресла, лаунж-зоны. Есть как минимум две библиотеки, но там я почти не была, поэтому сказать особо нечего. В главном Б-корпусе пар почти не будет, пока у меня там только английский иногда. Химия в корпусе К, остальное в корпусах Г и Л, до которых от метро идти от 7 до 15 минут.

По моему мнению, вуз отличный, я рада, что поступила именно сюда. Кстати, есть куча всякого движа абсолютно по всем направлениям и интересам, но об этом лучше почитать непосредственно на сайте вуза)",positive
"


Здравствуйте, я студент прикладной математики и удалось побыть на направлении ИВТ
В общем в иткн ситуация такая: на все направления кроме прикладной математики забивают абсолютно. На ивт каждый семестр вы легко можете получить 4 автомата за семестр, математику там может не гнобят, но все остальное шлак. Сбежав от ужасных преподавателей на ивт в прикладную математику вы более менее обеспечите себе нормальную жизнь, персональную эффективность как предмет придется перетерпеть. Но на втором семестре 3 курса начинается какая-то хрень, вам вкинут предмет КИСУП по 1С. Зачем такой предмет прикладному математику который или программист или математик? Спросите К**** Н.В.. Она постоянно твердит что должен прикладной математик а что нет, наверное она знает лучше как составитель учебного плана. Ну ладно, казалось бы, ну перетерпим мы КИСУП как перетерпели персеф. Да х** там был. На 4 курсе вас будет ждать СУУП. Копия КИСУПА но с другой системой в виде галактики. Зачем прикладному математику 2 абсолютно одинаковых экономических предметов с 12 лабами на каждом? Спросите всю ту же К**** Н.В. Она как раз будет вести ещё один бесполезный предмет, где в самом начале она говорит что это предмет не для...Показать полностью... математиков и программистов, а потом будет вас гнобить что у вас в презентации формул нет, вы же прикладной математик! Это все можно было перетерпеть на первом курсе(как это и терпелось собственно). Студент не работает, куча времени, пока ещё притерпишься. Но на 4 курсе терпеть такую х**ню уже просто не хочется. ",negative
"


Не советую поступать в этот ВУЗ, а именно институт ЭУПП (менеджмент, государственное и муниципальное управление, бизнес информатика и торговое дело) 
Начнём с того, что вплоть до 3 курса все направления изучают предметы направления «Экономика» и только на 3 курсе идёт профильное распределение, где вы не факт, что попадёте на желаемое, если вы не не отличник. Помимо этого у Вас будут предмету по типу Химии, Физики, электротехники и металлургии по которым преподаватели будут требовать хлеще, чем на профильных предметах. Кстати в этом вопросе администрация никак не отреагирует на ваше обращение (писали неоднократно всем институтом). Кроме этого неравномерное распределение курсовых работ. 1,2 семестр их нет, в 3- 3 курсовых, в 4 ни одной. 
Не знаю, как обстоят дела на других направлениях, но ЭУПП - простая попытка университета привлечь студентов из-за относительно низкой стоимости обучения. До практики не доучилась, но насколько знаю проводится она на заводах.
Обучение происходит по старым советским учебникам, некоторые преподаватели ставят зачёты за наличие их книги (по профильным предметам кстати)
Переводили меня в другой университет почти 2 месяца, поскольку работники студ.офиса и а...Показать полностью...дминистрация  не отличаются особой организованностью и расторопностью. Я перевелась на то же направление в другой вуз с разницей 14 дисциплин, что составляет почти 1 учебный год. ( год = 18 дисциплин)
Из плюсов: хорошо организованная и активная студенческая жизнь и обилие организаций. Но большинство из них не являются  официальными=не воспринимаются университетом. Хороший ремонт, но только в главном здании. Свежий ремонт в общежитии М-2, насчёт остальных не в курсе. 
",negative
"


Я - студентка данного ВУЗа, учусь на специальности Лингвистика ( бакалавриат )
Хочу начать с плюсов обучения в университете, тк их намного больше, чем минусов:
1) Сам ВУЗ находится в 1 минуте от метро и в 1 минуте от Парка Горького. Ремонт новый, красивый, потолки не падают, краска нигде не отваливается, лифты новые. Еда в столовой отличная по соотношению цена-качество. В самом университете на каждом этаже ( всего их 11 ) стоят вендинговые аппараты с едой и напитками. На -1 этаже есть небольшой прилавок с едой и столовая. 
2) Преподавательский состав и система обучения. У меня и у моих подружек с других групп хорошие и понимающие преподаватели. Уровень английского и второго языка на выбор ( испанский/немецкий/французский ) действительно на очень высоком уровне. Удобная платформа &quot;канвас&quot;, на которой можно посмотреть все баллы/дедлайны/связаться с преподавателем и тд. В МИСиС 100-балльная система. В течение семестра за работу на парах и за домашние задания нужно набрать 70 баллов, и 30 баллов за экзамен. Экзамены действительно проводятся по пройденному материалу, подготовиться к ним возможно, преподы не валят и помогают ( морально:) ) 
Каждые полгода проводится опрос среди...Показать полностью... студентов о преподавательском составе, где можно анонимно оставить свое мнение о преподавателях и, если вдруг что-то не так, попросить сменить. 
3) Студенческая жизнь. ВУЗ предлагает кучу секций и кружков по интересам - танцы, хоккей, теннис, литературный кружок, плаванье, КВН, киберспортивная организация, сценическая речь и много чего еще
4) Расписание. Расписание выстроено так, что у нас 3 выходных в неделю. У нашей группы это были пятница, суббота и воскресенье. ( каждый семестр это, понятное дело, меняется ). А также очень интересная вещь, которая начинается со 2 курса -ИОТ ( Индивидуальная Образовательная Траектория ) - вкратце, ты сам выбираешь себе преподавателя и делаешь расписание, а так же выбираешь дополнительные предметы на выбор ( например, История британского кино/Политология/Социология и тд )

Минусы, которые можно назвать просто недочетами:
1) Очереди в лифт. Наш факультет находится на 10 этаже, и чтобы успеть на пару, нужно вставать в очередь в лифт минимум за 15 минут. Лифты едут долго и останавливаются на каждом этаже. 
2) Короткие перемены. У нас нет перемены на обеденный перерыв. Самая длинная - 15 мин. За это время ты успеешь спуститься на 1 этаж, выйти на и пулей покурить. Обратно на пару ты, скорее всего, опоздаешь
3) Сначала мне это показалось прикольным, но в течение времени я поняла, что это очень неудобно - когда мы занимаемся только нашей группой, мы сидим в небольшой кабинете, где нет парт, а к стульями просто прикреплены мини-столики ( как в американских школах ). На этот стол помещается только тетрадка, ручка все время скатывается",positive
"


Учусь пока только на первом курсе, но скажу, что проанализировала за это время). 
по предметам:
превосходный уровень  английского 
сильная химия
информатика зависит от преподавателя (например у меня был отличный опыт с С*******, но и ужасный с Ш******)
очень требовательная преподавательница по истории, хотя ведет свой предмет превосходно и хорошо его знает  ( М*******)
достаточно хороший уровень математики ( если повезет с преподавателем, КОНЕЧНО)
минусы
лично  меня, человека, который пришел изучать физику с химией, предметы такие как информатика и инженерная графика очень напрягли, так как много времени и усилий тратится на ненужный мне предмет.

очень трудно не слететь со стипендии, меня лично подвели математика и химия 
и отдельным минусом является КРОХОТНАЯ стипендия ( не выдам)))) конкретную сумму, но это менее 2к)

хоть мне и не с чем сравнить, но  В ЦЕЛОМ меня все устраивает) люблю свой унив",medium
"


Когда хотела поступать сюда, читала очень много отзывов. P.s.- самый содержательный - положительный об ИНМиН, где человек, который его писал, цензурит фамилии, найдете
Так вот, что я скажу
Возможно, мне повезло с преподавательским составом, но я просто в восторге
Кафедра неорганической химии - квинтэссенция замечательных преподавателей, которые всегда тебе помогут и все объяснят.
У нас чудесные преподы по математике, однако один раз была неудачная замена(Д********), который не вел от слова совсем и который, судя по слухам, легко поддается коррупции
Историчка(М*********) долбит и правда хуже чем на истфаке мгу(хотя она с истфака мгу))))
В остальном все отлично
Сразу предупреждаю: если хотите не 3, вам придется заниматься. Очень много заниматься
Идз огромные, материал очень сложный
Насчет науки: мне удалось без особых проблем попасть в чудесную лабораторию с действительно заинтересованными научными руководителями, так что все отлично
Этот универ для тех, кто сам действительно хочет и готов учиться. Кто сможет спать &lt;6 часов в сутки и не выгорать. 
Ну и многое от везения зависит
Но химию вы тут точно полюбите:)",positive
"


Всех приветствую. В данный момент обучаюсь в другом вузе, так как &quot;эффективное&quot; обучение в данном высшем учебном заведении - ни коим образом нельзя определить. Начну издалека. Когда встал вопрос, в какие университеты России подавать документы, данный вуз рассматривал ся мной, как запасной парашют, на случай, если не пройду в другие вузы. Сразу хочется подменить один неотъемлимый, присущий данному заведению-отличный маркетинг. Картинка, которая предстаёт перед абитуриентами, и что их ожидает в действительности, что-то с чем-то. В итоге судьба подкинула мне такой исход - попадание в данный вуз. Касаемо Преподавательского состава, он, на мой взгляд, является достаточно компетентным, но они одновременно являются и заложниками сформировавшегося бюракратизма. Для вуза предпочтительнее представится в ярком свете, ибо это наполняет бюджет, вместо того, чтобы хотя бы обновить операционные системы в компьютерных классах. Что касаемо административного аппарата, это превращается в занимательный экшн. Для того, чтобы собрать необходимые подписи, необходимо вызывать участников-&quot;битвы экстрасенсов&quot;, дабы найти нужного человека.
Что касается занятий, то весь материал предлагает...Показать полностью...ся в виде примитивных презентаций.
Если делать акцент на общежитие, то честно говоря, сложно было представить, что при такой политике, который ведёт вуз, будут такие крутые общежития. На мое удивление, в год моего заселения,был произведён ремонт, комнаты в пригодном и обустроенном состоянии, приятно удивила - кухня. Касаемо студенческой жизни-в принципе насыщенная.
Ещё в добавок, данный университет, везде ставит ЯРЛЫК-НАНО,по из мнению, МФТИ, МИФИ - тихо курят в сторонке.
В общем, подводя итог, можно сказать, что вуз больше оперирует подменяемыми фактами, которые, являются лишь пеленой от действительности.
Спасибо за внимание ",negative
"


Очень плохие воспоминания об учебе в этом ВУЗе. Начиная с ехидстства злорадных преподавателей, которые студентов ненавидят и открыто об этом говорят. И заканчивая тошнотворными просроченными отходами, которыми кормят с столовке, после которых все выходят оттуда с инфекционными гастритами и прочими расстройствами жкт.
Обучают по советским учебникам, как будто ничего не изменилось за это время в науке. То что нужно в современном мире для работы - этому не научат. Все осталось там на уровне знаний СССР. Дальше темный лес.
Очень жалею, что когда то выбрала этот вуз. И это лучшие годы? нет, Боже упаси, это 5 убитых лет жизни.
При этом сами студенты отвечают тем же, ненавидят этот ВУЗ. Вот вам правда. Ненавидят его практически все, кто там учился, и как правило не советуют своим знакомым, братьям, сестрам.
Будьте осторожны, в столовках МИСИСа вас ждут такие инфекции: хеликобактер пилори, золотистый стафилококк, кишечная палочка и т.д. , которые трудно поддаются лечению. Проверено на своей собственной шкуре. ",negative
"


Из плюсов обучения в этом вузе могу выделить лишь:

1. Огромное количество различных кружков и секций. Например, я ходил на спортивное программирование, что разрешало мне не ходить на физру. Еще есть лига разработчиков, правда там учат в основном только веб-разработке, но некоторые уже находили работу после первого-второго курса.

2. Большая стипендия для БВИ или егэ 260+, но только на первом курсе.

3. Неплохой английский (по сравнению с другими вузами).

Минусов довольно много.
1. Контингент учащихся. Не буду говорить за всех, но в вузе учится огромное количество людей разных национальностей с разными культурными ценностями и уровнем образования. Из-за этого происходят частые конфликты между студентами.

2. Коррупция. На ИТАСУ (прикладная математика)  ходили слухи, что можно за деньги закрыть матан. Точно известно, что можно получить зачет по физре за взятку. В других институтах (особенно горный) и кафедрах все намного хуже. Ходят слухи, что в некоторых местах можно купить абсолютно все, а где-то даже открыто берут деньги со студентов.

3. Низкий уровень подготовки по математике. В принципе, этого стоит ожидать, потому что вуз все-таки в первую очередь ориентирован на материалове...Показать полностью...дение и металлургию. Есть хорошие преподаватели, есть не очень. Но все равно по сравнению с другими вузами (миэм вшэ, пмпу/матмех спбгу) уровень намного ниже. Лекции ведут отвратительно, особого контроля знаний нет: пара контрольных за семестр и все. Никаких коллоквиумов и проч.

4. Отсутствие военной кафедры. После выпуска вами придется либо искать у себя болезни/деньги, либо идти служить. С магистратурой в итасу все не очень хорошо, моего направления (или смежного) здесь нет.",medium
"


Окончила бакалавриат и магистратуру в этом вузе, а на данный момент обучаюсь в аспирантуре. Хочу сказать, что многое зависит от самого студента и его желанием учиться. Есть преподаватели очень требовательные, которые дают хорошие знания. За все время обучения не было случаев, чтобы преподаватель специально &quot;валил&quot; дабы лишить всех стипендии. А вот требование хорошего уровня знаний - было и те кто не дотягивал, сами сваливались. Стипендии есть и действительно хорошие, нужно уметь их получать. Если ты учишься на 4 и 5, участвуешь в каких-то общественных мероприятиях , то пишешь заявление, собираешь подписи с научника, руководителей кружков (спортивные - творческие) и стипендия может быть приличной. Я получала по 15 000 - 20 000, за науку и помощь в организации конференций. Кружков очень много от танцев и робототехники до тур клуба с походами в горы. На море ездила бесплатно 3 раза, 1 раз на Байкал. До сих пор вспоминаю эти поездки, как лучшие дни студенчества. Начала работать в вузе с 3-го курса и успешно совмещала с учебой. Живу в доме-коммуны (считается лучшим общежитием) и абсолютно довольна 7-ю годами жизни в Москве благодаря этому вузу. Поэтому еще раз повторюсь, что многое зависит именно от вас!",positive
"


Не постарайте.  Или поступайте. Дело ваше. Вуз ни о чем. Вся реклама - пустые слова. Забабахали ремонт и считают, что повышать уровень образования не надо. Преподам практически всех глупобо наплевать на студентов. Читают свою лекции, получают три копейки и идут с миром. Здесь студенты - утопающие, так что спасение - это их личное дело, по мнению всего педогагического состава))) &quot;очень удобные электронные системы&quot; тому доказательство. Хочешь книгу получить, ой простите ее нет, а электронной библиотеке нет, хе, живите, учите как ходите. Баллы за семестр не узнать никак, только в конце семестра, когда положение уже не изменить. Бумажних зачеток нет, а в электронные могут даже до начала учебы ничего не проставить. На экзаменах происзодит Охота за ведьмами, каждый препод будет кружить вокруг тебя с желанием улечить за списанием. Ну такое на самом деле. Полнее неуважения студентов происзодит повсеместно. Мы для них - финансирование и не больше. Не, есть хорошие и отличные преподы, но их единицы. Студактив откровенно неприятных народ. По-моему туда берут только за то, что ты мразь. Нормальному человеку туда не попасть, а нормальный даже не захочет этого. 
Короче, не вуз, а помой...Показать полностью...ное ведро. Все, что могло пойти не так - пошло. Если ничего не ждать, то может зайдет. А я тупой воробушек и клюнул на рекламу. Поступать или нет - выбор ваш. Но если я мог вернуть время назад, то не стал бы даже думать о поступлении сюда. Учусь уже долго, переводиться смысла нет. Желаю удачи с выбором вуза.",negative
