Text,Mark
"


Отучилась в этом вузе год, после чего отчислилась и поступила в другой, увидев довольно сильный контраст.
Если решили поступать сюда, то будьте готовы к тому, что корпус, где находится приёмная комиссия - не то место, где вам предстоит учиться первые два года. Да, зданию на Авиамоторной тоже далеко до идеала, но оно хотя бы не напоминает хлев, в отличие от корпуса на Октябрьском поле. Серьёзно, это тихий ужас со стремными аудиториями, во многих из которых деревянные окна и проблемы с отоплением. Но ладно, в вуз ведь в первую очередь приходят, чтобы учится. Хотя и с этим все не так однозначно. 
Знания, как таковые, здесь получать по большей части придётся самостоятельно. С самого первого дня зачисления первокурсникам твердят о том, что вышка - это выбор и учится они должны сами. С одной стороны, звучит, как правильная мысль, но по сути является оправданием пофигизма преподов, которые просто швыряют в тебя методичкой 2000х годов и пускают в свободное плавание. Радует, что при этом и спрашивают не особо строго, хотя разные кадры есть. В общем, кредо вуза: &quot;Вас здесь никто учить не будет, задача препода - только направить.&quot; Такое не очень приятно слышать в любом случае, ибо з...Показать полностью...ачем тогда вообще куда-то поступать, если с таким же успехом можно сидеть и читать книжки дома, но мне было особенно интересно, как люди на платке относятся к таким заявлениям.(если честно, думаю, что никак, ибо, вероятнее всего, в таком случае расходы на обучение покрыввют родители, которые и отправили чела в вуз, и диплом нужен не ему, а мама и папе)
Как я упомянула ранее, хоть преподы знаний и умений особо не дают, они, по моим наблюдениям, хорошие люди, которые будут весьма лояльны к вашей подготовке. Да и в целом вуз довольно халявный, что для кого-то будет плюсом.
Пару слов также скажу о персонале. Деканат, ректорат, приемная комиссия и прочие подразделения, а также осотрудники типа буфетчиц - в основном, все милые зайки, которые вежливо и тактично ответят на любой ваш вопрос и постараются помочь решить вашу проблему. 
Резюмируая свое мнение, в целом, вуз средний, но, на мой взгляд, подойдёт не всем. Если нужно откосить от армии или удовлетворить родителей - весьма хороший вариант. Если же хочется получить не только корочку, но и практические знания и умения, то лучше выбрать что-то другое. ",medium
"


Пишу конкретно про направление реклама и связи с общественностью.
Преподаватели хорошо преподносят материал, есть возможность совмещать учёбу с работой. Если всё вовремя сдавать и учить, то проблем не будет. Советую тем, кто хочет и работать, и окончить высшее одновременно. 
Единственное здание университета на Октябрьском поле, конечно, требует ремонта, но 4 этаж, где находится данный факультет выглядит неплохо. Если особо не обострять на этом внимания, привыкнуть можно. 
Главное, не забивать на учёбу, приходить, отмечаться, тогда тебе уже пойдут на встречу, если будут какие-то проблемы. Преподавательский состав высококвалифицированный, в основном средних лет, что радует. Также есть возможность участвовать в различных конкурсах по будущей специальности, сами преподаватели предлагают, и если нужна помощь, то всегда отвечают и помогают корректировать.
Всё, чему нужно научат, если сам будешь работать.
Про устройство на производственную практику.
После прохождения мне предложили постоянное место работы, что очень радует) Дальше уже дело выбора. Всем удачи!",positive
"


Хочу предостеречь ребят. Если ты думаешь что поступаешь с информатикой и будешь учиться программированию, ты категорически ошибаешься. 
Много математики. Очень много физики. В каждом семестре 1-2 тупо бесполезных предмета а ля социология/этика/право.
Половина преподов ничего не объясняет, но требует будь здоров. Нормальных предметов по программированию будет мало, максимум 1 на семестр. 
Сам корпус старый, находиться внутри крайне неприятно. Оборудование в лабораториях кстати тоже старое, работает с большими погрешностями. 
Деканат вообще не работает. Инфа о экзаменах приходит за пару дней до самого экзамена. Препод может просто не придти на пару, и никто не знает где он. Особенно обидно если ехал ради этой пары 1,5-2 часа в одну сторону.
Общаги то же говорят не очень. 
Впринципе если ты не шаришь и пропускаешь пары, вылететь легко и просто. После 1 сессии минус треть потока. К выпуску от группы останется половина дай бог. 
Из плюсов: если излвочиться, можно любой предмет более нормально сдать. Хотя реальных знаний ты энивей не получишь. Собственноручно скатывал на экзаменах. С минимальными знаниями флудил преподов на зачетах. Да и автомат почти по каждому предмету получить вполне реально. 
Больше плюсов не вижу, программировать в итоге учился сам, и пропуская половину занятий со 2 семестра из за работы и стажировок, умудрился это чудо закончить. ",negative
"


Устал читать про якобы “проблемы” вуза, поэтому немного горя пишу отзыв, заранее извиняюсь:
1.Поступление. Подать документы можно онлайн, что плюс для тех, кто далеко живёт или просто лень, но заполнять нужно довольно много полей и сканировать документы, а так удобно, подал документы, день-два видишь себя в списках
2.Корпуса обучения. Главное здание само собой б**** лучше, с красивыми лестницами, памятниками и т.д., во втором здании новые парты, доски, компы там не титаны конечно, но сделать на них то, что от вас просят вполне возможно, тем более что там вы будете учиться только первое время и то не всегда, бесит большое количество старой информации и фоток, которые я не застал, давно уже всё по-другому ребят, мне кажется многие вузы изменились со времен обучения наших родителей, фух, накипело. 
3.Касаемо обучения можете забыть первый курс про работу, само собой это не относится к заочке и это вообще другая история, но на дневном нужно будет привыкнуть, сам со 2 курса начал работать, хотя хотел и с 1, но времени не хватало. Преподаватели разного возраста 30-70, совсем в возрасте есть, но немного, есть как хорошие, так и не очень
4.Платка есть, у меня в группе платников было немного...Показать полностью..., в других группах больше, по цене не жаловались, вроде довольна низкая для Москвы, преподы к ним относились также, как к нам
5.Хороший актив, нашёл тут много друзей, часто зовут на всякие мероприятия, но это уже сами решайте кому плюс, кому минус
6.Нет парковки для студентов и обычно встать с утра в будни здесь проблема, лучше уж на метро, но не в час пик, на Авиамоторной обычно дикие очереди
",positive
"


Вуз не без минусов в виде определенных сложностей с предметами на первых курсах, их в основном все и недолюбливают, но плюсов намного больше, например, дружное коммьюнити, много интересных предметов на старших курсах, например, работаем с продуктами кода безопасности, это и Secret Net и программные модули от других компаний Dallas Lock, от таких предметов вообще в восторге!! А не от дурацких маятников и типо того, как вы поняли, из минусов это ненавистная мной физика и всё что с ней связано, но с другой стороны на что я рассчитывал, идя в технический вуз, мечтать не вредно, как говорится. Отдельное спасибо преподавателям Г*********М.Г., С******* М.С., действительно любят свой предмет и заряжают этим студентов. В этом году делали ремонт, организовали везде лавочки или диваны, оформили стены - граффити, сделали новые спортзалы, делают много опросников по улучшению качества работы вуза, так что я верю, что у нашего вуза огромный потенциал, советую вузу ещё делать больше мерча, мне кажется это хорошая реклама, ну и студентам приятно) В целом советую на 80%, так как всегда есть к чему стремится",positive
"


Отличный ВУЗ для инженеров, программистов и специалистов информационной безопасности, многие преподаватели на старших курсах — это сотрудники крупных компаний, к примеру, были преподаватели из Касперского, Финтеха, Ростелекома и других компаний, на данный момент обучение проходит в смешанной формате, часть пар очно, часть дистанционно, дистанционно – лекции, где и людей много и не требует личного присутствия, если же это лабы, то конечно очно, так как нужно оборудование, да и считаю лабы самые полезные пары в вузе, чистая практика, так сказать. Что касаемо жилья, у МТУСИ 3 общежития, два на Авиамоторной они коридорного типа и одно блочного типа на Октябрьском поле, само собой в блочный селят олимпиадников и высокобальников, но общежития на Авиамоторной не сильно хуже, новый коридор, окна и двери, сами комнаты довольно большие, по сравнению с моими знакомыми из других вузов, у них и комнаты меньше и живут по 4 человека, тут по 3 в комнате, если повезёт, то по 2, стоит недорого около 1300-1500 в месяц в зависимости от общаги и находится в 10 минутах от кампуса, рядом всегда столовые со средним чеком 220 рублей за полноценный обед, первые два года обучения будут в основном на Октябрьском поле, на 3 и 4 курсе полностью на Авиамоторной, так что учитывайте, если будете снимать квартиру, надеюсь мой отзыв поможет юным абитуриентам)",positive
"


Поступил недавно, не выдержал, ушел с 4 семестра, да еще и после академа, думал &#039;отпуск&#039; поможет справиться внутренне с бредом внутри этих стен, ага, конечно.
Древнее здание на ОП, отвратительный ремонт, холодно, сыро, заброшенная больница будто. Преподаватели - им уже пора на вторую пенсию выходить, бессмертные люди, долгожители планеты, не иначе.
Сдадите вы экзамен или нет - зависит от настроения. Все покупается, вопрос цены. ЛЮБОЙ преподаватель покупается.
Решил уйти по причине отсутствия каких-то релевантных знаний. Преподают по старым методичкам, информация совсем неактуальная. Вступал в дебаты с более &#039;молодыми&#039; преподавателями - бесполезно. Такие же дурачки без опыта и практических навыков. Понял, что ловить тут нечего и ушел в свободное плавание. Чему-либо релевантному вас здесь не обучат, ровно как в школе: держи кучу информации, как ты ее усвоишь или пригодится ли она тебе - твоя проблема. Просто набор бесполезностей, не более. НИЧЕГО из этого ВУЗа не пригодилось по жизни, хотя и работаю на топовой позиции в крупной компании. Вообще ни-че-го.",negative
"


Учусь в данном учебном заведении уже 2 год, изначально планировала поступать на заочный бюджет (срок обучения около 5 лет). Так как поступала после колледжа, то была возможность пойти на ускоренную форму обучения(срок обучения 3,5г). Конечно же, в приоритете был второй вариант, тем более, что один диплом у меня уже есть. + В том, что на основе диплома можно сдать вступительные и НИКАКОГО егэ. К вступительным готовит сам вуз, можно записаться на них, в месяц выходит не так дорого.

На протяжении всего обучения в универе проводится множество интересных мероприятий даже для заочников.. Жаль только, что нет времени посещать такие мероприятия. Тем не менее прекрасно получается сочетать работу с учебой, так как занятия на моем направлении проходят по вечерам. ВУЗ кстати расположен недалеко от метро, поэтому добираться удобно. Вовремя сессии предоставляется возможность взять оплачиваемый учебный отпуск, поэтому сессию сдаю спокойно, без лишних нервов. 

Что касается обустройства ВУЗа, когда поступала были деревянные окна, старые пошарпанные аудитории и коридоры. Сейчас ВУЗ реабилитировался: поставили пластиковые окна, отремонтировали большую часть помещений, стало более уютно что ли. Стен...Показать полностью...ы теперь тематически раскрашены в фиолетовые оттенки, появились скамейки (можно почиллить между парами). На самом деле первый год меня не особо волновало внешняя составляющая вуза, потому что куда важнее преподавательский состав, а на заочной форме( как и на очной по-моему) он довольно сильный. На экзаменах спрашивают по факту того, что проходим в семестр(главное выполнять учебный план и регулярно посещать занятия).

Претензий к МТУСИ нет, в целом хороший вуз, в котором дают реальные знания (благодаря преподавателям, конечно).",positive
"


Поступать на рекламу не советую никому. Никаких применимых знаний вам не дадут, работе с программами не научат (хотя везде требуется фотошоп, битрикс, где-то даже 1С). Про маркетинговую стратегию вы будете слушать несколько лет, но смысла в этом никакого не будет, так как реальной практики вам не дадут. Кафедра рекламы находится на Авиамоторной, а учитесь вы на Октябрьском поле... И не надо говорить про то, что в ВУЗе студент учится сам. Тогда за что он платит 800 тысяч за 4 года обучения? И за что получают зарплату преподаватели? О них кстати, отдельно. Можете посмотреть их &quot;научные статьи&quot; и оценить их уровень подготовки к преподаванию на сайте. Некоторые получили бакалавра рекламы в 2017, и сразу же начали преподавать. Просто отлично! Заставят писать курсовые работы только про операторов связи или почту, как думаете почему? Потому что преподаватели только в этом и разбираются. (см. диссертации и прочие работы) Некоторые преподаватели (не буду называть имена) с открытым презрением относятся к студентам, хотя нас и не особо много. Выдержать конкуренцию с выпускниками-рекламщиками других ВУЗов вряд ли сможем. Из преподавателей только А. Р. идёт навстречу студентам и имеет...Показать полностью... реальный опыт работы по специальности. Большая часть &quot;образовательной&quot; программы заточена под операторов связи и только о них идёт речь... При том что, видимо, их не волнует что помимо МТС и Ростелекома есть и другие заказчики на рынке рекламы. Советую всем как можно раньше искать другой ВУЗ и переводиться. ",negative
"


Отвратительный вуз, бегите отсюда. Подчищают отзывы. Научиться программировать здесь нельзя. Доисторическая система образования. Деканат и управление это вообще отдельная тема. Работают на отвали. Ж.А. (или кто она там) еще та стервозина. Какая должность у нее не знаю (что-то с культурной жизнь вуза связано). Так она себе позволяет оскорблять студентов. Никакой субординации. Человека нельзя допускать на такую должность. Ее видимо чем-то жизнь обидела, поэтому она так и отыгрывается на ребятах. Наслышана о многих ситуациях. Просто помойка. Второй корпус на Октябрьском поле вообще  бомжатня. Поступила на бюджет. Никто при поступлении даже не упомянул, что будет на ОП в другом корпусе. Там вечно зимой холодно ( в куртах тусим), а летом дикая жара ( окна в некоторых аудиториях древние, неоткрываются даже). Учусь на отлично. Стипендия 2600. Смешно просто. А про общаги с тараканами вообще молчу.  Про подкупность уже наслышана. 
Решила забрать документы и перевестись. Позвонила в вуз, спросила, где можно получить справку о периоде обучения. Меня отправили на Авиамоторную. Приехала, там мне сказали, что на ОП надо. Я такая оокеей. Приехала на ОП, заполнила. В течение 7 дней ее сделали. Я п...Показать полностью...озвонила и спросила, могу ли её забрать. Сказали, да, приезжайте. Приехала из другого города, А ЕЕ НИКТО НЕ ПОДПИСАЛ. Я же специально позвонила и спросила. Могу ли я ее забрать. Тащилась столько времени туда. Это треш. И там постоянно такая дичь происходит. С переводом похожая история была. Еле как забрала свой аттестат. ",negative
