Text,Mark
"


Я перевелась из данного заведения после двух лет кропотливой учебы 24/7. Причины отчисления - устала чувствовать себя дерьмом. Половина преподавателей будто играют в игру кто больше унизит и морально задавит. Ну обо всём по порядку) 
Пришла на фф я с хорошей олимпиадной базой, однако уже на первых лабах поняла, что это не мое место. Лабы это отдельная боль, тут от твоего лаборанта зависит абсолютно всё. В целом в учебе на Физфаке значительную роль играет везение - у кого-то месы принимают по 3 часа, у кого-то за 5 минут, с лабами также. Методички к лабам написаны абсолютно нечитаемым языком и из них еще нужно догадаться, что требуется сделать. Отношение многих преподов на уровне - вы изначально должны всё знать. Одно гарантирую - научитесь терпеть ор мужиков средних лет. 
У знакомых были некомпетентные преподаватели, которые занимались откровенным буллингом студентов. Женоненавистники, обиженные на жизнь и прочие зайки тут в избытке. Мне с этим +- повезло, семинаристы были норм и даже отличными. Лабщики вот тихий ужас, урод уродом, естественно, моральным. Сдачи 3 часа подряд, доп пары и прочие прелести, хороший лаборант попался только на 4 семестре, но там была не только оптика, но...Показать полностью... и рэл, по рэлу был просто финальный босс всех ужасных лабщиков, который не только спрашивал лютую дичь, которой не было ни в доп литературе, ни в методичках, требовал досконального понимания всех схем, установок, легко мог спросить какие-то табличные данные, которые кое-как находятся на 3 странице гугла, но и в довершение всего домогался. С этой темой в НГУ всё плохо, максимум можно добиться смены преподавателя, но для этого нужно пройти огонь и трубы. Ну и были случаи, когда не делали вообще ничего, ведь такой уважаемый человек не может так поступать, конечно)
Общежитие - даже тут вас унизят, будто преподы с этим недостаточно справляются. Охранники, прочий персонал, не хочу переходить на личности, но говна от них хватало, причем ни за что, люди просто срывают свой негатив на тебе. Да, кстати, новая красивая общага с сайта будет только у студентов, поступивших в четный год, других селят в убожество без ремонта, кишащее тараканами. 
Социальная жизнь - вот тут могу поставить смелые 10/10, нигде больше не слышала о тусовках как на ФФ. Посвящение и медиана - очень крутые мероприятия, состоящие из нескольких разноплановых вечеров, тут и в настолки поиграть, и в лесу побегать, и на коттедже потусить. Единственное, по чему скучаю - тусовки с физфака, правда в нгту, куда ливает добрые пол потока, тоже устраивают нечто подобное, но на уровень ниже. Люди на фф в целом приятные и интересные. 
Поступающим: я не хочу никого запугать или отговорить, это ваш выбор. На личном опыте - в 1 семестре отличились те, кто не потянул/ленился или быстро разочаровался, многие думали, что можно как в школе пропускать занятия, сдавать чуть позже, а когда осознавали масштабы, было слишком поздно. В 2 семестре окончательно отсеялись ленивцы. Остались умные и/или старательные. Я относилась к категории тех, кто просто ишачил без особого глубокого понимания, если следить за всеми дедлайнами, выжить можно, но тут вот что - я всегда сдавала всё вовремя, но от этого количество дел не уменьшалось, на закрытый пробел сразу проходило что-то новое и весь семестр ты каждый день хреначишь нонстопом, буквально нет момента, когда можно выдохнуть. В 3 семестре отвалились те, кто закрывался с пересдачами. В 4 семестре ушли все, кроме олимпиадников (говорю про мою группу, на потоке еще остались простые смертные). 
Пишу все я тут не из обиды, за 2 года учебы у меня не было ни одной пересдачи или тройки, уйти решила сама и ни разу не пожалела. Зато вот истерик и слез было очень много, к концу 2 курса там было крайне мало людей без каких-то проблем с нервами. Я до сих пор не избавилась от последствий - дергаюсь от любого шороха, началось это именно в нгу. В общем, надо оно вам или нет, решать только вам. Если у вас есть хорошая база, вы стрессоустойчивы, готовы к трудностям, хотите развития и любите науку, вам тут будет хорошо. Однако проблемы с нервами были и у тех, кто учился без особых проблем. Я просто поняла, что не хочу больше плакать через день. И больше не плачу)",negative
"


А, точнее, отчисляющаяся по собственному желанию. Решила написать отзыв, может спасу жизнь кому-то, или здоровье кому-то сохраню.

Устала я до смерти от этой отстойной помойки под названием Гуманитарный институт НГУ. Малообразованные преподаватели с апломбом выше крыши, унижения и оскорбления студентов, презрительное отношение к чужакам (кто пришел из других вузов), нулевые знания по итогам обучения… Список можно продолжить.

Жила себе, не тужила. В школе хотела поступать в НГУ, но не хватило пары баллов на бюджет. На семейном совете решили, что буду учиться в бакалавриате там, куда прошла на бюджет, а в магистратуру поступлю в НГУ хотя бы и платно. А прошла я на бюджет в родной барнаульский пед. Учиться было интересно, хотя порой и сложновато. Педагогика-психология в принципе вещи полезные, но мне хотелось чего-то большего. Закончила бакалавриат с красным дипломом. 

Приехала в НГУ. Конечно, читала отрицательные отзывы. Но думала, что это пишут нерадивые студенты. Как же жестоко я ошиблась. Надо было прислушаться, притормозить, подумать. Но нет же, черт попутал поступать в магистратуру ГИ НГУ.

Удивило то, что бакалавры НГУ вовсе не стремятся поступать в свою же магистратуру. Смыс...Показать полностью...л дошел позднее. Ведь читают там по второму и третьему кругу то, что читают бакалаврам, и к тому же те же самые преподы. В этом я скоро и сама убедилась, когда выяснилось, что нам рассказывают то, что в педе мы проходили на втором-третьем курсе бакалавриата.

Поразила и первая встреча с небритым и небрежно одетым &quot;профэссором&quot;. Он так прямо и сказал, что раз уж нас угораздило сюда поступить, да еще и прийти к нему на лекцию, то ему придется тут что-то читать. И начал плести какие-то байки про &quot;великий и могучий&quot; гуминститут. На вторую лекцию мы пришли вдвоем. Он расстроился еще больше и предложил нам конспектировать учэбник, который он нам сбросит в электронном виде. Сбросил. А мы прослезились. Учебник был весьма лохматых годов. Так и проходили &quot;лэкции&quot;: профэссор весьма смотрел в свой смартфон, а мы конспектировали учэбник.

На занятиях другого препода был аншлаг - пришли даже другие преподаватели. Но, бог ты мой, никогда бы не подумала. Обращаться к нему надо было - батюшка! Принципиально обращалась к нему по имени-отчеству. За что меня он и возненавидел.

Русский язык преподавали вальяжная дама, которая не допускала никаких возражений. Когда я сказала ей, что не согласна с ее доводами, она начала орать на меня: &quot;Девочка, тебе сколько лет? Ты хоть понимаешь, что ты поступила в НГУ? Сиди и слушай! &quot;. Мне, между прочим, уже 24. Я совмещала в бакалавриате учебу и работу и никто не позволял так ко мне обращаться. У нас в педе к студентам старших курсов вообще обращаются по имени-отчеству. 

Преподы по литературе - это вообще дно! Даже в моем барнаульском педе были лучше.

Особо следует отметить семинары. Готовится к ним надо по давным-давно устаревшим методичкам, в которых куча опечаток и ошибок. Но спустят сто шкур, если Вы что-то не так поняли. Да еще упрекать будут: &quot;Вы что думаете, НГУ шарага какая-то?&quot;. Другой вариант - искать информацию самостоятельно, но можно нарваться на то, что преподу что-то не понравится в том, что Вы нашли якобы &quot;не там&quot;. 

Сессия - это отдельный вид измывательства над студентами. Вопросы сбрасывают за два дня до экзамена (в лучшем случае). Большую часть вопросов не разбирали ни на лекциях, ни на семинарах. Во время ответа грубо перебивают, придираются к каждому слову. В итоге больше тройки не ставят или отправляют на пересдачу. Особо отличаются этим незамужние ведьмы. Такое впечатление, что ГИ собирает в преподаватели всех неудачников, которые пристроиться в нормальное место не смогли, вот и выплескивают на студентов свои комплексы. В гуминституте НГУ процветает также махровый непотизм и трайбализм.

Дирекция ГИ. Это точно особый филиал этого ада под названием гуминститут. Задиректора не изволит вас, холуев, принимать… А жаловаться есть на что. Существуют некие программы, которые висят на сайте и по которым вас должны обучать. Но что происходит в реальности. Преподы программ в глаза не видели. Преподают, кто что хочет или кто что знает (или думает, что знает). Из полуторачасовой лекции содержательного максимум на 10 минут. Остальное - рассуждения на общие темы, охи-вздохи преподов про хорошую жизнь за Западе, куда их не берут, сказания про свою молодость и прочая не относящаяся к теме ерунда. Кто-то просто зачитывает презентации или заставляет студентов переписывать с презентаций. Есть вообще совки, которые читают лекции по пожелтевшим бумажкам полувековой давности. 

Но это еще что! В гуминституте НГУ до сих пор считают, что самые супер - это Word 2003 и Pascal. Когда я пыталась показать, что есть современные версии Word и есть Python, на меня смотрели как на мистификатора, фокусника или колдуна, которая морочит головы бедным преподавателям.

Цена обучения - особый разговор. Явно завышена по сравнению с уровнем знаний. На вопрос - за что платим? - отвечают: &quot;А тебе имя НГУ ничего не говорит?&quot;

Думала хотя бы год доучиться, раз уж заплатила. Но окончательно добила меня оценка за текст, смахивающий на какую-то проповедь. Препод поставил неуд. За что?! Оказалось, что слова &quot;храм&quot;, &quot;святой отец&quot;, &quot;церковь&quot; и &quot;священник&quot; (хотя они и были в середине предложения) надо было писать с прописной буквы. С какой бы такой радости? Видите ли, я должна была догадаться, что текст этот &quot;духовный&quot;… Ппц!!!

Вывод.

Гуминститут НГУ
д
н
о
ОднакО!

P.S. Вы никогда не задумывались, почему с каждым годом падает количество желающих поступить в гуминститут НГУ? А ведь это открытая информация, которая есть на сайте вуза в разделе &quot;Итоги поступления прошлых лет&quot;. Подумайте, нужен ли Вам такой вуз?

Убедилась на собственном опыте, что если Вы не можете поступить в Москву-Питер или Томский универ, то учитесь на филолога в своем родном городе, будь то Барнаул или Кемерово. Поверьте, образование там нормальное. Если Вы будете стараться, то получите и знания, и нужные для работы навыки. Со здоровьем и самоуважением у Вас тоже будет все в порядке.
",negative
"


Итак, Вы амбициозный выпускник, который усиленно готовится к экзаменам и занимается предметами на углублённом уровне. И Вы хотите поступить в НГУ. (Спойлер: лучше НЕ НАДО) 
Что ж, если все предупреждения прошли мимо Вас, то будьте готовы, что все ваши амбиции и мечты, которые вы пытаетесь претворить в жизнь, трудясь в поте лица, будут испачканы в грязи, а на вашу светлую голову плюнут с высокой колокольни все, кому не лень это сделать (а таких тут много, поверьте). Вы сильно разочуретесь и поймете, что на самом деле вас учили совсем не тому или вообще не учили. Итак, важные составляющие этого ВУЗа, которые нужно знать абитуриенту, но про которые не расскажут на красивом дне открытых дверей:
1) Удача (например, выигранный на посвящении первокурсника /медиане/ другом мероприятии &quot;автомат&quot; по какому-то предмету, или +1 балл к общей оценке по какой-нибудь дисциплине. 
Это всё ОЧЕНЬ сыграет Вам на руку, потому что тут есть преподаватели, которые принципиально никому 5 не ставят, а 5 или даже 4 можно получить только чудом (даже если вы посещаете все лекции, пишите все конспекты вдумчиво, отвечаете на семинарах), будьте готовы к этому /если ещё хотите здесь учиться/) 
2) Препода...Показать полностью...ватели (Да, здесь компетентные преподаватели, но то, как они оценивают труд студента, иногда остаётся загадкой. Что я заметил, так это то, что многое зависит от твоей харизмы/умения говорить и войти в доверие к преподавателю, нежели твой труд, причём это относится как к строгим (зачёркнуто: странным) преподавателям, так и к очень лояльным (спойлер: их тут нет, но они пытаются казаться такими). 
На сессии всё зависит ОТ ТВОЕЙ УДАЧИ ( не от того, насколько хорошо ты выучишь билеты), то есть, если ты попадешь к строгому преподавателю по списку, то можешь мысленно уже идти на пересдачу, а если попадешь к лояльному, то считай минимум на 4 сдал. ) 
3) Контингент (Платники/Бюджетники: нет особой разницы, но преподаватели, опять же, очень любят выпускников ФМШ НГУ, их выделяют таким образом, чтобы поставить &quot;на место&quot; выпусников обычных школ (точнее, опустить их и посмеяться над их глупостью). Вообще, считаю, что в красивые рекламные ролики данного ВУЗа надо вставить слоган &quot;больше всего мы любим ФМШтников, остальные идите лесом, пока не поздно/который у нас как раз есть! :)/&quot;, тогда больше абитуриентов будут делать осознанный выбор, и не пойдут учиться в это место. Стоит отметить, что большинство платников сюда пристроили родители, но есть и талатливые ребята (их много), но после первого семестра они уже не платники. Но ребята здесь очень отзывчивые, всегда готовы прийти друг другу на помощь. Тут реально любому найти себе друзей, и это плюс) 
4) Кампус &quot;мирового уровня&quot; (На самом деле, всë, что вы здесь найдете, это старый ТЦ с дорогим продуктовом магазином, до которого ещё нужно дойти по скользким тропинкам, посыпанных песком. Летом ещё можно жить, но зимой порой дороги не чистят вообще, а по ним ходят студенты. Другой продуктовый находится по дороге через лес. В общежитиях очень много тараканов, травля соответствующими организациями  не поможет от них избавиться. Будьте готовы либо много ходить пешком до магазина, либо заказывать доставку продуктов /доставка и сборка платная, конечно, есть исключения/. В самом НГУ много столовых,есть еще рядом с общагой, но она старая.) 
5) Время (свободного времени у вас не будет. Ни на что. Если Вы хотите жить в этом ВУЗе и учиться хотя бы на 3, то Вы будете целыми днями (да, и в выходные тоже), сидеть за домашними заданиями. )
6) Методичность и методика преподавания (Еë нет, либо же она неадекватная. От Вас уже на первом курсе будут требовать в разы больше, чем где бы то ни было ещë, но ничего вам объяснять не собираются и не будут. Будьте готовы к самообучению и самообразованию, это главный принцип учëбы здесь. Студенты старших курсов даже создают свои курсы для подготовки к внутренним экзаменам по разным предметам /да, платно/). 
7) Разные тусовки (бункер (что-то типо ночного клуба при НГУ в подвале) , медиана, посвяга и тому подобные мероприятия, это, конечно, весело. Если у вас останутся физические силы на существование, то Вы, конечно, можете и сходить в бар с друзьями, или в кафе. Тут не соскучишься). 
8) Обилие различных кейс-клубов (Да, это большой плюс, но в полной мере в них можно поучаствовать на старших курсах, потому что на первых порах будет тяжело совмещать нагрузку. Там Вы сможете найти стажировку по способностям в реальных компаниях, тут всё прозрачно) 
9) Лекции (Часто преподавателям лень писать от руки материал, поэтому вы просто будете &quot;читать&quot; презентации в печатном виде, но есть исключения) 
____________________________
Стоит отметить, что этот ВУЗ не для всех. Помните, что за красивой картинкой рекламы скрывается неизведанное число подводных камней. Да, нет идеальных ВУЗов, да, это ВУЗ со своей историей, да, есть успешные выпускники, но порой ломать жизнь ради работы в науке способен не каждый. Этот ВУЗ заточен на подготовку НАУЧНЫХ КАДРОВ. Если вы просто хотите получить качественное образование без предсмертного надрыва организма, то лучше обойти этот университет стороной. Не стоит смотреть на университет в розовых очках. Даже при должном старании Вы максимум добъетесь 4, если вы, конечно, не Альберт Эйнштейн, потомственный математик ( сын или дочь препода в универе) или если вы не повелитель колеса Фортуны. 50% отчисляются после первой сессии (не самые глупые ребята). Оно вам надо?). ",negative
"


Ребята! 

Хочу Вам рассказать, почему я бросила ФЖ НГУ и перешла учиться в НГТУ.

Я проучилась два года на журналистике в НГУ. Что в итоге? Черные мешки под глазами, смертельная усталость, убийственный кошмар без конца, паралич воли и чувств, зашкаливающий идиотизм и полная утрата смысла жизни. Не случайно журфак гуминститута НГУ называют Факультет Ж*па.

Перешла в НГТУ. Пришла в себя, появилась радость творчества, жизнь наполнилась яркими красками, получила все, о чем мечтала и думала.

Теперь подробности. 

В школе я собиралась стать юристом. Участвовала в конкурсах и олимпиадах, занимала призовые места. Посетила несколько судебных заседаний и познакомилась с ведущими юристами. Но за полгода до окончания школы вдруг осознала, что мое призвание - это журналистика. Рационально объяснить это невозможно. Это было подобно озарению.

Предки столь резкую перемену моих интересов восприняли нормально. Но было необходимо срочно определиться с вузом. Как раз в это время случайно подвернулся День открытых дверей в НГУ. Подробно об этом цирке рассказывать не буду. Кто хочет, может сам посетить его. Проходило оно в духе того, что те, кто не поступил в НГУ - тот лузер. Почему - не ясно. Лузер, ...Показать полностью...и всё тут.

Настораживало два момента. Руководство гуминститута (куда входит журналистика в качестве направления) всячески избегало конкретики при ответе на вопросы потенциальных абитуриентов и их родителей. А студенты ФЖ, приведенные руководством на День открытых дверей, изображали оптимизм и бодро вещали о том, как они тащатся от учебы. Билли Грэм отдыхает! Неформально пообщаться с ними нам не дали под предлогом экскурсии по вузу.

Понятно, что поступить на бюджет практически невозможно. Бюджетных мест мало. И так называемый творческий конкурс предназначен лишь для того, чтобы протащить на бюджет блатных, которые потом делают пять ошибок в слове НГУ. Поступила на платное.

Общагу городским не дают. Разве что из самых дальних районов и то по блату. Я живу недалеко от метро Березовая роща, поэтому приходилось ездить на учебу каждый день. Чаще всего к первой паре. Так уж составлено расписание. Автобус номер 8 ковыляет целый час, если вообще придет. На 35-ю маршрутку сесть утром на Речном - еще тот квест. Потом стиснутой, сжатой и изрядно помятой надо доехать до Академа. Чтобы попасть на первую пару, приходилось из дома выходить в 7 утра. Электричка - не выход. Неудобное расписание. Единственная подходящая приходит на Сеятель в полдевятого. В субботу она, кстати, не ходит. Может быть, вы думаете, что на Сеятеле прямо от порога вы сядете в автобус. Ничего подобного. До автобуса еще надо с полкилометра спускаться по крутому склону, который невероятно грязный осенью и весной и скользкий зимой. Затем от конечной автобуса через заболоченный лесок (в котором можно снимать фильмы ужасов про Бабу Ягу без декораций) пешком до универа, либо от Дома ученых вдоль торгушки по катку. Вечером - квест в обратном направлении.

Новый корпус, который нам показали на дне открытых дверей, прекрасно упакован дорогостоящей техникой. Но это всего лишь показуха, чтобы пустить пыль в глаза абитуре. Потемкинские деревни НГУ. Преподаватели в лучшем случае умеют только листать примитивные презентации. Бывало и так: преподаватель сидел и листал слайды, а мы их переписывали. И так на нескольких предметах два года подряд.

Расписание - кривое и косое. Но это еще полбеды. Хуже всего, когда вы приходите на первую пару и узнаете, что преподаватель не сможет провести занятие в это время и ждет нас в шесть вечера. А по расписанию пары - до полтретьего. Хотя польза от пары нулевая, но есть пофамильная перепись присутствующих. Для отсутствующих - переписать от руки лекцию и показать конспект, иначе экзамен не сдать.

Уровень образования примитивный. На основах журналистики нам зачитывали со слайдов, что такое интервью и что можно отнести к интервью, а что нет. На семинарах мы показывали друг другу приготовленные дома презентации. Сделал - плюс. Не сделал - минус. Но презентацию потом все равно будете сдавать преподавателю. Только уже без плюса.

Часто нас сажали на пары к историкам или филологам. Они там свое специфическое штудируют. Про юс малый и падение редуцированных. Для журналиста это как для коровы седло. Профессиональные журналисты только числятся в списках преподавателей. Но реальных пар не ведут. Их &quot;с успехом&quot; заменяют ассистенты и магистранты. Понятно ведь, какой дурак будет по три часа тратить на дорогу, а потом за копейки проводить пару в НГУ. 

Преподаватели разные. Встречаются неплохие. Есть даже сайентологи и пофигисты. Но некоторые вообще не знают предмет, который читают. Это сразу чувствуется по косячности их презентаций. Куски текста не связаны между собой и часто не относятся к теме лекции. Есть любители порассуждать на общие темы. Или побалакать за жизнь. Преподают и те, кто читает только комсомолку и смотрит НТВ. И считает, что это и есть журналистика. Разницы между электронными и печатными СМИ они не представляют в принципе.

Журналистским творчеством заниматься не дают. Если напишешь что-то о мероприятии в НГУ, надо отдавать текст на цензуру некоей особе из дирекции института. Если там не восхваляется директор института - то шансы на публикацию нулевые. Прикалывали пары по PR. Нам полгода заясняли, что это о том, что надо хорошо писать о месте, где учишься или работаешь. А также о том, какой хороший руководитель. Пиарить его, как нам объяснили.

Природа дала мне ум, хороший литературный стиль и общительность, а в придачу - стройную фигура с правильными чертами лица (простите за нескромность). Но в НГУ это привело к проблемам с некоторыми преподавателями. Один из них - с бородкой и хвостиком - похожий на попа (только без рясы), на занятиях требовал, чтобы я садилась поближе и все пары пялился на меня, тряся бородой и раздевая глазами. Однажды мне это надоело и я сделала макияж в стиле хэллоуин. Тогда он попросил меня остаться после занятия и полчаса втирал мне мораль, что красота - это божественный дар и она должна быть доступна всем. Что он имел ввиду, я так и не поняла. 

Еще один преподаватель почему-то считал, что красивые девушки обязательно должны быть легкомысленными и делал прозрачные намеки. Старые девы и ведьмы, которых тут полно, наоборот, дико ненавидят таких, как я, и отыгрываются, что называется, по полной: занижают оценки, повышают голос на занятии, если вдруг неправильно ответила. Еще скажу вам по секрету, что в НГУ почему-то считаются модными нетрадиционные отношения. Поэтому с виду нормальные парни смотрят только на подобных себе и игнорируют девушек. Девушки отвечают тем же. В принципе я очень толерантна. Но ведь когда-то надо выходить замуж, обзаводиться семьей… А нормальных парней отчисляют, забирают в армию и больше они сюда не возвращаются. 

Окончательно добила меня практика. Нас собрали в шесть вечера. Вводная лекция заняла полчаса. И ради этого пришлось специально ехать полтора часа в городок в переполненной маршрутке и полтора часа обратно. Наша задача на практике сводилась к тому, что нам самим надо было описать какое-нибудь научное мероприятие или взять интервью у какого-нибудь видного ученого. Срок установили месяц. В городке как раз физики проводили конференцию и я выбрала ее. Журналисты на конференции были, но ушли после первых выступающих в буфет. Я пробыла оба дня и взяла три интервью. Написала текст. Отправила руководителю практики. Через две недели получила ответ, что для получения зачета надо текст где-то опубликовать (!). Однако на так называемом инструктаже об этом не было сказано ни слова. Видимо, времени не хватило. Предложила &quot;Науке в Сибири&quot;. Они сказали, что материал устарел, и вручили мне газету, в которой уже был материал об этой конференции. О, Боже, это было нечто! Сперва восхвалялся какой-то академик из Москвы, который в своем приветствии нес такую дикую чушь, что когда публика начала аплодировать, я усомнилась в их адекватности. А потом шел перечень докладчиков с их многочисленными регалиями и темы их докладов. Такое впечатление, что журналист пришел на открытие, потом отправился в буфет на кофе-брейк, а на досуге все остальное списал из программы. А еще меня уверяли, что писать надо именно по такому образцу. Желание работать в такой газете у меня пропало сразу же.

Практику мне не зачли. Отправили на повторку. Кто не знает - это такой способ повторного прохождения какого-нибудь предмета. Естественно, за дополнительную плату. Развод на бабки, одним словом.

В итоге я приняла нелегкое решение и бросила НГУ. Жаль потерянных денег. Но жизнь и здоровье-то ведь дороже.

Надо сказать, что в НГТУ сперва отнеслись ко мне настороженно. Но когда я им показала свои тексты и рассказала свою историю, все же взяли. Можно сколько угодно иронизировать на тему, какая может быть журналистика в техническом вузе. Но, открою секрет: руководство НГТУ, понимая, что отношение к гуманитарному направлению в техническом вузе будет настороженное, постаралось сделать из журналистики конфетку как снаружи, так и внутри. Меня практически сразу же подключили к работе группы, которая должна была осветить поездку губернатора на одно из предприятий Новосибирска. Мне трудно описать тот кайф, который я испытала от такой работы. Я начала приходить в себя. Жизнь стала налаживаться. Учиться было хоть и трудно, но зато интересно и полезно. И, главное, ты понимаешь, что здесь тебя учат будущей специальности в реальном времени с хорошей практической базой.

Обучение журналистике в НГТУ имеет много преимуществ. Дорога до вуза для городских занимает минимум времени. Адекватные преподаватели. Многие просто обожают свою работу и готовы учить студентов. Встречаются чудаки. Но где их не бывает. В шаговой доступности областные и городские СМИ на Маркса, на метро за 15 минут можно доехать до крупных СМИ в районе площади Ленина. Легко совмещается учеба и работа в СМИ. Набирается профессиональный опыт. Активная внеучебная деятельность. Куча нормальных парней с нормальными жизненными установками: получить востребованную специальность, устроится на хорошую работу, зарабатывать деньги для покупки квартиры и содержания семьи. У меня наконец-то появился парень, который пишет для меня стихи и дарит мне цветы. В итоге я смогла получить все и практически сразу. 

Ребята! Поверьте, что в жизни важно получать удовольствие и удовлетворение от того, чем вы занимаетесь. Будь то учеба или работа. Профессия журналиста по-настоящему интересна.

Только выбирайте для себя правильный вуз. Ведь вы этого заслуживаете.

",negative
