Text,Mark
"


Потраченные в пустую полгода жизни или история о том, как я испортила себе начало студенческой жизни.

Я студентка (но на момент публикации отзыва уже нет) 1 курса того самого &quot;классного&quot; и &quot;современного&quot; Широкого Бакалавриата Института Общественных Наук университета РАНХиГС.
Специальность писать не буду ,потому что на первом курсе у всего ШБ хоть ты психолог, хоть политолог одна и та же программа (профильных предметов нет)
Хочу предостеречь ВСЕХ РЕБЯТ которые собираются поступать в ИОН: !!!НЕ ПОСТУПАЙТЕ СЮДА!!!
Весь негатив об ИОН&#039;е- чистая правда.Сейчас объясню почему.
Текст будет очень большой, но я настоятельно рекомендую ознакомиться с ним всем абитуриентам.Я бы многое отдала ,чтобы в свое время наткнуться на подобный, а не на липовый отзыв, и не поступать сюда.
В отзыве будет написано мое сугубо ЛИЧНОЕ мнение.
Читая отзыв учитывайте , что год такого «обучения» стоит 420 тысяч рублей.

1.Поступление 
Никаких сложностей и проблем не возникло.Все было очень даже хорошо.В ПК старшекурсники рассказали ,как все сказочно и шикарно, и в миг был сделан выбор в пользу данного факультета и ВУЗ&#039;а.
По моим наблюдениям, берут всех и с любыми баллами (на моем п...Показать полностью...отоке были как и 270+, так и ребята у которых меньше 190 баллов)-если ты будешь платить ,то добро пожаловать.
Тех, кто не проходит на бюджет(т,е всех), но имеет высокие баллы за ЕГЭ, заманивают скидками (с которых очень легко слететь уже после первого семестра :))

2. 1 сентября
Как прошел мой первый день в универе?
НИКАК! Мы списались в беседе, встретились нашей группой возле вуза, кое-как познакомились ,а далее были предоставлены сами себе…
НИКАКОГО знакомства с ВУЗ’ом, никакой организации первого дня в универе для первокурсников(как в нормальных универах) не было!
Мы проторчали полчаса в холле, немного посмотрели концерт, а потом от скуки просто разошлись по домам.
Только через 3-4 дня нам провели организационное собрание.

3)Учебный процесс
Хочу выделить следующие моменты:

-Забудьте об учебе в главном корпусе /о комфортной учебе на одной территории.

ЕЁ не будет!!!!
Из моих 6 учебных дней в неделю только 2(и то не всегда!) проходили в главном корпусе на м.Юго-Западная (тот самый красивый корпус, фото которого мелькают во всех медиа)
Был месяц ,когда мы там вообще ни разу не появились.Расписание корпусов всегда плавало.
Остальные дни приходилось мотаться по всей Москве.(м.Таганская,м.Коломенская,м.Шаболовская)
(При поступлении об этом НИКТО не предупреждал, а некоторым, как выяснилось позже ,вообще заявляли ,что все пары кроме физры у нашего &quot;года&quot; будут только на Южке)

Корпуса (за исключением главного) ,мягко говоря, ужасные!
-Коломенская(Садовники)-  самое ненавистное место всех студентов.
Расположение ужасное!
Вокруг сплошная пром.зона и 5 этажки (жаль нельзя прикрепить фото)!Мрак!
Ни одного магазина/общепита в шаговой доступности нет.В столовой невкусно и неоправданно дорого, очереди огромные.
От метро до корпуса идти минут 20-30.
Мой путь от дома до учебы занимал от 1 до 2ух часов с кучей пересадок и комбинаций в виде метро/трамвай/собственный ход. (с учетом того, что я жила не в области ,не на конечной, и в 5 минутах ходьбы до метро).
-Шаболовская.Удаленность от метро минут 15-20 пешком.
Возле корпуса ,в отличии от Садовников, дела обстоят намного праздничней.Есть развитая инфраструктура: магазины, кофейни, скверик, общепиты.
Само здание маленькое и неуютное.Аудитории старые.В коридорах и на лестницах не развернуться 

Из-за ежедневного «путешествия» по всей Москве ,ты чувствуешь себя оторванным от других факультетов РАНХа и от всей университетской движухи.Ну а о том, что это просто кошмар как неудобно и как от этого устаешь ,наверное ,и говорить не стоит.

-Вы поступаете в школу олимпийского резерва с уклоном на иностранные языки.

Физкультура тут-главное, для чего вы сюда поступили.Ей, во время сессии, и без того загруженным студентам приходиться уделять особое внимание и кучу сил и нервов.
Занятия проходят 2 раза в неделю на Коломенской.
Опоздал хотя бы на две минуты?-тебе не дают ключи от раздевалки=&gt; тебя не было на паре=&gt; у тебя Н’ка (и всем плевать, что до корпуса добираться совсем не легко).
Не пришел без справки?-каждое пропущенное занятие надо отработать в отдельный день (очень много ребят с моего потока не закрыли первую сессию из-за этого и на каникулах ходили отрабатывали).
Организация физической культуры вообще поражала.Ей придавали СЛИИИШКОМ большое значение и важность.Все было как-то странно, тупо и нелогично.Занимаешься у одного препода, прикреплен ко второму, зачет ставит третий, который в конце семестра говорит тебе : &quot;А кто ты?Тебя не было весь семестр ,я тебя не знаю!&quot;
Кто-то занимался в бассейне, кто-то в игровом зале.Абсолютно в порядке вещей было проводить занятия на стадионе в дождь или в -15 в январе месяце)).
Я такого не видела ни в одном другом вузе.

НО!Пары по физре можно заменить секциями.
На них записаться тяжело (особенно на те ,которые проходят в главном корпусе).Мест оооооочень мало.
Я чудом попала на секцию фитнес-аэробики, и вместо физры ходила заниматься в фитнес зал в главном корпусе.
Тренировки на этой секции были просто убийственны.Такая неадекватная и чрезмерная нагрузка ненормальна для здоровья молодых девушек!Пахать надо было так  ,будто бы мы великие спортсменки и готовимся к олимпийским играм.
За 1.5 часа нон-стопа между подходами не было даже 30 секунд на передышку!!!!Даже супер спортивным девчонкам часто становилось не очень хорошо во время тренировки.
У меня до сих пор много вопросов к профессиональной компетентности препода.
Когда на одном из занятий мне стало плохо и я вышла из зала подышать свежим воздухом ,ей в мой адрес была выкрикнута фраза: «Зачем ты вообще сюда тогда ходишь?Можешь больше не возвращаться!».
Если у тебя больше двух пропусков за семестр, то начинаются угрозы о том, что тебя выгонят ))
На каждую тренировку я ездила со слезами и через силу, но приходилось терпеть, чтобы не мотаться на физру за тридевять земель.
Нужны ли такие «секции»?Непонятно.

-Иностранные языки:
Главная боль факультета….
На них отводится два дня в неделю: Один очный, второй онлайн.
Второй язык студент выбирает себе сам.

Существует две смены: у кого-то пары с 9 до 13:40, у кого-то с 14 часов до 18:40
Также у кого-то языки на Таганке ,а у кого-то на Коломенской.

Распределение по сменам и корпусам абсолютно рандомное.
Ребята ,которые слезно умоляли перевестись с вечерней смены на утреннюю из-за работы/своих внеучебных дел, получили игнор ,а затем отказ от деканата))

Английский: судя по всему, на самом деле никакого разделения на уровни НЕТ!

Перед началом учебы мы проходили онлайн-тест на определение уровня владения языком.В моей группе оказались как слабые девочки ,которые знают англ на уровне hello и goodbye, так и ребята, которые свободно владеют языком.

Первым было НЕРЕАЛЬНО учиться ,потому что учёба началась не с азов и они просто напросто не могли выполнять задания, а вторым было просто скучно и грустно от повторения Present Simple и Present Continuous 4 месяца подряд.

Второй язык: тут еще веселее)
Всем глубоко……,что ты, скорее всего, первый раз в своей жизни сталкиваешься с этим языком.Уже через 1.5 месяца на модульном тесте от нас требовали перевод текстов ,описания картинок, написания рассказов о себе.При плохом исполнении задания, преподаватели изумленно делали замечания и обвиняли нас в том, что мы ничего не хотим делать.
Лично мне приходилось дополнительно изучать свой второй язык самостоятельно чтобы хотя бы что-то понимать и получать баллы.

Языковые преподаватели, их система преподавания и оценивания оставляют желать лучшего.

Что касается основных дисциплин:
Да, я прекрасно понимаю, что первый год на данном направлении якобы «вводный» но он настолько бестолковый ,что становится грустно…..

Пол курса тебе рассказывают об оформлении списка литературы для рефератов, вы решаете школьную программу по математике ,готовите бесконечные доклады и пишите бесконечные бестолковые эссе.ВСЁ!Ни одного нужного предмета.Чисто 12ый класс школы.
Больше всего внимания и времени во время учебы уделяется никому ненужной физре и вторым языкам!

Единственные два предмета ,которые мне приносили удовольствие это философия и психология.
Только на них я получала реально толковую и полезную информацию!Эти пары мне очень нравились.

Преподаватели по основным предметам, в целом, были хорошие, добрые, понимающие.К студентам всегда относились уважительно.Четко доносили, что им и когда от нас нужно;
Не могу не отметить М***** Д.В.Это лучший преподаватель!!! Его пары были мне в удовольствие.
Но не обошлось и без индивидуумов,как например препод по истории К**** А..Он оценил мою работу, которую мы делали почти весь семестр, на низший балл, бездоказательно обвинив в плагиате(которого априори не было, и анти-плагиат очередное тому доказательство)
Разбираться в этой ситуации он напрочь отказался.Когда я попросила его объяснить, на что он опирался при оценивании моей работы и где доказательства моего &quot;вранья&quot;, он начал смеяться и сказал ,что ничего объяснять он не хочет ,и что &quot;всю правду покажет зачет&quot;. 
После обычного зачета без оценки, к слову, 5 человек пошли на пересдачу).Я чудом этого избежала. Повезло, что знаю предмет.
Кстати говоря, его преподавание ,построение пар ,его отношение не устраивало 98% студентов моей группы.В самом начале семестра мы хотели сменить его(как нам говорили на ознакомительной беседе, у нас есть такая возможность).Но деканат нас вежливо проигнорировал, спихнув все на нашего тьютора, который был максимально незаинтересован что-то решать и слушать наши доводы.

Из плюсов могу выделить только следующее:
1.Внеучебка: Её правда очень много и она классная и разнообразная,на любой вкус.В этом ранх хорош.
2.Хорошее расположение и внешний вид главного корпуса.
3.Есть и правда ооочень крутые,интересные преподы (но их мало)
Всё.

Это лишь 1/10 всех странностей, которые происходили в этом месте.
Я бы могла написать еще очень многое про эту шарашкину контору ,но как мне кажется ,этой информации будет достаточно чтобы понять, что вам такая учёба и даром не нужна.

4 человека из моей группы после первого семестра сменили факультет/ВУЗ.Знаю ребят, которые тоже бы хотели так сделать, но их сдерживают разные причины(например скидки или то, что таких же желающих перевестись на другой факультет пол ИОНа,и в итоге удается это сделать только самым самым)

Несмотря на вышесказанное ,все равно находятся студенты, которых все устраивает.
Для меня остаётся загадкой ,как ТАКОЕ!!!и за ТАКИЕ!!! деньги может нравиться, но тут уже личное дело каждого ,и осуждать этих людей я не могу и не буду.

Вместо счастливой студенческой жизни, о которой я всегда мечтала и к которой стремилась на протяжении 2 лет, я получила море слез, стресса и бессонных ночей.Получила эмоциональное выгорание,гемор в виде перевода в другой ВУЗ и полное отсутствие желания продолжать где-либо учиться.

Итог: Обучение в данном институте АБСОЛЮТНО не оправдывает те потраченные нервы, деньги ,те разочарования которые вы, скорее всего, получите уже на первом месяце обучения.
Здесь все красиво только на словах и на картинках.В реальности все колхозно, неорганизованно и не соответствует действительности.Сплошной обман.
Существует множество других образовательных учреждений, где учеба В РАЗЫ лучше, комфортней, возможно даже дешевле ,так еще и престижней!

Но если вас все же привлекает РАНХ, то рассмотрите другой Институт(факультет).
Я слышала много хорошего про ИГСУ и ИПНБ, но рисковать не стала.Я перевелась в другой универ после первого семестра, чему несказанно рада!

Не портите себе нервную систему и начало студ.жизни!

Удачи Вам!",negative
"


Всем здравствуйте) 
Сейчас я учусь на четвертом курсе Факультета Экономических и Социальных наук РАНХиГС. 
Поступление и выбор вуза, а уж тем более направления и факультета, для меня было довольно сложной задачей, именно поэтому я решила поделиться своим опытом и «спойлер» лучшим решением в своей жизни.
У меня не было цели поступить на бюджет, но баллы были хорошими (240 за 3 экзамена ЕГЭ), чтобы быть уверенной в поступлении на платную основу. 
Про РАНХиГС я слышала раньше, но моей целью изначально был другой ВУЗ. В первый день приема документов, я решила съездить в академию, так скажем «просто посмотреть». Мой уровень осведомленности об этом учебном заведении был на уровне: пролистала сайт РАНХиГС по дороге.
Но, всё пошло не совсем по плану, в этот же день я попрощалась со своим аттестатом…
Меня поразили горящие глаза студентов, рассказывающих о ФЭСН. Конечно я переживала, что это просто красивая картинка, но решила довериться.
Первый курс: приходится быстро вливаться в интенсивную работу. 
Меня сначала удивило количество английского языка, но когда я свободно заговорила на английском спустя полгода, вопросов не осталось. 
Мне всегда говорили, что в университете всем всё равно, но...Показать полностью... это не про ФЭСН. Каждый преподаватель вкладывает максимум усилий и заинтересованности в свой предмет, другой вопрос в желании всё это впитывать. Весь пед.состав очень отзывчив: любой вопрос, дополнительное занятие для тех, кто в чем-то не разобрался, курсы по программированию, они правда хотят дать знания.
С первого курса мы начали участвовать в проектах, что позволило отточить свои навыки на практике. BOSHC, Xiaomi, РЖД - это только малая часть компаний, в проектах с которыми мне удалось поучаствовать. Проектный опыт очень помог при трудоустройстве, тем более обычно после завершения проекта компании предлагают вакансии участникам. Инициативность - один из главных критериев для участия в проекте.
При поступлении я слышала про возможность для лучших студентов (топ рейтинга) поехать учиться в Италию по обмену на полгода. Моё удивление, когда я прошла по рейтингу, невозможно описать словами. Да, я очень старалась, но эта новость была неожиданной. Скажу честно, учеба в Италии не сравниться с моим факультетом. Это очень крутой опыт, но те знания, которые мы получаем на первом курсе, ребята там изучают на третьем. После этой поездки я еще раз убедилась в том, что ФЭСН - это не просто красивое название, а возможности, которые открываются уже во время обучения. 
Ещё одним моим открытием во время обучения в Италии стал тот факт, что второй иностранный я учила не для галочки. Будучи в Испании было очень приятно услышать от носителей языка, что мы говорим без намека на акцент.
Это только малая часть, что можно рассказать про эти 4 года. ФЭСН - это любовь с первый пары.",positive
"


Note: Все нижеперечисленное касается Факультета международного регионоведения и регионального управления ИГСУ РАНХиГС. С другими факультетами ИГСУ я не сталкивался, но могу предположить, что там ситуация такая же. Этого отзыва не было бы, если бы администрация нормально выполняла свою работу.

О поступлении в свой институт я мечтал несколько лет в старшей школе. Абитуриентов завлекают обещаниями предоставлять практики и стажировки в зарубежных ВУЗах-партнерах, в посольствах и дипломатических представительствах, в федеральных государственных структурах. Очень круто рассказывают об уровне обучения и уровне преподавания языков (их на моей программе целых два), о внеучебной жизни. Но по факту всем становится все равно, как только выходит приказ о зачислении. И чем ближе ты к выпуску, тем больше тебя игнорируют.

1. Преподаватели. Начнем с положительного. Преподаватели есть очень неплохие, которые действительно пытаются внести что-то новое и дать практические знания. И их гораздо больше, чем откровенно неадекватных и некомпетентных. Последние могут попасть на кафедру только как приглашенные преподаватели, но не как постоянные, что радует. Отдельно хотелось бы упомянуть преподавателей яз...Показать полностью...ыков и тех, кто ведет предметы на иностранных языках -- это самые лучшие преподаватели, действительно готовые нести новые знания в массы. Можно сказать, что к преподавателям претензий вообще никаких нет, все работают в рамках системы и в рамках того, что им предоставляют административные работники. 

2. Деканат  администрация. Ужасно, ужасно, ужасно. Более некомпетентных, безответственных, непунктуальных и безразличных людей я не встречал в жизни никогда. Старшие сотрудники деканата позволяют себе откровенно хамить, игнорировать, насмехаться. Ни одна попытка решить проблемы административного характера не завершилась успехом, все они были просто проигнорированы. Любой контакт с деканатом - это головная боль, часовое ожидание под дверью и, как итог, самостоятельное решение проблемы, без какой-либо поддержки. Положительно выделяются только младшие сотрудники деканата - т.н. &quot;кураторы&quot;, которые стараются что-то делать, но не могут из-за системы. Остальные сотрудники деканата заняты бездействием или тем, чтобы вставлять палки в колеса. Расписание может меняться за час до пары без какого-либо уведомления. Часто бывает такое, что расписание неизвестно до утра понедельника (обновляется оно каждую неделю). Несмотря на обучение во вторую смену на 34 курсах, деканат все равно ставит пары в 9-10 утра, из-за чего они растягиваются на целый день. Во время сессии может быть 2-4 зачета в один день, при этом сотрудники деканата будут вас уверять, что &quot;вам показалось&quot; (с) и никак на ситуацию не влиять. Помогать вам могут только если вы &quot;хороший друг&quot; деканата и только если вы нравитесь старшим сотрудникам, но часто такая помощь происходит с дискриминацией остальных (как пример - нарочно давать неправильную информацию о переводе на бюджет, чтобы перевелся &quot;друг деканата&quot;, а не достойный студент).

3. Кампус. Мой факультет находится в основном кампусе ВУЗа в Москве на Юго-Западной. Очень аккуратные и новые аудитории, корпуса, хорошие залы, медцентр и спортзал. Есть кафе и рестораны. В этом плане нет никаких претензий, все очень приятно. Даже общага радует.

4. Предметы. 5050. Есть откровенно бесполезные предметы, есть очень интересные с приятными преподавателями, но тут уже дело вкуса и индивидуальности. Скажу только, что рекомендую (если вам все же не посчастливилось поступить) брать предметы на английском - там самые лучшие преподаватели. Немного огорчает метод выбора предметов - факультативы выбирать необходимо даже не группой, а целой ПРОГРАММОЙ обучения, из-за чего вы зависите от людей, которые могут выбирать предметы по собственным критериям, но эти разногласия можно решить лично.

5. Практики и стажировки. ВУЗ их не предоставляет, несмотря на заявленное на сайте и при поступлении. Искать их приходится самим (даже на кафедре). Правила выбора практики непонятны, каждый раз они разные и каждый раз возникают все новые и новые. Все договоры подписываешь самостоятельно, университет никак не содействует в этом. После 1 цикла практики (а их на моем направлении 4 (!!!) пропадает любое желание с этим разбираться и ты просто идешь на кафедру, где выполняешь бесполезные задания в духе &quot;написать эссе&quot;.

Итог: поступать в этот ВУЗ смысла не вижу. За 4 года вы столкнетесь с таким количеством проблем из-за некомпетентности администрации, что любые остаточные знания не стоят этого. Как и во всех университетах, в этом полно бесполезных и ненужных предметов, но есть и очень приятные и интересные с очень крутыми преподавателями. Может показаться, что ситуация не так плоха и можно поступить ради языков - но это не так. Администрация будет вам  устраивать скандалы, истерики, насмехаться, разводить драму и откровенно мешать жить (особенно на 3-4 курсе, когда многие уже работают и вам откровенно не до ребячества), при этом совершенно не облегчая учебу и не помогая. За 4 года обучения вы так устанете от проблем в ВУЗе (которых возникают по 2-3 в неделю), что не сможете больше думать про учебу никогда в жизни.

Не рекомендую поступать в этот ВУЗ ни в коем случае, лучше на эти деньги найти более достойные и интересные программы обучения в других местах, не получая при обучении 2 нервных срыва в неделю.",negative
"


Летом 2022 я окончила Институт Общественных Наук в РАНХиГС по специальности «Реклама и связи с общественностью». Безусловно, это прекрасное событие. Я очень рада, что смогла достойно пройти 4 года учебы и в моих руках теперь есть диплом. Но отзыв будет, к сожалению, не о положительных эмоциях (которые я получила, но в меньшей степени), а о том, что наболело. Думаю, этот пост будет полезен будущим абитуриентам и их родителям. Я очень надеюсь, что после его прочтения вы сделаете правильный выбор.

Итак, начну с самого начала - с приемной комиссии, где все очень красиво организовано: стоят яркие баннеры, раздают мерч, предусмотрено общение со студентами. Все студенты говорят, что учиться на ИОНе очень интересно: можно поменять профиль после первого года обучения, есть много международных стажировок и практик, на 3 курсе есть большой выбор майноров. Кажется, что лучше быть не может! Только в реальности все не так радужно, при том, что цена обучения  немалая -  от 180 до 350 тыс. в год.

Теперь расскажу о том, что происходило в процессе обучения.

1. 1 курс - это 12-ый класс школы. У всех студентов, независимо от выбранной специальности, одинаковый набор предметов: академическое чтение,...Показать полностью... критическое мышление, история, философия, математика, информатика, психология, физкультура и два языка. По задумке, первый учебный год позволяет определиться с Мейджером (основным направлением). На 2 курсе можно либо остаться на специальности, на которую ты поступал, либо перейти на другую. Все здорово, но главный вопрос - как определиться с Мейджером, если на 1 курсе нет никаких профессиональных предметов?! Да, конечно можно посещать специальные мероприятия, где рассказывают про каждое направление. Но разве это помогает?! Из моего окружения только одна знакомая «воспользовалась» этой возможностью. Однако она перешла не из-за достоинств программы, а потому что за первый курс она обрела друзей с другого направления.
2. 1 курс 2 семестр. От этого периода у меня самые неприятные воспоминания. В начале семестра на почту моей группы пришел анонс об открытии групп для изучения некоторых предметов на английском. Поскольку в экономике, социологии и других подобных дисциплинах я не разбиралась даже на русском, я решила не рисковать и отказалась от этого предложения. К тому же, 1 курс - адаптационное время. Я только начала привыкать к академической группе, как нам сообщили эту новость. После отказа от перехода в англоязычную группу я получила следующую информацию: «Деканат принял решение расформировать две последние по счету группы и сделать их англоязычными». По «счастливой» случайности, моя группа была предпоследней. Нам выслали анкету, в которой нужно было указать любые три группы, в которые мы готовы перевестись. Я их выбрала. Но по прошествии нескольких дней меня определили в совершенно другую. Посмотрев на преподавательский состав и поговорив со студентами из этой группы, я поняла, что мне предстоит учиться по другой учебной программе. К такому я была не готова, поэтому попросила деканат все же перевести меня в одну из трех выбранных мной групп. Меня все равно определили в другую. После нескольких учебных дней стало понятно, что в этой группе расхождения в программе огромные. Для решения проблемы мне пришлось обратиться к самому декану. Встреча с деканом помогла и меня наконец-то перевели в выбранную мной группу. Но это еще не все приключения. Когда я приступила к учебе, уже было поздно набирать баллы за посещения и за пропущенные д/з. Некоторые преподаватели пошли навстречу, но большая часть нет. Именно поэтому, во время сессии моя успеваемость скатилась. 
3. На 2 курсе наконец-то начались предметы по специальности. Весь 1 семестр учеба приносила удовольствие.
4. Очередные проблемы начались во 2 семестре 2 курса при написании первой курсовой работы по теме, которую мы не проходили ни на одной дисциплине! Мне повезло, что мне достался хороший научный руководитель, который доступным языком объяснил, что такое интегрированные коммуникации и что они в себя включают. Однако, хочу заметить, что многие мои однокурсники до сих пор не владеют этой информацией. Их руководители не помогли им разобраться с абсолютно новым материалом. Добавлю сюда еще один забавный факт. Предмет «интегрированные коммуникации» все же появился в нашем расписании. Только уже после защиты курсовых, на 3 курсе)))
5. На 3 курсе у нас начались занятия по второй специальности (Майнору). Концепция для российского образования необычная - обучаясь на рекламе можно выбрать архитектуру, конфликтологию, спорт и другое. Я остановилась на «Психологии бизнеса» и уже после первых занятий возник вопрос - как можно стать бизнес-психологом за 1,5 года?! Половина лекций были абсолютно не по теме. Например, «Как стать предпринимателем в подростковом возрасте? Что для этого нужно знать из законодательства?»
6. По моей основной специальности на 3 курсе тоже происходила полная неразбериха. Во-первых, на дисциплине «Управление проектами» мы писали групповую курсовую работу. Данный предмет вел кто угодно, но не профессионалы в сфере рекламы и PR: политики, психологи, социологи и т д. Моей группе досталась молодая девушка-куратор. Из-за ее непрофессионализма, мне и моим напарницам пришлось менять тему курсовой за несколько недель до ее сдачи. Но это - полбеды. На защите наша работа была признана ЛУЧШЕЙ, а по мнению куротора она оказалась ХУДШЕЙ)) Итоговая оценка выставлялась по сумме баллов от комиссии и от куратора, поэтому мы получили оценку 4, а у всех, кто защитил работу хуже нас вышла оценка 5, что, на наш взгляд, несправедливо. Мы обратились к куратору за разъяснением. Она выслала список претензий, которые НИ РАЗУ за время научного руководства нам не озвучивала, хотя это входит в ее обязанности! На вопрос, почему она не говорила этого раньше, она не ответила. Во-вторых, на 3 курсе предмет «Интернет-коммуникации» у нас вел молодой преподаватель, который в течение семестра путешествовал по миру, предупреждая об отмене занятий день в день. Объявился он только за неделю до зачета и задал около 10-ти объёмных д/з, которые мы должны были сделать за 5 дней!!! В третьих, во 2 семестре 3 курса по специальности у нас было только 3 предмета: «Управление проектами», «Интернет-коммуникации» и «Медиапланирование». Однако в 1 семестре 4 курса, когда основная работа студентов - написание ВКР по Майнору, нам поставили 4 серьезных дисциплины: «Антикризисный пиар», «Управление репутацией», «Медиарилейшнс» и «Ивенты». В-четвертых, на 3 курсе нам предложили летнюю стажировку в Барселоне, чему я была очень рада. Из-за пандемии стажировка предполагалась в дистанционном формате. Примерно за неделю до ее начала оказалось, что на уровень В2 записалось всего 2 человека, поэтому группу открыть нельзя. Тогда я попросила поменять уровень на С1 - выяснилось, что туда вообще нет заявок. Организаторы предложили перейти на уровень В1, но этот уровень мне был не нужен, потому что мне хотелось узнать что-то новое, а не повторять уже пройденное. Далее следовал длительный процесс возврата денег, который потребовал неоднократных напоминаний  с моей стороны.
7. Ни для кого не секрет, что многие студенты на последних курсах начинают работать. На 4 курсе у двух моих однокурсниц произошла ситуация, связанная с этим. В начале семестра они поняли, что рабочий график не позволяет им ходить на языковые пары во вторую смену (с 14 до 19 часов). Они обратились в деканат с просьбой перевестись в первую смену, в чем им было категорически отказано по причине, что «личные обстоятельства не являются основанием для перевода».
8. В 1 семестре 4 курса я и мои одногруппники с Майнора должны были защитить ВКР)) Как это сделать - было непонятно. За 1,5 года нам преподавали всё, кроме того, как проводить психологические исследования с использованием математической статистики. А ведь именно это мы и должны были представить комиссии… Мне снова повезло, что я работала с замечательным научным руководителем, которая была на связи 24/7 и которая мне во многом помогла. 
9. На 4 курсе мне потрепала нервы дисциплина «Академическое чтение», которая длилась все 4 года. По мнению руководства ИОН, этот предмет необходим для общего развития, чего я не отрицаю на 1-3 курсах. На 4-ом же курсе эта дисциплина очень мешает написанию основных работ (ВКР и диплома). Оценка в диплом ставится по результатам последнего экзамена. Моей группе досталось философское произведение «Критика цинического разума», с которым, как потом оказалось, знакомы даже не все репетиторы по философии. А второму потоку студентов моего направления досталась книга по рекламе! Как можно заметить, логика распределения литературы отсутствует. Из-за недостатка времени и сложности произведения, я первый раз за 4 года попала на пересдачу.

И, напоследок, хочу перечислить общие замечания за все 4 года обучения:
1. Кампусы. Официальный адрес Академии - станция м. Юго-Западная. По факту, помимо Юго-Западной, учеба проходит на: Коломенской, Парке Культуры, Аэропорте и Таганской. При поступлении же студентов об этом не информируют. Для многих это явилось более чем неприятным сюрпризом. Я живу в Юго-Западном направлении и местоположение было одним из приоритетов при выборе вуза. Для сравнения: дорога до кампуса на Юго-Западной занимает у меня 1 час, в то время как, чтобы добраться до Коломенской мне требуется более 2х часов!
2. Нехватка мест. В моем году на ИОН поступило около 900 человек. Далее число поступивших только росло. В 2021 году поступило около 2 тыс. человек. При этом, кампусы не расширялись, а условия лишь ухудшались.
3. Корпус на Коломенской. Он  расположен практически вплотную со зданием «Федерального управления по безопасному хранению и уничтожению химического оружия при Министерстве промышленности и торговли РФ». Чтобы добраться до корпуса от м. Коломенская нужно потратить очень много времени, что крайне неудобно для большей части студентов и преподавателей. Основная часть учебы проходила именно там. Отдельно хочу выделить физкультуру. На 1-2 курсах ее ставили исключительно отдельным днем (в субботу в 9:00). Кроме физкультуры в этот день других предметов не было.
4. Отмена пар. Случались прецеденты, когда деканат высылал уведомление об отмене за полчаса до начала занятия. Как вы понимаете, в это время студенты были уже на подходе к аудиториям.
5. Организация производственных практик с 3 по 4 курс. 1) Этим процессом руководит неуравновешенная женщина, для которой абсолютно нормально кричать на студентов. 2) Компании, которые предлагает Академия для прохождения практики, не выдерживают никакой критики. Задания часто менялись и не соответствовали специальности. Фирмы даже могли расторгнуть договор в середине практики. 3) Существовал альтернативный вариант - самому найти компанию для практики. Как оказалось, это тоже не вариант, так как в этом случае было множество проблем с заключением договора с Академией.
6. Английский язык. Сильных и адекватных преподавателей можно было пересчитать по пальцам. Жесткий акцент, например, «Самсинг сурраундид», «Сори, ай эм сри минатс лэйт», а также грамматические ошибки, например, «More strong/stronger», «Dear ladies and gentlemenS» режут слух.
7. Программа по английскому языку включает в себя также подготовку к FCE на 1 курсе и к IELTS на 4 курсе. Однако преподаватели совершенно не заинтересованы в подготовке. На 2-3 курсах программа состоит исключительно из политической лексики и текстов по этой же тематике. При этом, из всего потока студентов политологи составляют всего 20% и для большей части студентов программа не соответствует специальности. За 4 года мой уровень английского с В2-С1 упал до А2…
8. Точечный карантин. В период высокой заболеваемости деканат ИОНа отправлял студентов на карантин продолжительностью 7 дней. Тем временем, по международным стандартам он должен был составлять 14 дней.
9. Написание итоговых работ во время карантина. В 2021 году было решено проводить языковые тесты в очном формате. 70% моей группы по испанскому писали финальную к/р дистанционно, так как в их основных группах были заболевшие. Другие 30% студентов писали тест очно. Как вы понимаете, это было несправедливо, так как студенты находились в разных условиях.
10. Скидка на обучение. В 2020 году - в год коронавируса, студентам предоставили скидку 10% при единовременной оплате за год. В 2021 году пандемия не закончилась и 70% занятий продолжали проходить онлайн, однако, скидку отменили.

Пожалуй это все, чем я готова поделиться. Скучать я буду лишь по университетским друзьям и двум преподавателям. ",negative
