Text,Mark
"


Я даже не знаю, с чего вообще начать. Недавно был выпускной, получение диплома и вот, теперь можно спокойно строчить отзыв про этот университет. И да, спойлер: та шикарная надпись, которая чуть ли не везде висит, прикреплена, упоминается в видео или еще где: &quot;Наш диплом открывает мир&quot;, так вот, ни шиша он ничего не открывает, запомните. Этот лозунг чисто зазываловка детишек в данный университет.
Начну что ли. РГУТИС мною был выбран случайно, проезжая мимо него, возникла мысль: надо зайти глянуть, что это такое. В итоге все 4 года учебы прошли здесь. Плачевный отзыв можно будет писать бесконечно, выделяя бесконечное количество минусов. Но я пожалуй ограничусь в этом плане и выделю те минусы, которые лично я считаю, что их вообще нужно устранять (поверьте, этого никто делать не будет) и мииизерное количество плюсов (а их от силы где-то 1-2, ну мааксимум 3).
Начнем с плюсов:
1) собственная территория университета, зеленая зона весной летом, золотые краски осенью и сказочная зима, многие называют территорию &quot;мини-парком&quot;, чему нельзя не согласиться. Территория действительно красивая, большая, есть где походить, для нынешней молодежи поделать кучу разных фотографий, ...Показать полностью...да и просто насладиться природой в перерыве между парами, обедом. Несложно погуглить и найти фотографии университета.
2) как и писали ниже большинство людей - активная, прям до невозможности студенческая жизнь и вот здесь я полностью соглашусь с комментатором по имени &quot;Некто&quot; по поводу кураторов, они закрепляются за вами вплоть до окончания они будут вам впихивать всевозможные участия, конкурсы, фестивали и тд, и при любом отказе, начинают гнать на вас, какие вы нехорошие и все такое. Именно мне это вообще не нравилось, хочется заниматься чем-то своим, а не идти туда, куда тебя автоматом записывают. Но это дело каждого, поверьте, любители были и им это нравилось.
В общем, если вы поступаете чисто тусить и активничать, то вперед и с песней сюда. Если хотите прям хорошую стипендию (до 12 тыс скажем), то как раз участвие во всяких этих флешмобов, конкурсах, фестивалях и тд вам поможет
3) общежитие в 5-8 минут ходьбы от университета, что позволяет экономить время и выходить на занятия позже (москвичам приходилось/приходится вставать к 1 паре в 6 утра, чтобы нормально добраться до вуза). На вопрос: &quot;Почему они не могут взять общагу если им так нелегко вставать?&quot; Опять же, на вкус и цвет, из моих знакомых москвичей общагу брали немногие и то не все прям жили там. Они брали его на запас, в случае если допоздна остаешься в университете, не тратить время на дорогу до дома, а остаться тут, в общаге. Что было очень хорошим замыслом, но так делали очень мало людей.
На этом плюсы вуза заканчиваются. Теперь переходим к самому интересному: минусы.
1) это минусом прям совсем нельзя назвать, но для кого-то это реально является минусом - расстояние, далеко ехать до университета и обратно. Я считаю, что вполне норм расстояние для Москвы (на элке до вокзала 40 минут, на маршрутке до м.Медведково +- час)
2) общежитие - если вы боитесь насекомых, жуков, тараканов и тд, запасайтесь отравами, пшикалками и тд, ибо их в общаге пруд пруди. у 1 общаги, где проживают несовершеннолетние условия получше, чем у остальных, но там и тотальный контроль есть. Первое время с перваков будут сдирать 3 тыс рублей в мес. за содержание, в последующие дни около 500-600 рублей.
3) обучение - оно никакое. От слова совсем. На 1 курсе вообще некоторые предметы повторение из школьной программы, которые вообще не понятно, зачем ввели. Да, некоторые предметы были интересны, но их было там 2-3, остальные дичь полная. И это на бюджете, про заочку вообще молчу, там большинство времени ты проводишь за занятиями сам, пытаешься САМ все понять и что-то сделать.
Преподаватели. Не знаю, как там у других ребят, но именно мне с преподами повезло, все были адекватными, на уступки всегда шли, тут прям без претензий. Было всего лишь 2 препода, с которыми мне было тяжело, но все прошло хорошо и это главное. У каких-то преподов реально интересно было слушать лекцию, выполнять задания, проводить дискуссии и тд, с какими-то очень скучно, просто садишься слушать и начинаешь заниматься своими делами (так кстати очень многие делали во время дистанционки, тупо включали зум, скайп и тд, выключали у себя звук и шли делать свои дела, поверьте, таких было половину вуза).
4) оплата - слишком сильно завышены цены. Ты платишь чуть ли на 200к в год (это контрактники, заочка до 100к) за ни за что. И с каждым годом ценник все выше и выше.
5) практика - ее вообще нет. Хотя нет, она есть, на бумажке. А так ты просто выполняешь задание в Ворде и все, считай, практику прошел. Если хочешь действительно пройти хорошую практику в турфирме или гостинице, ищи сам.
Можно еще долго перечислять, но я остановлюсь на самых значимых минусов, которые впринципе для всех важны.
Если делать итоговый вывод, то он такой: если вы любитель тусовок, активности, то вам сюда - участвовать, танцевать всех мероприятиях и тд; если вы действительно хотите получить навыки, знания, мой вам совет, найдите вуз получше, вам же будет лучше. И да, совет, не читайте отзывы на других сайтах, по типу Яндекса, так как там проплаченные отзывы студентов, которые как раз таки и являются в университете активистами (им за хороший отзыв дают баллы, мб и автоматы по каким-то предметам). Многие спросят &quot;А почему Вы не указываете свое имя в отзывах?&quot;
АХАХАХАХАХ, комон, вы серьезно? Все же знают такое слово как &quot;крыса&quot;? Увидят отзыв, доложат и все, гудбай:)))
На этом я заканчиваю свой отзыв. Всем спасибо!",medium
"


Я поступала на базе средне-специального образования и даже моя шарага лучше, чем этот университет. 
Так я дизайнер, но пришлось идти на туризм потому, что дизайна заочного на момент моего поступления не было и, если не ошибаюсь, то и нет. 
Плюсы университета: можно вообще не учиться, главное во время вносить оплату, но если и не во время внесли, то вам дадут время на внесение, есть рассрочка. Можно поступить в любое время, я поступала в октябре. Никто не следит за вами на сдаче вступительных экзаменов. На этом всё.
Учусь здесь на платной 
заочной форме обучения( заочная она, конечно, по документам, а по факту дистанционная). Поступала только ради того, чтобы был хоть какой-то диплом и была возможность совмещения с работой, если вы поступаете учиться и думаете, что после этой &quot;учебы&quot; пойдете работать по специальности, то лучше выберете другой университет. 
Меня смутило все ещё на этапе поступления. Вступительные экзамены по одному из предметов я сдала плохо, судя по баллам, которые я увидела. Бóльшую часть я, конечно, списала, было странно увидеть низкий балл. У меня сложилось впечатление, что мой тест проверяли не по тому варианту и просто дотянули до минимального порога,...Показать полностью... если не ошибаюсь, то это было 42 балла. 
С каждым годом повышают стоимость, при поступлении цена составляла 70к/год, на данный момент 77350 (да-да прям 350), а условия работы с переподавателями только ухудшаются, но на 1 курсе 1 семестре всё было прекрасно. Даже было желание учиться. У них был сайт, куда мы выгружали свои работы, презентации, сдавали тесты. Порой сайт работал некорректно и требования к работе на 4-5 были космические. К примеру, работа по философии на любую выбранную, из предложенных, тему должна быть не менее, чем на 70% оригинальной иначе ставят не зачёт, а чтобы получить 5 на 90%. Выходит с нас просили какой-то научный труд по философии при том, что данный предмет не является для нас профильным. Но судя по всему преподаватели даже не открывали наши работы, а просто ставили оценки. 
Позже работу перенесли на площадки с видео-трансляциями. Всё виснет, глючит, вылетает, у кого-то из учащихся нет звука. Иногда учителя перегибают палку и дают задания не соизмеримые с доступным для нас временем (работающие люди всё-таки). К примеру, присылают нам файл, а в нём 2 теста по 25 вопросов, таблица, которую надо заполнить и индивидуальный проект, который обычно дают на 2 недели и в него входит создание текстового файла и презентации не менее, чем на 15 слайдов, и преподаватель объявляет, что на всё у нас времени до конца пар, а из 3 часов осталось всего 2 потому что до этого преподаватель целый час рассказывал, где у него живут родственники и как прекрасна жизнь в Швеции. На явное возмущение преподаватель отвечает, что вы просто не умеете распределять своё времявремя, а на вопрос сможет ли она сама это всё сделать ответа не следует. Покорчив из себя недовольную царицу, уступает время до 10:00 следующего дня, а на момент пары время уже около 19:00, а у некоторых учеников и того больше (другие страны). Покорчившись ещё с барского плеча дарит время до 10:30. 
Вас будут обучать всему, кроме работы в сфере туризма. Научитесь делать сайты в конструкторе, ментальные карты. Соскучились по школьной географии? Тут вы будете также раскрашивать их только с огромной вотермаркой чужого сайта. Соскучились по презентациям? Тут вам будут их давать по каждому предмету по несколько штук! Конечно же любимый Word с Times New Roman. Не умеете читать? Преподаватель две пары подряд будет делать это за вас не отходя от текста ни на шаг. Как насчёт составить Топ-чего-угодно с перезентацией? Пфф пожалуйста всё для вас! 
Затем становится понятно, что учителям это всё вообще не надо, когда просишь что-нибудь скинуть, чтобы закрыть долги они спокойно могут с вами не поздороваться и начать наезжать, даже иногда хамить в скрытой форме, как бы вежливо вы к ним не обратились, если вообще сможете обратиться потому, что как таковой обратной связи нет. Многие учителя просят не писать им на вотсапы и т.д., ссылаясь на то, что и так учеников много, пишешь им на почту и ждёшь ответа дней по 5, если повезёт, то 2.
Если хотите закрыть долг, то расхотите, как бы вы не дергались и не вертелись им всё равно, самое главное вносите оплату за обучение, а остальное вообще не важно. Долги можно закрыть в определенные месяца, всё рассылают лично ученикам, но за всё это время мне и моим одногруппникам не присылали ссылки на закрытие долгов.
Если хотите, чтобы вас отчислили, то не платите - это единственное за что могут тут отчислить. 
Что касаемо практики, то от неё одно название, честно, не знаю, что там на очной и очно-заочной, но у нас это Word файл.  Единственное о чем вам напоминают: об оплате. Остальное вообще не важно. Плати, плати и ещё раз плати, а если не будешь платить, то тебе угрожающе будут присылать письма с отчислением и с разрывом договора в одностороннем порядке потому что ты внёс деньги, но не все, чем нарушаешь договор оказания услуг. 
Платите, а потом вам пришлют диплом по почте голубям, за который вы заплатили ~300к, а знаний вы получите 0. 
Дешевле просто купить диплом топового ВУЗа и закончить какие-нибудь экспресс-курсы. ",negative
"


Поступил с невысокими баллами на направление туризм. Первые две недели были вступительными, перед первокурсниками выступали различные представители сферы туризма. Ничего кроме пустой болтовни ( которой будет и дальше очень много). Также в эти дни решались организационные вопросы. На группы делили в результате странного тестирования по английскому языку, точнее собеседования. Дальше самое &quot;интересное&quot;- знакомство с кураторами. Готовьтесь к кураторским каждую неделю, на которых вы познаете все прелести &quot; team building&quot;. Кураторы Вуза будут часто напомнать вам кураторов &quot; синего кита&quot;. Ваш общий чат всегда будет полон сомнительными предложениями пойти на разнообразные мероприятия. А если вы откажитесь или придёт мало народу, то ваш куратор устроит вам истерику ( я не берусь судить о всём составе кураторов моего года, однако в моей высшей школе таких было как минимум трое). Вуз оправдывает репутацию активной студенческой жизни. Здесь всегда что-то происходит, хотите ли вы этого или нет. Пару слов о знаниях, их нет. Вся учёба состоит из презентаций. Есть несколько преподавателей на пары, которых реально интересно ходить, более менее адекватных я насчитал тр...Показать полностью...оих. Лично меня мои ноги несли только к одной. Остальные же оставляют желать лучшего. По какому-то определенному вселенскому закону именно преподаватели общих дисциплин как право или философия требуют больше, чем могут дать. Английский на уровне МБОУ СОШ. Физкультура отдельная тема. Готовьте справки, форму которых в вашей поликлинике никто никогда не видел. Поэтому вам никогда не будет грустно, вам всегда будет весело от очень искоментных шуток некоторых тренеров. А если вы любите поговорить, готовьтесь отжиматься. Стоит отметить, что в моей высшей школе огромной властью обладал господин Ш, который играл своеобразную роль классного руководителя для всей высшей школы. Однако, всю важную информацию вы будете получать в самый последний момент, чаще всего вечером, когда господин Ш соизволит до вас снизойти. Он как Джон Сноу-ничего не знает, а вы Сэмвел Тарли, который ищет ответы на интересующие и важные вопросы через &quot;Цитадель&quot; в Староместе, то есть через знакомых и кураторов, и не забудьте запастись терпением и взять что-то покушать, вам предстоит долгий путь в поисках какого-нибудь мед. центра либо паспортного стола. Ведь связаться с людьми или помочь вам господин Ш не может, слишком занят уничтожением &quot;белых ходоков&quot;- студентов без масок. Зато у вас будет уникальная возможность приобщиться к знанию, где родился, где крестился и где служил господин Ш.  А потом не  удивляйтесь, когда вам сообщат, что завтрашние пары будет дистанционно уже только в девятом часу вечера. По поводу общежития, я пожил и в 4 общежитии, куда селят всех перваков, и во 2. Первое чуть лучше, но строже правила, второе подешевле, больше, там хуже ремонт, однако отхватить можно и в нём. Особенно, если вы ведёте свой личный блог, и привыкли быть честными со своими подписчиками. То забудьте, теперь ваш Инстаграм или тик ток принадлежит Вузу, который очень печётся о своей репутации. Контингент кому как повезёт. Если у вас в группе попались неплохие ребята, то не радуйтесь так сильно, в общаге могут проживать более маргинальные личности. В заключение, хочется сказать, что Вуз подарит вам массу приключений на одного мягкое место. Ведь уровень безопасности не всегда соответствует заявленному.  Получите ли вы знаний, большой вопрос, наверное если только очень захотите. У вас высокие баллы- я уверен, вы найдете вариант получше. Для вас это идеальный ВУЗ только в одном случае, если вы любите танцевать и готовы ночами учить знаменитые флешмобы.",medium
"


Я студент РГУТИС. К сожалению, это было единственное место в Москве и области куда я мог попасть на бюджет (расположение, кстати, отвратительное). Проходные здесь невысокие, однако лучше десять раз подумать стоит ли оно того. В то время как мои друзья в более топовых вузах активно приобретают новые знания, я просто клепаю бесконечные презентации. Нет, если вы решили провести свои студенческие годы ненапряжно и при этом отдаете себе отчет о том, что на выходе знаний у вас будет примерно 0 и хорошей работы вам в этой сфере не видать (большинство выпускников работают не по профессии, хотя в вузе убеждают в обратном), то добро пожаловать. Студенческая жизнь слишком активная. Иногда хочется просто отдохнуть, но кураторы (второкурсники) никогда не дают этого сделать. Бесконечные конкурсы, активности и разного рода мероприятия буквально каждую неделю по несколько раз. Учеба и правда несложная, но мне как человеку, который хотел бы хоть чему-то научиться, такое не совсем по душе. Стоит отметить и парочку дисциплин. Например, английский язык. В начале обучения вас разделят на группы по &quot;слабому&quot; и &quot;сильному&quot; английскому, но, по факту, это не имеет никакого значения. Так ...Показать полностью...что людям с сильным английским здесь придется поднапрячься, чтобы вовсе не забыть язык. Мероприятий много, как я уже и писал, но судя по тому, как всех просят ничего не афишировать, проводятся они в коронавирусную ситуацию не очень легально. Кстати, если вы решите отлынивать от мероприятий и конкурсов, ваш куратор обязательно надавит на жалость.
Подведу итог, если вы любите мероприятия и всякую активность, не хотите сильно напрягаться с учебой и в целом вам не важно какой диплом у вас будет на выходе, то добро пожаловать, а остальным советую пересдавать егэ на следующий год или подавать в региональные вузы.",negative
"


Разочарование. Вот как стоит назвать это место. И вуза действительно сильная пиар программа и с виду хороший сайт, особенно для несчастных абитуриентов, которые не знают всю поднаготную. Но все это мираж: все позитивные отзывы, комментарии и т.д. оставляют одни и те же люди, которые являются участниками различных движений. Вступают в них, в первую очередь те, кто хотят перевестись на бюджетную форму обучения или те, кто легко вдохнавляется подобными вещами.  Они соотвественно и создают однообразный актив. Поэтому рекомендую не верить картинке.
Знаний по факту никаких, особенно ощутилось это на дистанционном обучении. На туризме практика так таковая отсутсвует, хотя другие вузы,которые как и РГУТиС входит в различные топы по направлентю подготовки специалистов туризма, имеют контракты с различными турагенствами и пр. Отсутсвуют курсовые, действует балльная система. Набираешь за счет посещений и сдачи контрольных определенное количество баллов - получаешь 3ку или 4ку, для 5ки нужно идти на экзамен. С одной стороны удобно, с другой стороны вся учеба скатывается в бестолковую сдачу контрольных и все. По сути, хочешь получить опыт и знания, то скорее устраивайся на работу, вуз тебе ниче...Показать полностью...го не даст. 
Общежитие не такое уж и плохое, хотя кто к чему привык. Есть несколько корпусов. 4 новее, но правила (в особенности коменданты) там жестче, так как рассчитано на колледж, людей младше 18. 1 и 2 в плане ремонта хуже, но остальные условия мягче, хотя там тоже могу по голове дать. Первый курс университета всегда (попроситься в другую можно, но скорее всего откажут) заселяют в комнаты с собственным холодильником в комнате, микроволновкой и чайником на одно крыло. Сейчас все это удовольствие стоит 3к. Со второго курса переселяют на другие этажи, где всего этого удовольствия нет, но стоит гораздо дешелве. Душ - небольшая ржавая кабинка, рассчитаная на 10 человек (1 блок). Летом оставаться нельзя, при дистанте тоже, хотя он скорее всего уже не грозит.
Итог, если вам не особо нужно образование и вы идете ради спокойствия родителей или факта наличия волшебной бумашки, хочется быть ближе к заветной Москве (40 минут на электричке до Ярославского или час до ст. Медведково), то этот вариант нормальный. Если вы хотите знаний, то даже какой нибудь провинциальный областной вуз с РГУТиСом может посоревноваться.
",negative
"


Прочитала все отзывы моего вуза, и пришла к выводу, что они немного приукрашены. Сразу к коррупции: За год обучения я не сталкивалась с этим. Если хотите 4, то просто ходите на пары и исправно делаете проекты и пишите контрольные точки. Автоматом 4- вам обеспечено. Иногда даже 5 поставят. Но чаще для 5тёрки нужно будет прийти на экзамен и сдать его на соответствующею оценку.

Учёба- ну такое, да. Из всех предметов напряг со стороны иностранного языка, в остальном- полный расслабон. Делаете проекты (презентации на заданные темы) и получаете 10 из 10. Если вы хотите работать в гостиничной индустрии или туризме, то это точно вуз для вас. Практика проходит на уровне. И ВУЗ действительно гарантирует вам пойти работать по профессии. 

Общежитие. Я проживаю в 4-том. Там проживает некоторая часть первокурсников университета, и весь колледж. Общежитие строгое, но честно сказать, это стоит того. Тараканов в нашем общежитие нет. В других есть. Существует коменд. час., который регулирует больше вашу дисциплину. Особенно у детей из колледжа. Ребята младше 18ти лет должны быть в общежитие до 22.00. Ребята 18+ до 23.00.
Если вы хотите на концерт или что-то подобное- договариваетесь с комендой) Он...Показать полностью...а без проблем вас отпустит. Главное, предупредить и всё.
Да, кухни закрывают в 23.00. Поэтому стоит всегда иметь покушать то, что можно скушать без использования кухни. Зато тишина. А вот во втором общежитие кухни не закрываются, и постоянные ночные посиделки на кухни- приводят к шуму.  Во втором общежитие тоже живут первокурсники. Там коменд. час до часу ночи. Но к несовершеннолетним стараются относиться строже. Тараканы там есть. Но многие студенты гордятся, что живут в таком не строгом общежитие:) Везде свои плюсы и минусы. 
В 4-том общежитие есть комната для обучения, то есть, чтобы не мешать своему соседу и делать домашнее задание где-то в соответствующем месте. Комната отдыха (плазма, джойстики). Стоимость общежития для всех первокурсников- 3000. Дальше вас переселят в комнаты не повышенной комфортности и будет стоить дешевле.

Местоположение. Далековато от Москвы. Но пока вы молоды, вам будет норм. В общем, с учётом ожидания автобуса или времени пути до станции- час до центра Москвы. На электричках будет дешевле ездить) Но вы разберётесь, когда поступите. От университета до общаги- 7 минут ходьбы, поэтому удобнее жить в общежитие. Вокруг есть, всё, что вам нужно для первой нужды. На станции есть кафе. Ближайшие ТЦ в городах- Мытищи или Пушкино. 10 минут езды на электричках до этих городов. Через дорогу университет МВД. Пятёрочка и ларёк цветов. Остальное на стации (пешком минут 15 от РГУТиСа)

Студенческая жизнь. Вас не подведёт. Очень активная жизнь. Университет живёт ею. Множество мероприятий. Люди вас будут окружать хорошие) Друзей точно найдёте, все простые, потому что сам универ такой.

Оставляю положительный комментарий, потому что на самом деле рада, что поступила в данный университет. Баллов у меня была достаточное количество (250). ",positive
"


Не поступайте в эту шарагу или посторонним вход воспрещён
Когда я поступил в 2014 году на специальность &quot;Сервис&quot;, по началу было нормально. Но потом нас представили преподавательнице Ч******* О.И. и она у нас преподавала математику и информатику. Методы преподавания у неё не подарок, скажу сразу. К студентам относится, как к рабам и она считает, что у нас есть обязанности, но нету прав. Мы не можем сказать свое мнение ей, выразить свое недовольство оценкой на экзамене, а про экзамены с ней, это вообще отдельная история. В туалет она вообще никого не выпускает и стоит человеку спросить можно ли выйти по малой нужде, на что О.И. тебе в ответ скажет:&quot;Приносите справки о том, что все живы и здоровы и вы в состоянии вынести пару! &quot; Получить зачёт у неё автоматом или экзамен даже не надейтесь! Когда наступает день сдачи экзамена она требует, как на ЕГЭ в школе класть все телефоны ей на стол и сумки оставлять в коридоре, можно только взять ручку и листок бумаги. Списать экзамен возможности она никому не позволит. Если завалил экзамен она и дальше тебя будет заваливать и добьётся своего, чтобы тебя исключили из университета. Теперь про другого субъекта расскажу, красивы...Показать полностью...е девушки и не очень берегитесь! Есть один преподаватель по философии и английскому, немецкому языку Б****** С. А. Он, как и Ч******** имеет манеру отвечать студенту с хамством, даже если ты с ними по-людски обращаешься! У Б****** есть своя манера общения и преподавания предмета. Он сказал нам один секрет, что сам не знает и забыл немецкий язык и я его буду учить заодно вместе с ребятами во время урока. Если он открывает учебник он будет читать все в подряд, вплоть до того &quot;Как правильно разговаривать на немецком языке. Язык при произношении буквы A приподнимается к небу и щеки расслаблены. &quot; Лично я не понял, к чему он такую фигню читает, когда студент самостоятельно в состоянии при изучении этого предмета сам прочесть! С. А. никогда сам не напишет на доске ни предложения, ни слова. Вместо этого он нам говорит:&quot; Мне доску жалко. Меня ругают за то, что я пишу на доске!&quot;. Он вызвал написать к доске слово только одного студента и все, на этом и закончилась его симфония. К симпатичным студенткам он присматривается внимательно и он медленно, но верно начинает к ним домогатся, например:может попросить у неё номер телефона прилюдно у всей группы и не стесняясь говорить, что он ей вечером позвонит и устроит ей &quot;Тет-А-Тет&quot;. Спрашивает, есть ли у неё ухажер или были ли мужчины в её жизни вообще? С удовольствием им рассказывает про свое наблюдение о том, что в колледже уже есть студентки и уже беременные сидят у него на уроке. Метода преподавания у него нету, поверьте! Вместо того, чтобы рассказывать умные вещи, он рассказывает нам про маньяков и проституток. Особенно у него в идеале был рассказ про доцента-убийцу И. Д********* и про &quot;Ксению Бэнтли&quot;. Ребята, внешность не то, чем кажется, поверьте! Он любит проявлять к студентам психологическое насилии в виде троллинга прилюдного, может специально не выговаривать правильно твое имя и фамилию, придираться на уроке по поводу и без, если ты правильно прочитал и перевёл текст, он его по своему исправит и выставит тебя дураком. Однажды он у девушек спросил, кто едет на электричке, каждый день! Если узнает, кто же это, он начинает свое. О боже! Как это прекрасно! Я смогу развеять себе и вам скуку и могу оказаться вам приятной компанией. Иногда он сам просился в компанию к девушкам в попутчики электричек. Был ещё такой неприятный момент, когда от ребят узнал, что он иногда заходит в женский туалет и сидит там в кабине, ну явно не справить малую нужду. Он смотрит из-за двери, кто из девушек вошёл в туалет и следит за ними и сам не подаёт виду, что он там сидит на толчке и смотрит, что там девушка у зеркала. Настаёт день экзамена. Экзамен сдавать у него тоже не сахар! На автомат тоже не надейтесь! С одной девушкой произошёл неприятный инцидент, она оказалась последней в списке сдачи предмета. Она вошла в кабинет и взяла билет, а когда она стала сдавать свой ответ. Вот тут то все и началось! С. А. попросил сесть к ней поближе и пока девушка отвечала, он пытался её поцеловать и студентка сопротивлялась, он ещё раз предпринял попытку её чмокнуть в губы. В итоге девушка убежала, так и не сдав экзамен. Она пошла и написала заявление в деканат о том, что он домогался к ней и причём не в первый раз он к ней пристаёт. Девушка написала в своём заявлении и заместителю ректора рассказала такие вещи, что у нормального волосы встают дыбом! Когда она отвечала на свой билет на экзамене, он опустил одну руку вниз в свои штаны и он стал трястись и девушка, заметила, что он др*чит, в прямом смысле слова! Есть ещё один факт про этого Б****** С. А. Он раньше работал в Москве в МИД России и он потом стал преподавателем там, не удивлюсь, что его оттуда за домогательство выгнали из его же хваленного МИДА! На этом и весь мой рассказ, надеюсь вы примете правильное и мудрое решение не поступать в этот дурдом, который страшно и вузом назвать!",negative
"


Итак, если прочитав этот отзыв хоть кто-то из потенциальных абитуриентов откажется от подачи документов,то отзыв написан не зря. Начнем с того,что у университета очень сильная пиар-кампания (гранд мерси ПрофОтряду и иже с ними). Вам навешают лапши о том,как это престижно,участвовать в продвижении университета. Одно лишь маленькое условие-напиши хороший отзыв и ты в деле;)Такая манипуляция действует, естественно,только на первокурсников,которые ещё не успели &quot;очухаться&quot; и осознать всю жесть ситуации. Идём дальше. Первое сентября,торжественный момент и непонятные телодвижения,называемые флэшмобами,от кураторов. Которые первым делом начнут затирать про то,как они уже вас всех любят просто потому,что вы пуськи. Но камон,ребят,с первой встречи? А потом начинается бесконечное промывание мозгов,собрание группы для объединения. Ваши кураторы,возомнив себя гуру психологии,будут затирать пропаганды о восхитительности университета не хуже профессиональных иеговистов. Ну что ж,теперь пару слов об учебе. Её нет. Об учебе всё. А если серьезно,вас ничему не научат. Долгое время ,учась в школе,пределом мечты было поступить в этот университет,обучиться практическим навыкам. И поверьте,бОл...Показать полностью...ьшего разочарования в моей жизни ещё не было. 4 года жизни потрачено впустую. Множество ненужных предметов,абсолютно некомпетентные преподаватели,которые далеки от современных тенденций. О трудоустройстве от университета забудь. Ну,если конечно имеется ввиду престижное место работы. Тебе ,дружок,придется искать работку самому. А поверь,сочетание букв РГУТИС не впечатляет HR-спнциалистов.Проверено на собественном опыте. Если всё же волею случая тебя сюда занесет,начинай работать как можно раньше. Опыт,а не диплом твое преимущество. Иначе после защиты диплома окажешься за дверьми общаги и без возможности заработать денежку.Итак,к выводам. Знаний универ не даёт,но зато станешь профи в организации концертов,песен и плясок. Лагерь &quot;Орленок&quot; отдыхает. Диплом не котируется ни в каком цвете,ни в красном,ни в синем. Активистская жЫзнь активная лишь попытка сбежать от реальности. Активисты в основном ребята с коммерческих отделений,так как есть шанс,что если ты сильно засветишься,тебя переведут на бюджет. В общем,друг,хорошо обдумай свое решение прежде,чем подавать сюда документы. А ещё лучше не поленись и пообщайся не с профотрядом через соцсети,а найди выпускников последних нескольких лет и попроси рассказать об университете.",negative
"


Постараюсь кратко изложить причины почему вам НЕ стоит поступать в этот университет. 
1. Образование на уровне пту, хотя может даже там лучше обучают профильным специальностям. 
2. Незаинтересованность преподавателей в своей работе
3. Коррупция. Можно не учиться, просто денежку вовремя вносите 
4. Отработка в общежитиях ? Это что вообще. Помимо внесения денег, ещё и рабский труд 
5. Диплом, который открывает, но не мир, а глаза на бесполезность полученной профессии. 
Из плюсов могу отметить:
1. Актив. Если любите движ, то это туда. Много новых друзей и социального опыта
2. Общежития. Да тараканы, да душ на всю ораву, да лифт, который работает по расписанию. Но это очень крутая школа жизни. И условия неплохие в сравнении с другими 
3. Чистый воздух, вокруг зелень, нет машин и 40 минут до Москвы. 
Вывод. Если вы набрали достаточное количество баллов, чтобы поступить в другой универ, то даже не думайте о РГУТиС. А если выбора нет и вы лоханулись с ЕГЭ, тогда идите лучше в пту. Но если вам больше интересна студенческая жизнь, чем учеба и получение достойного образования, то РГУТиС ждёт) ",negative
"


Хочу рассказать о нахваленном на официальном сайте вузе. Ситуация на самом деле довольно печальная. Я ,будучи в радужных мечтах, не ожидала, что происходит на самом деле и какая тут обстановка.

Начну пожалуй с самой больной темы - общежитие. Первокурсников, как правило заселяют в общежитие номер 4, специализированное на этом и гордо носящее название общежитие повышенной комфортности, о которой слышать можно лишь на словах. Об этом свидетельствуют периодически сломанные душевые рейки в душах, несоответствие жилой площади на одного человека, отсутствие (в данный момент) и платные услуги стиральных машин, закрытие кухни после 11, комендантский час, который крайне неудобен для тех, кто уже устроился на работу (учитывая то, что его уже давно отменили), также есть некий нюанс с заселением родственников (1 день стоит 500 рублей) и приглашением гостей, что в принципе невозможно. 

Помимо всего вышеперечисленного хочу добавить, что здесь вы столкнетесь с таким понятием, как бесплатная обязательная отработка (о которой нигде не прописано ни в договоре о найме жилого помещения, ни где бы то ни было ещё). Про коменданта могу сказать следующее: как по мне, этот человек истинный самодур, которы...Показать полностью...й не видит дальше своего носа. Её не волнуют проблемы других людей, если ей не хочется или у неё нет времени, она ничем вам не поможет. Сказать, что к этому человеку нужно иметь подход, это ничего не сказать. На своём опыте поняла, что пытаться найти с ней общий язык как минимум бесполезно и как максимум небезопасно (для своей же здоровой психики). 

Если коснуться цены, то здесь идёт полное несоответствие цены/качества. Как я уже говорила, те условия, которые я привела в пример, просто недопустимы в общежитии повышенной комфортности за 3 тысячи рублей в месяц!!! 

На общежитии пожалуй всё.   Переходим к ещё более главному аспекту - образованию. Не могу сказать, что образование тут ужасное, но и что оно на приличном уровне тоже. Есть некоторые преподаватели, которые преподают устаревшими, неэффективными методами, которые никак не заложат в голову то, что действительно нужно. Однако есть и такие, которые чётко знают свой предмет и умеют грамотно его преподносить (но таких, к сожалению, меньшинство). В общем могу сказать, что это очень усредненный вуз, где далеко не все идут тебе навстречу. Таковы суровые реалии жизни(((",negative
