Text,Mark
"


Если вы знакомы с произведением Кафки &quot;Замок&quot;, то это именно об этом Вузе.  Закончил этот &quot;Лучший вуз&quot; зимой 2021, учился на заочном, и с облегчением выдохнул, что это каким-то чудом закончилось. Ранее я обучался в колледже и действительно шёл в РГГУ с надеждой и дальше работать в сфере рекламы, но за 4 года этот университет убил во мне всякое желание заниматься рекламой. 
По порядку. 
1. Знания
Более бестолкового плана обучения представить сложно - преподаватели не контролируют что рассказывали их коллеги в прошлом семестре и повторяют одно и то же как попугайчики. Чья тут вина не понятно - просто нет никакой внутренней коммуникации у персонала вуза. В итоге к 3-4 курсам уровень знаний у большинства ребят из группы, у которых в виду работы не было возможности искать информацию самостоятельно, остался всё также на 1 курсе, а у тех, кто пришёл уже с большим запасом знаний, произошла деградация - к концу 4 курса я и в себе заметил, что знаю и помню меньше, чем после выпуска из колледжа. Безусловно, были и достойные предметы, но и они под тяжестью постоянных замен преподавателей (их увольнений в основном), быстро потеряли свою полезность. 
2. Преподаватели
Я вспомн...Показать полностью...ю дай бог двух преподавателей, которые действительно оставили позитивный отклик. Остальные... Скажем так, вроде никто взяток не брал - и это единственный плюс. Преподаватели тщательно доводят студентов до белого каления. Постоянные проблемы с ведомостями, потерями оценок сдавших студентов, от того возникающие из неоткуда долги, выслушивание претензий со стороны этих самых преподавателей и администрации. Особенно в этом деле отличился И******* Д. В., он  годами копит долги и не даёт студентам их сдать, а когда те всё -таки добиваются оценки - забывает о них или просто не находит время выставить их в ведомость. Зато самый умный, самый занятой, самый крутой член гильдии маркетологов, будь она неладна, если там все специалисты такие - вряд ли хоть один выпускник РГГУ после знакомства с И******* Д.В. захочет туда вступить.
Конечно, всё было не так чтобы совсем плохо - некоторые преподаватели умели развеселить - вызывали в основном истерический смех. За периоды обучения можно наслушаться и как правильно дышать маткой, и про гороскопы узнать и их связь с духовным равновесием, почитать сообщения с орфографическими ошибками, зато с капслоком и множеством восклицательных знаков. Откровенное хамство со стороны преподавателей - это не хамство, это студент плохо воспитан, что приватно понимает крики в свой адрес и оскорбления. 
3. Расписание
В РГГУ нормально нарушать собственные же правила и закон. Расписание за день до пары могло поменяться два-три раза спокойно, и конечно, никто об этом не сообщал из администрации. На вопрос &quot;а почему так, это же нарушение&quot;, ответ мы так и не получили. Огромные окна в 3-4 пары - это база, это классика. Я поступал на заочку, чтобы появляться в вузе только во время сессий, но большинство преподавателей видимо сами никогда не совмещали работу с учёбой - в их понимании нормально устраивать &quot;обязательные встречи&quot; перед сессиями или после них в будний день в 11-15 часов дня. Стоит ли говорить, что если пропускал такие встречи последствия могли быть самые разные? От ничего до завала предмета, ведь &quot;ты не был на нашей встрече&quot;. 
4. Администрирование и делопроизводство
Полное отсутствие внутренней коммуникации. Преподаватели и администрация устраивали концерты каждую практику - они никак не могли договориться что можно писать в отчете, что нельзя, требования зачастую были совершенно противоположными, а угодить надо и вашим и нашим - иначе практика уйдёт в долг. Как же, спросите вы, а для чего методичка? А методички либо не было совсем, либо её присылали в начале практики, а в момент, когда ты присылал свой уже написанный по ней отчет - методичка устарела, вы откуда её взяли? Нет, мы не могли её вам прислать, ну может разве что по ошибке, вот новая, правьте. И сидишь, переписываешь всё после работы до двух часов ночи и уже не знаешь - плакать или плакать. Порядком всё это напоминает тот ещё цирк, где ты сначала вроде был наблюдателем, но по ходу представления становишься и сам непосредственным участником. Пиком провала администрирования можно считать тот факт, что перед дипломом весь поток дружно оказался без оценок - то ли портал слетел, то ли что ещё, но большинство выставленных оценок оказались сброшены в утиль. Учитывая каким выдался 2020 и 2021 года несложно понять как тяжело студентом было по крупицам отыскивать всё оценки в огромном пласте переписок - ведь в зачетки их не ставили уже как два года. Помимо этого бюрократия в РГГУ просто бесподобна в плохом смысле слова. Найти нужный кабинет легко, но вот попасть туда сложно, как и дозвониться - если не знать источники - никогда не сможешь найти верный телефон деканата. По крайней мере так было на моих 2-3 курсах, на 4 я перестал звонить вовсе и спустил все свои вопросы в слив, так как получить ответ надежды уже не осталось. Весело было, когда мы заранее просили скинуть список необходимых документов на практику, например, а получали в обратку письмо через месяц, за день до начала практики с буквально требованиями срочно, вот прям сегодня предоставить подписанные документы от компании(во вложении шаблоны), если сегодня не пришлёте не будете допущены до защиты. И абсолютно плевать, что люди могут быть в отпуске, в другом городе, в другой стране и уже физически не успеют оформить эти документы на своей работе за сегодня. 

Итоги. 
Если хотите железные нервы, полный пофигизм, а заодно познать реальную жизнь со всеми её негативными и абсурдными ситуациямм - вам сюда. Если дотянете до 4 курса (сделать это легко, большинство уходило именно из-за отсутствия времени на всякие абсурдные срочные &quot;нам сейчас же нужны эти документы! &quot;), то в подарок получите потерю интереса к образованию и работе в своей сфере. 
Также можете унести с собой умение писать всевозможные заявления и даже докладные, поймете что &quot;старше - не значит умнее&quot;, научитесь красиво закатывать глаза, а если у вас развитие чувство справедливости - можете даже познакомиться с деканом и теми, кто за него пишет объяснительные. 
Ну а также достаточно легко 
за небольшие деньги получите диплом, когда пройдёте через весь бюрократический ад. ",negative
"


Привет всем, кто рассматривает &quot;лучший вуз на всю страну&quot; в качестве своего первого образования. Я студент уже 3 курса юридического факультета гражданско-правового профиля, и я вам расскажу как же всё-таки проходит обучение в РГГУ. 
Итак, начнём с университета в целом.
Поступить в него проще простого, если у вас есть достаточно денег. Хахаха какой ещё бюджет? Забудь! Насколько мне известно (информация недостоверная) у нынешних первачей уже в принципе нет бюджетных мест. Кому хорошо, кому не очень-судить вам.
Первые пару недель в университете проходят лайтово: вашей группе назначают тим-лидеров(ребята с более старших курсов, приставленных к вам для того, чтобы познакомить с устройством университета), которые будут на протяжении двух недель везде сопровождать вас. Они вам расскажут всё об университете, всю внутреннюю кухню. Стесняться их не надо, и, я бы даже сказал, обязательно надо задавать побольше вопросов, чтобы быстрее адаптироваться.
После первых двух недель начинается учёба, и тут уже начинается самое интересное. В первом семестре вам будет казаться, что вы учитесь вовсе не на юриста, а на кого-то ещё. Такое впечатление будет у вас из-за обилия предметов, которые ес...Показать полностью...ть непонятно для чего (с этим вы столкнётесь и позднее). В первый семестр особое внимание стоит обратить на предмет ТГП. Это основополагающий предмет для профессии юриста. Советую вести как можно лучше конспект и внимательно слушать. Что касается семинаров по этому предмету? Моим преподавателям был Ц**** В.А. Хороший преподаватель, который всё всегда объяснит, и его семинары проводятся в формате обсуждения-дискуссии. Также из хорошего выделю предмет Римское право. Замечательная преподавательница З**** П.Е. От себя добавлю, что преподаватель всегда обращается к студентам на &quot;Вы&quot; и называет &quot;коллегами&quot;, что очень сильно удивляет после учёбы в школе. Предмет может не особо применим практически, да и дальше вам врядли знания пригодятся эти, но он очень интересный.
Ну что, хорошее закончилось! Теперь о плохом. Две истории, экономика, информатика (с тремя разными преподавателями) и, упаси Господь, физра. В дальнейшем знания по этим предметами вам пригодятся мало, но забивать на них точно не стоит, потому что с первого курса очень легко вылететь. Отдельное внимание стоит уделить физре и истории государства и права зарубежных стран. Да, из-за физры могут отчислить, вы не ослышались. Физра в РГГУ это отдельный вид пытки. На протяжении двух лет она проводилась в хорошем спортивном комплексе на Марьиной роще, а с этого года проводится в Южном Чертаново. В Чертаново, Карл! Кроме отвратного расположения вас также может ожидать какое-то неадекватное отношение преподавателей (не всех) к тем, кто хоть иногда не ходит на физру. Теперь поговорим про историю государства и права зарубежных стран. За 3 года обучения и опыта работы по профессии я ещё ни разу не столкнулся с острой необходимостью знать этот предмет. Я думаю вы тоже. Лекции по этому предмету крайне нудные. Семинары тем более. Я застал семинары по этому предмету онлайн, и возможно всех ужасов ещё не видел, но на моей памяти любимой фразой преподавателя была &quot;ты читаешь&quot;. Оценку отлично получить на семинары почти нереально. Самая жесть начинается в конце, когда вы вдруг узнаёте, что всё это время вы зря усердно старались, чтобы получить автомат. Е**** Н.Н. у нас особенный преподаватель, который не ставит автоматы априори. Её экзамен это что-то неадекватное: 50 вопросов с ответом на пол страницы без времени на подготовку на ответ. Как вы думаете к чему это привело? Правильно, половина потока отправилась на пересдачу, с последующей пересдачей с комиссией. Никого не отчислили, но было очень неприятно.

Самое главное в РГГУ в начале-перейти Рубикон (1 семестр) и дальше будет проще. В определённой степени это так, но потом вы все равно столкнётесь с определёнными трудностями. Есть такой преподаватель Л***.С.В, ведущий гражданский процесс. Производит хорошее впечатление успешного юриста, но на этом всё заканчивается. Весь второй курс она рассказывала о её деле с Романовскими дачами, и о том какая она крутая. С ней ни раз конфликтовали студенты. Кроме неё, стоит выделить и хороших преподавателей. Например преподавателей гражданского и трудового права. Их семинары по-настоящему интересные, готовы идти на встречу, и они действительно могут вас чему-то научить. Также выделю Б*** О.Н. Очень интересный преподаватель с интересными лекциями, однако семинары оставляют желать лучшего, потому что кроме как рассказывания докладов там ничего нет. К слову так половину семинаров и будет вестись. Также из хороших преподавателей выделю преподавателя административного права. Прекрасная женщина, которая всегда готова пойти на встречу к студенту и объяснить то, что непонятно.

Теперь затрону 3 курс. Проучившись 2 месяца на 3 курсе, выбрав гражданско-правовой профиль, я бы ни за что не подумал, что только на 3 курсе моё желание учиться испариться. Такое чувство, что я вернулся на 1 курс. И это связано с преподавателями и их отношением к студентам. Тут появляется две крайности: излишняя дотошность, которая сопровождается к пренебрежению студенту и полный пофигизм с читанием лекции по бумажке. По идее, на 3 курсе ,когда студенты уже выбрали дальнейшее направление ( в РГГУ это гражданский, уголовный, государственный и финансовый профили), вам все равно будут пихать непрофильные предметы, которые вам врядли пригодятся. Это очень сильно потреплет вам нервы, потому что в нашему ВУЗе такие преподаватели зачастую отличаются полным отсутствием лояльности к студентам. В случае гражданского профиля так точно. 

Итак, если подытожить, то я полностью не стал бы рекомендовать поступать в этот ВУЗ, а выбрать что-то лучше, потому что уровень образования хороший только по отдельным дисциплинам и у отдельных преподавателей. Если вы не готовы к тому, что вам будут трепать нервы по бесполезным предметам-лучше выберете какой-то другой ВУЗ.",medium
"


Учусь на первом курсе философского факультета, который, будучи обособленным от других с одним направлением подготовки, не смог положительно выделиться в сравнении с другими факультетами. Проблемы вуза касаются и нас тоже, к этому добавляются проблемы внутри факультета. Тем не менее, говорят, что Философский факультет РГГУ стоит в одном ряду с московскими МГУ, ВШЭ и петербургским СПбГУ. Это отчасти объясняется работой профессионалов (много докторов и кандидатов наук), которые пишут работы и участвуют в конференциях, однако в образовательной среде эти люди не смогли создать комфортные условия для студентов, и сейчас объясню почему.
Инфраструктура: плохая. Нет доступной среды для маломобильных. В главном здании 3 лифта, в других корпусах работают 1-2 маленьких лифта, а то и вовсе не работают. В зданиях по 9-10 этажей, студенты вынуждены ходить пешком, чтобы не опоздать. Сейчас закрыли столовую и оставили один буфет и вендинговые автоматы, хотя казалось бы, было дистанционное обучение, пандемия, можно было решить этот вопрос вместе с заменой окон, работой водопровода, а то где-то нет ни отопления, где-то нельзя было днем сходить в туалет, читальный зал закрыт на ремонт. Некоторые аудит...Показать полностью...ории новые, но большая часть не видела обновления больше 20 лет. Начальная стипендия — 1825 рублей, пару месяцев выплачивалась с задержкой. 
Организация: худшая. Отдел расписания не выполняет свою работу. Преподаватели вынуждены заниматься самостоятельным переносом пар, в итоге возникают окна, отмены, игры с дистанционным-очным форматом. По законодательству окна в размере больше одной пары запрещены, но только не в РГГУ. Расписание динамичное и составляется на полгода, поэтому на одной неделе будет загруженность 6 дней в неделю по 4-5 пар, на другой три.
Работа деканата удовлетворительная. Наш факультет получил студенческие последними через месяц после обучения, зачетные книжки выдают до сих пор, хотя некоторые зачёты начались. К слову, мне пришлось ждать две недели вместо одной для получения справки об успеваемости для подачи документов в другую организацию. В РГГУ нет понятия &quot;дедлайн&quot;, &quot;быстро&quot; и &quot;вовремя&quot;. Для получения однотипных справок было создано студенческое МФЦ, оно работает хорошо. 
Сейчас длительность занятий составляет 1 час 20 минут вместо полутора, вместе с опозданиями преподавателей, организационными моментами на занятие остаётся меньше часа. 
Обучение: приемлимое. Студентов разделяют по желанию на европейскую и восточную философию, где учат китайский и японский языки. Вторая группа смогла приступить к обучению только зимой. 
Философский факультет предполагает самостоятельное чтение материала, и на этом можно сказать, что преподавание должно представлять собой уникальную подачу информации. На данный момент большинство преподавателей можно заменить видеолекциями. Медленные, унылые, рассказывающие истории из жизни вместо предмета, с невнятными критериями оценки.
Касаемо некоторых лиц возникали сомнения об их профессиональной пригодности и психической стабильности.
Английский язык преподаётся на уровне пятого класса (в сильной группе). Есть возможность выучить латынь, но недостаточно для чтения древних текстов. Другой язык — французский или немецкий — будет введён только на 3 курсе. Общеобразовательные предметы преподаются на разном уровне адекватности, физкультуры и БЖД забирают много часов. Физкультуры причём две — элективные курсы и очные занятия. 
Профильные предметы — ну что тут сказать... Непонятно, что этим лекторам нужно от тебя. Из-за отсутствия прозрачной системы критериев оценки твоя работа может «зайти», а может «не зайти». Нет представления, какие у тебя баллы, оценки, оказывается, это «секретная информация». Студент оказывается в положении, когда ведомость уже отнесли и ничего исправить нельзя. К сожалению, для меня многие предметы — это потеря времени, дай Бог с одной лекции вытащить конспект размером в одну страницу, настолько это несодержательно и неинтересно. 
Самым достойным образом преподаётся логика, но даже преподаватель жалеет нас и дает меньше материала, чем преподает другим студентам из ВШЭ. О сравнении с МГУ не идёт даже речи. Это обусловлено снижением количества часов, и много что приходится осваивать самим. По большей части опора и поддержка на старших товарищей и одногруппников, готовых объяснить сложные вещи. К сожалению, в большинстве случаев мы занимаемся &quot;угадыванием намерений и мыслей преподавателя&quot;: пришлёт ли он домашнее задание вовремя или за день до занятия, будет ли занятие вообще? 
В Москве для студентов-философов открыто не так много альтернатив, и многие выбирают путь отчисления с самостоятельным постижением логоса бытия. 
В целом рекомендую вуз тем, кто не торопится в освоении дисциплины и привык делать всё сам. Для взрослых людей, привыкших ценить своё время, лучше выбрать другое учебное заведение. 
",negative
"


Добрый день! Я студентка первого курса данного университета (2021 год). Учусь здесь всего один семестр, но уже накопилось множество мыслей о данном учебном заведении.

Начнём, пожалуй, с плюсов:
1. Красивый главный корпус. Да, здесь действительно приятно находится: приятный внутренний дворик, где обитают кошечки, красивые здания, огромная атмосферная библиотека. Очень много фоток здесь было сделано) но это только главный корпус…
2. Наличие хороших преподавателей. На своём направлении я могу отметить несколько действительно хороших преподавателей, которых я люблю всей душой: хорошая подача материала, уважительное отношение к студентам, возможность пошутить и немного уйти от темы — это то, что лично мне доставляет огромное удовольствие от лекции и семинара. ВНИМАНИЕ: таких преподавателей крайне мало в РГГУ)
3. Контингент. В РГГУ вы встретите огромное количество самых разных людей: и неформалов, и простых ребят, и стиляг, и софтиков. Здесь невероятное разнообразие! А также огромным плюсом является то, что здесь все готовы друг другу помочь и довольно мило общаются. Познакомиться можно, в основном, в курилке)
4. Координаторы и тим-лидеры. Прекрасные ребята! Это те студенты, которые вес...Показать полностью...ь первый курс будут помогать вам во всем) Они покажут вам лабиринты ВУЗа, а также объяснят кто есть кто и куда обращаться по вашим вопросам. У нас, как у ИП, была адаптационная неделя, где мы занимались на тренингах на сближение) было очень занимательно.
5. ВУЗовские тусовки. Да, их здесь мерено-немерено, и каждый праздник не обходится без вечеринки. Конечно, это уже за пределами университета, но все же, считаю, это важно упомянуть) также у университета есть парк, где все собирается в тёплое время (хотя, честно говоря, не советую туда ходить из-за большого количества стражей законопорядка)
6. Досуг. У зданий РГГУ всегда есть кафешки на любой вкус и цвет. Но самое любимое место студентов - Магнолия, где все закупаются перед/во время/после пар) 
7. Столовая. Да, здесь хорошая столовая: относительно недорогая и вкусная. По словам моих одногруппников, там лучше, чем в школе в 10 раз)
8. Приложение. В нем есть расписание, карта университета, новости, библиотека. Очень удобно, НО: часто слетает и не всегда обновляется вовремя (22.00), из-за чего приходится смотреть расписание на сайте.

Ну, а теперь о минусах:
1. Снова про пед.состав. 80% преподов в РГГУ - хамло, которое будет занижать оценки и оскорблять студентов, не давая возможности нормально учиться и наслаждаться образовательным процессом. Могу сказать, что на моей специальности (КлинПсих) есть такой препод, которого все ненавидят и бояться (она доводит просто до истерики, трясучки и желания выйти в окно на ее семинарах). Так же и на других факультетах, со слов моих знакомых. Но если приноровиться, жить можно. 
Преподы могут пропасть, не отвечать на письма и звонки, самовольно переносить пары, не предупреждать об опозданиях и отменах пар. 
2. Расписание. Между парами может быть окно в 3-4 часа, иногда и больше, а в другой день может стоять 6 пар подряд. Также не стоит забывать, что суббота - тоже учебный день, так что отдыхать некогда. Здесь 2 варианта: либо ты прогуливаешь, либо пашешь. Здесь же скажу, что в октябре-ноябре вышел приказ о посещаемости, поэтому первый вариант становится максимально опасным (я сама писала объяснительные за прогулы и меня вызывали на собрание по прогулам). В декабре заканчиваются лекции и ставят одни семинары, к которым надо готовиться, а времени в обрез. Вообще, тем, кто собрался работать, желаю удачи, ибо это нереально.
3. Администрация. Это те люди, которым плевать на вас. Самый презрительный взгляд в моей жизни был у женщины из кабинета по работе со студентами, ох. С вашей проблемой вы будете носиться по тысяче кабинетов. Справки делаются невыносимо долго и не всегда получается их сразу забрать (неудобный график работы МСО). Дозвониться до учебной части/платного отделения тоже не всегда получается, лучше звонить в первой половине дня (до 12.00), иначе они просто не возьмут трубку) Мне не могли выдать приказ о зачислении 4 дня, хотя он был готов, но его не могли найти) 
4. Лабиринты. В РГГУ очень просто потеряться из-за огромного количества лестниц и проходов. Также существуют «тайные», «короткие» проходы, и со временем начинаешь понимать, как все устроено. Также существует карта, о которой я уже говорила, но и по ней не всегда понятно, где нужная аудитория. К тому же, в ней нет некоторых кабинетов (например, МСО (105а)).
5. Корпуса. Основные корпуса находятся на м.Новослободская/м.Менделеевская,  НО когда в них не хватает аудиторий, то приходится ездить в другие. Благо, один из них находится в 15 минутах на метро, а вот другой - почти в часе езды. У нас несколько раз была ситуация, что мы не успевали физически на пару. Корпуса, помимо основного, находятся в довольно плачевном состоянии. 
6. Аудитории. «О, у вас потоковая лекция? Запихнём вас в аудиторию на 50 человек» — наверное так думали составители расписания. Благо, такие вещи решаемы, и можно найти свободную аудиторию или «украсть» стулья в другом кабинете. Но, знаете, это со временем раздражает, а решать данную проблему должны почему-то старосты, но никак не учебная часть) Пары могут проходить в подвальных помещениях, где может быть слишком холодно или жарко, сыро, может перегореть свет, покрошиться потолок.
7. Переполненность. В РГГУ берут ВСЕХ платников, даже тех, кто не прошёл порог, а вот на бюджет нереально попасть. Знакомая девочка стоит 4 года в очереди на бюджет, а ей скоро выпускаться. Место было, но его отдали тому студенту, кто последний попросился. Почему - не понятно. 
8. Сессия. Автоматы ставят в основном тем, у кого идеальная посещаемость и есть баллы, кто выполняет все работы. Зачеты проходят на последнем семинаре, экзаменам выделен отдельный день, перед которым дают выходной для подготовки. В общем-то, сессию сдать не так сложно, и все зависит от препода. Считаю это минусом, тк преподам, чаще всего, плевать на знания. Сама была в ситуации, когда я пропустила ВСЕ семинары по предмету, пришла на зачёт, скатала из интернета и получила 98 баллов. Я то рада, но, с другой стороны, это не честно.
9. Технические специальности. Вообще, считаю бредом наличие таковых в гуманитарном университете. Также минусом является нахождение технического корпуса на юге Москвы, когда основной - почти на севере. Ехать около часа, и ездить придётся. В этом же корпусе проходят занятия Физ-культурой у большей половины универа. 

Возможно я что-то забыла. В целом, мне нравится РГГУ, и я не жалею, что поступила, но решайте сами.
Лучший ВУЗ на всю страну - это наш РГГУ❤️",medium
"


Очень надеюсь, что данный отзыв абитуриентам как-то поможет. 
Я являюсь студентом Клинической психологии и хотела бы рассказать немного о нем. 
Итак, Все психологи учатся в главном корпусе и имеют собственный «уголок», где находятся в основном студенты псих.фака. 
Учителя здесь разные. Например, самые главные - это преподаватели по Анатомии и Общей психологии, У***** А.Б. и П****** И.А. 
У.А.Б. - будет преподавать 2 предмета, анатомию цнс и физиологию. Всего 2 года. Она любит пообщаться со Студентами, пошутить и т.д. Требовательная. При этом на семинарский занятиях помогает при ответе, наводит на мысль, пытается сделать так, чтобы ты именно понял предмет, а не вызубрил. Спрашивает всех на семинарах. Проводит так называемые коллоквиумы, т.е. делит группу на 2 подгруппы, они ей отвечают только на лабораторных занятиях по материалам 3 семинаров (лекций).
Насчёт П.И.А. Если вы знакомы с психологией, то наверное, слышали про Петухова В.В. —советского и российского психолога, кандидата псих.наук, доцента, затем профессора кафедры общей психологии факультета психологии МГУ (если что можете прогуглить его). Так вот она — его жена. 
Сама по себе, хороший преподаватель. НО! Она очень зависит...Показать полностью... от настроения. То есть если ей хорошо, то хорошо и вам. Если нет, то студентам, грубо говоря, конец. Очень любит задавать эссе.
Ненавидит бакалавров, любит Клин.псих., потому что считает, что бакалавр — неполное обучение и из них никаких психологов не получится. 
Ненавидит, когда с ней спорят или вообще отвечают ей так, как она не хочет. Ещё, когда опаздывают или пропускают лекции и семинары.
Очень любит унижать и давить на студентов. Она это делает при любой возможности. Будет промывать постоянно мозги про Петухова и про себя. Деканат ничего с этим не делает, потому что боится ее, и она прекрасно это знает, поэтому пользуется случаем, так сказать. Она также ведёт 2 года. НО! Не любит экзамены, поэтому щедра с автоматом. но если автомата нет, то вам конец. А если пересдача, то вовсе она будет вас постоянно из-за этого ругать и унижать. Короче говоря, с ней все очень трудно и запутанно всем психологам, вне зависимости от специализации. 
Кроме них, есть прекраснейший преподаватель, Б**** В.Ю. Он ведёт ТОЛЬКО у Клин. Психа. У него разные предметы: клиника внутренних болезней, психиатрия, психофармакология и т.п. Будете встречаться с ним в течении 5 лет обучения. 
Великолепный пожилой профессор. Очень трепетно относится к студентам, любит поговорить на лекциях, всегда спокоен и улыбчив. Ему главное ваше здоровье, а не оценки и экзамены. Он сам это каждый раз повторяет. Для закрытии сессии даёт список вопросов или же просто написание и защита реферата. 
Русский язык обычный преподаватель. В основном, ничего не спрашивает на семинарах. Главное — присутствие. 
История России ведёт пожилой преподаватель. Это предмет ставят мало в расписание, поэтому особо не парьтесь. 
Всеобщая историю ведут разные преподаватели. У кого-то лекции и семинары будет вести один и тот же препод, у кого-то разные. 
У меня С******С.Ю. Могу с уверенностью сказать, что один из самых лояльных преподов в псих.факе. Просто готовьтесь к семинарам, отвечайте на них, задавайте доп.вопросы. Он обожает пообщаться не только про темы семинаров, но и в общем об истории. Будет с вами шутить, смеяться, дружить. Щедр с выставлением баллов. Просит выбрать 1 вопрос из списка и подготовить его к сессии. Проводит на последнем семинаре пробный экзамен, и если вы его сдадите хорошо, то может засчитать, по вашему желанию, как основной и всё. 
Логику ведёт препод из ВШЭ Б**** А.С. Требует подготовку к каждому семинару. Требует активность. 
Если с/р и к/р пишутся хорошо + посещаемость и активность на семинарах, то автомат получите спокойно. 
И напоследок социология. Ее ведёт У******* Г.К. Она спокойная, общительная. Сразу даёт список вопросов на семинары. В зависимости от кол-ва делится между Студентами и готовятся доклады/презентации на семинары. Ставит баллы за посещения лекций и семинаров. Добрая, общительная.
Англ.язык. Пишет весь поток тест, который определяет Ваш уровень знаний. Потом делят на 3-4 группы. Все учителя неплохие. У меня ведёт П***** З.В. Она у самых сильных. Хороший преподаватель. Зачеты и экзамены будут для вас легкими, если вы посещаемость и активность хорошая + нет никаких долгов. 
МИНУСЫ — во-первых, физ.ра в основном проходит на ст. метро «улица академика Янгеля». Там находится ИНТБ. Это другой корпус. Всегда ставят 1 занятием, на 8:15. 
Во-вторых, бесконечно меняющееся расписание. Каждый день, кроме воскресенья его меняют в 22:30. Проверяйте всегда! Его составляют студенты 4 курса, поэтому может быть так, что в один день у вас 3 лекции и 2 семинара подряд, а в другой — только физ.ра и всё. Страдают от него не только студенты, но и преподы.
Огромное значение предают посещению и справкам. 
В общем, как и в любом другом вузе, есть и хорошие, и плохие моменты.
Надеюсь, при выборе вам как-то поможет эта информация. ",medium
