Text,Mark
"


Поступал в этот вуз в 2015, тогда он входил многие рейтинги как один из лучших в Европе. Учеба, разумеется, непростая, как и профессия врача вообще. Были разные преподаватели. Одни запугивали либо напрямую говорили, что мы недостойны учиться здесь, либо пофигистически относились к студентам, а другие, наоборот, старались вложиться, дать все свои знания и относились к нам как к будущим коллегам. Вот именно благодаря второму типу преподавателей и хотелось учиться, и сейчас остаются теплые воспоминания. Качество материала на высшем уровне. Все кафедры ориентированы на современные западные исследования, клинические рекомендации и зарубежную литературу (а что поделать если наша страна в медицине отстаёт и любые врачи это видят и знают). Фундаментальные дисциплины преподавались особенно строго, но на 4-6 курсах все понимали зачем это было нужно. Будущие врачи обязаны знать анатомию, гистологию, биохимию, фармакологию, патологию и пропедевтику. Бесило что на 1-2 курсе много левых гуманитарных дисциплин, которые загружали нас не меньше чем медико -биологические. Главным аргументом было то, что врач — высокоинтеллектуальный специалист, который должен поддерживать беседу обо всём. Лично я за...Показать полностью... такой подход благодарен и считаю правильным. Некоторые мои однокурсники со мной бы не согласились, тут все индивидуально.
Клинические дисциплины идут по-разному, зависит от занятости преподавателя. Бывало, что держали 6 часов на паре, опрашивали, а бывало что 5 минут. Чаще первое, но порой половина времени пары это разговоры о философии и размышления преподавателя о какой-то конкретной теме. Готовьтесь я что большая часть материала особенно на старших курсах должна изучаться вами самостоятельно (отечественная и зарубежная литература в интернете доступна+есть отличная библиотека университетта). В плане практической подготовки компетентно не выскажусь, потому что полтора года учился почти дистанционно. Но с трупными препаратами на 1-4 курсах активно работали, много лабораторных работ и клинических задач. 
Видел много отзывов от отчисленных, будто их завалили. Но по моему опыту и опыту друзей могу сказать, что у нас такого не было. Отчисляют тех, кто систематически пропускал занятия и был к ним не готов. Если преподаватель видит желание и старание, то отношение к вам будет уважительное. Так что все от вас зависит. Преподаватель не может и не должен вложить вам свои знания, он лишь направляет, корректирует и контролирует тоя что вы должны изучать сами. Это не школа, тут знания нужнее вам, а не преподам.  Поэтому старайтесь!
Пару слов о внеучебной жизни. Стипендия небольшая, ±4000. Общежитие 3 рядом с университетом я но с миллионами тараканов и иностранцев, которые ведут ночной образ жизни и шумят. Общежитие 5 и 6 поприятнее, но ехать до университета далеко. Столовая лично мне нравится, хотя за такие цены можно было и приличнее блюда подавать. В деканат попасть трудно, но обычно это проблема старосты. Есть капустная команда, клуб интеллектуальных и настольных игр, огромный перечень спортивных секций и загородная база отдыха в Васкелово.
В общем я счастлив, что проучился здесь 6 лет и теперь учусь в ординатуре. Это один из лучших медуниверситетов страны.",positive
"


Я была крайне удивлена, увидев здесь столько гневных отзывов про Первый мед, поэтому решила высказать свое мнение по поводу alma mater. Я поступала по целевому направлению (при поступлении было 280 баллов суммарно). Обучением здесь я осталась очень довольна. Выйдя из стен универ, я чувствую большой багаж знаний и преимущество над своими коллегами в процессе работы. Такое же преимущество я чувствовала на всероссийских студенческих олимпиадах, выигрывая их. Я понимаю, что все зависит в том числе от нас самих, но Первый мед оказал хорошее влияние на мое становление в медицинском мире, за что я очень ему благодарна.
1. Преподаватели. Это очень большая редкость, чтобы здесь кто-то валил. Поверьте, те, кто пишут про кучу отработок, просто ничего не учат, и у них нет цели стать хорошим врачом, либо им не хватает собранности и способности запоминать и самое главное понимать большие объемы информации.  Здесь есть 3 разновидности преподов (как и везде в целом): 1. крутые и преданные своему делу, готовые вложить в студентов много знаний (таких конечно не так много, но мне с такими везло часто, особенно на первых 3 курсах), 2. преподаватели, которые просто выполняют свою работу ( их большинств...Показать полностью...о, и здесь мотивацию для изучения предмета вы будете находить сами, но я думаю, что странно ее не иметь, поступив в мед), 3. пофигисты ( таких очень мало, здесь про них писали: могут отсутствовать на половине пары, ничего не объяснять - такое кстати чаще встречается на 4-6 курсе на каком-нибудь недельном цикле). 
Если студент нормально понимает материал, хорошо в нем ориентируется, то валить его никто не будет. Говорю это как бывшая студентка таких преподов как (M*******, А*******, К*******, С******, М*******, Р**** и т.д). 
2. Учебники и методички. Есть некоторые нормальные (которые выдаются библиотекой), остальные полный провал, но вам придется их читать, несмотря на устаревшую информацию, т.к на экзамене вас могут спросить какую-нибудь классификацию из кафедрального учебника.  Чтобы стать нормальным врачом и иметь хорошие знания, лучше с 1 курса читать иностранную литературу и быть &quot;в теме&quot;. У меня, к сожалению, читать нормальные книги получилось только с 4 курса, т.к. на первых 3 курсах времени на все хватало впритык. 
3. СНО. Это отличный повод проявить себя и сделать выбор узкой специализации как можно быстрее. В Первом меде очень много направлений. В основном ребята делают доклады и выступают с ними, также можно сделать научную работу &quot;студенческого&quot; уровня и выступить с ней на конференции. Было бы желание, многие кафедры предлагают варианты для хоть какого-то, но развития. Для тех, кто собирается в хирургию, есть студенческое хирургическое общество. Я ходила 1 год, потом бросила поняла, что это не для меня. Но все равно благодарна тому времени, было круто и бесконечно интересно! 
4. Общежития. Здесь все просто. Лучше в них не жить. Кому требуется: тройка - если хочешь утром поспать на час дольше или когда у тебя окошко сходить домой поучить/поспать, но будь готов к минусам (коридорный тип, много иностранцев, которые могут не убирать за собой на общих кухнях , ну и тараканы), шестая- квартирный тип, тараканы там редкость, но зато добираться до универа 1 час. С 4 курса в плане транспортной доступности все в одинаковых условиях, т.к придется ездить на клинические базы вне универа.
5. Столовая. Она ужасна. Лучше туда не ходить. Зато рядом куча кафешек у метро, голодными не останетесь.
6. Практика и допуск к пациентам. Все не так плохо, по сравнению с рассказами ребят из других универов. Очень много возможностей попрактиковаться на терапевтических кафедрах ( факультетская и госпитальная терапия, пропедевтика). Там прям будут давать пациентов, потом любые непонятные моменты можно будет обсудить с преподавателем, также во время цикла нужно будет написать одну историю болезни. Мне лично все равно не хватало, хотелось бы еще больше практики  и еще больше пациентов. Но к сожалению, нельзя было отступать от кафедрального плана ( во время занятий мы сначала должны были обсуждать теорию, затем писать всякие проверочные работы, проходить устные опросы, рассказывать доклады, и только затем мы шли на отделение смотреть пациентов). Надеюсь, что когда-нибудь это пересмотрят. Вообще не хватало практики на хирургических кафедрах (госпитальная и факультетская хирургия), видели раз 5 операции, все остальное время- обсуждение теории в кабинете. Мне кажется даже на общей хирургии на 3 курсе возможностей  что-то увидеть было больше. Вообще не видели пациентов на офтальмологии, ЛОР, урологии. Возможно это моей группе так не повезло. 
7. Оснащение универа. В основном это нужно на первых 3 курсах. На анатомии мне всего хватало (в плане количества), но честно говоря сами препараты староваты, хотелось бы получше. В плане времени - здесь вы не ограничены, можете хоть жить в анатомичке и смотреть все подряд. Гистология, патан, биология - микроскопов много,  в основном все в хорошем состоянии, практика проходит так: смотрим в микроскоп и рисуем все это в альбом (отнимает много времени, но в итоге оказывается полезным, если с пониманием подходить к процессу).  Очень странная практика была на физиологии и патфизе, оснащение для выполнения лабораторных работ ужасное ( я делала все чисто для галочки). 
8. Неучебная студенческая жизнь. Есть много спортивных секций, капустник. Об этом мало что могу сказать, т.к лично меня это все не особо интересовало. 
9. Территория универа. Довольно ухоженная, корпуса нормальные. В некоторых корпусах внутри плохой ремонт (21 корпус, здесь всякие гуманитарные науки), ужасные туалеты ( в этом же 21 корпусе).
10. Ненужные предметы. Они есть в любом универе, т.к план у всех единый. Но мне все же кажется, что в Первом меде на них больше заостряется внимание. У меня иногда возникал диссонанс ( например, почему философия идет целый год, и цикл по неврологии на 4 курсе 2 недели). Но это еще пол беды, преподаватели на этих ненужных кафедрах  часто пытались показать  значимость изучения их предметов и пытались чем-то грузить. Возможно это круто знать историю культуры, историю медицины, философию, этику, психологию, но эти предметы вообще не вписывались в мой план, поэтому в основном я просто ходила для галочки и занималась на них своими делами (учила анатомию и латынь:)). Отдельная нелюбовь у меня к физ-ре, это реально адский ад. Придется терпеть и ходить. В Первом меде отбитые преподы по физ-ре. С особым ужасом вспоминаю бег по дождливой набережной и сдачу нормативов после 2-часового сна... зато бодрит. Возможно для кого-то такой спорт между парами покажется плюсом.
Если бы я была сейчас абитуриентом, то скорее всего снова поступила бы сюда , т.к плюсов здесь  намного больше минусов. 
Если реально &quot;учиться&quot;, то есть все шансы стать хорошим врачом.
",positive
"


Когда поступила, долго радовалась, ведь это все-таки Первый мед! Но оказалась х***я полная, потому что первый он только по количеству отчислений. Особенно плохие новости у меня для бюджетников. Если вы поступили, то радоваться вам осталось недолго, потому что уже на 1 курсе вас будут пытаться слить! Я сама была бюджетницей и знаю, о чем говорю. Отчисляют в основном из-за анатомии и именно на этой кафедре вам будут вставлять палки в колёса, валить на зачетах, говоря в лицо, что, приятель, ты здесь ненадолго :) 
Что касается остальных предметов, то закрыться там реально, даже если у тебя не хватило баллов. Достаточно только заплатить денежку за так называемый «доп курс» и заветные циферки тебе в зачетке нарисуют. 
Вторая моя головная боль - это физкультура. Я понимаю, что высшее образование, все дела, но у всех нас разная степень подготовленности, разные способности, и не все мы можем уложиться в норматив так, чтобы внутренности не вылезли. Но вы все равно должны сделать это, иначе вам баллов не хватит!!! Хотя опять  же все можно решить с помощью money  ;) Да, и полтора часа вы будете пахать без остановки, но зато успеете побегать, попрыгать и даже растяжку сделать. Спорт - это ЖЫзнь...Показать полностью....
Разумеется, на кафедрах есть хорошие преподаватели, которые, когда надо, объяснят или помогут студентам, но все это, увы, перечёркивает анатомия - единственная кафедра(на 1 курсе), где на тебя смотрят, как на г***о, стараются сломать морально и физически. Поговорим про благоустройство.
Территория красивая, много зелени, слабенький, но все же есть, фонтанчик, корпуса все в одном месте, но вот их состояние оставляет желать лучшего. Учебные корпуса больше смахивают на подъезды, только алкашей не хватает, хотя на верхних этажах 21 корпуса можно заметить их атрибуты в виде пустых бутылок. Разрисованные стены тоже атмосферности добавляют :)) Потолки прогнивают, с них часто что-то капает. Отдельного внимания заслуживают туалеты, которыми, судя по отзывам, Первый мед уже прославился. Почему-то на весь 21 корпус только одна кабинка в женском туалете, дай бог, если слив работает. Но зато туалетная бумага на месте. Старейшее оборудование, с которым работать и неудобно, и неприятно.
Вывод таков: я проучилась в этом университете 1 год, отчислилась и теперь ни о чем не жалею, кроме потерянного времени и потраченных нервов. Если у вас есть деньги, то есть и шанс там учиться. Если нет, то пеняйте на себя.",negative
"


Как и у всех было счастья полные штаны при поступлении на любимую специальность в такой крупный вуз. Но, увы и ах, так же как и всех остальных бюджетников, меня постигло горькое разочарование. Уже в первом семестре начались поборы в виде доп курсов, без которых ни в какую не хотят ставить зачёты по некоторым предметам. Далее было хуже. После первой же сессии со стипендии у нас слетела почти вся группа, на следующей соответственно слетели все. И заметьте это все дети высокобальники и олимпиадники. Первый год все находятся в стрессе, что они из &quot; гордости  и надежды своих родителей&quot; превратились в позорных троечников с бесконечными хвастами. Очень многие начинают принимать антидепрессанты и что по-сильнее. Позже сломленные студенты уже просто пытаются удержаться в вузе хоть как-то. Пспбгму ни кем не дорожит. А ведь сюда поступали лучшие со всей страны. Я сам учился на целевом, боялся, что не пройду по баллам. И совершил большую ошибку. Сейчас те мои одноклассники,кто  весьма средней успеваемости, кто поступил В другие мед вузы, учатся и даже анат сдают с первой попытки. А я олимпиадник , медалист, гордость школы - отчислен . Как мне сказали в деканате и проректор: нужны оче...Показать полностью...нь &quot;весомые доводы&quot;, чтобы вас оставить или предложили идти на платное. Весомых доводов в моей семье просто нет. У нас обычная бедная семья, т.е. средний класс и для нас сумма оказалась не посильной. Отчисляют всех без разбора и бюджетников и целевиков. К третьему курсу из 500 набранных в мой год, отчислили 270, т.е остались почти только все платники. Их отчисляют позже и предлагают на остаться с понижением на курс. Даже их дополнительно растрясают на деньги. Так что учтите, вы будете платить (и учиться на платном)не за 8лет, а как минимум за все 10.  А с целевиками вообще пошла такая тема сейчас: их набирают по 350 человек против 28 бюджетников.И потом схема работы с ними следующая: часть из них под угрозой отчисления находит выходы на деканат и &quot;благодарит&quot; периодически, другие переходят на платное, и оставшиеся наиболее наивные отчисляются. Но! Им не отдают аттестат , требуют оплатить деньги за целевое (по 270 000 за каждый год). Кому-то говорят, что восстановят после оплаты целевого.НО ЭТО ЛОЖЬ, не ведитесь, вас не восстановят.  На данный момент ребята просрочили сроки подачи документов в другой вуз из-за этого. Потом ,наверное, всё-таки отдадут, но будет потерян ещё год куча стресса и разочарования, короче дипрессия. И в это состояние они загоняют людей, которые должны были стать лучшими специалистами. За которых в другие времена страна держалась и вузы боролись. Вывод. В этом заведении бесплатно не учиться НИКТО. Так или иначе вы заплатите приблизительно одинаковую сумму. От числяют даже на 5,6-курсах и перед дипломом, если закончились&quot; весомые доводы&quot;. Подумайте сто раз , эйфория по-поводу поступления пройдет в течении первого месяца, а потом наступит ад. Лично я вообще не пойду больше в медицину, 1,5 года на дистанционке, ковид и отношение к медикам, а главное этот вуз отбили желание, уничтожили мечту.",negative
"


При поступлении была возможность пойти в любой вуз. Но ,к сожалению, допустила ошибку и поступила сюда. Если отметить положительные стороны, то организованность учебного процесса ( по большей части)- изначально знаешь расписание, какие экзамены сдавать и тд. Богатая история университета. В остальном... Первое, что бросается в глаза-ужасное отношение к студентам. Унижения от преподавателей, вечные разговоры о том, что всех отчислят. Нет человеческого отношения, на двух сессиях мне поставили такой балл за экзамен, чтобы не хватило балла до 4. Если у вас какая-то проблема, то никого это не волнует, каждый раз используют цитату «Вас тут по головам не считают, отчислят и ничего страшного. На ваше место ещё 15 таких же». Многие из преподавательского состава были отчислены и поэтому для них это пустяк. 
Несмотря на громкие кличи «Первый мед всегда первый» в этом месте нет условий, оборудования, препаратов в адекватном состоянии, переодеваться в хир костюм в туалете на подоконнике и тд. 
Желание заниматься научной деятельностью здесь пропадает, да и особо нет перспектив. 
Многие ребята не выдерживают именно из-за состояния «на пороховой бочке», ходят к психологу , принимают антидепрессанты, курят и используют другие способы избавления от вечного стресса. Тысячу раз подумайте, обучаться со здоровой психикой в нормальном вузе, либо перегорать здесь. ПС. писала данный текст не глупая девочка на платке. Имею дипломы Всероссийской олимпиады, российских олимпиад школьников",negative
"


Если вам родители не достали по связям целевое направление делать там не чего. Да будь у вас семь пядей во лбу вас начнут сливать со второго курса. Без вариантов. Это касается прежде всего бюджетников. Если бы кто -нибудь озаботился и посмотрел на списки отчисленных то увидел что др четвёртого курса не доходит не один бюджетник. А если посмотреть на зачётки отчисленных и сравнить их с зачётками целивиков то можно увидеть ,что бюджетники учатся -то хорошо. А экзамены не сдают. Их валят. А целивики с долгами и бесконечными пересдачами  ,набирая минимальные баллы ,экзамены сдают. Мистика?Нет Нет. Я не знаю как в других вузах. Но это заведение корумпировано насквозь. Вы сидите учите днями и ночами. Каждый зачёт вас опрашивают с пристрастием. При этом целевику достаточно с третьего раза два слова промямлить. Это заведение уродует и уничтожает нашу медецину . Ведь это же происходит на всех курсах. Эти все недонеучи прийдут работать в больницы. Далее по платникам . Они учатся также под постоянной угрозой отчисления,когда нужно освободить место для блатного целевика. Но их отчисляют если не осталось бюджетников. Так что повторюсь нет направления - не стоит и пытаться. За последние годы не один бюджетник не закончил этот вуз.",negative
"


Всем доброго времени суток! Хочу написать свой отзыв о ПСПБГМУ имени Павлова. Я училась на факультете «лечебное дело» и на настоящий момент закончила 6 курс. Что ж, распишем по пунктам.
1)	Учебный процесс. Читала много жалоб на то, что на первых двух курсах много лишних предметов, мешающих готовиться к не менее важным дисциплинам. Да, действительно, таких предметов очень и очень много. На первом курсе вы просто поселитесь в 21 корпусе, где и будет проходить большинство пар. Знания по физике, математике, философии, истории вряд ли пригодятся Вам в будущей работе врача, но они преподаются, так как их наличие обязательно в образовательной программе ВЫСШЕГО учебного заведения. 
В вузе очень много действительно хороших преподавателей, которые хорошо выполняют свою работу. Но с первого курса придется привыкнуть заниматься самообразованием. Вначале будет очень трудно. Однако, с течением времени вы научитесь находить нужную информацию самостоятельно. Первые три курса – это, к сожалению, максимальная от всего времени обучения концентрация неадекватных преподов и кафедр с непонятными требованиями. К Вам зачастую будут относиться как к новобранцам в армии. Это нужно пережить. После третьего к...Показать полностью...урса наконец начинается изучение собственно клинических дисциплин, и вот здесь Вы поймете, что такое адекватное и уважительное отношение к студенту. Преподаватели на клинических кафедрах в основном практикующие врачи, у которых еще свежая голова, свободная от стереотипов. 
Плюсы обучения: Довольно много практики, особенно летней. Хорошие студенческие научные сообщества, которые дают много практических и теоретических знаний. Проводится много научных конференций и конкурсов, можно заниматься научной работой.
2)	Библиотека. В университете есть довольно большой читальный зал, куда можно приходить в свободное время или во время «окон» между парами. Сразу говорю не расстраивайтесь, если Вам не хватило какой-либо книги: почти все они есть в электронном формате. В ВК есть паблик «Алко. Первый медицинский». Там в обсуждениях много полезной литературы.  Из действительно нужных книг могу отметить анатомию Привеса, учебник по гистологии Быкова, некоторые методички по биологии. На старших курсах вы почти не будете пользоваться учебниками, а учить будете по клиническим рекомендациям и статьям в интернете.
3)	Студенческая жизнь. С ней в вузе все хорошо: двери «Капустника» открыты для всех. Есть множество спортивных секций. Также можно состоять в студенческом медотряде.
4)	Общежития и столовые. Сама я в общежитии не жила, но по отзывам знакомых самое хорошее – это шестое общежитие, которое находится на станции метро Пионерская.  Общагу дают не всем иногородним, с местом вполне реально пролететь. Некоторые люди снимали квартиру полгода, но потом их все же заселяли в общежитие.
В универе есть столовая и она, на мой взгляд, ужасна. Стоять в очереди полчаса, чтобы купить заветренный салат за 100 рублей – это явно неверный выбор. Цены большие, но качество еды хромает плюс вполне реально отравиться. Рядом с метро Петроградская находится множество кафешек, где вы за те же деньги получите вкусный обед.

В целом, я рекомендую Вуз к обучению. Я вполне довольна качеством полученного образования.
Советы, если вы все-таки решите поступать:
1)	На первое время купите шапочку и два халата, чтобы их можно было менять. Также нужно приобрести альбом (на завязках, а не на пружинах) и набор цветных карандашей (обязательный синий и розовый) – это нужно для гистологии.
2)	Определяться с дальнейшей специализацией желательно курса с третьего. И тогда же нужно начинать думать о баллах для ординатуры, иными словами баллами за индивидуальные достижения. Занимайтесь волонтерством, работайте медсестрами, учитесь на красный диплом, участвуйте в научных конференциях – и будет вам счастье))
Всем удачи!!!
",positive
"


Заходила на этот сайт и читала отзывы о вузе перед тем как поступать, долго думала и эти отзывы сначала пугали. Я думала - а вдруг я правда ошибаюсь с вузом? Я из другого региона и у меня там есть свой медвуз. Почитала отзывы про него и там все по слухам ещё хуже. Ну была не была - решила рискнуть. Поступила в Павлова. Я на своём опыте говорю - про коррупцию полный бред! Тут почему то все об этом пишут, но это не правда. Я не самый идеальный студент, были и долги и отработки, но ни разу ничего не купила. И не предлагали и даже не слышала ни о от кого ничего подобного! Слухи это все и брехня!!
То что все пускают на самообразование--тоже ложь. Большинство преподавателей очень честные,грамотные, люди которые переданы своей работе. С удовольствием обьясняют все, отвечают даже на глупые вопросы. Почему так пишите про ординаторов? У меня 2 семестра вели анатомию ординаторы и они прекрасно справлялись со своей работой. Им очень кончено тяжело, многие и работают и преподают, часто приходят после тяжёлой смены, но я считаю что общение с практикующими врачами-ординаторами при изучении анатомии только плюс. Они могут рассказать интересные клинические случаи и дополнить сухой материал интересн...Показать полностью...ыми рассказами из практики. Зря вы так. Действительно я считаю пишут какие-то двоечники обиженки которых отчислили скорее всего заслуженно. Говорю же я не отличник и была на комиссии, но во всех неудачах я вижу только свои ошибки а не как не ошибки вуза. Университет прекрасен. Я ни на каплю не пожалела. Очень счастлива что рискнула.
Всем советую поступать, и помните - Первый мед всегда первый!
PS-я живу в 3 общежитии и тоже заметила тут и про неё негатив. В мой год мест прекрасно хватало всем! И деканат идёт на встречу, если у вас нет жилья они сделают все возможное что бы дать общежитие. Я люблю свою комнату и вообще общежите в целом. Да минусы есть, тараканы, но с ними борются и тут уж как с соседями повезёт. Атмосфера там очень уютная и дружная, думаю вам понравится. ",positive
"


Закончил стоматологию в 2018 (кстати с красным дипломом) . Если вы эрудированный человек, хорошо знающий иностранный язык, то подумайте сто раз прежде чем выбрать медицину а тем паче Первый Мед в Питере. Отучившись в первом меде я хорошо понял, что такое Россия - когда познакомился с медициной изнутри и медицинским образованием. Кроме того, оказавшись рядом с неадекватными профессорами, орущими на тебя за ошибки при ответе на зачете и бьющими по рукам металлическим пинцетом невольно задумываешься о пяти проведенных годах жизни. Учился на хирургических болезнях и препода, ведущего занятия в подвале городской больнице на Крестовском острове, у него есть фишка такая - не выпускать студентов во время пятичасового цикла на перерыв - по его мнению здоровый человек может пять часов сдерживать желание справить нужду. Вообще в принципе в Первом Меде к студентам самое мерзкое отношение - особенно на профильных стоматологических кафедрах - ребята тупо пилят бабло , оборудование для отработки манульных навыков не покупают - руками работать и учить актуальному вас не будут. Вы вряд ли узнаете там  какую-то свежую информацию. На терапевтической стоматологии нас учили методикам , которые в цивили...Показать полностью...зованных странах уже 30 лет ,как устарели. Вы будете посещать обязательные скучные и бесполезные лекции и в конечном счете готовиться к экзамену самостоятельно. Если вы продвинуты и владеете новыми знаниями - это может сыграть с вами злую шутку, поскольку некоторые совковые сектанты будут всячески хаять все новое , а вы будете от этого страдать. Думаю, что каждый адекватный современный человек согласится со мной в том, что Первый Мед это дремучий Советский Союз - а театр как известно, начинается с вешалки.

 Нельзя, конечно, сказать, что время было потрачено зря - я встретил нескольких хороших преподавателей и прежде всего людей (профессора микробиологии В.Т****, молодого аспиранта кафедры патофизиологии и ныне ЛОР-врача И***** С.), которые продвинуты, не застряли в Советском Союзе,идут в ногу со временем и в свое время многому научили и по-настоящему помогли, за что им огромная благодарность. Но это единичные Личности. Есть нейтральные и хорошие кафедры (клиническая психология, психиатрия. биохимия) в которых есть адекватные люди, которым можно задавать вопросы и разговаривать . Однако по большей части университет населяют ретрограды и ханжи, которые ваши вопросы по существу или позицию по какому-либо вопросу расценивают как дремучесть или как личное оскорбление.

Государство создает систему непрерывного медицинского образования - и теперь первый мед будет преследовать всех врачей до конца карьеры.Каждый врач будет платить за учебу ,которая нужна только для галочки - впрочем как и большая часть учебы в первом меле.

Если вы еще твердо не уверены становиться ли врачом - сейчас самое время ДЕЙСТВИТЕЛЬНО ХОРОШО подумать. Такие унижения со стороны государства, вуза, да и временами будущих пациентов(которые будут относится к вам чуть лучше чем официанту в забегаловке) в жизни вы сможете выдержать только при условии, что вы болеете за то , что делаете и кайфуете от своей работы. Вы встаете на путь на котором вы ВСЕМ будете должны и обязаны, вам никто не будет должен ничего. Сейчас медицинское образование занимает по времени не меньше семи-восьми лет (универ+ординатура(без которой вы никто)) . Всем желаю определиться и если все таки попали сюда не бойтесь бросить, если чувствуете что идете не туда - в 2020 году врач - не самая востребованная профессия, перспектив маловато, геморроя дофига. Альтернативы - есть, главное включайте голову. Желаю всем добра.",negative
"


К 5 курсу все надежды, связанные с 1 медом, окончательно испарились. Сразу хочу сказать, что с оценками у меня всё хорошо, на пересдачи никогда не гоняли и это не нытьё от излишней требовательности и серьёзности образования. Моя главная претензия: здесь не учат. Поэтому будь у меня возможность, я училась бы в другом месте. 80% материалов и преподавателей устарело, рациональной организации учебного процесса нет. Здесь главное, чтобы студент/ка отсидел/а положенное количество часов: лекции, семинары, которые называются практическими, но на деле практики мы не видим. Бывает, что ездим несколько недель в больницу на окраину города, сидим в тесной комнатушке с развалившейся мебелью и не встречаемся с пациентами. Бывает, за месячный цикл видим преподавателя час в целом, но сидеть одни на паре обязаны. 1 мед - это не сияющий главный корпус на официальном сайте и обещания клиники с 3 курса.
Это унижения по определению, что вы - студент/ка. Лекторы без суда и следствия поливают грязью и между делом оправляют копать канавы (словесно). Нас принуждают посещать лекции, на которых преподаватель/ница бубнит себе под нос текст из учебника, перенесённый на нечитаемые слайды. Немало преподавателей-с...Показать полностью...ексистов, мракобесов, покрытых плесенью и духом &quot;а вот в ссср...&quot;. На парах несут антинаучную чепуху, унижают женщин, я слышала о домогательствах. Те, кто учатся, делают это не благодаря, а вопреки.
Есть то, за что я благодарна 1 меду, но это исключения, а не правило, их можно пересчитать по пальцам, и с администрацией и организацией они никак не связаны.
Поэтому выберите другой вуз. Я была на олимпиаде в 1 меде в Москве и со стороны он показался лучше, но это был единственный контакт.",negative
