Text,Mark
"


Сегодняшний слив про СИЦО

Дисклеймер: Какие на первом курсе все счастливые на любом, внимание, абсолютно любом факультете и какие несчастные на 4 - наверно говорит о многом в плане удовлетворенности студентов качеством и направлением образования в российских вузах. Так что набрав нереальное число баллов по егэ и поступив в шарагу мечты - не спеши сильно радоваться, чтобы потом сильно не плакать и не прыгать с крыши в пунке. Не будет ни фанфар, ни красных ковровых дорожек. Зато будет электричка или автобус до пунка и хвойный лес рядом с  холодным заливом. Заранее предупреждаю абитуру - не вздумайте уходить в лес или прыгать с крыши или таблеток жрать, что происходит регулярно. Лучше отчислитесь, переждите, уйдите в запой, сдайте егэ заново, что угодно. Оно того не стоит. 

ПУНК - отдельный квест, кто выдержал это испытания до конца - святые вы люди. Зато стоит общага сущие копейки и даже имеет шансы быть с ремонтом и без таракашек.  2 часа 20 минут до факультета в один конец. факультет красивый. там бы фильмы снимать, а не учиться. зато еда в столовке так себе, мясо в комбо-обеде (250 руб) нам только снилось, спортзала нет, надо куда-то ехать, всем по**, закрывается физ-ра тестами ...Показать полностью...и бумажками, библиотека на факультете закрывается рано.  

От общих социологов вы можете слышать, что на СИЦО сложна учицца патамушта математика ----- ответ: нет, не сложно, если будете посещать пары, хотя бы за одно это вам поставят хотя бы 3, хотя..... исключения в виде отчислений, например, за статистику или за R - были. Питону и другим языкам не учат особо. Учат делать import this, import that - как максимум. Или прогонять чужой код. Привет С.В. Р******* и  его китайским магистранткам.

Очень жирная часть программы отвалена на откуп понятию цифровое общество и всему что с этим связано, переливанию из пустого в порожнее, иногда до блевотных позывов и от осознания бессмысленности бытия, к этому надо быть готовым. На этом моменте открывается новая интерпретация кричалки &quot;самый бомбический-факультет социологический&quot;. не потому, что бомба. а потому, что бомбит. 

Совет: с рабочими программами учебных дисциплин можно ознакомиться на сайте СПбГУ в разделе &quot;образование&quot; - описание образовательных программ и это будет гораздо полезнее, чем любой высер анонима

На самом деле, как бы модно ни звучало описание программы, всю математику тянут от силы три препода (Н.Ю. К*****, С******, Е*****). И еще парочка - анализ в R (Г******) и стат. пакете SPSS. чувствуется нехватка шарящих преподов особенно на старших курсах если вы хотите профилирование в статистику, R, Big Data. Вам расскажут, что такое эта big data - но не научат работать с ней. Социология дается более поверхностно, чем у общих социологов из-за засилья &quot;цифрового общества&quot;. Говорить, что всё по лайту, что можно забить болт, бить баклуши, что можно не ходить на пары - я не буду, так как есть вероятность, что какой-нибудь препод прочитает данный высер и заставить ходить всех на пары назло. Но вариант прое***ться - всегда есть. Даже есть вариант сильно прое***ться, но это не плюс в карму и вам это все запомнят. есть прецеденты работающих людей в гибким графиком или на 1/2 ставки хоть со 2 курса и выше. но это неправильная нагрузка, если вы не психопатическая личность, которая спит 4 часа в сутки - не рекомендую. По итогам с соц фака спбгу - кто-то даже крутым маркетологом стал или айтишником, а кто-то делает успехи на творческом поприще или в навуке.

Ловушки: физ-ра (пишите тесты и ИУП), низкий балл по экзаменам может не дать выбрать курс по жлективу который ты вожделел,  слабая команда тиммейтов для выполнения проектов (смотрите с кем связываетесь), ложное чувство свободы в начале сема и аврал в конце, неправильный выбор научника также может подкосить. Как сказал один умный человек, выбирай научника по морально-нравственным качествам и личной симпатии, а не по соответствию твоим научным интересам. Избегайте слова &quot;гендер&quot; при Сошневе, лучше - вообще не связывайтесь с этой темой, это уже переросло в локальный мем.

Возможности: 1) сидеть и дрочиться в клинике прикладных исследований. Полезно, но трудозатратно и не то, чтобы оплачивается. часто - обезьяний труд и многочасовые групповые созвоны по обсуждению чего-то, что можно было сделать в 10 раз быстрее. 
2) пройти практику в компании-партнере. из того широкого списка, что представлен на сайте, реально на стажировку/практику тебя возьмут от силы 10. 
3) навука. Ковали ждут тебя, даже если ты просто написал курсач, по его материалам многие и выступают
4) стипуха. аж целых 2200 рублей. Если пгас - то больше раза в три. 
5) матпомощь: компенсация билетов в родной город, если ты не питерский, компенсация обедов соц. категориям, компенсация детям разведенок - хорошая социалка
6) самообразование и творчество а также культмасс из-за отсутствия дро**льни как на этих ваших матмехах или эконом факах

В целом, программа сырая, многие сострадальцы наверно согласятся, что часть курсов была просто бесполезной или водянистой. И нет никакой гарантии, что что-то кардинально улучшится в обозримом будущем. 

Но если ты тот чел, который еще не определился, кем хочет быть или не хочет быть чисто гуманитарием (дурацкая классификация) и хочет уметь считать цыферки, но не уверен в своих силах, или, вариант номер 3, ты хочешь диплом СПбГУ, но не хочешь за него сильно впахивать, как бедняги с мат. специальностей -  это твой вариант. Подойдет тем, кто хочет в навуку.  А еще подойдет архитектурным эстетам, так как красивее и понтовее места для обучения представить сложно

Как итог - везде и нигде, и полная дезориентация людей (особенно вчерашних домашних пай-девочек отличниц в плане &quot;а кем работать&quot;. Подойдет тем, кто имеет дух авантюриста и не боится трудностей, а также способен идти на компромиссы, особенно с пожилыми людьми, которые уже выработали свою позицию и свою методу преподавания. Также подойдет инициативным и умным людям, которые за счет отсутствия особо популярных кружков, кроме клиники, в теории могут основать что-то своё и залутать хайп.

Звезды программы - Е**** и Г*****. Без этих двух людей всё было бы как-то иначе. Любовь всего факультета, самые лучшие мужчины земли по коллективному мнению студенток.

Преподы, пары с которыми стоит посещать, даже если вы с состоянии только ползти до факультета. где-то наберетесь мозгов, где-то получите бесплатный спектакль или умную и смешную шутку в подарок, где-то просто получите по шапке за посещаемость: Н.Ю. К******, О****, С*****, Г******, весь состав твоей кафедры: (Е*****, С******, М****** и т.д), М.М. Р******, и, внезапно, Р*******, С*****, М****** - без посещаемости у них тебе кирдык.

Плюсы: хи-хи, ха-ха, цифровое общество, цифровизация, черное зеркало, тыжпрограммист(нет), жнец и на дуде игрец
Минусов: нет

Соответствие интересам: цифровизация, динамика развития общества, прикладной анализ данных в социологии, теория принятия решений, сетевой анализ, теория графов, парсинги разных сортов, взятие интервью у людей, составление опросников, зависание над проектами в клинике

Чего вы не найдете на этом направлении: глубокое понимание социологии как на кафедре теории и истории, не получите такого уровня подготовки, чтобы стать программистом или хакером, да даже продуктовым аналитиком или UX аналитиком без отдельного е***ния, хорошего английского (проблема всего спбгу). в общем, хотели всего и сразу, получили всего и понемногу. но вы все можете это сделать сами. 

Чему вы научитесь без вариантов: SPSS, R, Excel, PowerPoint

Вердикт: анон рекомендует при достаточном уровне по***уизма и компьютерной грамотности вкупе с терпимостью к цифрам",medium
"


Ребята, пишу этот отзыв исключительно для того, чтобы вы делали правильный выбор. Мне в своё время не предоставили полной картины, поэтому я, к сожалению, жалею о выборе университета.
Как пишут во всех других отзывах здесь, СПбГУ - неоправданно выпендривающийся вуз. Уровень образования объективно падает уже давно из-за подхода к образованию людей с верхов. Про ВШЖиМК я увидел только один отзыв, поэтому добавлю еще и свой.
Основная проблема заключается в том, что студентов не просто не слушают, но даже не слышат. Руководство говорит, что открыто к дискуссиям и предложениям, но либерализм студентов здесь не поддерживается совсем. За любые креативные идеи устроить студенческие слеты, тусовки вам выдают дисциплинарку. Ведь говорили родители - студенческие годы лучшие. В СПбГУ - точно нет. Здесь студент не чувствует свободы, своего мнения он не может иметь, если оно не совпадает с точкой зрения педагога. Каждый раз, столкнувшись с несправедливостью, опускаются руки, ты теряешь надежду на светлое будущее в этом универе. Недавно преподаватель вообще использовал как аргумент против студента его личную переписку (типо что???)
Про крошечные стипендии, на которые ты горбатишься 24/7, тут уже ...Показать полностью...писали, но что интересно - цена за обучение все растет, а качество полученных знаний падает. Тебе преподносят информацию под соусом уникального неповторимого материала, который, как оказывается позже, можно найти в открытом доступе в интернете.
Преподаватели на журфаке слишком высокого мнения о себе. То, что они разъезжают на ламбах и майбахах, ещё ладно, но позволять себе вести себя надменно, в понимании студента, ненормально.
Короче система давно прогнила изнутри, многие адекватные преподаватели поубегали уз универа в ту же ВШЭ или Ранхигс. Так что прежде, чем класть всё на поступление в СПбГУ, подумайте тысячу раз!
",negative
"


Отзыв на классический журфак. Спойлер: все плохо, плюсов не будет (минусы их затмевают).

Уровень образование, или Самое большое разочарование. Все, что проходят здесь годами, можно получить на полугодовых курсах, а настоящего академического образования получить просто невозможно, зато есть «сплошная практика», которая так всем нравится! Это будет казаться правильным и прикольным, но только до момента, когда поймете (вероятно, уже в конце 1 курса!), что вас н*******т, что вы должны были получать знания, а не только технологическую карту «Как писать обо всем, если ничего не знаешь». Тут только процесс деградации и может начаться, потому что вынести весь поток бесполезных занятий/заданий можно только притворившись простаком, который не понимает, что ему втирают какое-то д****о за 260 тысяч рублей в год. Претензия же на качественную и интеллектуальную работу никем не будет отмечена, но зато даже объективно слабые работы «самых активных студентов» будете лицезреть в качестве примеров «как нужно делать» (некоторые, например Е. С. С., открыто отмечают, что их оценки работ субъективны и обусловлены личным отношением к студенту или поднятой теме!). Но не удивляйтесь, здесь фидбек вообще ре...Показать полностью...дкое явление: надо просто делать, а будут ли работы вообще проверены – не ваше дело, все-равно ничему не научитесь. Журфак в принципе оккупирован, простите, «л********и», но эта эпидемия среди преподавателей удивительна... Еще один важный момент: расписание с каждым годом все хуже и хуже. Все неделю может быть только по 1 паре в день, окно в 2-3 часа между 2 парами – норма. Даже молчу про постоянно опаздывающих и переносящих занятия преподавателей. Конечно, есть и действительно хорошие преподаватели, как Дмитрий П. Г.,  Юлия Б. Б., Владимир И. К., правда, это скорее исключение из правил. Поступление ради них, конечно, того не стоит. Также подписываюсь под словами человека, который писал на Табитуриенте о том, что здесь активно впихиваются «знания» и «навыки» работы типографий времен СССР, которые по словам преподавателя, «прописаны в программе, но сейчас так, конечно, никто не делает». Выгодное расположение корпуса факультета никак не затмит тот ужас, что происходит внутри здания после выхода с дистанционки. Кратко: узкие коридоры, во многих аудиториях нет естественного света (в 102 аудитории, в которой тоже проводят лекции, нет даже столов!), доисторические компьютерные классы, 7 этажей и отсутствие лифта, лаундж-зоны/коворкинга, отсутствие парковки/парковочных мест. Атмосфера, мягко говоря, угнетающая, особенно во время сессии, когда в день сдачи экзамена можно простоять 3-4 часа в ожидании своей очереди в душном, вонючем и узком коридоре. Хотела еще написать пару слов об учебном отделе, но после первого разговора с обиженными на жизнь сотрудниками вы туда больше не придете. Учебные платформы (а также множество онлайн-курсов!) и техподдержка только и превосходят степень их бесполезности. Такие упаднические настроения и отношения к факультету отнюдь не единичны и подтверждаются той высокой степенью отчислений, о которой либо умалчивают, либо «шутят», что студенты бездарные, неграмотные и прочее. (Кстати, напоминать вам об этом будут в начале каждого курса!) Никогда бы не стала сюда поступать. В свое время со своими баллами могла пройти на бюджет в МГУ, но была надежда на лучшую долю в СПбГУ. Никого ни к чему не призываю, но не советую на слово верить безоблачной и красивой картинке, о которой некоторые пишут. ",negative
"


Всем привет, сейчас учусь на  матмехе, направление - программная инженерия. Если честно, то очень неоднозначные впечатления от этого места, начну по порядку: 1)Сам корпус находится в Петергофе, в 5 минутах от общежития(общагу ,кстати, дают вообще всем, а это огромный плюс), с инфраструктурой проблем никаких, если вы планируете жить в ПУНКе(ну то есть в этих самых общагах) :  в 15 минутах ходьбы гипермаркет Лента, в 15 минутах ходьбы  - электричка(ехать до самого Питера минут 40-50, но вряд ли у вас будет много времени на погулять в СПБ :)  ).  2)Сам процесс обучения : я учусь со второго семестра здесь, тк перевелся из другого Вуза после первого семестра, поэтому могу сказать о первом семе лишь со слов одногруппников. На первом семестре нормально грузят математическими предметами : матан(пределы, множества, отображения), дискретка(тер вер на очень нормальном уровне, немного графов), алгебра(кольца вычетов, многочлены, делимость, сравнения). Лекторы и семинаристы хорошо ведут занятия, материал тоже очень хороший, в меру глубокий, но не настолько, как на условном матобесе(Математическое обеспечение и администрирование чего-то там), так что если вы захотите изучить материал на очень си...Показать полностью...льном уровне - придется делать это самому. Преподаватели никогда не посмотрят косо на вас, если вы зададите какой-то вопрос на лекции, семинаре, после занятия, они действительно любят свое дело и я нередко замечаю, как в перерывах пара студентов беседует с преподавателями о материале. 2.1) Небольшая ремарка : если вы идете на прог инжу или на технологии программирования, то знайте, что кафедра, которая первые два курса &quot;ответственна&quot; за вас - кафедра системного программирования, а люди с этой кафедры ооооооочень любят язык Си, просто Си, на котором и будет у вас первый семестр(вам подробно все объяснят, если будете все нормально слушать и делать - вы отлично овладейте этим языком). Если вы любите низкоуровневое/системное/функциональное  программирование, то вряд ли вы найдете лучшего места в России, потому что это то, чем дышат в этом месте. 2.2) На первом и втором семестре есть предмет, из-за которого уходят и отчисляют огромную часть студентов ( в первом семестре моего потока было ~85 человек, сейчас нас ~35, человек 35 ушли в академ/числанули(сь) из-за него). Имя ему - основы программирования. Вас будут учить принципу работы языков программирования, устройству компилятора, транслятора, кодировкам, как записываются числа в памяти эвм и тд, то есть штуки полезные, но знать вы их будете должны на очень очень хорошем уровне, получить тройку - сложная задача, тк на экзамене вы фактически будете вести диалог с преподавателем на тему одного из билетов, от вас потребуется показать эрудицию, понимание темы( тк вам будут задавать вопросы с расчетом на то, что вы понимайте все на уровне устройства).  2.4) Английский тут по группам : вы пишете входной тест, по результатам которого вас распределят по группам в соответствие с вашим уровнем. Мой совет тем, кто хорошо знает английский : выложитесь на максимум во время написания входного, тк в самой сильной группе преподаватель просто отличный, на парах у вас не будет напряжения, домашки будет оч мало( в отличии от более слабых групп, где оч сильно грузят дзшкой и пары два раза в неделю, а не один, как у вас)) ).
3)В первом семе все остальное просто, идем дальше, второй сем: появляются: архитектура эвм( устройство компа но еще на более углубленном уровне), алгоритмы и структуры данных( тут все понятно), геометрия(материала много, лектор суперский, но задачи на разборах будут сложные), основы программирования остаются(в этом семе будет про ООП, все что с ним связано (SOLiD, сборщики мусора и тд), про алгоритмы немного, про разработку ПО). В этом семе прогать вы будете на ООП-ном языке, то есть Java/C#/Kotlin. Писать вы будете оч интересные вещи, а-ля симулятор стратегий блекджека( который у вас будут проверять построчно( это кстати тоже плюс, тк некоторые преподы будут требовать от вас идеального кода для сдачи)), написание урезанного bash`a, и тд. 3.1)Матан(интегралы, ряды), алгебра(матрицы, линейные отображения), дискра(графы, графы, графы)) ) остаются. Этот семестр легче чем первый( по словам студентов), но расслабляться все равно не стоит - на пересдачу/коммисию отлететь элементарно
4) Третий семестр самый сложный - у вас будет четыре! предмета, на которых вам нужно будет писать код - операционные системы( тут пишете на Си), на другом - либо распараллеливание, либо немного вэб+ немного машинного обучения, третий предмет - проектная деятельность, то есть вам нужно будет выбрать предмет из определенного списка( где будут проекты от компаний, преподов, лабораторий) и работать над ним семестр или два семестра, потом вы будете выступать с ним, защищать( а это очень трудно, тк вам будут задавать вопросы практически по всему, начиная с стиля кода, заканчивая текстом доклада).  Темы самые разные, начиная от мобильной разработки, заканчивая машинным обучением, но больше всего тем  - связанных с вашим профилем, то есть тех, где надо писать на Си/С++, так что тему надо выбирать быстро). Еще один предмет - функциональное   программирование, из-за него оч многие уходят в академы, отчисляют, и тд. Тут нужно будет написать за семестр парсер, интерпретатор одного из предложенных языков, писать все это будете на Haskell/Ocaml/Scala, сложность заключается в том, что времени у вас будет оч мало из-за того, что вы будете осваивать минимум два языка( на функц прогу и на проектную деятельность). Из математических дисциплин остался только матан,все остальные предметы более менее простые. Будьте готовы к колоссальному объему работ, возможному выгоранию. Дальше не буду про семестры рассказывать, этой инфы хватит многим.

5)Подытог: это место отлично подходит для тех, кто любит Си/функциональные языки/ну вы поняли. Тут вам реально помогут стать отличным специалистом в этой области. За посещаемостью тут не следят, так что посещения - свободное :). Корпус старенький, некоторые кабинеты обшарпаны, в учебном отделе - просто замечательные сотрудники, которые всегда идут навстречу студентам. Раньше с факультетом активно сотрудничали Jetbrains, но сейчас они ушли из России, поэтому у факультета нет &quot;крутого спонсора&quot;, Яндексы, Сберы и тд особо не заезжают сюда, тк почему-то не котируют факультет( хотя стоило бы..). 
6) Итог : свободного времени здесь немного, если не готовы на такое - идете в другие вузы. На условного фронта, специалиста по машинному обучению лучше выучиться самому в другом месте( тк у вас будет больше времени на это, а на корочку всем пофиг, поймите это!!! ), здесь готовят системных программистов, программных инженеров, поэтому если вам нравится что-то их этого - велком, остальные - идете в другие места, вам же лучше будет. Доживают до выпуска меньше половины поступивших, может быть процентов 30, держите это в голове. Если доживете хотя бы до 4 семестра, то знайте, что вы приобрели бесценный навык: вы научились учиться самостоятельно и, скорее всего, быстро. Всем спасибо!
                  ",medium
"


очень сильно жалею что было принято решение поступать на юрфак с &quot;японским правом&quot; ибо это трата денег, нервов, времени и всего чего только можно 

начну по порядку
1. организация учебного процесса невероятно мерзкая вещь, ибо её просто нет. о пересдачах и расписание сессии (да и простое расписание) будете узнавать если повезет до за пару дней, ибо по правилам этой чудесной шараги мол обязаны доносить не менее чем за три дня. спасибо большое что не за сутки, но всё равно никакого маломальского уважения к чужому времени и нервам. все носит добровольно-принудительный характер, очень много времени занимает абсолютно бесполезный хлам. помимо абсолютно идиотского формата сдач экзаменов на старых, еле работающих компьютерах, вас ещё ждет прокторинг во время которого ни вздохнуть ни моргнуть ибо один системный сбой и добро пожаловать на пересдачу. необходимо решать абсолютно идиотские курсы на открытом образовании, ибо вузу нужно как-то оправдывать сотрудничество с платформой, которая представляет из себя полное фуфло и время, затраченное на онлайн-дисциплины, можно было бы потратить на что-то хорошее, а так оно просто висит грузом над душой.

2. учебный отдел - отдельный вид ис...Показать полностью...кусства. нагрубят, заставят бегать от человека к человеку туда-сюда касательно несложных проблем чтобы в итоге ничего не было решено. работают очень медленно и великое везение, если что-то получится узнать с первого раза или получить какую-нибудь простую бумажку всего за два дня. переводиться внутри университета можно не пытаться, если идёте с тактикой &quot;не понравится-переведусь&quot;, то лучшее вообще не поступать сюда потому что сделать вам этого не дадут. вы будете бегать по обоим факультетам, чтобы в итоге вам было сказано что вы не справитесь и вообще бросайте это дело, лучше поступите туда, куда пытаетесь перевестись на магистратуру. терпите и улыбайтесь а мага решит все проблемы :) кратко говоря никто ничего не знает и не узнает, а вы как-нибудь сами вылезайте из ситуаций. 

3. сами пары и обучение
абсолютное разочарование, если вы идёте вдохновленные тем, чтобы изучать право Японии. 80% преподавателей скажут вам, что японское право вам не нужно и мы с ним не работаем, а следовательно ничего не дают по теме и предпочитают тратить время на невероятные байки из жизни. много пар, которые объединены с китайским потоком, если вдруг решаетесь ходить на всё, то будете больше знать о Китае, чем о Японии. преподавателям либо плевать, либо очень не плевать; чтобы сдать экзамен надо выполнять абсолютно идиотские и бесполезные задания огромного объема, так как из 100 баллов чаще всего где-то 60 это задания, а 40 сам экзамен, который проверяют с придирками до каждой буквы. готовьтесь услышать фразы в духе &quot;суд должен принять решение и плевать что нет доказательств&quot;, ибо всем тут по большей части плевать на логику и здравый смысл, из-за отсутствия контроля каждый делает то, что хочет. если идете с надеждой учить язык или ждете пары также связанные с Японией, то заранее лучше не строить надежд, хотя в любом случае разочаруетесь. японского языка практически нет и то он очень слабый, повезет если к концу второго курса будет слабенький N5. английский тихий ужас, если вы поступаете с довольно высоким уровнем то можно сразу готовиться, что все знания будут потеряны, ибо уровень преподавания очень слабый. кратко описывая учебный процесс: абсолютно бесполезная нервотрепка в огромных количествах.

4. внеучебные мероприятия
ничего нет, кроме полуживых кружков, на которых монотонно читают доклады. кружок японского права мёртв так что рассчитывать на что-то - абсолютно бесполезно. есть квест первокурсников но он в сентябре и всего один раз, не особо интересная вещь. 

итог: обучение не стоит своих денег и помимо очень грамотной рекламы университет абсолютно ничего не имеет. потраченные деньги (причем немаленькие) и время и куча потерянных нервов, или короче просто СПБГУ. 
",negative
"


Привет!
  Пишу свой отзыв об истфаке спбгу. Учусь 3 - й год.
 Честно говоря, худшее место. С моими баллами ( 98, 96, 96, 93 - англ) могла пойти на др место, но пошла на истфак в силу личных обстоятельств.
  К сожалению, это сломало мне всю жизнь. Надеюсь, мой отзыв убережет кого - то от ошибок. 
 1. Образование ОЧЕНЬ слабое. НЕТ языков, в принципе. В отличие, от истфака мгу , где люди учат 2 - 3 языка, нет ни 1 языка, кроме английского с нуля, который я знаю лучше препода.  Что это за образование, где я зыками полный ноль. Мне было просто больно.
 2. НЕт истории Востока, древнего востока тоже нет. Ни египтологии. как в мгу, ничего. Образование очень куцое и ограниченное, в основном история России, которую и так все могут в книжках прочесть. 
 3. Стипендия , как и во всем вузе, грошовая, на нее не проживешь и дня.  Но это никого не волнует.
4. Атмосфера неприятная. Например, А.К. (армянин с кафедры снг) по - хамски выставил меня из класса, когда я хотела послушать его лекцию. Еще он сказал,что мня , наверно, отовсюду выгнали , поэтому  поступила на истфак.
 В общем, хамство на истфаке - норма.
 5. С таким образованием, сами понимаете, через год, мне придется выбирать между работой п...Показать полностью...риемщицы товаров и уборщицы. 
 Досиживаю здесь последние полтора года и воспринимаю эту учебу как срок в колонии , который нужно отсидеть.
 Короче, учеба тупо сводится к выслушиванию бесполезных лекций, на которых вы будете тупо сидеть и спать. А потом вы получите никому не нужный диплом, которым сможете подпереть унитаз в туалете.
 Истфак всегда называли факультетом культурных жен, это всегда был самый бесполезный факультет... Но мря мама в мрем возрасте была уже замужем, чего мне с моей внешностью не светит.  Поэтому как жит дальше - я пока не знаю. А идти в моем возрасте куда - то на первый курс -  просто поздно и глупо. 
   Не советую повторять мои ошибки. Рекомендую идти на нормальные факультеты: юрфак, восточный или межд отношений. 
",negative
