Text,Mark
"


Ну что, начнем? При Политехе имеется неплохой колледж, после окончания которого, как было пару лет назад, можно было без экзаменов с красным дипломом поступить на бюджет. Больше этого нет. 5 человек из моей группы, 
рвавшие, простите, попы, включая, меня улетели в мусорку. Сдавали ЕГЭ и вступительные, с которыми кстати нас так неплохо на*Бали. Сам же политех предлагает подготовительные курсы к этим экзам за 40к. НЕ ПОКУПАЙТЕ ИХ нам тупо в общем смысле прочитали учебники по инфе и вышмату, а в реальности в заданиях получили то, чего никто не ожидал вообще (многие жаловались на такую халатность - куратор Ф****** С.А. посмеиваясь в прямом смысле послал всех, кто не сдал, в пешее) Допустим, поступили.  На потоке вместе с вами будет учиться (бесплатно;) ) куча китайцев и турок, не говорящих по русски. Китайцы вроде не отсвечивают, но турки - это п****ц. Однажды на паре сидящие сзади меня данные восточные люди стали неистово тыкать в спину пальцем, на немой вопрос &quot;что?&quot; взяли и высыпали пачку арахиса буквально на тетрадь. Я в ах*е, господа. Перейдем к образованию. Вообще, вышка здесь - это сплошь имитация бурной деятельности, тысячи онлайн курсов со своими сроками, пары по фил...Показать полностью...ософии с 18:00 до 20:00 и многое другое. Вроде материала дают много и объемно: покивал головой на паре, но стал делать дз дома и понял, что н***я не понял. Да и не запомнил. Потому что инфа составлена так, что в любом случае приходится рыться в инете самому. Внимание вопрос: а нах*Ра мне тогда вуз? преподам то посра*ь - они деньги получают. а я родительские кровные сливаю в унитаз, выходит. С преподами отдельная история. Конечно, есть адекватные, хорошие люди, но таких по пальцам пересчитать. Итак, приведем пару экземпляров неадекватов: на пару по философии к нам пришел х*й в черном капюшоне, маске и очках, лицо было полностью закрыто, его кто то даже сфоткал, на паре по линуксу сидит такой толстый человечек, котрый никогда ни за что не ответит вам ни на 1 вопрос. Все лабы вы будете брать либо у страших курсов, либо опять же рыться в инете. На паре по физре препод обычно раскладывает маты, ложится на них и спит. Я серьезно. А кстати с 1 же дня обучения тот самый Ф****** С А прямо заявил : мы научим вас учиться! профильные предметы, такие как ос линукс, алгоритмизация и прога - мы почему то проходим только дома в тимсе 1 раз в неделю, зато ебу**я физика стоит чуть ли не через день (там тебе и лекции, и практики и даже лабораторные) ОБЖ **ять не хватает. У нас в группе полно людей, которые не ходят уже полгода, но каким то образом все ещё числятся. 
Люди, не ведитесь на их зелёные толстовки и улыбающиеся лица. Эта клоака - совсем не то, чем кажется. Я уже ищу, куда можно перевестись, а политех просто высосал бабки из очередного человека.",negative
"


Приветствую читающих. В данный момент я заканчиваю магистратуру по направлению подготовки 11.04.01 «Радиотехника» (магистратура). Бюджетник. До этого закончил 11.03.01 «Радиотехника» (бакалавриат). ВУЗом доволен и могу рекомендовать к поступлению. 
P.S. В этом отзыве буду говорить в основном про бакалавриат (так как есть больше о чём можно рассказать)

1) Приёмная комиссия.
В 2017 году поступление в ВУЗ не задалось (поступил на коммерцию), тем не менее поступив, встретил довольно дружелюбный состав преподавателей и членов администрации института, что положительно повлияло как на меня так и на впечатление о вузе в целом.
В 2021 году, хоть и пришлось спешно осваивать электронную комиссию и по сотне раз бегать в копи-центр сканировать подписанные документы, всё прошло достаточно гладко. Благодаря данному ресурсу определил проходной балл и спокойно прошёл на направление, на которое хотел. Если на приёмной комиссии и была своеобычная &quot;чехарда&quot;, то меня она не коснулась. По моему мнению, поступить сюда на бюджет достаточно легко. А вот вылететь отсюда сложнее, как сказал нам однажды наш преподаватель по физике А: &quot;Чтоб отчислиться из ИФНиТа (нынешнего ИЭиТа) нужно иметь дв...Показать полностью...е вещи: желание отчислиться и знание по моему предмету. Поэтому пока я вас не научу, вы не отчислитесь)&quot;;

2) Учебный процесс.
   Непрофильных предметов не очень много: философия (душно), экономика, история и три семестра английского (плюс ещё по мелочи есть доп. курсы (онлайн в основном). Преподы лояльны, особо не грузят (не требуют от тебя знаний как от специалиста по их дисциплине, главное, чтоб понимал (исключением является философия (как вспомню зачёт с оценкой до 22:00, пока охранник из корпуса не выгнал, жуть!)). Физкультура для многих может стать сущим геморроем, это правда, но (!) посещение занятий исправно приносит  свои плоды и мозги в конце семестра не парят. 
   Профильные предметы меня удовлетворили. Они делятся на лекции, практики и отдельным пунктом лабораторные.
Исход этих самых лабораторных (а точнее допуск до них и их сдача) зачастую зависит от преподавателя и от того насколько ты умел в округлении чисел (так чтоб выглядело как надо). Но в основном лабораторные ламповые (иногда буквально), надолго запоминаются и в целом довольно интересные.
Практика. Тот, кто захочет узнать, тот узнает. Тут тебе не школа и насильно никто не заставляет, но и не отказываются объяснить, &quot;разжевать&quot; для тебя материал, если ты что-то не понял. Главное проявить инициативу и желание, остальное получится.
Лекции были прекрасны, пока шли очно. Хотя большая часть лекторов - деды преклонного возраста, объясняют они здорово, да к тому же перемежая с анекдотами. Но когда был ковид, многие лекции были онлайн, что затрудняло жизнь как студентам, так и преподавателям. Сейчас, судя по рассказам первокурсников, дела налаживаются;

3) Корпуса и общаги. Все учебные корпуса находятся в пределах кампуса между метро &quot;Политехническая&quot; и &quot;Площадь Мужества&quot;. Там же - ФТШ, ФТИ и Университет Алфёрова. Т. е. - в шаговой доступности. Местная поликлиника, куда весь ВУЗ ходит на медосмотры - чуть дальше, на Хлопина. Большая часть общежитий находится на Лесной, в 15-20 минутах ходу. За интерьеры общежитий могу рассказать только про №1 (жил в ней сам, нормальная, чистая, без &quot;мелких&quot; друзей), 14 (был там пару раз, &quot;этих&quot; друзей там больше чем студентов там проживающих, самая большая и самая грязня общага из мною виденных) и 16 (что-то среднее между 1 и 14, больше в как 1). В корпусах ремонт вполне сносен, а в Главном здании и вовсе с претензией на роскошь (о том, сколько раз в год его ремонтируют слагают легенды);

4) Ты то, что ты ешь
Есть кафе в подвале ГЗ, столовая в здании Химкорпуса, пышечная. Рекомендую на первых парах если деньги есть. Но лучше перейти на самообеспечение (научится готовить или завести в общаге друга-казаха, который тебе из всего что угодно сделает в казане плов). Можно брать еду с собой.

5) Научная деятельность.
Ну тут всё просто: главное найти к чему дело лежит, а потом найти нужного преподавателя. И если вдруг не понравилось, не задумываться на долго, а поскорее попробовать другую тему и научрука. Хотя сам я понял, что можно справиться и своим упорством, главное не тупить и не откладывать всё на последний день (хотя бы на предпоследний, хех);

В итоге. Университет классный и ни в коей мере не шарага. Я не пожалел о своём выборе.Народ здесь адекватный и заинтересованный. Но есть свои нюансы, как и везде.  По поводу трудоустройства с этим всё отлично. Лично я работаю по специальности (ну почти) и зарплата пока устраивает. Отдельно хочу посоветовать моё направление (Радиотехника), главным преимуществом которого является его универсальность (для примера Радиофизики это чисто теоретики, но практических знаний у них мало, Радиотехник же это одновременно и теоретик и практик. При устройстве на работу спектр занятости у тебя будет широк и разнообразен, что по моему мнению круто). Надеюсь мой отзыв был интересен и информативен. Удачи с поступлением и всех благ!",positive
"


Мое направление- Международный Бизнес. (обучение полностью на английском)
это новая программа, появившаяся в 2022 году (переделали международный менеджмент).
НИ ЗА ЧТО не идите сюда. за первый семестр первого курса из моей группы отчислилось 5 человек (как бы я хотела бы быть в их числе). 
Все мои друзья, которые поступили в другие вузы постоянно говорили о том, как им там нравится, а у меня случались истерики стабильно 2-3 раза в неделю из-за того, насколько плохо мне здесь учиться. Сейчас объясню почему.
1. Программа составлена абсолютно криво, об этом говорят даже сами преподы. Её составляли люди, которые не имеют никакого отношения к преподаванию и даже не удосужились проконсультироваться с преподавателями или хоть с кем-то, кто в этом разбирается. Первый курс начинается сразу со сложных профильных предметов (общие, конечно, тоже есть) перед которыми ранее в старой программе в первом семестре первого курса шли плюс-минус вводные занятия для понимания того, что будет изучаться в будущем, а сейчас школьников, которые мало понимают, что их ждет, сразу погружают в подробное изучение профильных предметов. 
2. Никто ничему никого не учит. Все «обучение» основывается на самостоятельно...Показать полностью...м поиске информации. Преподаватели абсолютно не заинтересованы или просто не умеют доносить информацию до студентов. И чтобы хоть как-то понять «а что я вообще изучаю?», надо самому это все искать. Некоторые преподаватели говорят на английском так, что сложно понять какой это вообще язык, не то что понять, что они говорят.
3. 3000₽ преподу за одного студента, отправленного на доп. сессию.
4. Атмосфера университета угнетающая. Ужасные корпуса, которые похожи либо на больницу, либо на строения 80-х годов. Не ведитесь на главное здание и белый зал)
5. Перед началом учебы, когда происходит встреча первокурсников, их разводят (говорят о том, что это обязательно) на подписание на всевозможные элективы и курсы, которые мягко говоря не нужны и бесполезны. Вот только на сессии, если не закрыть тестирования по этим курсам, можно вылететь. Они лишь добавляют гемороя
6. Неоправданно большая нагрузка. Делать по 2 презентации 2 раза в неделю и рассказывать их, не подсматривая в текст; выписать все непонятные тебе слова из годового отчета компании (на английском) на 150 страниц за 3 месяца и уметь их объяснять не подсматривая в свой словарь. Как вам такое? Или не иметь возможности сдать зачет по непрофильному предмету, который длится ровно 1 семестр без доп. баллов за посещаемость? 
А можно ли вышеперечисленное вообще назвать обучением? Конечно нет. Разве что обучением выкручиваться или убивать все свое время на то, что тебе не приносит никаких знаний.

В заключении хочу сказать: не тратьте свое время, силы и деньги на это недоразумение в виде «Международный Бизнес». Здесь вас ничему не научат, а только морально изнасилуют.",negative
"


Закончил бакалавриат в управлении тех системах (интеллектуальные системы обработки информации и управления 27.03.04_05) 
+ сильные фундаментальные знания по физике и матану 1-2 курс
+ производственная практика в норм компаниях по желанию (сейчас хз) 
+ получаешь навыки программирования, но максимально базовые
+толковых ребят берут с производственной практики к себе работать, да и в принципе преподы че то да знают, но зп более 50-60к я ещё не видел
+тебя заставляют учиться глубже вникать в материал
- сам процесс обучения постепенно делает тебя из нормального жизнерадостного человека в депрессивного невротика с отсутствием уверенности в себе и желанием как либо развиваться в чем либо, концентрация внимания падает, дисциплинированность тоже, какая бы нагрузка не была, и здесь есть множество факторов:
- практических знаний будто и нет и в принципе как бы ты хорошо не учился, если ты параллельно самостоятельно не по программе не изучаешь и не применяешь что то, тебе вряд ли удастся норм продвинуться по работе куда либо, то есть это своего рода проверка на плешивость, преподы - хотят будто разочаровать в том, что ты выбрал и сомневаться в себе, чтобы ты бросил учебу. То есть ощущение, чт...Показать полностью...о университет попортил так сильно менталку, что без него ты бы добился гораздо больших высот. 
- многие дисциплины, начиная с 3 курса сделаны для галочки лишь бы занять студента чем то бесполезным и не применимым в жизни. 
- стоит упомянуть самого дерьмового препода, который портит всем жизнь, высасывает энергию просто так, тебя не во что не ставит, может опаздывать,не приходить, как дурак будешь рассказывать стихотворение чтобы он выдал следующую работу, может придраться, что ты как то не так говоришь, но на самом деле всё так, цель - завалить, а не научить, иногда даже делает так, чтобы ты выбрал методы,которые по факту никто не использует и ставит задачи, ну явно Безолаберные,лишь бы поиздеваться, не помогать, не выполнять обязанности, причём кому то везёт и он норм относится,но кого то он дрючит до конца, что многие отчисляются, большинство ребят у него перед дипломом были на комиссии. Ерофеев Сергей Анатольевич, преподаёт в бонче, и знаете, я за то, чтобы его уволили, такого садиста и тирана надо в дурку сажать, чтобы на других свою жалкую жизнь не вымещал. Те, кто писал у него диплом... Кто то даже отвалился, он до последнего не хотел выпускать. 
- последний семестр это тупо будь Гермионой с часами, нет времени чтобы сдать и диплом, и лабы с экзаменами, НИР, производственную практику, сроки крайне сжаты
- сильный фундаментальный упор на те дисциплины, которые мало применимы, учитывая направление программы, и полная поверхностная подача действительно нужных дисциплин, например теорию вероятности и мат статистику толком не дали, нейронка - какое то мессиво перепрыгивающее с одного на другое и покажите тех кто реально использует для этого  matlab в коммерческих целях????? Интеллектуальные системы и всякого такого в духе типа для галочки дали, но 0 полезной информации, нагуглить и то можно больше. Так вот, те бесполезные штуки, по типу ТАУ и бесконечных методов интегральных, ну просто, зачем? Лучше бы программировать научили нормально, показали бы на практике как кабели используются, посмотрели бы действительно тенденции развития в аналитике (что сильно сопряжено), методы, микроконтроллеры бы нормально научили программировать, ну... Просто... Ты как ребёнок делаешь бесполезные мало востребованные штучки.... Но, когда у тебя ещё нагрузка такая, что тупо отличники не успевают сдавать, ты постоянно боишься вылететь, 40 лабораторных за семестр, 2 курсовые работы , да ещё преподша тебя долбит по теории вплоть до 5 занятий 1 лабу, а у тебя их 8, когда в сумме у тебя 15 занятий, и предмет &quot;нереально важный&quot;
В общем, я жалею, что потратил время на это всё, но таких сил и нервов, безусловно, это того не стоило, столько пустой ненужной информации, если вам нужны востребованные знания, в политех идти не стоит, можно потусить первые 2 курса и свалить.... 

",negative
"


Приветствую всех читающих! Я выпустился из СПбПУ им. Петра Великого в 2022 году. Обучался 4 года в ИЭиТ (бывш. ИФНиТ до 2021 года). Хочется рассказать обо всем, что приключилось со мной за время обучения в данном учебном заведении, чтобы будущие абитуриенты четко знали, на что они идут ради знаний.
Попробую кратко пробежаться по всем четырем курсам бакалавриата, учебной и внеучебной деятельности, отмечу какие-то вещи, которые наиболее запомнились мне. Специальность, на которой я обучался, называть не буду, но, думаю, мой отзыв будет применим ко всем направлениям в ИЭиТ. 
Первый курс. Мне запомнился мой первый учебный день очень ярко. Первой парой должна была быть экономика. Но, как понятно из использованной формы обращения, ее не состоялось. Причину, честно говоря, я не помню, как и преподавателя, который вел у нас этот курс в течение первого семестра, но ситуация получилась забавной. Спустя 15 минут ожидания всей группой отправились гулять по территории вуза. 
Тут я хочу сделать небольшое отступление от хронологии. Говоря о территории, благоустройстве и т.д., Политех - замечательное место! Очень близко к метро, красивый парк, замечательная архитектура основный зданий! Но стоит дой...Показать полностью...ти до условного Гидрака (учебный корпус вдали от основного Главного здания) - страх Божий! Все разваливается как внутри, так и снаружи, постоянные срабатывания пожарной сигнализации, обвалы облицовки и тому подобные виды открываются там. Мне пощасливилось обучаться там где-то в промежутке с первого по третий семестр, точнее изредка приходит туда на пары по Вышмату, экзамены по Линалу и Вышмату, ну и, кажется, все. Забавное место, ни за что туда больше не вернусь.
Продолжу свой рассказ. Первый семестр прошел довольно гладко. Не считая огромных требований со стороны некоторых преподавателей (объем материала по Вышмату, допуск и сдача лабораторных работ по физике и еще что-то, что уже не припомню), обучение понравилось. Усталость, конечно, брала свое, да и постоянные дистанционные курсы бесили, но в целом терпимо. Ад ждал на сессии. Автоматов тут не бывает вообще. Вот прям вообще. Даже оценку &quot;удовлетворительно&quot; получить здесь - огромный труд. Обычно, для допуска на экзамен требовалось закрыть все лабораторные работы, практики, иногда посещаемость, домашние задания. И шансов что-то досдать или пересдать из вышеперечисленного всегда категорически мало. Преподаватели тут все крайне занятые, на работу со студентами больше положенных по программе часов времени у них нету! (о чем я убедился уже на 3-4 курсе). Еще, кажется, какие-то проблемы возникали с дистанционными курсами, но эти воспоминания уже затерлись в памяти. Итак, ты, дорогой студент, сдав кучу всего, допущен до экзамена! Круто, класс! А теперь готовься к тому, что тебя загоняют по всему материалу, заставят сдавать как теорию, так и практику, и это только на &quot;удовлетворительно&quot;! Хочешь оценку выше - бери дополнительные вопросы и задания. Не ответил - на пересдачу! 
Стоит пояснить, что в те года, да и у перваков в целом, с пересдачами все было несколько проще. К прмиеру, экзамен по Высшей математике на первой сессии, я, дорогой читатель, пересдавал где-то 6 раз. Далее таких поблажек никто не давал - основной экзамен, допсессия, пересдача после нее, комиссия. Не сдал на комиссии - отчислен.
Но продолжим. Сдав свою первую сессию, я сразу понял, что пытаться учить на 4 или 5 я не хочу и не могу. Гораздо лучше потратить время на какие-то подработки, ну или просто отдыхать и заниматься тем, что интересно. С таким кредо я и проучился до выпуска, но это не сильно помогло мне избежать многих проблем с преподавателями, руководством и тд.
Второй семестр прошел чуть проще. Предметы во многом были уже знакомыми, хотя второстепенных не убавилось. В политехе, как и в любом другом вузе нашей необъятной, любят где-то до третьего курса кормить студентов го***м. Вот тебе куча бесполезных предметов, чтобы оправдывать твое нахождение тут четыре года. Ну и про постоянные сокращения часов на основные дисциплины не забываем. Передам один пример со слов моего преподавателя физики: &quot;Когда я учился в данном учебном заведении, я изучал физику 6 семестров. Потом эту дисциплину сократили до 4. Теперь и вовсе всего 3&quot;.
Сессии с данного момента я буду упускать, оставлю только самое важное.

Второй курс ничем не запомнился. Все тот же набор из кучи бесполезный предметов. Ну хотя бы по его итогам физкультура наконец закончилась) 

Интересное начинается с третьего курса. Именно с третьего курса начинается такая дисциплина, как НИР (научно- исследовательская работа). Суть ее такова: выбираешь себе тему и научного руководителя, и каждый семестр до своего выпуска занимаешься работами в рамках выбранной темы. Идея, без шуток, крутая. Но, как в известном анекдоте, есть нюанс. Во- первых, необходимость получать каждый семестр зачет по этой дисциплине. Для этого в начале семестра надо согласовывать с научным руководителем задание на семестр, выполнять его, и в конце семестра также составлять отчет о проделанной работе, подписывать у научного руководителя и сдавать. НО! Это все упирается в научного руководителя. Он может просто не захотеть подписывать что-то по личным мотивам или потому что не считает, что проделанной работы достаточно. Есть, конечно, возможность сменить научного руководителя. Но это возможно только после закрытия сессии. А для этого нужен отчет от научного руководителя. Если его не будет, придется идти на комиссию, а там никто не будет разбираться, почему нету подписи научника на отчете - сразу отчислят. В общем, советую хорошо подумать над тем, кто будет Твой научный руководитель. Не столь важна тема, человек, который тебе ее дает - гораздо более важен. 
Во- вторых, есть абсолютная противоположность крайне требовательных научных руководителей, то бишь те, кто ставят подписи просто за то, что ты пришел подписать отчет. Слегка смущает такой подход.

Далее наступил карантин и дистанционное обучение. Ну как обучение. Никто ничего не учил и не преподавал толком. Все делалось чисто для галочки. Почти 3 семестра ушло в никуда. Мало что запомнил от туда, учил лично я только интересующие меня предметы в это время, и то в большей мере самостоятельно. Вообще тут стоит сказать, что в Политехе крайне много самостоятельной работы. Редкий преподаватель все хорошо и доходчиво объяснит. В основном, всем тут на тебя либо по*** до сессии, где тебя нужно вые**** по самое оно, либо душат своим подходом и требованиями с первой пары. Про человеческое отношения и тд можно забыть вообще. Ты не человек тут, а просто биологическое существо, которое должно выполнить программу любой ценой.
Так мы подошли к четвертому курсу. Самый сложный, что только может быть. И нет, это не столь связано с дипломом. Это все связано как с дипломом, который надо уже активно писать, так и в целом с усталостью за прошедшие года. Есть отличный шанс быть отчисленным из-за курса про устройства приема (лабораторные, курсовая работа и экзамен). Сложнее за все время в политехе не было ничего. Диплом было написать и защитить проще, чем закрыть этот предмет. Не буду называть имен, пытливые умы все найдут и узнают сами. 

Защита диплома - клоунада. Пройти нормоконтроль (правильность оформления диплома) и антиплагиат, а также получить кучу подписей от научного руководителя в срок, сложнее, чем защитить диплом. Приходишь, показываешь презентацию по теме своей ВКР, отвечаешь успешно или не очень на вопросы ГЭК, получаешь по итогу ту оценку, что научник написал в отзыве на работу. Абсолютная формальность. 

Тут хочу дать общие совету студенту Политеха в общем и ИЭиТ в частности.
Первое - ИБД. Имитация Бурной Деятельности. Это твое все. Не так важен результат в глазах преподавателей, как то, сколько ты раз к нему сходил.
Второе - лабы закрыть сложнее всего. Делай упор на них, остальное по ситуации.
Третье - большинство формальностей и сроков надо соблюдать. Даже если сроки поставлены нереальные. Даже если звучит все как глупость. Сказано - делай. Думающих тут не любят.
Четвертое - студенты на курс старше - твои лучшие друзья. Старые лабораторки, советы по тому, что надо учить в первую очередь, к какому преподу как подойти - без этого тут не выживают. Следуй их наставлениям, тогда жизнь будет чуточку проще.
Пятое - касается ИЭиТ, про другие институты такой информации не слышал. Жить вечно в долгах - вполне нормально. Закрываешь прошлые, получаешь новые. Привыкай, тебе тут так минимум 4 года.

Касаемо всякой внеучебной деятельности - ее тут навалом. Хоть профсоюз и относящаяся туда тусовка, хоть студенческие отряды и все, связанное с ними - выбор огромный. Правда это все будет идти во вред учебе, так что на свой страх и риск.

Подводя итог, обучение на бакалавриате в ИЭиТ - программа &quot;сдохни или умри&quot;. Работаешь на пределе всего возможного 4 года ради троечек (я это говорю со своей колокольни, может, если ТЫ, дорогой читатель, гений, который с закрытыми глазами мог решить дифуры еще в детском саду - я очень рад за тебя! но это мой отзыв). Наполнение учебной программы сомнительное, отношение к студентам не самое приятное, еще и на 1-2 курсе будешь регулярно сталкиваться с тем, что программа физики опережает программу матана эдак на семестр. И вот сиди понимай всякие поля и тд без знания интегралов на приличном уровне.

 
Поступать ли сюда - не знаю. Наверное, знания тут хорошие, но подаются они под прокисшей застоявшейся сметаной. ",negative
"


Приветствую. В данный момент я заканчиваю первый курс ФизМеха по программе бакалавриата. Бюджетник. Пока что ВУЗом доволен и могу рекомендовать к поступлению.

1. Приёмная комиссия.
В 2021 году, хоть и пришлось спешно осваивать электронную комиссию и по сотне раз бегать в копи-центр сканировать подписанные документы, всё прошло достаточно гладко. Благодаря данному ресурсу определил проходной балл и спокойно прошёл на направление, на которое хотел. Если на приёмной комиссии и была своеобычная &quot;чехарда&quot;, то меня она не коснулась. По моему мнению, поступить сюда на бюджет достаточно легко. А вот вылететь отсюда сложнее, отчисляют мало, скорее будут выбивать &quot;по собственному&quot;, если совсем с успеваемостью беды; долги по лабам 1-го семестра можно тянуть, походу, аж до 3-го. Академ тоже без проблем, даже на 1 курсе.

2. Администрация.
В Политехе обычно вводится несколько административных инстанций. А именно: староста группы (выступает в качестве транслятора информации от преподавателей к студентам и наоборот, ведёт всевозможные списки и учётки), куратор и зав. учебным процессом. Товарищи адекватные, в случае чего помогут. Особенно это важно при наличии большого количес...Показать полностью...тва электронных курсов, причём на разных платформах типа dl, СДО и OpenEdu одновременно. Уследить за всеми дедлайнами одновременно бывает сложно, поэтому (например) одна из обязанностей старосты - сведение в одну таблицу многочисленных важных дат. В принципе, неадекватное внедрение технологий дистанционного обучения - это единственный крупный минус Политеха. Даже смешанный формат оставляет желать лучшего, ибо после четырёх дистанционных лекций подряд начинает пухнуть голова. 

3. Учебный процесс.
А. Сразу обрадую - непрофильных предметов не очень много: по семестру философии, экономики, истории и так называемых Soft Skills и три семестра английского. Преподы лояльны, особо не грузят. Программирование раз в неделю даже в кайф, а на контрольных запросто можно списать и препод не против. Физкультура для многих может стать сущим гемором, это да. 100% посещаемости, пары по субботам в 8 утра и обязательная отработка пропусков. Порой кажется, что для хамоватой администрации ИФКСТ даже &quot;умер&quot; - не аргумент. Впрочем, для тех, кто успел подать заявление, есть группа шахмат. Да, пары в ж*пе мира (на Полюстровском), зато в 18:00, всего раз в неделю.
Б. Профильные предметы вполне на высоте. Оные делятся на лекции, семинары и отдельным пунктом лабы по физике. 
Успех на лабораторных напрямую зависит от преподавателя. Например, половина нашей группы (и я в т. ч.) занималась у тихого и добрейшего деда П********, который в любом случае допустит Вас до выполнения лабы и потом примет её, даже если Вы вчера всю ночь жрали абсент, запивая ликёром &quot;Шасси&quot;, а с утра просто перелистали методичку. А вот вторая половина мучалась у святого К**********, терпя ежеминутные угрозы отчислить и по N-цать раз переписывая материал.
Семинары - штука не менее относительная в плане преподов. Но в любом случае, если что-то непонятно, главное - не оставлять на потом, а трясти препода в перерывах, выясняя. Особенно, если это аспирант. Потом возможности может не предоставиться.
Лекции были прекрасны, пока шли очно. Хотя большая часть лекторов - деды преклонного возраста, объясняют они здорово, да к тому же перемежая с анекдотами. Отдельно следует выделить лектора по матану П************** С.П. Легенда кафедры, находится на своём месте уже 40 с лишним лет. Прекраснейший человек и на экзаменах не валит никогда. Но слышит только половину из того, что ему говорят, понимает хорошо если треть, да и сам невнятен. Могут возникнуть проблемы, но это не точно.

4. Корпуса и общаги.  Все учебные корпуса находятся в пределах кампуса между метро &quot;Политехническая&quot; и &quot;Площадь Мужества&quot;. Там же - ФТШ, ФТИ и Университет Алфёрова. Т. е. - в шаговой доступности. Местная поликлиника, куда весь ВУЗ ходит на медосмотры - чуть дальше, на Хлопина. Большая часть общежитий находится на Лесной, в пятнадцати минутах ходу. И одна, самая днищенская - на Техноложке. И отдельно (Полюстровский 14Б) - корпус внеучебных активностей. Театральный кружок, реп-точка, бильярдная, шахматный клуб и т. д. За интерьеры общаг не скажу, ибо местный. В корпусах ремонт вполне сносен, а в Главном здании и вовсе с претензией на роскошь. 

5. Где пожрать.
Есть кафе в подвале ГЗ, столовка на задворках Химкорпуса, пышечная. Не рекомендую. Мало и дорого. Лучше брать еду с собой.

6. Научная деятельность. 
Пока что таковая отсутствует. В первом семестре была возможность подготовки к паре международных олимпиад, но в связи со всем известными событиями мы все строем отправились nach. 

Короче. Университет классный и ни в коей мере не шарага. Народ здесь адекватный и заинтересованный. Но есть свои нюансы, как и везде. Удачи с поступлением.",positive
