Text,Mark
"


Дорогие абитуриенты, подумайте несколько раз прежде, чем поступать в этот институт. Особенно на биотехнологов. 
На первом курсе все будет нормально , потому что в основном у вас будут вести общие предметы преподаватели из других институтов, которые относительно адекватно вас оценивают и дают материал. Но с каждым последующим семестром у вас будет все больше профильных предметов и соответственно преподавателей с родного института. На втором курсе много кто жалуется на аналитику, но если в течение семестра все делать своевременно, то проблем получить 4 или 5 не будет. Но вот полный трындец начинается с кафедры органики. Лабораторных установок очень мало, выполняете работы по 2-3 человека, соответственно нормально научиться базовым навыкам правильно держать посуду и подключать ее просто не получается. Преподаватели на этих же лабах на твои вопросы не отвечают и не помогают в работе. Они только проверяют знания по методичке, которую написал лектор в слишком общем стиле повествования и многие реальные моменты работы по методикам проведения опытов в ней просто не рассматриваются. Со слов знакомых со специальности &quot;Химическая технология&quot;, чтобы у этого лектора получить оценку вы...Показать полностью...ше 3 на экзамене, нужно либо быть полным фанатом органической химии (показывать знания выше того, что он озвучивает на своих лекциях), либо (как действует большинство) подлизываться к нему , развлекать его какими-нибудь интеллектуальными диалогами в свободное от лекций время, некоторые даже к нему в гости ходят. Слава богу, что у биотехнологов лекции ведет не он, а более адекватные преподаватели с этой кафедры.
Вероятно к концу 2 курса вы уже попытаетесь напроситься на научку на кафедру ТОС (она, можно сказать, курирует специальность &quot;Биотехнология&quot;) и либо разочаруетесь в научной деятельности здесь, либо будете большую часть своего времени гонять чаи. 
После 2 курса у вас будет первая практика. Вы сначала пару дней послушаете лекции от заведующего кафедры ТОС, который будет вместо заявленной темы рассказывать о своей насыщенной жизни в 60-80-х годах, а затем поедете на пивоварню. После пивоварни будет экскурсия в закрытый город на завод по производству инсулина. К экскурсиям претензий нет, они действительно неплохие, и поездку на ласточке до закрытого города вам даже компенсируют материальной помощью. К середине июля вы сможете со спокойной совестью вздохнуть, что вся эта лабуда закончилась и пойти отдыхать.
Но начиная с 5 семестра 3-го курса вы наконец-то познакомитесь с кафедрой ТОС, которая теперь будет вашим кошмаром до самого диплома. У преподавателя по методам стандартизации вроде бы есть компетенции в своем предмете (в крайней мере, так кажется), но делиться особо ими со студентами она не хочет. Сомнения  в компетенции возникают, потому что часто когда ей задаешь конкретный вопрос, она отвечает на него либо неполностью, либо вообще ответом не по теме. Лабораторные ведет она же, и это отдельная песня. Времени на них выделяется в расписании очень мало. Часто опыты приходится переделывать, поскольку они не дают нужного результата с первого раза. Поэтому приходится постоянно бегать в свое внеучебное время, досдавать ей эти лабораторные на занятиях других групп.  И это из года в год так происходит, студенты жалуются деканату, но время на лабораторные не увеличивается. Преподавателя найти во внеучебное время и доделать работу невозможно, а деканат никак не способствует увеличению отведенных часов. Она ведет еще кучу других предметов в институте, и поэтому когда тебе нужно узнать от нее что-то по организационной части занятий, она может соврать тебе, но виноват ты будешь потом сам, либо вообще отнекаться от вопроса.  Когда приходишь в лабораторию или деканат, то от атмосферы пофигизма просто хочется не приходить сюда в следующий раз. Но каждый раз преодолевая себя все-таки приходится.
Честно говоря, я представлял себе высшее образование по-другому. Казалось, что это будет местом, в котором я буду эффективно тратить свое время. Но в реальности ежедневно уходит на прослушивание 5-7 часовых (иногда 9 часов) рассказов о том, что можно из дома изучить порой за 0,5-2 часа, используя гугл. В этом месте практически не имеет значения, как ты  пишешь контрольные работы.  Если ты не ходишь хотя бы на 30-40% реально бесполезных лекций, то деканат начинает вызывать тебя к себе.  А еще бывают мероприятия во внеучебное время, из-за которых на тебя прям давят, угрожают отчислением, что если на них не пойдешь. Зам.директора по учебной части периодически закатывает истерики , если на какое-то мероприятие пришло мало людей.  Или как было в этом году с дополнительным образованием, когда заставляли через угрозы отчислить / отказать в месте для практики подписать договор на дополнительные образовательные услуги по изучению Питона, который не является обязательным. В общем, здесь деканат просто выслуживается перед начальством, сгоняя немотивированных студентов как баранов под страхом  на мероприятия, за которые получает галочки и премии.  
В общем, в заключение хочется сказать, что это может быть не самое худшее место в России, но если вы хотите чувствовать себя человеком и тратить свое время эффективно на учебу, а не на психологические проблемы руководства и преподавательского состава института, то лучше возьмите gap year и поднакопите денег чтобы уехать учиться за границу, либо пересдайте ЕГЭ и поступите в какой-нибудь московский вуз.",negative
"


Поступила в УрФУ в институт естественных наук и математики на направление &quot;Биология&quot;. Думаю стоит все описать от поступления до учёбы и сессии. Списки выгружаются быстро, были проблемы из-за того, что до последнего не добавляли индивидуальные достижения (медаль), но проблема была в поступлении через госуслуги. Поступила без проблем, была встреча абитуриентов, там все объяснили. Всем иногородним первокурсникам дают общежитие. Наши биологи живут в общагах №4 и №6. Уютненько, хоть в 6 до сих пор нет пластиковых окон, зимой холодно. Расписание составлено хорошо, но в первые недели суета, пары, которых нет в расписании, есть, а которые есть - отсутствуют. Где-то к концу сентября это налаживается. Профильных предметов много, каких-то лишних и глупых нет. Все помогают в освоении специальности. Зимний отдых длинный, сессия делится на 2 части, сдать её можно легко если посещал/а лекции и Лабы, большая часть зачётов и экзамены по непрофильным предметам - онлайн. Никто из преподавателей специально не валит, могут конечно немножко позадавать вопросов, но не агрессивно. Старшие курсы говорят, что дальше будет ужас на сессиях, но это скорее из-за серьёзности предметов. Стипа небольшая, но хватает на общественный транспорт и общагу. Летом мы поедем на биостанцию (биос), будем собирать насекомых, растения. УрФУ очень хороший вариант для будущих биологов, в этом году мы скооперировались и создали биоклуб с разными активностями, докладами, вкусностями. ",positive
"


     УрФУ имени Б. Н. Ельцина – это ДНО. 

     Своим отзывом хочется изложить реальную информацию для абитуриентов и их родителей о том, что из себя представляет самый разрекламированный университет. Очень жаль, что у меня при поступлении сюда не было такого полного понимания о настоящем положении вещей. Иначе я бы никогда не пошел учиться в этот вуз. 

     На сегодняшний день УрФУ сосредоточен только на деньгах. Цель существования УрФУ – зарабатывать огромные деньги на вас, студенты и их родители, а также тянуть колоссальные суммы из государственной казны. Делать это любыми путями. Больше УрФУ ничего не интересует. Руководству этого вуза абсолютно плевать на образование и трудоустройство своих выпускников. Большинство  выпускников не могут найти работу по специальности. И речь далеко не о троечниках. Зато огромные суммы тратятся на рекламу, чтобы поддерживать мнимую престижность и лживую привлекательность вуза. 

    Теперь по пунктам.

    1). Организация образовательного процесса устроена крайне нерационально. Постоянно бегать из корпуса в корпус по морозу или с куртками по переходам. Очень редко пары ставят в находящихся недалеко друг от друга аудиториях. Практики нередко про...Показать полностью...ходят в крошечных кабинетах, где студенты едва помещаются. Часто на лекциях студенты сидят в теплой одежде из-за экономии на отоплении. Постоянные проблемы с техникой. Крайне редко было такое, что преподавателю удавалось самостоятельно включить технику для проведения лекции. Напоминало какой-то странный цирк. Минут по 20 преподаватели ждут специалиста по включению компьютера и проектора. 

     2). Преподавательский состав и качество образования. Здесь 50 % на 50 %. Есть преподаватели, действительно дающие знания по своему предмету.  Но также есть и всякая шушера, которая не дает никаких знаний, а только тянет время во время лекций и практик. Есть любители приводить в пример «успешных и цивилизованных» США и Европу. Это, конечно, позорище. 

     Если вы хотите разбираться в своей профессии, то вам придется самостоятельно на 99% находить и изучать материал, так как большинство предметов поверхностны. Многие задания и тесты бесполезны. Огромное количество заданий создано только для того, чтобы занять полностью ваше свободное время. Их реальная польза нулевая. 

     Кстати, о тестах. Бывало так, что на лекциях и практиках изучаем одно,  а в тесте от центра тестирования УрФУ задают вопросы, абсолютно никак не связанные с изученным материалом. Это тоже позорище. 

     3).  Трудоустройство выпускников. Об этом я кратко писал выше. Вуз старательно пускает пыль в глаза, говоря о том, что у него куча партнеров-работодателей. Это полное вранье. На деле вуз из года в год штампует огромное количество специалистов, число которых в сотни и даже тысячи раз превышает количество рабочих мест. Данный вопрос, конечно, не только к вузу, но и к государству. Почему государство  не заинтересовано строить предприятия, заводы и поднимать производства, как это было в великом СССР? А вместо этого спонсирует огромный аппарат вуза по выпуску специалистов, которым  негде реализовываться. 

     Итог: 

     Данный вуз – это особый вид мошенничества. Вы потратите время, силы, нервы, здоровье, а кто-то и очень приличные суммы денег и получите взамен только разочарование. Как будто вас просто развели как дурачка, обманули и ограбили. И это ни кто-то там, а один из самых престижных университетов на Урале. 

     Настоятельно не рекомендую к поступлению. 
",negative
"


Добрый день, я студент 3 курса ХТИ,специальность химическая технология кафедра Аналитической химии, и свой отзыв посвящу именно этому направлению. Из плюсов - программа интересная, куча возможностей заниматься научной деятельностью и, если вы любите химию вам должно понравится.  Внеучебная жизнь так же очень крутая и насыщенная. 
А теперь минусы.. Если вы не хотите вылететь после 3 семестра, вы должны пахать как конь каждый день с утра до вечера над учебниками. По крайней мере на трех кафедрах: аналитики, технологии органического синтеза и органической и  биомолекулярной химии это так. От студентов требуют чего-то просто нереального, на что у них априори не может хватать знаний, особенно это касается проектов и курсовых работ. И самое печальное, что вы остаётесь с проблемой один на один, преподавателям, вашему руководителю в большинстве случаев абсолютно все равно.  Разбираться со всем самому очень тяжело, так как в большинстве случаев очень сложно найти какую-либо литературу, даже англоязычные статьи порой не найдёшь, что говорить об учебниках. Если вы планируете быть отличником, разочарую вас, это практически нереально начиная со 2 курса, на 1 все спокойно и гладко. На 3 семестре...Показать полностью... начинается самое весёлое, из потока в 200 человек около 90 стабильно не сдают экзамен по Аналитической химии. Поэтому если у вас тройка, то это уже победа, будьте готовы к этому. И таких &quot;отсеивающих&quot; экзаменов достаточно много. Хочется думать, что на 3-4 курсе станет легче, но вообще нет, объем работ колоссальный. Тут не то, что совмещать учёбу с работой не получится, тут поспать и поесть некогда.
Вывод: в целом учёба интересная, но многие преподаватели мягко говоря пофигисты. И на то, что у вас будет время на личную жизнь после поступления в сие прекрасное учебное заведение, можете даже не рассчитывать ",negative
"


Добрый день, уважаемые господа присяжные. Речь пойдет о моем обучении в УрФУ. Я – третьекурсница кафедры перевода и межкультурной коммуникации, коммерция. Конечно же я, как и многие, шла за мечтой: за большими и красивыми аудиториями, за технически оснащенными кабинетами и за индивидуальным подходом в обучении. Вполне адекватный запрос, я считаю, учитывая тот факт, что обучение стоит 150 тысяч в год. Что я получила? Обшарпанные кабинеты, в некоторых из них штукатурка готова была падать на голову, вечные проблемы с тем, куда сесть, раскаченные стулья, парты времен СССР и никаких тебе красивых лекционных аудиторий, где висят большие экраны и дядя лектор говорит в микрофон. Совершенно никудышная организация образовательного процесса. Мы приходили на пару и ждали преподавателя, иногда по пол часа, и только потом узнавали, что этой пары не будет, и то, только лишь тогда, когда самим удавалось дозвониться в деканат или до преподавателя. Я так же успела застать учебу и в дистанционном формате, скажу так: ее практически не было. У преподавателей были вечные проблемы с интернетом, с платформой для обучения или звезды не так сходились, и они решали не проводить занятие. В обеденный перерыв к...Показать полностью... столовой не подступиться, больше скажу, даже за территорией УрФУ в ближайших кафешках все места заняты. Почему никто не рассчитал вместимость столовых, не понятно. Пол перерыва ты проведешь в очереди, а остальную половину будешь искать место куда сесть или будешь вынужден обедать на скамейке в сквере, к чему нам приходилось прибегать довольно часто. В УрФУ я заработала язву желудка, но обо всем по порядку. 
Наша группа прикреплена к УГИ, но учимся мы совершенно в другом месте и практически КАЖДУЮ пару нам приходится бегать из корпуса в корпус, причем корпуса тех институтов к которым наше направление не имеет совершенно никакого отношения. 
Не буду так категорична и отмечу тот факт, что есть достаточное количество лояльных преподавателей чтобы учеба не казалось адом, но тех, кому безразлично на твою судьбу гораздо больше. Так я, после больничного, после ужасных болей в желудке (кто знает, что такое язва, тот поймет) до сих пор вынуждена ходить на отработки к преподавательнице по физкультуре, хотя у меня есть все основания для перевода на оздоровительную физическую культуру. И да, если у вас есть какие-то недуги или даже инвалидная группа, вам придется заниматься физической культурой в УрФУ, как мне сказали у них не предусмотрены освобождения. Всех благодарю за внимание и за прочтение моего отзыва, я считаю, что в своих выводах не была субъективна (я неоднократно слышала возмущения своих одногруппников тоже). Надеюсь кому-то эта информация поможет сделать правильный выбор, в любом случае решать только вам. ",negative
"


Приветствую, я выпускник первого потока новой медицинской специальности УрФУ 30.05.02 &quot;Медицинская биофизика&quot;. И рассказать я хочу именно об этом направлении. 
В чем суть -  в немедицинском ВУЗе Вы можете получить образование врача-биофизика, при поступлении сдав немедицинские экзамены - физику и математику (но так только в УрФУ). Что это за зверь? На данный момент  после выпуска врач-биофизик, сдавший аккредитацию, может работать врачом функциональной диагностики (т.е. читать ЭКГ, ЭЭГ, спирограмму). Но это если возьмут на работу. 
Могут не взять? Да, ибо образование оставляет желать лучшего. Первые три курса в основном базируются на основе кафедр биологического факультета ИЕНиМ, и здесь нет абсолютно никаких претензий к образованию, отшлифованные учебные программы, грамотные преподаватели, учиться было напряжно и интересно. С четвертого курса начинается погружение в медицину, и наша кафедра (медицинской биохимии и биофизики) приглашала практикующих врачей для преподавания. 
Проблема в том, что большая часть врачей Екатеринбурга, которые имеют тягу к преподаванию, хотят и умеют это делать, заняты этим в УГМУ. Наша кафедра же по своим знакомствам выискивала практикующих вр...Показать полностью...ачей (об этом они всегда громко заявляли, очень уж гордятся сим фактом), часто в последний момент, иногда даже после него, это значит, что расписание занятий мы получали за день до начала семестра (для работающих посменно студентов это было большой проблемой), иногда по некоторым предметам занятия начинались через 1-2 недели после начала семеста, ибо никого не могли найти для преподавания. 
Большая часть этих преподавателей были равнодушны - пришли, прочли, ушли. Человека три горели своим делом, с ними было действительно интересно (жаль только не наш профиль). Но были и неуравновешенные женщины (представте себе ту самую врачиху, которая слушать Вас не желает, закатывает глаза, а если дадите слабину, начинает открыто унижать), они могли начать ОРАТЬ, неуслышав ту формулировку ответа, которая в их понимании единственно правильная, хотя сами читали лекции по презентациям, скачанным из интернета. Я понимаю, что такое бывает во многих учебных заведениях, но у нас таких женщин было несколько и некоторые вели у нас не один семестр, и очень уж дико для нас, 21-летних работающих людей, было такое отношение (после нормальных преподавателей с биофака). Самое трагичное, что одна из таких женщин вела у нас самый важный профильный предмет - функциональную диагностику, котрой она не занималась, а занималась она УЗИ и большую часть времени рассказывала об этом. 
А когда мы в надежде на получение хоть каких-то знаний по специальности, пришли на практику в больницу (нашу группу разделили на две базы, рассказываю про одну из них), нам сказали, что здесь некому нами заниматься, для приличия поводили пару дней по отделению (врач ЭЭГ сказала, что видеть нас не хочет), отправили в стационар, там тоже пару дней мы посмотрели на пленки, минут по 20 в день общались с врачами и все. Итог - знаний, а тем более навыков по чтению ЭКГ, ЭЭГ, спирограмм у нас нет. Во время практики мы обращались к кафедре с этой проблемой, но нам сказали, что ничего поделать они не могут)))
И про личную боль. На момент моего поступления (2016 г.) врачам-биофизикам позволялось проходить довольно много образовательных программ ординатуры, но в течение обучения нашу специальность убирали из профстандартов. На данный момент по проекту приказа &quot;Об утверждении Квалификационных требований к медицинским и фармацевтическим работникам с высшим образованием по направлению подготовки &quot;Здравоохранение и медицинские науки&quot;  мы можем пойти в ординатуру по направлениям Функциональная диагностика, Радиология, Лабораторная генетика (убрали Рентгенологию, УЗИ, КЛД, Вирусологию, Бактериологию). ВНИМАНИЕ поступающим! С этим образованием Вы НЕ сможете работать врачом УЗИ, МРТ, КТ!

Итак, 6 лет, чтобы влюбиться в медицину, не получить навыков по профилю, постоянно слышать &quot;зачем Вы вообще нужны?&quot;,  не иметь возможности пойти по интересным профилям ординатуры.

Всем раздумывающим про эту специальность советую поступать в медицинские университеты (даже если придется потерять несколько лет для подготовки к ЕГЭ по биологии и химии), возможностей это дает гораздо больше.",negative
"


Кафедра культурологии, искусствоведения и дизайна. Почти закончила второй курс. Первый курс показался непонятным: много дополнительных курсов, которые проходили онлайн и очень напоминали школу. Хуже всего переносила философию (но тут редко у кого радостные отзывы в принципе по всем вузам).

Поступила на графический дизайн, но на первом курсе не осознавала, что я учусь на дизайнера. Было большое непонимание и расстройство, что похоже не туда попала. Но так было до второго курса. Поступив на второй курс, поняла что мой выбор был сделан не зря. 

Как по мне так, первый курс надо просто как-то пережить. На втором начинаются профильные предметы и действительно начинаешь больше времени уделять дизайну (работа в программах, композиция и т.д). Также есть рисунок, живопись, пластическая анатомия, история искусств и дизайна, скульптура, проектирование. В общем практики достаточно

Что касается самой кафедры, то там работают замечательные люди. Отзывчивые и опытные, так сказать профессионалы, которые готовые всегда прийти на помощь и научить всему тому, что они знают.

Мне нравится то, что на дизайне небольшие потоки и группы в целом. У нас 15 человек, и мы очень дружны, а еще небольшие коллективы – отличная возможность общаться всем потоком.",positive
"


Учусь в Химико-технологическом институте (ХТИ), в целом, направление очень интересное, когда поступала, то выбирала между ИЕНиМ и ХТИ, но ни разу не пожалела о сделанном выборе. Специальность Химическая технология. кафедра технология органического синтеза. Учиться сложно, но интересно. 
По качеству образования нельзя сказать, что все совсем плохо. Если есть желание учиться, дополнительно разбираться самому, то все получится. Заниматься научной деятельностью может каждый, считаю это огромным плюсом. Конечно преподаватели разные и с каждым свои сложности, но если захотеть, то найти подход можно. За несколько лет учебы поняла, что если ты активно работаешь на парах, взаимодействуешь с преподавателем, то учиться как-то легче что ли). Для меня огромный минус, это расписание. Оно построено так, что в первом полусеместре одни лекции и почти нет  лабораторных и практических, а во втором полусеместре только лабы и практики. И получается, что к концу семестра куча домашек, отчетов по лабораторным, курсовых, рефератов, контрольных, которые надо сделать почти одновременно. К сессии ты уже ощущаешь себя выжатым лимоном. Думаю, что если бы немного перемешать первую и вторые части семестра, то бы...Показать полностью...ло бы легче и спалось бы намного больше)
Что касается поселения в общежитие: если ты хорошо учишься, занимаешься научной и внеучебной деятельностью, то шансы поселиться достаточно высоки. Студенческие корпуса у всех разные, но конкретно у нашего института, по моему мнению очень даже приличная общага, жить комфортно можно, если поддерживаешь чистоту.
В нашем университете мне нравится то, что ты можешь выбрать то что тебе по душе, и это касается не только учебы, но и внеучебной жизни. Тут миллион разных организаций, начиная с клуба иностранных языков и заканчивая студенческими отрядами. Хочешь пой, хочешь танцуй, хочешь спортом занимайся, хочешь работай...",medium
"


Хороший универ. Учусь здесь уже второй год.

Первый курс немного дался сложно, так как много онлайн-курсов, да и дистант там тоже помешал влиться в университетскую жизнь. Но, спасибо, организованной работе – дистанционное образование было на хорошем уровне. Все преподаватели хорошо владеют компьютерами. 

Сейчас уже на втором курсе, и могу с уверенностью сказать, что универ лучший. Из плюсов:
+ Отличный состав преподавателей (отзывчивые, знают о чем преподают, профессионалы)
+ Обожаю не только ходить на пары, но и посещать внеучебку (УрФУ один из тех вузов, в котором есть возможность помимо развития в основной профессии прокачивать и другие свои навыки с помощью внеучебки)
+ В столовках вкусно кормят, что очень радует, так это наличие микроволновок
+ Корпуса аккуратные, видно что следят за ними
+ Нравится, что в этом году начали выводить практически везде пропускную систему по картам, очень удобно
+ Радует насилие большой библиотеки, где находится литература абсолютно разных жанров 

Из минусов:
- До сих пор не понимаю как работает система брс, но тут скорее всего больше вопрос к педагогам, которые иногда не вовремя ее заполняют 
- Не нравится сайт, первокурсникам легко в нем запутаться, хотя там много важно инфы 

В целом, универом довольна и не жалею, что обучаюсь там!)",positive
"


ВУЗ хорошо подойдёт для местных (екатеринбуржцев) или же для иностранных студентов. Однако если же вы, как и я, приехали сюда  из другого региона за бюджетным местом и ваш дом в 500 км от города, то даже не думайте поступать в это заведение. Вам будет проще поступить в ближайшие вузы, хоть на платную основу. По крайней мере вы не столкнетесь с чередой проблем. Во первых, это стресс с переездом и поселением в общежитие, которое,внимание, получают НЕ ВСЕ. Если вы первокурсник, то вам будет проще получить койко-место, но всё равно не гарантированно. Однако же начиная со второго курса вероятность поселение в общежитие стремительно падает. Если вы закончили сессию с парой долгов (а вы их обязательно получите, после второго курса точно), то можете даже не думать об общежитии, а искать жильё сразу. Даже если вы приехали из далека, дирекции плевать. Поэтому, как я писал выше, студентам из других регионов будет тяжело, особенно из бедных семей или если родители вас финансово не поддерживают. Далее идут проблемы с обучением. Оно разниться от специальности к специальности. Если вы поступили на &quot;низкие&quot; специальности, то вас ждёт образование уровня сельской шараги, с той лишь разнице...Показать полностью...й, что здесь с вас будут драть по три шкуры. Чуть лучше обстоят дела у более &quot;сложных&quot; специальностей. Некоторые из них могут сами выбирать траекторию обучения, однако от маразматичных преподов их это не спасает. С преподами тоже беда, это буквально лотерея, где тебе либо выпадет добрый дед, либо же сумасшедшая бабка.
Если подытожить, то в УрФУ лучше поступать либо местным, либо иностранцам, либо людям при деньгах, однако это обучение своих денег не стоит",negative
